state,      county,   tract,      occvac,item,       acs_tal,  acs_talse,  cen_tal,cen_talse,  diff_tal, diff_talse, acs_sal,acs_salse,  cen_sal,  cen_salse,  diff_sal,diff_salse, acs_ial,  acs_ialse,  cen_eal,cen_ealse,  diff_ial, diff_ialse
18,103,000000,O,sacres,2.6025,0.3872,12.4602,0.5427,-9.8577,0.6667,3.6359,0.5821,12.2112,0.5855,-8.5753,0.8256,0.9271,0.3910,13.8107,1.4369,-12.8836,1.4892
18,103,000000,O,sagsales,7.4575,1.5444,18.6296,1.0492,-11.1721,1.8671,4.0862,0.9782,17.2202,1.0905,-13.1340,1.4649,12.9052,3.8430,27.2727,3.3343,-14.3675,5.0879
18,103,000000,O,sautos,0.7694,0.1948,6.4892,0.4771,-5.7198,0.5153,1.1434,0.3085,4.3818,0.4325,-3.2384,0.5312,0.1700,0.8727,17.5799,1.8451,-17.4099,2.0411
18,103,000000,O,sbedrm,1.5557,0.2983,7.1455,0.4987,-5.5898,0.5811,2.0707,0.4449,5.7267,0.4907,-3.6560,0.6624,0.7304,0.6825,14.6119,1.7113,-13.8815,1.8424
18,103,000000,O,sbiz,2.0456,0.3122,10.3503,0.5005,-8.3047,0.5899,3.3073,0.5094,9.9481,0.5352,-6.6408,0.7389,0.0000,1.1659,12.7877,1.3908,-12.7877,1.8149
18,103,000000,O,sbldgsz,0.7041,0.2046,6.6715,0.4417,-5.9674,0.4868,1.0648,0.3237,6.1605,0.4643,-5.0957,0.5660,0.1259,0.8907,9.5890,1.3043,-9.4631,1.5794
18,103,000000,O,sckitch,0.6387,0.1795,5.2133,0.3778,-4.5746,0.4183,0.9391,0.2838,4.2950,0.3759,-3.3559,0.4710,0.1574,0.6035,10.0457,1.2784,-9.8883,1.4137
18,103,000000,O,scplumb,0.6508,0.1620,5.1404,0.4335,-4.4896,0.4628,0.9587,0.2543,4.1649,0.4278,-3.2062,0.4977,0.1574,0.6035,10.2740,1.4916,-10.1166,1.6091
18,103,000000,O,selecdx,6.4091,0.7044,20.3062,0.7527,-13.8971,1.0309,3.8271,0.6171,16.3124,0.7541,-12.4853,0.9744,10.5465,1.7051,41.3242,2.3056,-30.7777,2.8676
18,103,000000,O,sfuel,0.8541,0.2568,7.5465,0.4942,-6.6924,0.5570,0.8919,0.2728,6.2039,0.4924,-5.3120,0.5629,0.7934,0.7771,14.6119,1.6539,-13.8185,1.8274
18,103,000000,O,sgasdx,10.1761,0.8952,24.9362,0.8095,-14.7601,1.2069,8.6562,0.9063,22.1258,0.8472,-13.4696,1.2406,12.6118,1.9422,39.7260,2.2912,-27.1142,3.0036
18,103,000000,O,sincins,10.2052,1.2449,15.9408,1.0737,-5.7356,1.6440,9.2911,1.3276,14.1905,1.1019,-4.8994,1.7253,11.7241,2.6836,26.7857,3.4960,-15.0616,4.4072
18,103,000000,O,sinctax,4.9704,0.8472,14.7905,1.0413,-9.8201,1.3424,4.0908,0.9049,13.0476,1.0636,-8.9568,1.3965,6.4321,1.7718,25.5952,3.4451,-19.1631,3.8740
18,103,000000,O,sinsd,24.6142,1.5331,38.5427,1.0904,-13.9285,1.8813,19.5688,1.5158,34.3629,1.1413,-14.7941,1.8975,33.5504,3.7127,65.6934,2.9346,-32.1430,4.7324
18,103,000000,O,smeals,6.9088,1.8052,10.2041,1.2671,-3.2953,2.2055,4.5137,1.4902,8.8636,1.3753,-4.3499,2.0278,9.7078,3.6759,14.1892,2.9114,-4.4814,4.6892
