state,     county,      tract,     item,acs_tal,   acs_talse,   cen_tal,   cen_talse,diff_tal,  diff_talse,  acs_sal,   acs_salse,cen_sal,   cen_salse,   diff_sal,  diff_salse,acs_ial,   acs_ialse,   cen_eal,   cen_ealse,diff_ial,  diff_ialse
18,103,000000,qabgo,4.3232,0.5980,11.3982,0.4990,-7.0750,0.7789,5.8962,0.7489,10.7901,0.5311,-4.8939,0.9181,1.8178,1.1083,14.8681,1.4036,-13.0503,1.7884
18,103,000000,qabmen,3.9408,0.6296,8.6148,0.3979,-4.6740,0.7448,5.1354,0.6872,7.1482,0.4015,-2.0128,0.7959,2.1999,1.2654,15.8273,1.2470,-13.6274,1.7766
18,103,000000,qabphys,4.0048,0.6264,8.9247,0.4043,-4.9199,0.7455,5.2554,0.6795,7.5225,0.4111,-2.2671,0.7942,2.1822,1.2653,15.6475,1.2413,-13.4653,1.7725
18,103,000000,qabwork,4.7215,0.6026,13.1079,0.5300,-8.3864,0.8025,6.5445,0.7455,12.7765,0.5714,-6.2320,0.9393,1.8178,1.1083,15.1079,1.4128,-13.2901,1.7957
18,103,000000,qage,1.6118,0.3343,1.5033,0.1809,0.1085,0.3801,2.0568,0.3222,1.1909,0.1991,0.8659,0.3787,0.9755,0.7322,2.9801,0.5258,-2.0046,0.9014
18,103,000000,qattend,2.9891,0.5268,6.5401,0.3556,-3.5510,0.6356,3.6046,0.5107,4.3764,0.3237,-0.7718,0.6047,2.0995,1.1139,16.6667,1.2865,-14.5672,1.7017
18,103,000000,qcarpol,4.7709,0.6526,10.3792,0.6292,-5.6083,0.9065,6.3610,0.8490,8.4518,0.6252,-2.0908,1.0543,2.4219,1.1679,21.1864,2.1273,-18.7645,2.4268
18,103,000000,qcitizen,0.0761,0.1016,0.1156,0.2294,-0.0395,0.2509,0.0998,0.1702,0.1051,0.2525,-0.0053,0.3045,0.0421,0.3201,0.1656,0.5489,-0.1235,0.6354
18,103,000000,qcommute,3.8282,0.6113,7.8250,0.5330,-3.9968,0.8110,5.1960,0.8029,5.2129,0.4815,-0.0169,0.9362,1.8021,1.0876,21.4559,2.0315,-19.6538,2.3043
18,103,000000,qcow,6.4125,0.6261,21.5208,0.7020,-15.1083,0.9406,9.2820,0.9103,20.0916,0.7488,-10.8096,1.1787,2.1719,0.8841,28.7791,1.9066,-26.6072,2.1016
18,103,000000,qctime,6.3621,0.8780,11.9642,0.6564,-5.6021,1.0963,7.1363,0.9200,9.2155,0.6383,-2.0792,1.1197,5.2157,1.5696,26.0000,2.2183,-20.7843,2.7175
18,103,000000,qendabil,7.7439,2.8819,20.3704,3.3247,-12.6265,4.3999,13.2835,5.0022,18.9474,3.4492,-5.6639,6.0761,0.0000,13.5469,30.7692,10.9814,-30.7692,17.4387
18,103,000000,qesr,4.8057,0.5545,12.0441,0.4323,-7.2384,0.7031,6.8370,0.7344,10.2935,0.4399,-3.4565,0.8561,1.5702,1.0426,21.5827,1.3727,-20.0125,1.7238
18,103,000000,qgrade,3.9172,1.0946,7.1842,0.7282,-3.2670,1.3147,3.6786,1.0553,4.9491,0.6856,-1.2705,1.2585,4.2082,2.1599,16.4773,2.3167,-12.2691,3.1674
18,103,000000,qgrandc,2.7852,0.4436,4.4271,0.3443,-1.6419,0.5615,3.7838,0.5474,3.4909,0.3348,0.2929,0.6417,1.2018,0.7654,9.4118,1.2291,-8.2100,1.4479
18,103,000000,qhigh,3.4776,0.5760,6.4798,0.3069,-3.0022,0.6526,3.2465,0.4933,4.0846,0.2715,-0.8381,0.5631,3.8115,1.3010,17.8819,1.1466,-14.0704,1.7342
18,103,000000,qhowlong,4.3423,18.1175,27.7778,9.1616,-23.4355,20.3022,7.8341,32.6916,21.4286,9.5167,-13.5945,34.0487,0.0000,48.2874,66.6667,23.6186,-66.6667,53.7542
18,103,000000,qincint,11.8348,0.8199,23.9955,0.7100,-12.1607,1.0846,14.3411,1.1448,21.5201,0.7447,-7.1790,1.3657,7.8610,1.4941,37.1765,2.0207,-29.3155,2.5131
18,103,000000,qincoth,9.0854,0.7381,21.2426,0.6801,-12.1572,1.0037,12.8292,1.0986,18.8246,0.7083,-5.9954,1.3071,3.1495,1.0971,33.8824,1.9791,-30.7329,2.2628
18,103,000000,qincpa,8.7686,0.7232,20.5357,0.6716,-11.7671,0.9869,12.8272,1.0873,18.1175,0.6979,-5.2903,1.2920,2.3334,1.0201,33.4118,1.9723,-31.0784,2.2205
18,103,000000,qincret,9.3678,0.7316,21.3542,0.6814,-11.9864,0.9998,12.9358,1.1011,18.9129,0.7096,-5.9771,1.3099,3.7106,1.0720,34.1176,1.9824,-30.4070,2.2537
18,103,000000,qincse,5.1043,0.5653,11.1235,0.5228,-6.0192,0.7700,6.0095,0.7111,8.7053,0.5108,-2.6958,0.8756,3.6691,1.1275,24.2353,1.7917,-20.5662,2.1169
18,103,000000,qincss,9.7660,0.7380,21.5030,0.6831,-11.7370,1.0056,12.8091,1.1034,18.9571,0.7103,-6.1480,1.3123,4.9410,1.1472,35.0588,1.9951,-30.1178,2.3014
18,103,000000,qincssi,8.6970,0.7283,21.7634,0.6861,-13.0664,1.0006,12.5035,1.0836,19.4432,0.7171,-6.9397,1.2994,2.6618,1.0470,33.8824,1.9791,-31.2206,2.2390
18,103,000000,qinctsome,22.5773,1.0484,31.6592,0.7734,-9.0819,1.3028,19.9083,1.3533,28.5904,0.8188,-8.6821,1.5817,26.8091,2.5582,48.0000,2.0890,-21.1909,3.3028
18,103,000000,qincwg,13.8655,0.9028,21.0193,0.6774,-7.1538,1.1287,11.2670,0.9299,17.3221,0.6857,-6.0551,1.1554,17.9853,2.1129,40.9412,2.0561,-22.9559,2.9482
18,103,000000,qind,6.9167,0.6132,16.4993,0.6338,-9.5826,0.8819,9.4420,0.8949,14.4820,0.6574,-5.0400,1.1104,3.1849,0.9676,27.0349,1.8698,-23.8500,2.1053
18,103,000000,qlang,18.4378,4.7544,37.0370,3.9863,-18.5992,6.2044,31.6274,8.3560,35.7895,4.2193,-4.1621,9.3608,0.0000,13.5469,46.1538,11.8613,-46.1538,18.0058
18,103,000000,qlastwk,5.1097,0.6204,12.9179,0.4588,-7.8082,0.7716,7.0088,0.7974,10.8352,0.4635,-3.8264,0.9223,2.0849,1.0801,23.9808,1.4674,-21.8959,1.8220
18,103,000000,qleavetm,9.2337,0.9453,16.2508,0.7239,-7.0171,1.1906,10.2391,1.1394,13.8614,0.7397,-3.6223,1.3585,7.7451,1.6553,28.8000,2.2216,-21.0549,2.7705
18,103,000000,qlmob,4.1069,0.6130,7.9331,0.3833,-3.8262,0.7230,5.4988,0.6685,6.4371,0.3825,-0.9383,0.7702,2.0783,1.2591,15.1079,1.2236,-13.0296,1.7557
18,103,000000,qmig,2.8156,0.4253,5.9808,0.4917,-3.1652,0.6501,3.7231,0.5070,3.9296,0.4428,-0.2065,0.6732,1.5252,0.8189,15.8273,1.8234,-14.3021,1.9988
18,103,000000,qmig,2.8156,0.4253,5.9808,0.4917,-3.1652,0.6501,3.7231,0.5070,3.9296,0.4428,-0.2065,0.6732,1.5252,0.8189,15.8273,1.8234,-14.3021,1.9988
18,103,000000,qmig,2.8156,0.4253,5.9808,0.4917,-3.1652,0.6501,3.7231,0.5070,3.9296,0.4428,-0.2065,0.6732,1.5252,0.8189,15.8273,1.8234,-14.3021,1.9988
18,103,000000,qmig,2.8156,0.4253,5.9808,0.4917,-3.1652,0.6501,3.7231,0.5070,3.9296,0.4428,-0.2065,0.6732,1.5252,0.8189,15.8273,1.8234,-14.3021,1.9988
18,103,000000,qmigco,7.6382,2.1846,9.8284,0.9794,-2.1902,2.3941,12.7474,3.3383,6.0429,0.8763,6.7045,3.4514,4.0019,3.0432,25.0000,3.1880,-20.9981,4.4073
18,103,000000,qmigpl,7.8879,2.2104,9.9064,0.9829,-2.0185,2.4191,13.3479,3.4131,6.1404,0.8829,7.2075,3.5254,4.0019,3.0432,24.6094,3.1712,-20.6075,4.3952
