SUMLEV,STATE,COUNTY,REGION,DIVISION,ctyname,STNAME,POPESTIMATE2001,POPESTIMATE2000,NPOPCHG_2001,PPOPCHG_2001,SRANK_POPEST2001,SRANK_POPEST2000,SRANK_NPCHG2001,SRANK_PPCHG2001
040,55,000,2,3,Wisconsin,Wisconsin,5405905,5374392,31513,0.5863546984,,,,
050,55,001,2,3,Adams County,Wisconsin,20265,20014,251,1.2541221145,52,52,27,12
050,55,003,2,3,Ashland County,Wisconsin,16781,16850,-69,-0.409495549,58,58,66,67
050,55,005,2,3,Barron County,Wisconsin,45253,45051,202,0.4483807241,29,29,32,41
050,55,007,2,3,Bayfield County,Wisconsin,15090,15040,50,0.3324468085,65,65,54,48
050,55,009,2,3,Brown County,Wisconsin,229307,227280,2027,0.8918514608,4,4,5,19
050,55,011,2,3,Buffalo County,Wisconsin,13867,13823,44,0.3183100629,67,67,55,49
050,55,013,2,3,Burnett County,Wisconsin,15923,15725,198,1.2591414944,62,63,33,11
050,55,015,2,3,Calumet County,Wisconsin,41463,40733,730,1.792158692,33,35,13,3
050,55,017,2,3,Chippewa County,Wisconsin,55827,55352,475,0.8581442405,24,24,18,21
050,55,019,2,3,Clark County,Wisconsin,33816,33636,180,0.5351409204,41,41,36,32
050,55,021,2,3,Columbia County,Wisconsin,53176,52621,555,1.0547119971,26,26,16,15
050,55,023,2,3,Crawford County,Wisconsin,17060,17246,-186,-1.078510959,57,57,70,70
050,55,025,2,3,Dane County,Wisconsin,434554,428327,6227,1.4537958149,2,2,1,5
050,55,027,2,3,Dodge County,Wisconsin,86456,86020,436,0.50685887,17,17,20,37
050,55,029,2,3,Door County,Wisconsin,28198,28030,168,0.5993578309,44,44,37,29
050,55,031,2,3,Douglas County,Wisconsin,43609,43404,205,0.4723066998,30,31,31,39
050,55,033,2,3,Dunn County,Wisconsin,40433,39956,477,1.1938131945,36,36,17,14
050,55,035,2,3,Eau Claire County,Wisconsin,93645,93271,374,0.4009820845,15,15,22,44
050,55,037,2,3,Florence County,Wisconsin,5079,5101,-22,-0.431287983,71,71,60,68
050,55,039,2,3,Fond du Lac County,Wisconsin,97806,97398,408,0.4188997721,14,14,21,43
050,55,041,2,3,Forest County,Wisconsin,9920,10045,-125,-1.244400199,68,68,69,71
050,55,043,2,3,Grant County,Wisconsin,49594,49535,59,0.1191077016,28,28,53,57
050,55,045,2,3,Green County,Wisconsin,33873,33727,146,0.4328875975,40,40,43,42
050,55,047,2,3,Green Lake County,Wisconsin,19218,19097,121,0.6336073729,55,55,45,25
050,55,049,2,3,Iowa County,Wisconsin,22968,22817,151,0.6617872639,48,48,41,24
050,55,051,2,3,Iron County,Wisconsin,6815,6859,-44,-0.641492929,70,70,62,69
050,55,053,2,3,Jackson County,Wisconsin,19253,19136,117,0.6114130435,54,54,47,28
050,55,055,2,3,Jefferson County,Wisconsin,76246,75944,302,0.3976614347,20,20,25,45
050,55,057,2,3,Juneau County,Wisconsin,24580,24366,214,0.8782730034,46,46,30,20
050,55,059,2,3,Kenosha County,Wisconsin,152081,150082,1999,1.3319385403,9,9,6,8
050,55,061,2,3,Kewaunee County,Wisconsin,20324,20205,119,0.5889631279,51,51,46,30
050,55,063,2,3,La Crosse County,Wisconsin,107581,107259,322,0.300207908,13,13,23,52
050,55,065,2,3,Lafayette County,Wisconsin,16195,16135,60,0.3718624109,61,60,52,46
050,55,067,2,3,Langlade County,Wisconsin,20841,20738,103,0.4966727746,50,50,49,38
050,55,069,2,3,Lincoln County,Wisconsin,29780,29715,65,0.2187447417,42,42,51,55
050,55,071,2,3,Manitowoc County,Wisconsin,82834,82940,-106,-0.127803231,19,18,67,62
050,55,073,2,3,Marathon County,Wisconsin,126496,125924,572,0.4542422414,10,10,15,40
050,55,075,2,3,Marinette County,Wisconsin,43344,43456,-112,-0.257731959,31,30,68,64
050,55,077,2,3,Marquette County,Wisconsin,14610,14615,-5,-0.034211427,66,66,59,59
050,55,078,2,3,Menominee County,Wisconsin,4595,4584,11,0.239965096,72,72,57,53
050,55,079,2,3,Milwaukee County,Wisconsin,937073,939591,-2518,-0.267988944,1,1,72,65
050,55,081,2,3,Monroe County,Wisconsin,41250,41016,234,0.5705090696,34,33,29,31
050,55,083,2,3,Oconto County,Wisconsin,36259,35799,460,1.2849520936,39,39,19,9
050,55,085,2,3,Oneida County,Wisconsin,37002,36815,187,0.5079451311,38,38,35,36
050,55,087,2,3,Outagamie County,Wisconsin,164131,161821,2310,1.4275032289,6,6,3,6
050,55,089,2,3,Ozaukee County,Wisconsin,83315,82564,751,0.9095974032,18,19,12,18
050,55,091,2,3,Pepin County,Wisconsin,7237,7193,44,0.6117058251,69,69,55,27
050,55,093,2,3,Pierce County,Wisconsin,37095,36904,191,0.5175590722,37,37,34,35
050,55,095,2,3,Polk County,Wisconsin,42309,41468,841,2.028069837,32,32,10,2
050,55,097,2,3,Portage County,Wisconsin,67190,67243,-53,-0.078818613,22,22,64,60
050,55,099,2,3,Price County,Wisconsin,15605,15827,-222,-1.40266633,63,62,71,72
050,55,101,2,3,Racine County,Wisconsin,189697,189003,694,0.3671899388,5,5,14,47
050,55,103,2,3,Richland County,Wisconsin,18147,18022,125,0.6935967151,56,56,44,23
050,55,105,2,3,Rock County,Wisconsin,153501,152549,952,0.6240617769,8,8,9,26
050,55,107,2,3,Rusk County,Wisconsin,15304,15354,-50,-0.32564804,64,64,63,66
050,55,109,2,3,St. Croix County,Wisconsin,65862,63665,2197,3.4508756774,23,23,4,1
050,55,111,2,3,Sauk County,Wisconsin,55514,55347,167,0.3017327046,25,25,38,51
050,55,113,2,3,Sawyer County,Wisconsin,16359,16243,116,0.7141537893,59,59,48,22
050,55,115,2,3,Shawano County,Wisconsin,40866,40788,78,0.1912327155,35,34,50,56
050,55,117,2,3,Sheboygan County,Wisconsin,113026,112775,251,0.2225670583,12,12,27,54
050,55,119,2,3,Taylor County,Wisconsin,19697,19723,-26,-0.131825787,53,53,61,63
050,55,121,2,3,Trempealeau County,Wisconsin,27074,27077,-3,-0.011079514,45,45,58,58
050,55,123,2,3,Vernon County,Wisconsin,28221,28073,148,0.5271969508,43,43,42,33
050,55,125,2,3,Vilas County,Wisconsin,21442,21131,311,1.4717713312,49,49,24,4
050,55,127,2,3,Walworth County,Wisconsin,93543,92419,1124,1.216200132,16,16,8,13
050,55,129,2,3,Washburn County,Wisconsin,16258,16104,154,0.956284153,60,61,40,17
050,55,131,2,3,Washington County,Wisconsin,119601,117991,1610,1.3645108525,11,11,7,7
