"Table with row headers in column A and column headers in row 8, repeated in row 48. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,,
Census 2000 PHC-T-39,,,,,,,,,,,,,,,,,,
Table 1: Educational Attainment of the Population 15 Years and Over by Age: 2000,,,,,,,,,,,,,,,,,,
Geographic area: Missouri,,,,,,,,,,,,,,,,,,
"All race and ethnic groups, both sexes",,,,,,,,,,,,,,,,,,
"(Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Age,Total,No schooling completed,Nursery school-4th grade,5th-6th grade,7th-8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",,,,,,,,,
..Total ,"4,414,391","25,060","12,301","29,363","238,705","172,396","222,870","199,077","143,644",,,,,,,,,
,,,,,,,,,,,,,,,,,,
15 to 19 years ,"407,014",852,386,"1,783","56,443","78,042","82,274","70,863","15,046",,,,,,,,,
.15 years ,"83,022",99,33,709,"46,022","28,829","6,258",760,107,,,,,,,,,
.16 years ,"81,245",167,37,299,"6,245","38,988","28,122","6,023",391,,,,,,,,,
.17 years ,"81,015",167,47,257,"1,837","5,847","37,866","26,447","3,202",,,,,,,,,
.18 years ,"80,670",177,46,247,"1,260","2,366","6,109","31,558","7,865",,,,,,,,,
.19 years ,"81,062",242,223,271,"1,079","2,012","3,919","6,075","3,481",,,,,,,,,
20 to 24 years ,"372,471","1,592",509,"1,208","5,038","8,227","14,100","15,552","12,406",,,,,,,,,
.20 years ,"79,826",323,124,268,"1,163","1,901","3,494","3,528","2,388",,,,,,,,,
.21 years ,"76,226",258,110,228,"1,048","1,903","2,906","3,366","2,640",,,,,,,,,
.22 years ,"74,935",403,65,199,"1,027","1,542","2,955","3,089","2,511",,,,,,,,,
.23 years ,"71,397",386,112,206,927,"1,385","2,578","2,854","2,235",,,,,,,,,
