table with row headers in column A and column headers in row 3,,,,,
"Table 9.  Kansas Incorporated Place Population Estimates and Population Change, Sorted Alphabetically: April 1, 2000 to July 1, 2002",,,,,
Place,State,"July 1, 2002 Population","April 1, 2000 Population Estimates Base",Numerical Population Change,Percent Population Change
Abbyville city,Kansas,127,128,-1,-0.8
Abilene city,Kansas,"6,438","6,543",-105,-1.6
Admire city,Kansas,179,177,2,1.1
Agenda city,Kansas,75,81,-6,-7.4
Agra city,Kansas,301,306,-5,-1.6
Albert city,Kansas,180,181,-1,-0.6
Alden city,Kansas,162,168,-6,-3.6
Alexander city,Kansas,72,75,-3,-4.0
Allen city,Kansas,212,211,1,0.5
Alma city,Kansas,762,797,-35,-4.4
Almena city,Kansas,466,469,-3,-0.6
Alta Vista city,Kansas,421,442,-21,-4.8
Altamont city,Kansas,"1,065","1,092",-27,-2.5
Alton city,Kansas,112,117,-5,-4.3
Altoona city,Kansas,483,485,-2,-0.4
Americus city,Kansas,945,938,7,0.7
Andale city,Kansas,789,766,23,3.0
Andover city,Kansas,"7,750","6,980",770,11.0
Anthony city,Kansas,"2,342","2,440",-98,-4.0
Arcadia city,Kansas,384,391,-7,-1.8
Argonia city,Kansas,516,534,-18,-3.4
Arkansas City city,Kansas,"12,043","11,970",73,0.6
Arlington city,Kansas,446,459,-13,-2.8
Arma city,Kansas,"1,501","1,529",-28,-1.8
Ashland city,Kansas,968,975,-7,-0.7
Assaria city,Kansas,450,441,9,2.0
Atchison city,Kansas,"10,106","10,232",-126,-1.2
Athol city,Kansas,49,51,-2,-3.9
Atlanta city,Kansas,256,255,1,0.4
Attica city,Kansas,612,636,-24,-3.8
Atwood city,Kansas,"1,242","1,279",-37,-2.9
Auburn city,Kansas,"1,115","1,121",-6,-0.5
Augusta city,Kansas,"8,493","8,487",6,0.1
Aurora city,Kansas,77,79,-2,-2.5
Axtell city,Kansas,432,445,-13,-2.9
Baldwin City city,Kansas,"3,579","3,401",178,5.2
Barnard city,Kansas,123,123,-,-
Barnes city,Kansas,148,152,-4,-2.6
Bartlett city,Kansas,122,124,-2,-1.6
Basehor city,Kansas,"2,513","2,239",274,12.2
Bassett city,Kansas,23,22,1,4.5
Baxter Springs city,Kansas,"4,407","4,602",-195,-4.2
Bazine city,Kansas,294,311,-17,-5.5
Beattie city,Kansas,270,277,-7,-2.5
Bel Aire city,Kansas,"6,424","6,021",403,6.7
Belle Plaine city,Kansas,"1,673","1,708",-35,-2.0
Belleville city,Kansas,"2,099","2,239",-140,-6.3
Beloit city,Kansas,"3,869","4,019",-150,-3.7
Belpre city,Kansas,101,104,-3,-2.9
Belvue city,Kansas,226,228,-2,-0.9
Benedict city,Kansas,102,103,-1,-1.0
Bennington city,Kansas,636,623,13,2.1
Bentley city,Kansas,392,368,24,6.5
Benton city,Kansas,817,827,-10,-1.2
Bern city,Kansas,199,204,-5,-2.5
Beverly city,Kansas,198,199,-1,-0.5
Bird City city,Kansas,472,482,-10,-2.1
Bison city,Kansas,228,235,-7,-3.0
Blue Mound city,Kansas,276,277,-1,-0.4
Blue Rapids city,Kansas,"1,057","1,088",-31,-2.8
Bluff City city,Kansas,77,80,-3,-3.8
Bogue city,Kansas,174,179,-5,-2.8
Bonner Springs city,Kansas,"6,815","6,768",47,0.7
Brewster city,Kansas,279,285,-6,-2.1
Bronson city,Kansas,343,346,-3,-0.9
Brookville city,Kansas,256,259,-3,-1.2
Brownell city,Kansas,46,48,-2,-4.2
Bucklin city,Kansas,716,725,-9,-1.2
Buffalo city,Kansas,279,284,-5,-1.8
Buhler city,Kansas,"1,335","1,358",-23,-1.7
Bunker Hill city,Kansas,98,101,-3,-3.0
Burden city,Kansas,563,564,-1,-0.2
Burdett city,Kansas,245,256,-11,-4.3
Burlingame city,Kansas,"1,013","1,017",-4,-0.4
Burlington city,Kansas,"2,795","2,790",5,0.2
Burns city,Kansas,269,268,1,0.4
Burr Oak city,Kansas,241,265,-24,-9.1
Burrton city,Kansas,927,932,-5,-0.5
Bushong city,Kansas,56,55,1,1.8
Bushton city,Kansas,302,314,-12,-3.8
Byers city,Kansas,49,50,-1,-2.0
Caldwell city,Kansas,"1,242","1,284",-42,-3.3
