SPECIES	COMMON_NAME	LATIN_NAME	IDLEVEL	CATEGORY
BULLFROG	BULLFROG	Rana catesbiana	SPECIES	AMPHIBIAN
FROG SPP	FROGS AND TOADS	Anura	ORDER	AMPHIBIAN
RANA SPP	BULLFROG SPP	Rana spp.	GENUS	AMPHIBIAN
TADPOLES/FROGS	FROGS AND TOADS	Anura	ORDER	AMPHIBIAN
TIGER SALAMANDER	TIGER SALAMANDER	Ambystoma tigrinum	SPECIES	AMPHIBIAN
AMERICAN AVOCET	AMERICAN AVOCET	Recurvirostra americana	SPECIES	BIRD
AMERICAN BITTERN	AMERICAN BITTERN	Botaurus lentiginosus	SPECIES	BIRD
AMERICAN COOT	AMERICAN COOT	Fulica americana	SPECIES	BIRD
AMERICAN WHITE PELICAN	AMERICAN WHITE PELICAN	Pelecanus erythrorhynchos	SPECIES	BIRD
AMERICAN WIGEON	AMERICAN WIGEON	Anas americana	SPECIES	BIRD
ANAS SPP	DABBLING DUCKS	Anas spp.	GENUS	BIRD
AYTHYA SPP	POCHARDS	Aythya spp.	GENUS	BIRD
BALD EAGLE	BALD EAGLE	Haliaeetus leucocephalus	SPECIES	BIRD
BLACK-CROWNED NIGHT-HERON	BLACK-CROWNED NIGHT-HERON	Nycticorax nycticorax	SPECIES	BIRD
BLACK-NECKED STILT	BLACK-NECKED STILT	Himantopus mexicanus	SPECIES	BIRD
BLACKBIRD SPP	BLACKBIRDS	Aegelius spp.	GENUS	BIRD
BLUE-WINGED TEAL	BLUE-WINGED TEAL	Anas discors	SPECIES	BIRD
BOBWHITE QUAIL	NORTHERN BOBWHITE	Colinus virginianus	SPECIES	BIRD
BREWERS BLACKBIRD	BREWERS BLACKBIRD	Euphagus cyanocephalus	SPECIES	BIRD
CALIFORNIA GULL	CALIFORNIA GULL	Larus californicus	SPECIES	BIRD
CANADA GOOSE	CANADA GOOSE	Branta canadensis	SPECIES	BIRD
CANVASBACK	CANVASBACK	Aythya valisineria	SPECIES	BIRD
CASSINS KINGBIRD	CASSINS KINGBIRD	Tyrannus vociferans	SPECIES	BIRD
CATTLE EGRET	CATTLE EGRET	Bulbulcus ibis	SPECIES	BIRD
CINNAMON TEAL	CINNAMON TEAL	Anas cyanoptera	SPECIES	BIRD
