Dataset:              EMAP Lakes Bird Names
File Name:            brdnam
Date Created:         03/13/97
# Variables:          9
# Header Records:     19
# Data Records:       217
Missing Value Symbol: .

Variables:    AOU              Amer. Ornith. Union code
              DIET             Dietary guild
              FEED             Foraging guild
              NAME_COM         common name
              NEOTROP          Neotrophic Migr. (NE) or Resident (RE)
              ORDER            Taxonomic Order
              SCIENTIF         Genus and species
              SPECIES          EMAP code for bird species
              TOLER            Tolerant (TO) or intolerant (IN)

"AOU","DIET","FEED","NAME_COM","NEOTROP","ORDER","SCIENTIF","SPECIES","TOLER" 
4663,"IN","HA","Alder Flycatcher","NE","Passeriformes","Empidonax alnorum","ALFL","IN" 
1900,"FI","SS","American Bittern","RE","Ciconiiformes","Botaurus lentiginosus","AMBI","IN" 
4880,"OM","GG","American Crow","RE","Passeriformes","Corvus brachyrhynchos","AMCR","TO" 
5290,"SE","FG","American Goldfinch","RE","Passeriformes","Carduelis tristis","AMGO","TO" 
3600,"IN","HP","American Kestrel","RE","Falconiformes","Falco sparverius","AMKE","IN" 
6870,"IN","HG","American Redstart","NE","Passeriformes","Setophaga ruticilla","AMRE","IN" 
7610,"IN","GG","American Robin","RE","Passeriformes","Turdus migratorius","AMRO","TO" 
3520,"FI","HP","Bald Eagle","RE","Falconiformes","Haliaeetus leucocephalus","BAEG","IN" 
5070,"IN","FG","Northern Oriole","NE","Passeriformes","Icterus galbula","BAOR","TO" 
3680,"SM","LP","Barred Owl","RE","Strigiformes","Strix varia","BAOW","IN" 
3880,"IN","FG","Black-billed Cuckoo","NE","Cuculiformes","Coccyzus erythropthalmus","BBCU","IN" 
470,"OM","HD","Great Black-backed Gull","RE","Charadriiformes","Larus marinus","BBGU","IN" 
6600,"IN","FG","Bay-breasted Warbler","NE","Passeriformes","Dendroica castanea","BBWA","IN" 
4000,"IN","BG","Black-backed Woodpecker","RE","Piciformes","Picoides arcticus","BBWO","IN" 
7350,"IN","FG","Black-capped Chickadee","RE","Passeriformes","Parus atricapillus","BCCH","TO" 
2020,"FI","SS","Black-crowned Night-heron","RE","Ciconiiformes","Nycticorax nycticorax","BCNH","IN" 
3900,"FI","HD","Belted Kingfisher","RE","Coraciformes","Ceryle alcyon","BEKI","IN" 
7510,"IN","FG","Blue-gray Gnatcatcher","NE","Passeriformes","Polioptila caerulea","BGGN","IN" 
4950,"IN","GG","Brown-headed Cowbird","RE","Passeriformes","Molothrus ater","BHCO","TO" 
6160,"IN","AF","Bank Swallow","NE","Passeriformes","Riparia riparia","BKSW","IN" 
1330,"AI","DA","American Black Duck","RE","Anseriformes","Anas rubripes","BLDU","IN" 
4770,"OM","GG","Blue Jay","RE","Passeriformes","Cyanocitta cristata","BLJA","TO" 
770,"IN","HA","Black Tern","NE","Charadriiformes","Chlidonias niger","BLTE","IN" 
6410,"IN","FG","Blue-winged Warbler","NE","Passeriformes","Vermivora pinus","BLUW","IN" 
6620,"IN","FG","Blackburnian Warbler","NE","Passeriformes","Dendroica fusca","BLWA","IN" 
4940,"IN","GG","Bobolink","NE","Passeriformes","Dolichonyx oryzivorus","BOBO","IN" 
7400,"IN","FG","Boreal Chickadee","RE","Passeriformes","Parus hudsonicus","BOCH","IN" 
600,"IN","SU","Bonaparte's Gull","RE","Charadriiformes","Larus philadelphia","BOGU","IN" 
6610,"IN","FG","Blackpoll Warbler","NE","Passeriformes","Dendroica striata","BPWA","IN" 
7260,"IN","BG","Brown Creeper","RE","Passeriformes","Certhia americana","BRCR","IN" 
6130,"IN","AF","Barn Swallow","NE","Passeriformes","Hirundo rustica","BRSW","IN" 
7050,"OM","GG","Brown Thrasher","RE","Passeriformes","Toxostoma rufum","BRTH","IN" 
6540,"IN","HG","Black-throated Blue Warbler","NE","Passeriformes","Dendroica caerulescens","BTBW","IN" 
6670,"IN","FG","Black-throated Green Warbler","NE","Passeriformes","Dendroica virens","BTGW","IN" 
3430,"SM","SW","Broad-winged Hawk","NE","Falconiformes","Buteo platypterus","BWHA","IN" 
1400,"SE","DA","Blue-winged Teal","RE","Anseriformes","Anas discors","BWTE","IN" 
6360,"IN","BG","Black-and-White Warbler","NE","Passeriformes","Mniotilta varia","BWWA","IN" 
7360,"IN","FG","Carolina Chickadee","RE","Passeriformes","Parus carolinensis","CACH","IN" 
2001,"IN","GG","Cattle Egret","RE","Ciconiiformes","Bubulcus ibis","CAEG","TO" 
1720,"GR","SU","Canada Goose","RE","Anseriformes","Branta canadensis","CAGO","TO" 
640,"FI","HD","Caspian Tern","RE","Charadriiformes","Sterna caspia","CATE","IN" 
6860,"IN","HG","Canada Warbler","NE","Passeriformes","Wilsonia canadensis","CAWA","IN" 
7180,"IN","GG","Carolina Wren","RE","Passeriformes","Thryothorus ludovicianus","CAWR","IN" 
6580,"IN","FG","Cerulean Warbler","NE","Passeriformes","Dendroica cerulea","CERW","IN" 
6190,"FR","FG","Cedar Waxwing","RE","Passeriformes","Bombycilla cedrorum","CEWA","IN" 
5600,"IN","GG","Chipping Sparrow","NE","Passeriformes","Spizella passerina","CHSP","TO" 
4230,"IN","AF","Chimney Swift","NE","Apodiformes","Chaetura pelagica","CHSW","TO" 
6120,"IN","AF","Cliff Swallow","NE","Apodiformes","Hirundo pyrrhonota","CLSW","IN" 
6500,"IN","FG","Cape May Warbler","NE","Apodiformes","Dendroica tigrina","CMWA","IN" 
1510,"AI","SD","Common Goldeneye","RE","Anseriformes","Bucephala clangula","COGO","IN" 
5110,"OM","GG","Common Grackle","RE","Anseriformes","Quiscalus quiscula","COGR","TO" 
3330,"BI","AP","Cooper's Hawk","RE","Falconiformes","Accipiter cooperii","COHA","IN" 
70,"FI","SD","Common Loon","RE","Gaviiformes","Gavia immer","COLO","IN" 
1290,"FI","SD","Common Merganser","RE","Anseriformes","Mergus merganser","COME","IN" 
