Time	Date	StoreData	FitResults1	FitResults2	Integral
0.0	2/22/2009 5:44:25	305.964	304.48	302.942	0.0	
0.167	2/22/2009 5:54:24	289.116	291.216	291.179	178.692	
0.333	2/22/2009 6:4:24	279.315	280.135	280.581	350.11	
0.5	2/22/2009 6:14:24	271.219	270.383	270.963	515.256	
0.667	2/22/2009 6:24:24	262.088	261.612	262.176	674.859	
0.833	2/22/2009 6:34:24	252.721	253.621	254.101	829.429	
1.0	2/22/2009 6:44:24	245.837	246.27	246.643	979.396	
1.167	2/22/2009 6:54:24	239.812	239.461	239.724	1125.118	
1.333	2/22/2009 7:4:24	234.138	233.118	233.279	1266.884	
1.5	2/22/2009 7:14:24	226.674	227.18	227.252	1404.98	
1.667	2/22/2009 7:24:24	222.208	221.601	221.598	1539.612	
1.833	2/22/2009 7:34:24	217.683	216.342	216.278	1670.991	
2.0	2/22/2009 7:44:24	211.956	211.368	211.257	1799.31	
2.167	2/22/2009 7:54:24	207.391	206.653	206.508	1924.721	
2.333	2/22/2009 8:4:24	201.706	202.173	202.005	2047.36	
2.5	2/22/2009 8:14:24	197.419	197.907	197.725	2167.385	
2.667	2/22/2009 8:24:24	193.677	193.837	193.65	2284.913	
2.833	2/22/2009 8:34:24	189.756	189.949	189.763	2400.043	
3.0	2/22/2009 8:44:24	185.898	186.227	186.048	2512.899	
3.167	2/22/2009 8:54:24	181.852	182.66	182.492	2623.564	
3.333	2/22/2009 9:4:24	179.132	179.237	179.084	2732.13	
3.5	2/22/2009 9:14:24	175.685	175.948	175.812	2838.684	
3.667	2/22/2009 9:24:25	172.662	172.783	172.666	2943.313	
3.833	2/22/2009 9:34:24	170.138	169.736	169.639	3046.064	
4.0	2/22/2009 9:44:24	167.081	166.799	166.722	3147.024	
4.167	2/22/2009 9:54:24	163.481	163.965	163.909	3246.25	
4.333	2/22/2009 10:4:24	161.095	161.228	161.192	3343.816	
4.5	2/22/2009 10:14:24	158.822	158.584	158.566	3439.758	
4.667	2/22/2009 10:24:24	155.471	156.025	156.026	3534.136	
4.833	2/22/2009 10:34:24	153.723	153.549	153.566	3627.008	
5.0	2/22/2009 10:44:24	151.025	151.151	151.181	3718.42	
5.167	2/22/2009 10:54:24	149.08	148.826	148.869	3808.413	
5.333	2/22/2009 11:4:24	146.711	146.571	146.625	3897.033	
5.5	2/22/2009 11:14:24	144.473	144.382	144.445	3984.316	
5.667	2/22/2009 11:24:24	142.098	142.257	142.326	4070.308	
5.833	2/22/2009 11:34:24	140.402	140.193	140.265	4155.048	
6.0	2/22/2009 11:44:24	138.078	138.186	138.259	4238.558	
6.167	2/22/2009 11:54:24	136.026	136.234	136.306	4320.888	
6.333	2/22/2009 12:4:24	134.51	134.335	134.403	4402.058	
6.5	2/22/2009 12:14:24	132.072	132.486	132.548	4482.104	
6.667	2/22/2009 12:24:24	130.745	130.685	130.739	4561.052	
6.833	2/22/2009 12:34:24	128.898	128.931	128.973	4638.936	
7.0	2/22/2009 12:44:24	127.183	127.22	127.249	4715.785	
7.167	2/22/2009 12:54:24	125.698	125.553	125.565	4791.617	
7.333	2/22/2009 13:4:24	123.994	123.926	123.919	4866.455	
7.5	2/22/2009 13:14:24	122.683	122.339	122.311	4940.334	
7.667	2/22/2009 13:24:24	120.845	120.789	120.737	5013.276	
7.666658333333333	2/22/2009 13:24:24	0	120.78880687720802	120.737	5013.276	
7.833325	2/22/2009 13:34:24	0	119.27538664713839	119.198	5085.295	
7.999991666666667	2/22/2009 13:44:24	0	117.7969673659009	117.691	5156.417	
8.166658333333334	2/22/2009 13:54:24	0	116.352274382549	116.216	5226.662	
8.333325	2/22/2009 14:4:24	0	114.94009810820607	114.772	5296.05	
8.499991666666666	2/22/2009 14:14:24	0	113.55928970697792	113.356	5364.599	
8.666658333333332	2/22/2009 14:24:24	0	112.20875713844445	111.969	5432.33	
8.833324999999999	2/22/2009 14:34:24	0	110.88746151765827	110.609	5499.259	
8.999991666666665	2/22/2009 14:44:24	0	109.59441376239648	109.275	5565.403	
