! 04/05/96 CLINT MOG$DUB3:[PMG.CLINT.SHARK]T-2-74-EG.200;1
! MOG$DUB0:[PROGRAMS.REFMT]VMS2UNIX.EXE;1
! Raw magnetics data
! (Year,Day,Hour,Min,Sec,Tenths,MstObs)
! (i4.4,i3.3,3i2.2,i1.1,t16,f7.1)
!  
!*05/07/86 CLINT DUA0:[DATA.T274EG]T274EG.200;
! DUA0:[DATA.T274EG]TEMP.EXE;
! (dy,hr,min,sec,tenths,mst_obs)
! (i3.3,3i2.2,i1.1,t12,f7.1)
! from t274eg.redmags
!  
19742570500060 56585.0
19742570504000 56615.0
19742570508420 56606.0
19742570511540 56574.0
19742570515000 56534.0
19742570518000 56543.0
19742570521060 56572.0
19742570524120 56559.0
19742570527120 56551.0
19742570530120 56551.0
19742570533180 56570.0
19742570536180 56601.0
19742570539180 56587.0
19742570542180 56560.0
19742570545180 56568.0
19742570548180 56527.0
19742570551180 56500.0
19742570554180 56451.0
19742570557180 56499.0
19742570600300 56516.0
19742570603300 56533.0
19742570606300 56550.0
19742570609300 56557.0
19742570612300 56560.0
19742570615300 56559.0
19742570618300 56563.0
19742570621480 56554.0
19742570625120 56555.0
19742570628120 56559.0
19742570631300 56565.0
19742570634300 56576.0
19742570637540 56585.0
19742570640540 56592.0
19742570644120 56599.0
19742570647120 56601.0
19742570650360 56597.0
19742570653540 56597.0
19742570656540 56602.0
19742570700180 56606.0
19742570703360 56609.0
19742570707060 56610.0
19742570710240 56613.0
19742570713480 56614.0
19742570717060 56614.0
19742570720300 56616.0
19742570723480 56622.0
19742570726480 56635.0
19742570730120 56651.0
19742570733300 56659.0
19742570736540 56663.0
19742570740180 56666.0
19742570743360 56667.0
19742570746540 56667.0
19742570749540 56672.0
19742570753180 56654.0
19742570756360 56674.0
19742570759360 56678.0
19742570803000 56687.0
19742570806180 56691.0
19742570809480 56690.0
19742570813060 56693.0
19742570816300 56694.0
19742570819480 56693.0
19742570823120 56690.0
19742570826300 56689.0
19742570829540 56693.0
19742570833120 56694.0
19742570836360 56695.0
19742570839540 56696.0
19742570843180 56699.0
19742570846360 56701.0
19742570849360 56702.0
19742570852420 56706.0
19742570856060 56707.0
19742570859240 56709.0
19742570902480 56711.0
19742570905480 56717.0
19742570909060 56717.0
19742570912300 56720.0
19742570915480 56725.0
19742570919180 56729.0
19742570922300 56728.0
19742570925540 56723.0
19742570929180 56722.0
19742570932420 56722.0
19742570936000 56723.0
19742570939240 56726.0
19742570942420 56728.0
19742570946060 56729.0
19742570949240 56730.0
19742570952480 56727.0
19742570956060 56731.0
19742570959300 56730.0
19742571002480 56729.0
19742571006120 56727.0
19742571009300 56726.0
19742571013060 56729.0
19742571016240 56725.0
19742571019480 56725.0
19742571023060 56726.0
19742571026300 56724.0
19742571029480 56726.0
19742571033120 56723.0
19742571036300 56723.0
19742571039540 56723.0
19742571043120 56721.0
19742571046360 56720.0
19742571049540 56718.0
19742571053180 56716.0
19742571056360 56713.0
19742571100000 56718.0
19742571103180 56715.0
19742571106480 56700.0
19742571110000 56700.0
19742571113240 56701.0
19742571116480 56702.0
19742571120120 56697.0
19742571123300 56688.0
19742571126540 56686.0
19742571130120 56672.0
19742571133360 56667.0
19742571136540 56658.0
19742571140180 56649.0
19742571143360 56639.0
19742571147000 56625.0
19742571150180 56601.0
19742571153420 56593.0
19742571157000 56593.0
19742571200240 56583.0
19742571203420 56572.0
19742571207060 56567.0
19742571210240 56559.0
19742571213480 56574.0
19742571217000 56574.0
19742571220180 56581.0
19742571223360 56587.0
19742571227000 56590.0
19742571230180 56597.0
19742571233420 56610.0
19742571237000 56622.0
19742571240240 56636.0
19742571455240 56421.0
19742571458420 56406.0
19742571502060 56394.0
19742571505240 56396.0
19742571508480 56396.0
19742571512060 56398.0
19742571515300 56398.0
19742571518480 56398.0
19742571522120 56398.0
19742571525300 56398.0
19742571528540 56401.0
19742571532120 56401.0
19742571535360 56398.0
19742571538480 56400.0
19742571542180 56406.0
19742571545300 56407.0
19742571548540 56408.0
19742571552120 56413.0
19742571555360 56413.0
19742571558540 56418.0
19742571602180 56423.0
19742571605360 56427.0
19742571609000 56432.0
19742571612180 56437.0
19742571615420 56445.0
19742571618480 56452.0
19742571622000 56461.0
19742571625240 56466.0
19742571628300 56474.0
19742571631480 56484.0
19742571635120 56492.0
19742571638300 56499.0
19742571641540 56509.0
19742571645120 56517.0
19742571648360 56523.0
19742571651480 56525.0
19742571655180 56528.0
19742571658300 56540.0
19742571701540 56574.0
19742571705120 56610.0
19742571708360 56652.0
19742571711540 56690.0
19742571715180 56737.0
19742571718300 56770.0
19742571721540 56794.0
19742571725120 56808.0
19742571728360 56815.0
19742571731540 56816.0
19742571735180 56817.0
19742571738300 56823.0
19742571741540 56828.0
19742571745120 56828.0
19742571748360 56828.0
19742571751540 56824.0
19742571755180 56814.0
19742571758300 56793.0
19742571801360 56774.0
19742571805000 56750.0
19742571808180 56725.0
19742571811420 56701.0
19742571814540 56679.0
19742571818180 56660.0
19742571821360 56645.0
19742571825000 56633.0
19742571828480 56615.0
19742571832060 56604.0
19742571835240 56591.0
19742571838420 56582.0
19742571842060 56573.0
19742571845240 56560.0
19742571848480 56551.0
19742571852000 56545.0
19742571855240 56541.0
19742571858420 56536.0
19742571902060 56536.0
19742571905180 56533.0
19742571908420 56532.0
19742571912000 56532.0
19742571915240 56533.0
19742571918420 56534.0
19742571922000 56535.0
19742571925060 56538.0
19742571928240 56540.0
19742571931480 56539.0
19742571935000 56540.0
19742571938240 56544.0
19742571941420 56545.0
19742571945060 56539.0
19742571948180 56542.0
19742571951420 56542.0
19742571955000 56539.0
19742571958240 56544.0
19742572001420 56541.0
19742572005000 56542.0
19742572008180 56541.0
19742572011420 56540.0
19742572015000 56543.0
19742572018180 56537.0
19742572021300 56539.0
19742572024540 56540.0
19742572028120 56541.0
19742572031300 56544.0
19742572034480 56544.0
19742572038120 56545.0
19742572041300 56546.0
19742572044480 56545.0
19742572048060 56544.0
19742572051300 56546.0
19742572054480 56548.0
19742572058060 56552.0
19742572101240 56554.0
19742572104480 56558.0
19742572108300 56562.0
19742572112180 56569.0
19742572115300 56575.0
19742572118540 56583.0
19742572122120 56588.0
19742572125360 56589.0
19742572128480 56595.0
19742572132120 56603.0
19742572135300 56599.0
19742572138540 56602.0
19742572142060 56605.0
19742572145300 56608.0
19742572148480 56609.0
19742572152120 56613.0
19742572155240 56614.0
19742572158480 56611.0
19742572202060 56616.0
19742572205300 56615.0
19742572208480 56618.0
19742572212060 56620.0
19742572215240 56622.0
19742572218480 56623.0
19742572222000 56625.0
19742572225240 56627.0
19742572228420 56631.0
19742572232060 56632.0
19742572235180 56633.0
19742572238420 56634.0
19742572242000 56638.0
19742572245240 56639.0
19742572248420 56644.0
19742572252000 56646.0
19742572255180 56646.0
19742572258420 56651.0
19742572302000 56653.0
19742572305180 56654.0
19742572308360 56655.0
19742572312000 56660.0
19742572315180 56662.0
19742572318420 56668.0
19742572321540 56664.0
19742572325180 56672.0
19742572328360 56670.0
19742572332000 56672.0
19742572335180 56671.0
19742572338420 56676.0
19742572341540 56675.0
19742572345180 56677.0
19742572348360 56679.0
19742572352000 56680.0
19742572355180 56680.0
19742572358420 56683.0
19742580002000 56683.0
19742580005180 56681.0
19742580008360 56680.0
19742580012000 56681.0
19742580015180 55840.0
19742580018420 56678.0
19742580021540 56677.0
19742580025180 56668.0
19742580028360 56664.0
19742580032000 56664.0
19742580035180 56658.0
19742580038420 56664.0
19742580042000 56662.0
19742580045240 56657.0
19742580048360 56655.0
19742580052000 56660.0
19742580055180 56662.0
19742580058420 56659.0
19742580102000 56658.0
19742580105240 56660.0
19742580108420 56659.0
19742580112060 56662.0
19742580115180 56662.0
19742580118420 56666.0
19742580122000 56669.0
19742580125240 56669.0
19742580128420 56671.0
19742580132060 56673.0
19742580135240 56676.0
19742580138480 56683.0
19742580142060 56683.0
