stcty,reg,div,stname,ctyname,time,popestimate,popest_nonhisp,popest_hisp,whiteac_tot,whiteac_nonhisp,whiteac_hisp,blackac_tot,blackac_nonhisp,blackac_hisp,aianac_tot,aianac_nonhisp,aianac_hisp,asiaac_tot,asiaac_nonhisp,asiaac_hisp,nhpiac_tot,nhpiac_nonhisp,nhpiac_hisp
50001,1,1,Vermont,Addison County,1,35974,35577,397,35362,35013,349,302,266,36,326,314,12,389,368,21,22,16,6
50003,1,1,Vermont,Bennington County,1,36994,36650,344,36503,36186,317,235,214,21,218,191,27,290,287,3,7,5,2
50005,1,1,Vermont,Caledonia County,1,29702,29501,201,29327,29139,188,137,127,10,396,389,7,146,145,1,11,10,1
50007,1,1,Vermont,Chittenden County,1,146571,145010,1561,141633,140187,1446,1888,1774,114,1146,1069,77,3471,3444,27,87,81,6
50009,1,1,Vermont,Essex County,1,6459,6427,32,6382,6355,27,18,13,5,145,145,0,29,29,0,1,1,0
50011,1,1,Vermont,Franklin County,1,45417,45147,270,44448,44191,257,222,212,10,1255,1248,7,174,171,3,17,15,2
50013,1,1,Vermont,Grand Isle County,1,6901,6872,29,6812,6785,27,15,14,1,128,128,0,22,20,2,7,7,0
50015,1,1,Vermont,Lamoille County,1,23233,23053,180,22940,22778,162,145,140,5,299,288,11,133,131,2,18,13,5
50017,1,1,Vermont,Orange County,1,28226,28061,165,27960,27812,148,101,96,5,224,216,8,154,149,5,16,16,0
50019,1,1,Vermont,Orleans County,1,26277,26087,190,25911,25738,173,137,125,12,438,432,6,100,97,3,7,7,0
50021,1,1,Vermont,Rutland County,1,63400,62958,442,62733,62339,394,319,288,31,400,381,19,320,314,6,27,26,1
50023,1,1,Vermont,Washington County,1,58039,57307,732,57211,56521,690,427,397,30,643,601,42,456,449,7,14,13,1
50025,1,1,Vermont,Windham County,1,44216,43723,493,43481,43021,460,376,332,44,399,370,29,486,471,15,45,28,17
50027,1,1,Vermont,Windsor County,1,57418,56950,468,56693,56260,433,296,276,20,396,373,23,473,464,9,29,25,4
50001,1,1,Vermont,Addison County,2,35971,35575,396,35359,35011,348,302,266,36,326,314,12,389,368,21,22,16,6
50003,1,1,Vermont,Bennington County,2,36994,36650,344,36503,36186,317,235,214,21,218,191,27,290,287,3,7,5,2
50005,1,1,Vermont,Caledonia County,2,29702,29501,201,29327,29139,188,137,127,10,396,389,7,146,145,1,11,10,1
50007,1,1,Vermont,Chittenden County,2,146571,145010,1561,141633,140187,1446,1888,1774,114,1146,1069,77,3471,3444,27,87,81,6
50009,1,1,Vermont,Essex County,2,6459,6427,32,6382,6355,27,18,13,5,145,145,0,29,29,0,1,1,0
50011,1,1,Vermont,Franklin County,2,45417,45147,270,44448,44191,257,222,212,10,1255,1248,7,174,171,3,17,15,2
50013,1,1,Vermont,Grand Isle County,2,6901,6872,29,6812,6785,27,15,14,1,128,128,0,22,20,2,7,7,0
50015,1,1,Vermont,Lamoille County,2,23233,23053,180,22940,22778,162,145,140,5,299,288,11,133,131,2,18,13,5
50017,1,1,Vermont,Orange County,2,28226,28061,165,27960,27812,148,101,96,5,224,216,8,154,149,5,16,16,0
50019,1,1,Vermont,Orleans County,2,26277,26087,190,25911,25738,173,137,125,12,438,432,6,100,97,3,7,7,0
50021,1,1,Vermont,Rutland County,2,63403,62960,443,62736,62341,395,319,288,31,400,381,19,320,314,6,27,26,1
50023,1,1,Vermont,Washington County,2,58039,57307,732,57211,56521,690,427,397,30,643,601,42,456,449,7,14,13,1
50025,1,1,Vermont,Windham County,2,44216,43723,493,43481,43021,460,376,332,44,399,370,29,486,471,15,45,28,17
50027,1,1,Vermont,Windsor County,2,57418,56950,468,56693,56260,433,296,276,20,396,373,23,473,464,9,29,25,4
50001,1,1,Vermont,Addison County,3,36049,35640,409,35427,35070,357,302,264,38,317,305,12,389,366,23,28,19,9
50003,1,1,Vermont,Bennington County,3,36996,36653,343,36507,36193,314,219,199,20,198,176,22,287,283,4,1,1,0
50005,1,1,Vermont,Caledonia County,3,29757,29552,205,29384,29194,190,124,113,11,392,384,8,134,131,3,5,3,2
50007,1,1,Vermont,Chittenden County,3,146972,145386,1586,141925,140462,1463,2021,1910,111,1246,1170,76,3595,3574,21,130,126,4
50009,1,1,Vermont,Essex County,3,6458,6426,32,6385,6358,27,16,11,5,124,124,0,25,25,0,0,0,0
50011,1,1,Vermont,Franklin County,3,45595,45326,269,44637,44377,260,194,187,7,1255,1247,8,166,165,1,11,9,2
50013,1,1,Vermont,Grand Isle County,3,6935,6906,29,6848,6821,27,11,10,1,111,111,0,18,16,2,5,5,0
50015,1,1,Vermont,Lamoille County,3,23355,23174,181,23061,22896,165,133,128,5,295,284,11,115,113,2,12,7,5
50017,1,1,Vermont,Orange County,3,28308,28138,170,28047,27893,154,91,83,8,211,202,9,143,139,4,9,8,1
50019,1,1,Vermont,Orleans County,3,26340,26148,192,25976,25802,174,124,110,14,434,428,6,91,88,3,1,1,0
50021,1,1,Vermont,Rutland County,3,63414,62968,446,62746,62346,400,307,271,36,392,373,19,313,307,6,15,13,2
50023,1,1,Vermont,Washington County,3,58078,57333,745,57274,56564,710,431,402,29,656,607,49,457,452,5,2,1,1
50025,1,1,Vermont,Windham County,3,44194,43703,491,43468,43012,456,368,331,37,393,371,22,487,470,17,69,51,18
50027,1,1,Vermont,Windsor County,3,57501,57027,474,56788,56350,438,280,262,18,386,365,21,464,452,12,16,13,3
50001,1,1,Vermont,Addison County,4,36259,35852,407,35600,35239,361,323,286,37,323,309,14,416,396,20,25,19,6
50003,1,1,Vermont,Bennington County,4,37003,36629,374,36468,36112,356,264,242,22,196,181,15,308,306,2,0,0,0
