23  1001
Margitan, J. J., Sen, B.
Jet Propulsion Laboratory (JPL)
Ozone  (Balloon UV in situ Photometer)
BOS
1 1
2003 09 16    2003 10 13
0
Elapsed time in UT seconds from 0 hours on the given flight date
2
1.0 1.0
 9999.99 99.999
Pressure (mb)
Ozone Mixing Ratio (ppm)
  1

  6
****** Preliminary Data ******
Data from the Dual Beam, in situ UV Photometer flown aboard the OMS 
in situ gondola from Ft. Sumner NM  34.5N, 255.8E.
Pressure and Ozone retrieved from on-board data.
Estimated ozone accuracy is 5%.
 UTsec   P(mb)  O3(ppm)
 56660  860.16   0.024
 56661  859.56   0.025
 56662  858.96   0.026
 56663  858.36   0.025
 56664  857.76   0.024
 56665  857.16   0.025
 56666  856.56   0.026
 56667  855.96   0.026
 56668  855.34   0.027
 56669  854.80   0.026
 56670  854.26   0.027
 56671  853.70   0.027
 56672  853.15   0.027
 56673  852.60   0.027
 56674  852.05   0.028
 56675  851.51   0.029
 56676  850.95   0.029
 56677  850.40   0.030
 56678  849.84   0.030
 56679  849.34   0.031
 56680  848.82   0.031
 56681  848.30   0.032
 56682  847.78   0.033
 56683  847.27   0.035
 56684  846.75   0.037
 56685  846.23   0.037
 56686  845.71   0.039
 56687  845.19   0.039
 56688  844.66   0.041
 56689  844.12   0.043
 56690  843.57   0.042
 56691  843.02   0.041
 56692  842.47   0.043
 56693  841.92   0.043
 56694  841.37   0.042
 56695  840.82   0.042
 56696  840.27   0.043
 56697  839.72   0.043
 56698  839.16   0.043
 56699  838.64   0.045
 56700  838.12   0.043
 56701  837.60   0.045
 56702  837.08   0.044
 56703  836.56   0.045
 56704  836.03   0.045
 56705  835.51   0.045
 56706  834.99   0.045
 56707  834.47   0.045
 56708  833.95   0.045
 56709  833.36   0.043
 56710  832.78   0.044
 56711  832.20   0.043
 56712  831.62   0.042
 56713  831.04   0.043
 56714  830.46   0.043
 56715  829.88   0.044
 56716  829.30   0.044
 56717  828.72   0.045
 56718  828.14   0.045
 56719  827.64   0.047
 56720  827.14   0.047
 56721  826.64   0.048
 56722  826.14   0.049
 56723  825.64   0.050
 56724  825.14   0.045
 56725  824.64   0.049
 56726  824.15   0.048
 56727  823.65   0.048
 56728  823.15   0.047
 56729  822.57   0.048
