Georgetown.TX, United.States  ID: 773   Lat:  30.67  Lon:  -97.67  Alt:  239
Meteor-3 TOMS V.8 Overpass - Generated: 050328                                  
  MJD   Year Day sec-UT SCN  LAT     LON  DIS  PT  SZA  OZONE   REF   A.I.   SOI
#
48490.7 1991 234 64685   3  30.57  -97.32  35  99 20.40 311.2  26.2   0.06    0
48491.7 1991 235 63620   5  30.79  -97.85  22  97 23.00 301.4  33.7   0.02  -14
48492.7 1991 236 62555   7  30.77  -97.59  13  98 25.51 303.4  22.4  -0.76   -7
48493.7 1991 237 61490  10  30.77  -97.74  13  98 28.61 310.3  27.4  -0.62   -6
48494.7 1991 238 60425  13  30.64  -97.37  29  99 31.53 305.9  17.4  -1.16   -7
48495.7 1991 239 59360  17  30.52  -97.41  30  98 34.92 311.4  16.1  -1.27   -8
48496.7 1991 240 58304  21  30.77  -97.34  33  99 38.50 306.7  16.5  -0.32   -9
48497.7 1991 241 57239  25  30.54  -97.54  19  98 42.22 295.4  12.9   0.16   -6
48498.7 1991 242 56182  28  30.67  -97.44  22  98 45.88 295.9  85.7   0.01    0
48499.6 1991 243 55125  31  30.76  -98.16  48  97 50.25 300.2  20.2   0.30    1
48500.7 1991 244 60692   3  30.45  -97.55  27  98 31.98 319.4  31.2  -0.09    4
48501.7 1991 245 59628   5  30.67  -98.07  38  97 35.77 316.8  34.1  -0.37   -5
48554.9 1991 298 78005  28  30.61  -97.24  42  99 65.59 275.2  14.3   1.51 -999
48555.9 1991 299 76940  24  30.78  -97.88  24  97 62.34 290.0  36.6   0.68   -5
48556.9 1991 300 75883  20  30.52  -97.91  28  97 59.44 282.3  33.4   0.74   -8
48557.9 1991 301 74819  16  30.65  -97.82  15  97 57.03 274.1  52.4   0.73  -20
48558.9 1991 302 73754  12  30.69  -97.90  22  97 54.67 263.9  98.0   0.31   -6
48559.8 1991 303 72689   9  30.69  -97.63   4  98 52.69 298.4  79.0  -0.64   -1
48560.8 1991 304 71625   6  30.50  -97.96  34  97 50.52 287.4  68.5   0.21   -9
48561.8 1991 305 70552   4  30.73  -98.06  38  97 49.13 281.3  10.0  -0.77   -4
48562.9 1991 306 76127  32  30.59  -98.06  38  97 61.58 278.9  12.7   0.60 -999
