Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	204
Date	2004JUL22
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	14.49984	[UTC]
Stop_time	14.78262	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.54189	[p_s^-1]
ForeOptic_temperature	27.94	[ns]
Front_temperature	27.94	[ns]
Back_temperature	23.06	[ns]
Inside_temperature	22.61	[ns]
Shelter_temperature	17.47	[ns]
PSUnit_temperature	21.26	[ns]
AirCond_temperature	19.66	[ns]
Outside_temperature	24.55	[ns]
Comments	none
Formatted_file	2004204f05.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
290.021	0.00071	0.1477	0.0000
290.121	0.00071	0.1477	-0.0000
290.221	0.00071	0.1477	-0.0000
290.321	-0.00084	0.1358	-0.0000
290.421	0.00071	0.1477	-0.0000
290.521	0.00071	0.1477	-0.0000
290.621	-0.00084	0.1358	-0.0000
290.721	-0.00084	0.1358	-0.0000
290.821	0.00071	0.1477	-0.0000
290.921	-0.00084	0.1358	-0.0000
291.021	0.00071	0.1477	-0.0000
291.121	0.00071	0.1477	0.0000
291.221	-0.00084	0.1358	0.0000
291.321	0.00071	0.1477	0.0000
291.421	0.00071	0.1477	0.0000
291.521	-0.00083	0.1358	0.0000
291.621	0.00070	0.1477	0.0000
291.721	-0.00083	0.1358	0.0000
291.821	0.00070	0.1477	0.0000
291.921	-0.00083	0.1358	0.0000
292.021	0.00070	0.1477	0.0000
292.121	0.00070	0.1477	-0.0000
292.221	-0.00083	0.1358	-0.0000
292.321	-0.00083	0.1358	-0.0000
292.421	-0.00083	0.1358	-0.0000
292.521	-0.00083	0.1358	-0.0000
292.621	0.00070	0.1477	-0.0000
292.721	-0.00083	0.1358	-0.0000
292.821	0.00070	0.1477	-0.0000
292.921	-0.00083	0.1358	-0.0000
293.021	0.00070	0.1477	-0.0000
293.121	0.00070	0.1477	0.0000
293.221	0.00070	0.1477	0.0000
293.321	0.00070	0.1477	0.0000
293.421	0.00070	0.1477	0.0000
293.521	0.00070	0.1477	0.0000
293.621	0.00070	0.1477	0.0000
293.721	-0.00082	0.1358	0.0000
293.821	0.00221	0.0828	0.0000
293.921	0.00070	0.1477	0.0000
294.021	0.00221	0.0828	0.0000
294.121	0.00069	0.1477	-0.0000
294.221	-0.00082	0.1358	-0.0000
294.322	0.00221	0.0828	-0.0000
294.422	0.00069	0.1477	-0.0000
294.522	0.00069	0.1477	-0.0000
294.622	0.00069	0.1477	-0.0000
294.721	0.00069	0.1477	-0.0000
294.822	0.00069	0.1477	-0.0000
294.922	0.00069	0.1477	-0.0000
295.022	0.00220	0.0828	-0.0000
295.122	0.00069	0.1477	0.0000
295.222	0.00371	0.0638	0.0000
295.322	0.00220	0.0828	0.0000
295.422	0.00370	0.0638	0.0000
295.522	0.00521	0.0538	0.0000
295.622	0.00520	0.0538	0.0000
295.722	0.00370	0.0638	0.0000
295.822	0.00820	0.0428	0.0000
295.922	0.00670	0.0474	0.0000
296.022	0.00669	0.0474	0.0000
296.122	0.00819	0.0428	-0.0000
296.222	0.00969	0.0394	-0.0000
