NASA Ames Airborne Tracking 6-Channel Sunphotometer, AATS-6
ACE-Asia  4/22/2001
Date processed: 09-Nov-2002 by Jens Redemann, Version 4.0
This file contains aerosol optical depth, extinction, averaged vertically over  20.000  m, smoothed by aero_smooth =    0.990 
intervals; time period:  23.810 to 24.250 UT
NO2 [molec/cm2]: 2e+015
O3 [DU]: 333
Relative Std Dev Filter Aerosol[%]: 0.5
Relative Std Dev Filter H2O [%]: 5.0
Max m_aero: Inf
Max tau_aero: 3.0
Max tau_aero error: Inf
Min Alpha Angstrom: -0.03
H2O smoothing parameter: 0.99
aerosol wavelengths [10^-6 m]  0.380  0.451  0.526  1.021 
UT[h]     Lat[deg] Long[deg] RAF_ref_Altitude[km] p[hPa]  CWV[cm] Err[cm] D[g/m3] Err[g/m3] D_is[g/m3]
24.24931  33.40446 139.09227   0.077 1008.60  1.1178  0.1789  7.3737  0.4019   7.9072
24.24722  33.41181 139.09450   0.093 1006.42  1.1035  0.1783  7.3736  0.4019   7.8393
24.24514  33.41911 139.09673   0.118 1003.78  1.0931  0.1778  7.3732  0.4019   7.8385
24.24306  33.42635 139.09900   0.135 1001.69  1.0707  0.1768  7.3720  0.4019   7.7100
24.24097  33.43360 139.10130   0.150  999.69  1.0615  0.1764  7.3697  0.4019   7.6655
24.23889  33.44079 139.10368   0.176  996.87  1.0289  0.1749  7.3645  0.4019   7.6464
24.23681  33.44792 139.10611   0.194  994.52  1.0025  0.1737  7.3624  0.4019   7.6500
24.23472  33.45497 139.10864   0.216  992.00  1.0083  0.1739  7.3716  0.4019   7.6706
24.23264  33.46194 139.11126   0.234  989.30  1.0173  0.1743  7.3955  0.4019   7.6051
24.23097  33.46740 139.11350   0.256  987.03  0.9780  0.1725  7.4405  0.4019   7.5609
24.22972  33.47142 139.11533   0.275  985.41  0.9790  0.1726  7.4899  0.4019   7.4668
24.22847  33.47535 139.11722   0.289  983.48  0.9876  0.1729  7.5356  0.4019   7.5727
24.22472  33.48588 139.12515   0.339  977.08  0.9005  0.1689  7.7053  0.4019   7.4458
24.22181  33.49023 139.13520   0.358  974.98  0.8768  0.1678  7.7754  0.4019   7.5066
24.21722  33.49058 139.15284   0.373  973.19  0.8861  0.1682  7.8381  0.4019   7.5158
24.21431  33.48703 139.16377   0.397  970.78  0.8836  0.1680  7.9668  0.4019   7.4216
24.21306  33.48464 139.16803   0.413  968.83  0.8772  0.1677  8.0716  0.4019   7.3555
24.21222  33.48285 139.17072   0.425  967.48  0.8750  0.1676  8.1537  0.4019   7.3417
24.21014  33.47823 139.17737   0.451  964.60  0.8466  0.1663  8.3519  0.4019   7.3821
24.20806  33.47356 139.18411   0.471  962.23  0.8396  0.1659  8.5119  0.4019   7.3688
24.20431  33.46498 139.19648   0.511  957.64  0.7998  0.1640  8.8197  0.4019   7.4236
24.20264  33.46110 139.20206   0.530  955.60  0.7951  0.1637  8.9545  0.4019   7.3532
24.20056  33.45617 139.20905   0.546  953.48  0.7550  0.1617  9.0531  0.4019   7.1368
24.19764  33.44926 139.21877   0.577  949.76  0.7235  0.1601  9.1892  0.4019   7.1251
24.19597  33.44529 139.22424   0.592  948.05  0.7109  0.1595  9.2299  0.4019   7.2025
24.19347  33.43924 139.23227   0.613  945.68  0.6785  0.1578  9.2580  0.4019   6.9894
24.19139  33.43401 139.23874   0.631  943.27  0.6570  0.1566  9.2560  0.4019   6.9740
24.19056  33.43181 139.24117   0.651  941.07  0.6399  0.1557  9.2294  0.4019   6.9536
24.18972  33.42956 139.24341   0.674  938.90  0.6251  0.1549  9.1752  0.3449   7.0090
24.18889  33.42722 139.24545   0.696  936.62  0.6095  0.1541  9.1063  0.3591   6.8494
24.18197  33.40762 139.24292   0.719  933.66  0.6007  0.1535  9.0111  0.3591   6.8779
24.17831  33.39607 139.23826   0.732  932.40  0.6005  0.1535  8.9518  0.3591   6.8762
24.16931  33.39190 139.20509   0.750  930.46  0.5536  0.1508  8.8502  0.7149   6.8117
24.16722  33.39574 139.19739   0.774  927.87  0.5207  0.1489  8.6880  0.7149   6.8177
24.16514  33.39964 139.18972   0.797  925.30  0.5210  0.1489  8.5049  0.7333   6.7286
24.16347  33.40276 139.18359   0.815  923.34  0.5252  0.1491  8.3515  0.7693   6.7478
24.16181  33.40587 139.17745   0.832  921.29  0.4973  0.1474  8.1868  0.7367   6.7294
24.16014  33.40898 139.17132   0.851  919.39  0.4661  0.1456  7.9937  0.6497   6.8009
24.15806  33.41286 139.16365   0.874  916.95  0.4541  0.1448  7.7342  0.6467   6.7545
24.15597  33.41675 139.15598   0.895  914.21  0.4437  0.1441  7.4645  0.6579   6.7832
24.15431  33.41986 139.14985   0.913  912.22  0.4319  0.1434  7.2329  0.6334   6.5212
24.15264  33.42296 139.14371   0.931  910.34  0.4247  0.1429  6.9877  0.6198   6.4882
24.15056  33.42684 139.13604   0.953  907.93  0.3959  0.1411  6.6657  0.5858   6.5343
24.14806  33.43151 139.12683   0.974  905.37  0.3759  0.1397  6.3329  0.6888   5.5998
24.14639  33.43464 139.12067   0.993  903.11  0.3631  0.1389  6.0286  0.5082   5.6067
24.14514  33.43697 139.11605   1.014  901.04  0.3474  0.1378  5.6686  0.3156   5.8136
24.14347  33.44005 139.10995   1.038  898.69  0.3395  0.1372  5.2654  0.3670   5.5766
24.14139  33.44393 139.10231   1.049  897.13  0.3323  0.1367  5.0799  0.3670   5.4263
24.13931  33.44782 139.09461   1.073  894.73  0.3119  0.1353  4.6998  0.4369   5.4615
24.13764  33.45093 139.08848   1.095  892.40  0.3295  0.1365  4.3571  0.3862   5.9322
