
 Processing inputs for a 4 channel scanner,
 using 2 visual and 2 IR nadir pixel bands
 The first line of the config.asc file is:
 "4 MASTER Configuration for 07-927  05 Aug 2007  TC4 Deployment"

 Ch Sb Nb Vi Slp/Emis Intcpt   Left   Peak  Right   Fctr    Ssi
 05 05 16  0 0.068890 0.0000  0.633  0.656  0.692  0.1000 1546.61
 17 17 16  0 0.003870 0.0000  1.855  1.876  1.900  0.0100  140.11
 30 30 16  1 0.956340 0.0000  3.659  3.740  3.804  0.0060   11.90
 48 48 16  1 0.966670 0.0000 11.027 11.304 11.724  0.0100    0.15

 Record ScanLine -2007217-  INU_Lat    INU_Lon    Roll   Rad_05  Rad_17  Tmp_30  Tmp_48
 000001 00013688 13.360608  +9.17118  -82.11182  -0.616  27.900 0.27477  300.29  281.49
 000002 00013708 13.361497  +9.16895  -82.10701  -0.583  34.169 0.24768  302.73  278.61
 000003 00013728 13.362389  +9.16586  -82.10101  -0.434  34.445 0.25929  303.05  278.80
 000004 00013748 13.363277  +9.16363  -82.09620  -0.555  27.143 0.24768  301.73  281.73
 000005 00013768 13.364169  +9.16122  -82.09139  -0.407  26.523 0.27864  301.34  281.62
 000006 00013788 13.365058  +9.15899  -82.08659  -0.506  19.358 0.26703  299.21  284.54
 000007 00013808 13.365947  +9.15659  -82.08195  -0.616  20.736 0.27477  299.97  283.03
 000008 00013828 13.366838  +9.15350  -82.07560  -0.434  26.660 0.30573  300.92  280.94
 000009 00013848 13.367728  +9.15110  -82.07079  -0.555  24.800 0.29799  299.42  281.33
 000010 00013868 13.368620  +9.14869  -82.06581  -0.412  27.625 0.34056  299.85  280.00
 000011 00013888 13.369509  +9.14646  -82.06100  -0.599  27.280 0.30960  301.02  281.05
 000012 00013908 13.370400  +9.14406  -82.05620  -0.588  23.905 0.33669  300.86  282.75
 000013 00013928 13.371289  +9.14097  -82.04985  -0.407  22.596 0.28638  299.64  282.66
 000014 00013948 13.372178  +9.13874  -82.04539  -0.396  23.560 0.32895  299.22  282.10
 000015 00013968 13.373070  +9.13633  -82.04058  -0.704  31.758 0.38700  300.80  278.71
 000016 00013988 13.373959  +9.13410  -82.03577  -0.489  31.965 0.37152  299.84  278.75
 000017 00014008 13.374850  +9.13101  -82.02942  -0.495  26.385 0.37152  299.34  281.98
 000018 00014028 13.375739  +9.12861  -82.02461  -0.533  27.418 0.38313  299.69  281.92
 000019 00014048 13.376631  +9.12621  -82.01981  -0.572  29.760 0.41796  302.18  281.15
 000020 00014068 13.377520  +9.12380  -82.01483  -0.588  23.423 0.37926  298.42  283.99
 000021 00014088 13.378408  +9.12140  -82.01003  -0.319  25.696 0.40248  296.41  284.88
 000022 00014108 13.379300  +9.11900  -82.00504  -0.500  16.396 0.34830  297.39  288.14
 000023 00014128 13.380189  +9.11591  -81.99870  -0.357  24.732 0.38700  294.86  287.17
 000024 00014148 13.381081  +9.11367  -81.99406  -0.544  32.654 0.37539  291.51  283.96
 000025 00014168 13.381969  +9.11127  -81.98925  -0.390  55.043 0.38700  298.31  281.89
 000026 00014188 13.382861  +9.10887  -81.98428  -0.434  47.052 0.34443  300.01  282.00
 000027 00014208 13.383750  +9.10578  -81.97792  -0.544  26.936 0.36765  299.19  286.13
 000028 00014228 13.384639  +9.10337  -81.97295  -0.544  24.043 0.44118  299.25  287.14
 000029 00014248 13.385530  +9.10097  -81.96814  -0.429  23.905 0.37539  299.90  287.44
 000030 00014268 13.386419  +9.09857  -81.96316  -0.522  13.778 0.30573  296.69  289.11
 000031 00014288 13.387311  +9.09616  -81.95818  -0.665  12.056 0.28638  296.51  289.89
 000032 00014308 13.388200  +9.09290  -81.95166  -0.605  11.574 0.35991  297.52  289.63
 000033 00014328 13.389089  +9.09050  -81.94668  -0.330  12.400 0.25155  296.62  289.69
 000034 00014348 13.389980  +9.08827  -81.94221  -0.335  10.816 0.23220  297.08  291.20
 000035 00014368 13.390869  +9.08587  -81.93724  -0.269  9.7135 0.24768  296.97  290.72
 000036 00014388 13.391761  +9.08346  -81.93243  -0.583  9.7824 0.26316  297.18  290.69
 000037 00014408 13.392650  +9.08037  -81.92574  -0.412  10.127 0.28251  296.96  290.55
 000038 00014428 13.393541  +9.07780  -81.92076  -0.484  10.471 0.31347  297.81  290.08
 000039 00014448 13.394430  +9.07539  -81.91578  -0.533  15.845 0.29799  299.88  286.16
 000040 00014468 13.395319  +9.07299  -81.91097  -0.445  10.609 0.25542  297.81  290.07
 000041 00014488 13.396211  +9.07059  -81.90600  -0.484  9.2313 0.25929  296.79  290.83
 000042 00014508 13.397100  +9.06750  -81.89948  -0.578  9.3001 0.23220  297.29  290.85
 000043 00014528 13.397992  +9.06492  -81.89449  -0.396  9.3690 0.25542  297.00  290.72
 000044 00014548 13.398881  +9.06252  -81.88952  -0.473  9.4379 0.25929  297.47  290.70
 000045 00014568 13.399770  +9.06029  -81.88488  -0.380  9.5068 0.15867  297.75  290.81
 000046 00014588 13.400661  +9.05788  -81.87991  -0.434  9.6446 0.22446  297.31  290.94
 000047 00014608 13.401550  +9.05462  -81.87338  -0.528  10.058 0.18963  297.00  290.73
 000048 00014628 13.402442  +9.05222  -81.86823  -0.478  11.091 0.19350  296.80  290.45
 000049 00014648 13.403331  +9.04964  -81.86343  -0.478  12.814 0.26703  297.67  289.64
 000050 00014668 13.404220  +9.04724  -81.85844  -0.484  13.709 0.24381  297.75  289.67
 000051 00014688 13.405111  +9.04484  -81.85347  -0.484  14.054 0.24381  297.87  289.55
 000052 00014708 13.406000  +9.04158  -81.84695  -0.594  13.365 0.24381  296.18  290.36
 000053 00014728 13.406892  +9.03917  -81.84196  +4.252  14.742 0.26703  297.90  289.10
 000054 00014748 13.407781  +9.03677  -81.83699 +11.269  16.051 0.34830  297.18  287.50
 000055 00014768 13.408669  +9.03437  -81.83235 +18.419  17.154 0.32895  298.05  286.87
 000056 00014788 13.409561  +9.03162  -81.82755 +19.899  19.083 0.33282  298.92  284.93
 000057 00014808 13.410450  +9.02750  -81.82137 +15.840  14.191 0.33669  297.63  289.52
 000058 00014828 13.411342  +9.02424  -81.81690 +12.479  13.227 0.24768  296.62  289.89
 000059 00014848 13.412230  +9.02081  -81.81261  +9.795  13.778 0.24381  297.03  290.36
 000060 00014868 13.413122  +9.01737  -81.80849  +7.672  12.814 0.24768  296.77  290.34
 000061 00014888 13.414011  +9.01239  -81.80300  +5.984  10.678 0.23220  296.43  290.50
 000062 00014908 13.414900  +9.00862  -81.79888  +4.664  11.229 0.26316  296.54  289.90
 000063 00014928 13.415792  +9.00484  -81.79493  +3.701  10.885 0.22446  296.39  290.07
 000064 00014948 13.416680  +9.00106  -81.79115  +2.909  11.367 0.25155  296.56  289.70
 000065 00014968 13.417572  +8.99712  -81.78721  +2.458  12.745 0.31347  295.99  288.57
 000066 00014988 13.418461  +8.99334  -81.78343  +1.859  13.020 0.31347  296.79  288.85
 000067 00015008 13.419350  +8.98802  -81.77828  +1.337  16.740 0.41022  296.90  288.24
 000068 00015028 13.420241  +8.98424  -81.77467  +0.907  16.465 0.40248  297.42  288.55
 000069 00015048 13.421130  +8.98046  -81.77107  +0.533  16.465 0.38313  296.96  287.66
 000070 00015068 13.422022  +8.97652  -81.76730  +0.308  19.151 0.47988  297.65  286.71
 000071 00015088 13.422911  +8.97120  -81.76231  +0.132  17.980 0.49149  297.15  287.14
 000072 00015108 13.423800  +8.96725  -81.75871  -0.148  19.496 0.58050  297.47  285.39
 000073 00015128 13.424691  +8.96313  -81.75494  -0.385  17.085 0.43731  296.40  287.33
 000074 00015148 13.425581  +8.95918  -81.75116  -0.308  16.740 0.51084  296.33  287.44
 000075 00015168 13.426470  +8.95523  -81.74738  -0.473  17.360 0.49149  296.25  286.44
 000076 00015188 13.427361  +8.94991  -81.74258  -0.616  17.016 0.47214  296.43  286.95
 000077 00015208 13.428250  +8.94579  -81.73880  -0.693  18.394 0.47601  296.65  286.58
 000078 00015228 13.429142  +8.94184  -81.73502  -0.665  21.149 0.45279  296.91  285.85
 000079 00015248 13.430031  +8.93772  -81.73125  -0.682  18.049 0.55341  296.50  286.77
 000080 00015268 13.430920  +8.93377  -81.72764  -0.896  19.634 0.53019  296.83  286.68
 000081 00015288 13.431811  +8.92845  -81.72266  -0.731  18.187 0.53406  296.66  286.79
 000082 00015308 13.432700  +8.92467  -81.71923  -0.847  18.187 0.49149  296.35  287.52
 000083 00015328 13.433592  +8.92090  -81.71545  -0.863  17.843 0.48375  296.57  287.38
 000084 00015348 13.434481  +8.91695  -81.71185  -0.820  18.256 0.50697  297.34  287.14
 000085 00015368 13.435369  +8.91300  -81.70807  -0.753  18.118 0.50310  297.14  287.50
 000086 00015388 13.436261  +8.90785  -81.70326  -0.863  18.118 0.53793  297.10  287.62
 000087 00015408 13.437150  +8.90390  -81.69966  -0.852  20.323 0.55728  297.42  286.94
 000088 00015428 13.438042  +8.90013  -81.69588  -0.693  20.185 0.58824  296.61  286.66
 000089 00015448 13.438931  +8.89601  -81.69211  -0.753  19.083 0.51858  297.09  287.10
 000090 00015468 13.439819  +8.89223  -81.68850  -0.792  20.391 0.45279  297.16  287.58
 000091 00015488 13.440711  +8.88708  -81.68353  -0.770  19.427 0.46440  297.50  287.97
 000092 00015508 13.441600  +8.88330  -81.67992  -0.599  17.843 0.47214  297.37  288.41
 000093 00015528 13.442489  +8.87953  -81.67648  -0.726  16.947 0.48762  296.94  288.65
 000094 00015548 13.443380  +8.87575  -81.67271  +5.066  16.740 0.45279  296.04  288.48
 000095 00015568 13.444269  +8.87180  -81.66911 +12.919  16.396 0.46440  297.13  288.65
 000096 00015588 13.445161  +8.86648  -81.66430 +19.272  15.362 0.42957  296.56  288.53
 000097 00015608 13.446050  +8.86236  -81.66103 +20.823  15.156 0.42957  296.18  288.35
 000098 00015628 13.446939  +8.85790  -81.65794 +20.493  17.980 0.50310  297.20  288.72
 000099 00015648 13.447830  +8.85344  -81.65503 +17.034  21.976 0.53019  298.87  288.38
 000100 00015668 13.448719  +8.84880  -81.65245 +13.244  23.836 0.51084  300.10  285.66
 000101 00015688 13.449611  +8.84228  -81.64919 +10.389  31.414 0.55341  302.74  282.05
 000102 00015708 13.450500  +8.83730  -81.64696  +8.277  41.541 0.58824  303.24  278.60
 000103 00015728 13.451389  +8.83249  -81.64490  +6.605  41.196 0.58437  301.34  277.44
 000104 00015748 13.452281  +8.82751  -81.64301  +5.379  35.892 0.58050  300.76  279.54
 000105 00015768 13.453170  +8.82236  -81.64112  +4.235  33.481 0.50697  300.41  280.49
 000106 00015788 13.454059  +8.81567  -81.63855  +3.553  30.174 0.50310  301.00  282.39
 000107 00015808 13.454950  +8.81069  -81.63683  +2.700  25.834 0.53406  300.22  284.86
 000108 00015828 13.455839  +8.80554  -81.63512  +2.189  29.072 0.51084  300.68  283.36
 000109 00015848 13.456731  +8.80039  -81.63340  +1.589  34.721 0.53406  301.87  281.11
 000110 00015868 13.457620  +8.79524  -81.63185  +1.083  27.694 0.56889  300.64  284.44
 000111 00015888 13.458508  +8.78838  -81.62962  +0.797  29.278 0.53406  300.88  283.36
 000112 00015908 13.459400  +8.78323  -81.62807  +0.572  24.111 0.50697  298.55  286.09
 000113 00015928 13.460289  +8.77825  -81.62653  +0.220  20.116 0.56889  297.20  287.88
 000114 00015948 13.461181  +8.77310  -81.62498  +0.022  20.736 0.51471  297.34  287.62
 000115 00015968 13.462070  +8.76606  -81.62292  -0.275  17.911 0.51084  296.85  288.58
 000116 00015988 13.462958  +8.76091  -81.62138  -0.286  17.774 0.43731  295.78  289.02
 000117 00016008 13.463850  +8.75542  -81.61967  -0.522  19.703 0.51084  296.62  288.66
 000118 00016028 13.464739  +8.75027  -81.61812  -0.495  36.443 0.49923  301.45  286.59
 000119 00016048 13.465628  +8.74495  -81.61658  -0.621  47.534 0.49149  302.18  285.71
 000120 00016068 13.466519  +8.73980  -81.61503  -0.704  45.054 0.48762  300.78  285.66
