-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    NCEP_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
MANU        49718.000    1995     1     1     0
MANU        52274.750    2001    12    31    18
MANU      3179009.383 -5518662.137  -344401.868
MANU           -3.116      -60.056       40.206
MANU     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.347404    -0.214836     0.946864
49718.25     0.201724    -0.230556     0.588253
49718.50     0.622724     0.148904    -0.288105
49718.75     0.520865    -0.072842     2.281268
49719.00     0.681269     0.053674     1.551571
49719.25     0.556411     0.041833     0.317435
49719.50     0.570792     0.417209    -0.237501
49719.75     0.255813     0.078822     1.222234
49720.00     0.291728     0.022044     1.124435
49720.25    -0.020648    -0.082795     0.074950
49720.50     0.016896     0.303243    -0.827649
49720.75    -0.042236    -0.008790     0.293642
49721.00     0.105864    -0.079315     0.513887
49721.25     0.000516    -0.220282    -0.286835
49721.50     0.541962     0.084433    -1.321180
49721.75     0.749906    -0.310477    -0.245994
49722.00     1.148930    -0.419715    -0.855918
49722.25     1.139168    -0.669081    -2.170282
49722.50     1.719536    -0.488229    -3.170119
49722.75     1.769454    -0.805449    -1.475273
49723.00     2.025866    -0.880355    -1.639068
49723.25     1.816359    -0.993300    -2.687990
49723.50     1.840043    -0.668924    -3.744400
49723.75     1.484206    -1.054167    -2.128587
49724.00     1.312773    -1.226435    -1.606486
49724.25     0.814682    -1.372379    -2.080133
49724.50     0.654615    -1.123084    -2.438960
49724.75     0.466895    -1.359575    -0.554550
49725.00     0.214177    -1.347218    -0.135427
49725.25    -0.409472    -1.242784    -0.824418
49725.50    -0.272028    -0.767419    -1.149769
49725.75    -0.447765    -0.847301     0.661559
49726.00    -0.138680    -0.719930     0.617355
49726.25    -0.478195    -0.553179    -0.062307
49726.50    -0.277212    -0.188467    -0.764898
49726.75    -0.465967    -0.334571     0.840159
49727.00    -0.145330    -0.344415     1.293036
49727.25    -0.401477    -0.289803    -0.069871
49727.50    -0.088907     0.016160    -0.723755
49727.75    -0.110110    -0.232434     0.520353
49728.00     0.279451    -0.272671     0.902255
49728.25     0.099324    -0.399316    -0.140109
49728.50     0.450394    -0.009358    -0.948111
49728.75     0.386718    -0.282641     0.278963
49729.00     0.437506    -0.293976     0.741241
49729.25    -0.107279    -0.416253     0.095551
49729.50    -0.054872    -0.003248    -1.128163
49729.75    -0.387911    -0.303849     0.217505
49730.00    -0.576836    -0.358845     0.280089
49730.25    -1.156900    -0.415890    -0.449447
49730.50    -1.112464    -0.080434    -1.532403
49730.75    -1.369269    -0.437673     0.088257
49731.00    -1.495990    -0.485322     0.106010
49731.25    -1.809274    -0.623222    -0.997011
49731.50    -1.780862    -0.333760    -1.890226
49731.75    -2.031025    -0.651972    -0.639593
49732.00    -1.853505    -0.841534    -1.069015
49732.25    -2.169630    -0.973532    -1.888308
49732.50    -1.929128    -0.773624    -2.495829
49732.75    -1.858318    -1.061849    -0.903461
49733.00    -1.792418    -1.150260    -0.709550
49733.25    -2.202306    -1.185015    -1.448444
49733.50    -2.009106    -0.827146    -2.043341
49733.75    -2.029558    -1.033944    -0.394400
49734.00    -2.036886    -1.080794    -0.151945
49734.25    -2.136027    -1.130078    -1.403418
49734.50    -1.837116    -0.785851    -2.151589
49734.75    -1.809376    -1.022492    -0.772109
49735.00    -1.685761    -1.067127    -0.386080
49735.25    -1.801536    -1.040829    -1.341599
49735.50    -1.740119    -0.691267    -1.916281
49735.75    -1.838408    -0.738434    -0.187734
49736.00    -1.768137    -0.811276    -0.001395
49736.25    -1.936281    -0.754685    -1.106665
49736.50    -1.927623    -0.368262    -1.343728
49736.75    -2.212323    -0.495860    -0.093911
49737.00    -2.257871    -0.424290    -0.038938
49737.25    -2.575494    -0.431209    -1.270439
49737.50    -2.545991    -0.145319    -2.214268
49737.75    -2.686375    -0.392763    -0.265194
49738.00    -2.472031    -0.522362     0.468046
49738.25    -2.453893    -0.608628    -0.395982
49738.50    -2.215929    -0.302676    -1.485677
49738.75    -2.229372    -0.586022    -0.120524
49739.00    -1.916851    -0.726885     0.243549
49739.25    -1.949688    -0.836168     0.105578
