                        ,        YTD         , ,        YTD         , ,        YTD         , ,       August       , ,        July        , ,        June        , ,        May         , ,       April        , ,       March        , ,      February      , ,      January       , ,       Total        , ,      December      , ,      November      , ,      October       , ,     September      , ,       August       , ,        July        , ,        June        , ,        May         , ,       April        , ,       March        , ,      February      , ,      January       , 
State                   ,2007, ,2006, ,2005, ,2007, ,2007, ,2007, ,2007, ,2007, ,2007, ,2007, ,2007, ,2006, ,2006, ,2006, ,2006, ,2006, ,2006, ,2006, ,2006, ,2006, ,2006, ,2006, ,2006, ,2006, 
Alabama                                 ,0,NA,107948,  ,73213,  ,0,NA,19043,  ,17205,  ,10904,  ,13773,  ,8649,  ,25728,  ,8239,  ,145223,  ,7809,  ,7561,  ,10593,  ,11311,  ,26153,  ,25201,  ,19030,  ,11616,  ,9037,  ,7706,  ,5180,  ,4026,  
Alaska                                  ,0,NA,28374,  ,25401,  ,0,NA,3422,  ,3242,  ,3036,  ,3164,  ,3381,  ,3137,  ,3635,  ,43082,  ,4051,  ,3983,  ,3547,  ,3127,  ,3864,  ,3956,  ,3609,  ,3300,  ,3113,  ,3543,  ,3293,  ,3696,  
Arizona                                 ,0,NA,159625,  ,142163,  ,0,NA,38667,  ,30719,  ,23385,  ,13917,  ,7664,  ,13946,  ,18605,  ,248579,  ,17532,  ,17799,  ,27299,  ,26324,  ,32433,  ,30604,  ,25982,  ,16957,  ,14272,  ,12286,  ,12944,  ,14146,  
Arkansas                                ,0,NA,50528,  ,35171,  ,0,NA,9005,  ,9127,  ,6067,  ,4220,  ,2422,  ,2546,  ,1684,  ,69265,  ,2454,  ,2269,  ,6276,  ,7738,  ,10687,  ,10171,  ,9726,  ,7844,  ,5357,  ,2681,  ,2341,  ,1721,  
California                              ,0,NA,511264,  ,458896,  ,0,NA,93190,  ,68724,  ,56051,  ,52273,  ,51134,  ,53157,  ,59933,  ,778358,  ,63424,  ,60451,  ,66759,  ,76460,  ,85388,  ,109599,  ,68864,  ,55768,  ,43740,  ,52940,  ,46803,  ,48162,  
Colorado                                ,0,NA,63343,  ,60849,  ,0,NA,12242,  ,11019,  ,8621,  ,7603,  ,6664,  ,7517,  ,9152,  ,93774,  ,9117,  ,7375,  ,8428,  ,5510,  ,10204,  ,10146,  ,8329,  ,6025,  ,5803,  ,7712,  ,7152,  ,7973,  
Connecticut                             ,0,NA,52279,  ,46085,  ,0,NA,7660,  ,5571,  ,6513,  ,5730,  ,5496,  ,4898,  ,6029,  ,75972,  ,5344,  ,5479,  ,6758,  ,6112,  ,7474,  ,9171,  ,7513,  ,6188,  ,5792,  ,6334,  ,5060,  ,4748,  
Delaware                                ,0,NA,7337,  ,9922,  ,0,NA,2273,  ,1377,  ,774,  ,623,  ,815,  ,370,  ,588,  ,9501,  ,614,  ,313,  ,523,  ,713,  ,1537,  ,2116,  ,1285,  ,530,  ,231,  ,810,  ,382,  ,445,  
District of Columbia                    ,0,NA,0,--,0,--,0,NA,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
