UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
N,7,2006,999,293423250,143534075,149889175,116223986,119356377,17113844,19786533,1408262,1436631,6245272,6674823,260180,256818,2282531,2377993,118210349,121407432,18024534,20754890,2161149,2254483,7100197,7542371,489874,495530,121228904,128675744,95536048,99791122,16330542,18947988,1076358,1134974,6110411,6535807,200306,201981,1975239,2063872,97248342,101564417,17097868,19768651,1720020,1840596,6876543,7310820,397977,407243,22305171,21213431,20687938,19565255,783302,838545,331904,301657,134861,139016,59874,54837,307292,314121,20962007,19843015,926666,986239,441129,413887,223654,231551,91897,88287
N,7,2006,0,4175355,2135668,2039687,1613627,1534986,329527,321602,21702,21038,93810,88357,4418,3879,72584,69825,1680635,1599283,373168,363776,27564,26756,120713,114107,6932,6338,1614250,1540117,1136576,1077771,304444,297154,18739,18127,89871,84737,2917,2585,61703,59743,1193501,1132672,341749,333467,23194,22601,113156,107069,4975,4675,521418,499570,477051,457215,25083,24448,2963,2911,3939,3620,1501,1294,10881,10082,487134,466611,31419,30309,4370,4155,7557,7038,1957,1663
N,7,2006,1,4102144,2099517,2002627,1590904,1512958,319630,309422,21128,20717,93532,88076,4320,3932,70003,67522,1655481,1575262,361440,349775,26867,26358,119637,113260,6802,6278,1599480,1524358,1131189,1073444,297235,288020,18210,17863,90070,84662,2921,2626,59855,57743,1186312,1126589,333183,322751,22583,22228,112834,106551,5000,4626,500037,478269,459715,439514,22395,21402,2918,2854,3462,3414,1399,1306,10148,9779,469169,448673,28257,27024,4284,4130,6803,6709,1802,1652
N,7,2006,2,4100990,2097640,2003350,1601547,1525456,310601,301023,20783,19960,92018,87380,4091,3719,68600,65812,1664962,1586331,351466,340287,26422,25556,117772,111782,6356,5895,1615187,1540137,1151797,1093865,294560,285545,18033,17269,89068,84488,2918,2633,58811,56337,1205990,1145806,329827,319401,22401,21589,111562,105778,4814,4473,482453,463213,449750,431591,16041,15478,2750,2691,2950,2892,1173,1086,9789,9475,458972,440525,21639,20886,4021,3967,6210,6004,1542,1422
N,7,2006,3,4050591,2072219,1978372,1587283,1511498,304138,294997,20116,19652,90687,85917,3863,3461,66132,62847,1648416,1569620,343712,332649,25692,24996,114935,108730,6324,5879,1604718,1530194,1148159,1090335,291455,282915,17425,16966,88352,83658,2929,2630,56398,53690,1200193,1139927,325490,315454,21720,21125,109454,103410,4854,4501,467501,448178,439124,421163,12683,12082,2691,2686,2335,2259,934,831,9734,9157,448223,429693,18222,17195,3972,3871,5481,5320,1470,1378
N,7,2006,4,4016783,2052307,1964476,1573233,1499853,306222,298542,19763,19295,85949,82173,3410,3356,63730,61257,1632001,1556335,344598,335484,25267,24641,108594,103932,6216,6015,1597924,1528262,1144410,1088305,295219,287841,17163,16848,84129,80390,2702,2673,54301,52205,1194467,1136380,328270,319655,21476,21037,103756,99268,4778,4683,454383,436214,428823,411548,11003,10701,2600,2447,1820,1783,708,683,9429,9052,437534,419955,16328,15829,3791,3604,4838,4664,1438,1332
N,7,2006,5,4073291,2080857,1992434,1592980,1519287,314363,306075,19930,19303,87504,83531,3377,3264,62703,60974,1650801,1575554,352170,342933,25324,24716,109764,105013,6098,5861,1633168,1563537,1171076,1115264,302724,294915,17456,16822,85561,81808,2665,2604,53686,52124,1220516,1163277,335450,326689,21670,21059,104954,100596,4741,4574,447689,428897,421904,404023,11639,11160,2474,2481,1943,1723,712,660,9017,8850,430285,412277,16720,16244,3654,3657,4810,4417,1357,1287
N,7,2006,6,3920046,2006468,1913578,1536362,1457622,297827,289250,22922,22060,79294,76659,4030,3933,66033,64054,1596591,1515974,332992,323753,35305,34136,103353,99789,8839,8487,1581662,1509907,1147170,1088298,281487,273629,17146,16486,76321,73822,2912,2810,56626,54862,1198935,1138391,312051,303575,26790,25815,97363,94038,6690,6415,424806,403671,389192,369324,16340,15621,5776,5574,2973,2837,1118,1123,9407,9192,397656,377583,20941,20178,8515,8321,5990,5751,2149,2072
N,7,2006,7,3876331,1981616,1894715,1517274,1441321,293438,285095,24114,23148,76665,77254,4462,4183,65663,63714,1576869,1499178,327176,318226,38455,37081,100676,100239,9888,9211,1576997,1506939,1149986,1089947,276043,268159,17417,16818,73537,74184,3169,2967,56845,54864,1201723,1139960,305814,297155,28712,27685,94571,94270,7521,6969,404619,387776,367288,351374,17395,16936,6697,6330,3128,3070,1293,1216,8818,8850,375146,359218,21362,21071,9743,9396,6105,5969,2367,2242
N,7,2006,8,3886302,1987573,1898729,1519490,1442760,298052,288721,23969,22994,78685,79064,4368,4112,63009,61078,1576610,1498093,330335,320482,37829,36259,101599,101036,9666,9135,1584540,1514542,1152931,1094056,280947,272090,17451,16754,75640,76113,3154,2922,54417,52607,1202377,1141820,309280,299931,28283,27130,95781,95352,7458,6941,403033,384187,366559,348704,17105,16631,6518,6240,3045,2951,1214,1190,8592,8471,374233,356273,21055,20551,9546,9129,5818,5684,2208,2194
N,7,2006,9,3912060,1998730,1913330,1530425,1456407,299467,290535,23820,23126,80610,80416,4368,4087,60040,58759,1584720,1509431,329705,320286,37456,36254,102580,101996,9459,9177,1596778,1529894,1164318,1107649,282457,274177,17355,16849,77606,77470,3137,2924,51905,50825,1211367,1153604,309019,300267,28126,27205,96940,96508,7237,7054,401952,383436,366107,348758,17010,16358,6465,6277,3004,2946,1231,1163,8135,7934,373353,355827,20686,20019,9330,9049,5640,5488,2222,2123
N,7,2006,10,3994373,2043563,1950810,1567868,1487279,305296,296971,24372,23416,82446,81686,4458,4259,59123,57199,1621257,1538780,334677,325708,38253,36798,104159,102628,9643,9166,1638525,1563837,1198564,1134523,288327,280688,17777,17208,79477,78904,3206,3087,51174,49427,1244867,1179176,314085,305962,28806,27867,98662,97191,7453,7028,405038,386973,369304,352756,16969,16283,6595,6208,2969,2782,1252,1172,7949,7772,376390,359604,20592,19746,9447,8931,5497,5437,2190,2138
N,7,2006,11,4058478,2078325,1980153,1590705,1507667,319356,309631,24560,23682,81573,79468,4569,4323,57562,55382,1642320,1557190,347384,337131,38533,37035,102829,99683,9812,9341,1673174,1593475,1221103,1155231,302280,293116,18008,17403,78690,76624,3284,3126,49809,47975,1265860,1198219,326830,317259,29185,28131,97488,94431,7528,7206,405151,386678,369602,352436,17076,16515,6552,6279,2883,2844,1285,1197,7753,7407,376460,358971,20554,19872,9348,8904,5341,5252,2284,2135
N,7,2006,12,4091011,2093761,1997250,1597482,1515986,328777,320410,25340,24660,82385,77848,4662,4507,55115,53839,1646781,1564074,355081,346698,39470,38434,102694,97291,9799,9417,1694006,1614548,1232552,1167335,311869,303695,18899,18373,79509,75108,3459,3348,47718,46689,1275283,1209084,334825,326734,30294,29542,97533,92308,7707,7386,399755,382702,364930,348651,16908,16715,6441,6287,2876,2740,1203,1159,7397,7150,371498,354990,20256,19964,9176,8892,5161,4983,2092,2031
N,7,2006,13,4170851,2136059,2034792,1628601,1543993,341178,330797,26159,25499,82293,78127,4570,4413,53258,51963,1676172,1590254,365870,355313,40210,39568,102228,97044,9577,9362,1737858,1654672,1265219,1197434,324157,314432,19484,19016,79463,75438,3370,3301,46165,45051,1306533,1237629,345732,335899,30873,30465,97134,92165,7504,7348,398201,380120,363382,346559,17021,16365,6675,6483,2830,2689,1200,1112,7093,6912,369639,352625,20138,19414,9337,9103,5094,4879,2073,2014
