Begin Header
	version	6.0.0
	Date	Sat Oct 02 01:22:16 EDT 2004
	Image File	C:\My Documents\Results\LBL samples\2004_09_28_E28_Salt strtess\E28_Qiang_4_Cy3_12935517.tif
	Page	0
	Page Name	
	Inverted	false
	Begin Field Dimensions
		Field	Metarows	Metacols	Rows	Cols
		A	8	4	16	18
	End Field Dimensions
	Begin Measurement parameters
		Segmentation Method	auto
		Signal Low	0.0
		Signal High	0.0
		Background Low	0.0
		Background High	0.0
		Background Buffer	3.0
		Background Width	3.0
	End Measurement parameters
	Begin Alerts
		Control Type	Minimum threshold	If tested	Percentage allowed	If failed	Maximum threshold	If tested	Percentage allowed	If failed	CV threshold	If tested	If failed
	End Alerts
	Begin Quality Flags
		Begin Flagging Settings
			Empty Spots	true	Threshold:	2.0
			Poor Spots	true
			Begin Poor Spots Parameters
				Background contamination flag	true	Threshold:	0.9995
				Background tested against subgrid data only	true
				Signal contamination flag	false	Threshold:	0.9995
				Signal contamination test connected to background contamination threshold	false
				Ignored percentage flag	true	Threshold:	25.0
				Open perimeter flag	true	Threshold:	25.0
				Shape regularity flag	true	Threshold:	0.6
				Area To Perimeter Ratio flag	false	Threshold:	0.65
				Offset flag	true	Threshold:	60.0
			End Poor Spots Parameters
			Negative Spots	true
		End Flagging Settings
		Begin Flagged spots
			# of Empty Spots: 2141
			# of Poor Spots: 95
			# of Negative Spots: 0
			# of Manually Flagged Spots: 0
		End Flagged spots
		
	End Quality Flags
End Header
Begin Raw Data
	Field	Meta Row	Meta Column	Row	Column	Gene ID	Flag	Signal Mean	Background Mean	Signal Median	Background Median	Signal Mode	Background Mode	Signal Area	Background Area	Signal Total	Background Total	Signal Stdev	Background Stdev	Shape Regularity	Ignored Area	Spot Area	Ignored Median	Area To Perimeter	Open Perimeter	XCoord	YCoord	Diameter	Position offset	Offset X	Offset Y	Expected X	Expected Y	CM-X	CM-Y	CM Offset	CM Offset-X	CM Offset-Y	Min Diam	Max Diam	Control	Failed Control	Background contamination present	Signal contamination present	Ignored % failed	Open perimeter failed	Shape regularity failed	Perim-to-area failed	Offset failed	Empty spot	Negative spot	Selected spot	Saturated spot
	A	1	1	1	1	ORF01514	0	5906.6469	979.475	5378.5	898.0	5425.6127	691.6306	102.0	381.0	602478.0	373180.0	2885.3576	557.0223	0.8938	0.0	102.0	0.0	1.0	0.0	187.5	167.5	11.0	0.547	-0.4676	-0.2838	187.9676	167.7838	187.5588	167.1078	0.7899	-0.4087	-0.6759	11.1848	11.8052		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	2	ORF01469	0	7079.9272	1043.6938	7014.5	906.0	7045.1538	844.2125	96.0	343.0	679673.0	357987.0	3086.3723	709.2197	0.8571	2.0	98.0	15325.5	1.0	0.0	208.5	167.5	11.0	1.1273	1.1043	0.2265	207.3956	167.2734	208.2604	167.2291	0.8658	0.8647	-0.0442	10.9273	11.3063		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	3	ORF01588	0	5543.643	967.4673	5489.5	869.0	5645.1943	631.7525	98.0	383.0	543277.0	370540.0	1659.3253	493.2706	0.875	2.0	100.0	10533.5	1.0	0.0	229.5	166.5	11.0	0.2584	0.1671	-0.1971	229.3328	166.6971	229.3469	166.1224	0.5748	0.014	-0.5746	10.9794	11.5331		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	4	ORF01550	0	7812.2475	973.2274	7861.0	847.0	8560.3574	784.3624	97.0	365.0	757788.0	355228.0	2329.0017	591.3118	0.8738	0.0	97.0	0.0	1.0	0.0	249.5	166.5	11.0	1.1862	-1.1295	0.3623	250.6295	166.1376	250.0721	166.0618	0.5625	-0.5574	-0.0757	10.4772	11.9158		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	5	ORF01511	0	5789.7548	883.087	5568.5	774.5	5489.5654	562.9449	106.0	356.0	613714.0	314379.0	2098.8012	392.3336	0.6883	0.0	106.0	0.0	1.0	0.0	271.5	165.5	11.0	0.109	0.0602	-0.0909	271.4397	165.5909	271.5188	165.8962	0.3153	0.079	0.3052	11.1608	12.2288		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	6	ORF01465	0	5979.6528	888.6026	5952.0	757.0	6227.1152	702.2419	98.0	385.0	586006.0	342112.0	1792.6713	535.9287	0.8672	0.0	98.0	0.0	1.0	0.0	292.5	164.5	11.0	0.5374	-0.013	-0.5373	292.513	165.0373	292.255	164.7755	0.3675	-0.2579	-0.2618	11.028	11.465		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	7	ORF00850	0	10443.1044	952.2971	10006.0	876.0	10974.1738	516.525	96.0	387.0	1002538.0	368539.0	4391.8295	445.4555	0.8275	0.0	96.0	0.0	1.0	0.0	313.5	164.5	11.0	0.464	0.464	0.0018	313.0359	164.4981	313.2708	164.5	0.2348	0.2348	0.0018	10.5161	11.7716		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	8	ORF00816	0	9117.8964	975.3601	7970.0	870.5	7830.184	680.2792	97.0	386.0	884436.0	376489.0	4283.435	481.2673	0.8584	0.0	97.0	0.0	1.0	0.0	334.5	163.5	11.0	0.4341	-0.0161	-0.4338	334.5161	163.9338	334.2164	163.6907	0.3858	-0.2996	-0.2431	10.7013	11.7082		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	9	ORF00923	0	4206.6762	974.1666	3960.0	888.0	4449.5	613.027	105.0	336.0	441701.0	327320.0	1635.2299	457.971	0.6774	0.0	105.0	0.0	0.9638	0.0	354.5	164.5	11.0	1.1865	-0.4383	1.1026	354.9383	163.3973	355.1428	163.7142	0.3771	0.2044	0.3169	11.2855	12.0693		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	10	ORF00884	0	8249.9492	919.3241	8568.0	832.5	8777.0322	761.4835	98.0	364.0	808495.0	334634.0	2578.3801	546.9128	0.8672	0.0	98.0	0.0	1.0	0.0	375.5	163.5	11.0	0.6616	0.1741	0.6382	375.3258	162.8617	376.0816	163.0816	0.7871	0.7558	0.2198	11.1664	11.3087		0	0	0	0	0	0	0	0	0	0	0	0
