#
#----- (test) bc_vtxTagreco v00-02-09
#
<--> (GNUmakefile.main        ; __bc_vtxTagreco__       ) _test_    Fri May  2 00:25:32 CDT 2008 bc_vtxTagreco ()
<--> (ctest_rules.mk          ; __bc_vtxTagreco__       ) _ctest_   Fri May  2 00:25:32 CDT 2008 bc_vtxTagreco ()
<--> (ctest_rules.mk          ; __bc_vtxTagreco__       ) _ctcmp_   Fri May  2 00:25:33 CDT 2008 bc_vtxTagreco ()
<--> (ctest_rules.mk          ; __bc_vtxTagreco__       ) _ctcmp_   Fri May  2 00:25:33 CDT 2008 bc_vtxTagreco (/src)
<--> (ctest_rules.mk          ; __bc_vtxTagreco__       ) _ctlnk_   Fri May  2 00:25:34 CDT 2008 bc_vtxTagreco ()
<--> (ctest_rules.mk          ; __bc_vtxTagreco__       ) _ctlnk_   Fri May  2 00:25:34 CDT 2008 bc_vtxTagreco (/src)
<--> (ctest_rules.mk          ; __bc_vtxTagreco__       ) _ctrun_   Fri May  2 00:25:35 CDT 2008 bc_vtxTagreco ()
<--> (ctest_rules.mk          ; __bc_vtxTagreco__       ) _ctrun_   Fri May  2 00:25:36 CDT 2008 bc_vtxTagreco (/src)
<--> (ctest_rules.mk          ; __bc_vtxTagreco__       ) _itest_   Fri May  2 00:25:36 CDT 2008 bc_vtxTagreco ()
<--> (ctest_rules.mk          ; __bc_vtxTagreco__       ) _itcmp_   Fri May  2 00:25:37 CDT 2008 bc_vtxTagreco ()
<--> (ctest_rules.mk          ; __bc_vtxTagreco__       ) _itcmp_   Fri May  2 00:25:37 CDT 2008 bc_vtxTagreco (/src)
<--> (ctest_rules.mk          ; __bc_vtxTagreco__       ) _itlnk_   Fri May  2 00:25:38 CDT 2008 bc_vtxTagreco ()
<--> (ctest_rules.mk          ; __bc_vtxTagreco__       ) _itlnk_   Fri May  2 00:25:38 CDT 2008 bc_vtxTagreco (/src)
<--> (ctest_rules.mk          ; __bc_vtxTagreco__       ) _itrun_   Fri May  2 00:25:39 CDT 2008 bc_vtxTagreco ()
<--> (ctest_rules.mk          ; __bc_vtxTagreco__       ) _itrun_   Fri May  2 00:25:40 CDT 2008 bc_vtxTagreco (/src)
