SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004
050,22,001,Louisiana,Acadia Parish,0,0,01,47867,47870,47845,47802,48078,47995,47986
050,22,001,Louisiana,Acadia Parish,0,0,02,10850,10850,10845,10890,10898,11026,10983
050,22,001,Louisiana,Acadia Parish,0,0,03,230,230,217,219,236,231,263
050,22,001,Louisiana,Acadia Parish,0,0,04,130,130,116,133,130,163,157
050,22,001,Louisiana,Acadia Parish,0,0,05,18,18,3,5,7,4,2
050,22,003,Louisiana,Allen Parish,0,0,01,18545,18545,18514,18475,18380,18511,18570
050,22,003,Louisiana,Allen Parish,0,0,02,6341,6341,6338,6275,6190,6235,6277
050,22,003,Louisiana,Allen Parish,0,0,03,577,577,548,569,567,559,538
050,22,003,Louisiana,Allen Parish,0,0,04,172,172,154,158,166,179,166
050,22,003,Louisiana,Allen Parish,0,0,05,17,17,4,5,5,6,8
050,22,005,Louisiana,Ascension Parish,0,0,01,60489,60489,61015,62790,64697,66946,69035
050,22,005,Louisiana,Ascension Parish,0,0,02,15711,15711,15899,16269,16497,16794,17398
050,22,005,Louisiana,Ascension Parish,0,0,03,390,390,377,395,417,428,434
050,22,005,Louisiana,Ascension Parish,0,0,04,344,344,352,390,484,614,649
050,22,005,Louisiana,Ascension Parish,0,0,05,31,31,18,25,37,49,46
050,22,007,Louisiana,Assumption Parish,0,0,01,15877,15877,15836,15692,15760,15683,15659
050,22,007,Louisiana,Assumption Parish,0,0,02,7405,7405,7440,7447,7360,7454,7463
050,22,007,Louisiana,Assumption Parish,0,0,03,114,114,91,91,91,97,86
050,22,007,Louisiana,Assumption Parish,0,0,04,75,75,66,62,58,61,72
050,22,007,Louisiana,Assumption Parish,0,0,05,6,6,2,1,1,1,2
050,22,009,Louisiana,Avoyelles Parish,0,0,01,28671,28671,28629,28551,28469,28565,28583
050,22,009,Louisiana,Avoyelles Parish,0,0,02,12376,12376,12406,12479,12606,12836,12890
050,22,009,Louisiana,Avoyelles Parish,0,0,03,563,563,535,537,541,556,562
050,22,009,Louisiana,Avoyelles Parish,0,0,04,98,98,79,89,103,114,119
050,22,009,Louisiana,Avoyelles Parish,0,0,05,9,9,0,1,1,0,0
050,22,011,Louisiana,Beauregard Parish,0,0,01,28225,28225,28289,28225,28311,28630,29099
050,22,011,Louisiana,Beauregard Parish,0,0,02,4389,4389,4383,4516,4510,4587,4597
050,22,011,Louisiana,Beauregard Parish,0,0,03,437,437,396,380,406,374,410
050,22,011,Louisiana,Beauregard Parish,0,0,04,265,265,242,246,255,267,265
050,22,011,Louisiana,Beauregard Parish,0,0,05,31,31,22,19,16,21,16
050,22,013,Louisiana,Bienville Parish,0,0,01,8754,8754,8737,8701,8751,8729,8769
050,22,013,Louisiana,Bienville Parish,0,0,02,6942,6942,6923,6736,6603,6539,6529
050,22,013,Louisiana,Bienville Parish,0,0,03,80,80,51,46,47,50,48
050,22,013,Louisiana,Bienville Parish,0,0,04,44,44,29,31,35,30,30
050,22,013,Louisiana,Bienville Parish,0,0,05,7,7,6,3,5,2,3
050,22,015,Louisiana,Bossier Parish,0,0,01,75693,75704,75807,76489,77100,78043,79608
050,22,015,Louisiana,Bossier Parish,0,0,02,21003,21064,21211,21561,21968,22462,22715
050,22,015,Louisiana,Bossier Parish,0,0,03,1103,1103,1112,1159,1265,1231,1244
050,22,015,Louisiana,Bossier Parish,0,0,04,1718,1718,1749,1759,1856,1890,1944
050,22,015,Louisiana,Bossier Parish,0,0,05,146,146,113,116,121,128,132
050,22,017,Louisiana,Caddo Parish,0,0,01,136157,136148,135892,134597,133023,131900,131447
050,22,017,Louisiana,Caddo Parish,0,0,02,113619,113558,113694,114284,114992,115884,117305
