Condition of U.S. Highway Bridges: 1990-2007,,,,,,,,,,,,,,,,,,
,1990,1991,1992  ,1993  ,1994  ,1995  ,1996  ,1997  ,1998  ,1999  ,2000  ,2001,2002,2003,2004,2005,2006, (R) 2007 
TOTAL all bridges,"572,205","574,036","572,197","573,716","576,460","581,135","581,863","582,751","582,976","585,542","589,674","589,685","590,887","591,940","593,813","595,363","597,340","599,766"
Urban,"108,770","112,363","115,312","117,488","121,141","122,537","124,950","127,633","128,312","130,339","133,384","133,401","135,339","135,415","137,598","142,408","146,041","151,171"
Rural,"463,435","461,673","456,885","456,228","455,319","458,598","456,913","455,118","454,664","455,203","456,290","456,284","455,548","456,525","456,215","452,955","451,299","448,595"
"Structurally deficient bridges, total","137,865","134,534","118,698","111,980","107,683","104,317","101,518","98,475","93,072","88,150"," (R) 86,678 ","83,595","81,261","79,775","77,752","75,923","73,784","72,520"
Urban,"16,847","17,032","16,323","15,932","15,692","15,205","15,094","14,846","14,073","12,967"," (R) 13,079 ","12,705","12,503","12,316","12,175","12,600","12,585","12,951"
Rural,"121,018","117,502","102,375","96,048","91,991","89,112","86,424","83,629","78,999","75,183"," (R) 73,599 ","70,890","68,758","67,459","65,577","63,323","61,199","59,569"
"Functionally obsolete bridges, total","100,355","97,593","80,393","80,000","79,832","80,950","81,208","77,410","79,500","81,900","81,510","81,439","81,537","80,990","80,567","80,412","80,317","79,804"
Urban,"30,266","30,842","26,243","26,511","27,024","27,487","28,087","26,865","27,588","29,065","29,398","29,383","29,675","29,886","30,298","31,391","32,292","33,139"
Rural,"70,089","66,751","54,150","53,489","52,808","53,463","53,121","50,545","51,912","52,835","52,112","52,056","51,862","51,104","50,269","49,021","48,025","46,665"
KEY: R = revised.,,,,,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,,,,,
"Explanations for the terms Structurally Deficient and Functionally Obsolete can be found on pages 14 and 15 in Chapter 3 of the Federal Highway Administration, 2006 Conditions and Performance Report; the following is a link to Chapter 3 of the report: http://www.fhwa.dot.gov/policy/2006cpr/pdfs/chap3.pdf.",,,,,,,,,,,,,,,,,,
"U.S. totals include the 50 states, the District of Columbia, and Puerto Rico.",,,,,,,,,,,,,,,,,,
"Table includes: Rural–Interstate, principal arterial, minor arterial, major collector, minor collector and local roads; Urban–Interstate, other freeways or expressways, other principal arterial, minor arterial, collector, and local roads. ",,,,,,,,,,,,,,,,,,
"Data for 1990, 1992, 1997-99, and 2001 are as of December of those years; data for 1991 and 1994-96 are as of June of those years; data for 1993 are as of September of that year; data for 2000 are as of August of that year; data for 2002-06 are as of July of those years.Data for 2007 is as of December.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SOURCES:,,,,,,,,,,,,,,,,,,
"1990-2000: U.S. Department of Transportation, Research and Innovative Technology Administration, Bureau of Transportation Statistics; based on data from Federal Highway Administration, Office of Bridge Technology, National Bridge Inventory Database, personal communication, Aug. 14, 2001 and Apr. 24, 2008. ",,,,,,,,,,,,,,,,,,
"2001-07: U.S. Department of Transportation, Research and Innovative Technology Administration, Bureau of Transportation Statistics; based on data from Federal Highway Administration, Office of Bridge Technology, National Bridge Inventory Database,  Count of Bridges by Highway System, Internet site http://www.fhwa.dot.gov/bridge/britab.htm as of Mar. 13, 2008.",,,,,,,,,,,,,,,,,,
