sumlev,State,County,Stname,Ctyname,time,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age1544_tot,age1544_male,age1544_fem,age4564_tot,age4564_male,age4564_fem,age65plus_tot,age65plus_male,age65plus_fem,age85plus_tot,age85plus_male,age85plus_fem,median_age_tot,median_age_male,median_age_fem
050,34,001,New Jersey,Atlantic County,1,252552,122074,130478,16483,8297,8186,33930,17348,16582,13442,6942,6500,20367,10239,10128,195174,92877,102297,188697,89487,99210,107592,53250,54342,56561,27335,29226,34437,14034,20403,4118,1148,2970,37.0,35.9,37.9
050,34,001,New Jersey,Atlantic County,2,252552,122074,130478,16483,8297,8186,33930,17348,16582,13442,6942,6500,20367,10239,10128,195174,92877,102297,188697,89487,99210,107592,53250,54342,56561,27335,29226,34437,14034,20403,4118,1148,2970,37.0,35.9,37.9
050,34,001,New Jersey,Atlantic County,3,253108,122370,130738,16463,8289,8174,34053,17411,16642,13501,6970,6531,20479,10310,10169,195568,93091,102477,189091,89700,99391,107616,53292,54324,56907,27501,29406,34511,14064,20447,4174,1167,3007,37.0,36.0,38.0
050,34,001,New Jersey,Atlantic County,4,255588,123622,131966,16398,8276,8122,34307,17524,16783,13941,7132,6809,21018,10669,10349,197723,94175,103548,190942,90690,100252,107766,53389,54377,58683,28405,30278,34861,14215,20646,4318,1214,3104,37.3,36.2,38.3
050,34,001,New Jersey,Atlantic County,5,259296,125546,133750,16636,8444,8192,34272,17451,16821,14392,7370,7022,21886,11145,10741,201059,95868,105191,193996,92281,101715,108736,53847,54889,60826,29530,31296,35104,14328,20776,4459,1283,3176,37.5,36.4,38.5
050,34,001,New Jersey,Atlantic County,6,263853,127918,135935,17223,8776,8447,34159,17419,16740,14961,7668,7293,22914,11632,11282,204743,97729,107014,197510,94055,103455,110198,54694,55504,62877,30502,32375,35453,14520,20933,4675,1385,3290,37.5,36.3,38.6
050,34,001,New Jersey,Atlantic County,7,268693,130464,138229,17891,9172,8719,33981,17314,16667,15589,8022,7567,23966,12147,11819,208679,99794,108885,201232,95956,105276,111938,55677,56261,64977,31492,33485,35775,14674,21101,4833,1460,3373,37.5,36.2,38.7
050,34,003,New Jersey,Bergen County,1,884118,425436,458682,55363,28208,27155,104748,53568,51180,42943,22189,20754,58728,30285,28443,702366,332497,369869,681064,321471,359593,361374,179640,181734,216888,103576,113312,134820,54726,80094,17055,5001,12054,39.1,37.7,40.3
050,34,003,New Jersey,Bergen County,2,884118,425436,458682,55363,28208,27155,104748,53568,51180,42943,22189,20754,58728,30285,28443,702366,332497,369869,681064,321471,359593,361374,179640,181734,216888,103576,113312,134820,54726,80094,17055,5001,12054,39.1,37.7,40.3
050,34,003,New Jersey,Bergen County,3,885850,426339,459511,55184,28116,27068,104936,53668,51268,43087,22254,20833,58960,30441,28519,703926,333315,370611,682643,322301,360342,361481,179732,181749,218369,104291,114078,134937,54810,80127,17262,5081,12181,39.1,37.8,40.4
