"                   ","        YTD         "," ","        YTD         "," ","        YTD         "," ","        May         "," ","       April        "," ","       March        "," ","      February      "," ","      January       "," ","       Total        "," ","      December      "," ","      November      "," ","      October       "," ","     September      "," ","       August       "," ","        July        "," ","        June        "," ","        May         "," ","       April        "," ","       March        "," ","      February      "," ","      January       "," ","       Total        "," ","      December      "," ","      November      "," ","      October       "," ","     September      "," ","       August       "," ","        July        "," ","        June        "," ","        May         "," ","       April        "," ","       March        "," ","      February      "," ","      January       "," "
"State                   ","        2008        "," ","        2007        "," ","        2006        "," ","        2008        "," ","        2008        "," ","        2008        "," ","        2008        "," ","        2008        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," "
"Alabama                                 ","0","NA","158860","  ","138310","  ","0","NA","0","NA","0","NA","35110","  ","42716","  ","389039","  ","31967","  ","26489","  ","29418","  ","30086","  ","44692","  ","36375","  ","31152","  ","26034","  ","30739","  ","29752","  ","40239","  ","32097","  ","357980","  ","29753","  ","25181","  ","26079","  ","25386","  ","40518","  ","39301","  ","33451","  ","26743","  ","25899","  ","28943","  ","27722","  ","29002","  ",
"Alaska                                  ","0","NA","43827","  ","53372","  ","0","NA","0","NA","0","NA","8757","  ","0","NA","101474","  ","9033","  ","8302","  ","8032","  ","8492","  ","7973","  ","7964","  ","7852","  ","8118","  ","7482","  ","9451","  ","8839","  ","9936","  ","119833","  ","9864","  ","10679","  ","9023","  ","8623","  ","9365","  ","9176","  ","9730","  ","9042","  ","9881","  ","11169","  ","10846","  ","12434","  ",
"Arizona                                 ","0","NA","127460","  ","117149","  ","0","NA","0","NA","0","NA","31936","  ","0","NA","369178","  ","33808","  ","27066","  ","29371","  ","32841","  ","40354","  ","42928","  ","35349","  ","28912","  ","20434","  ","17193","  ","26922","  ","33999","  ","335440","  ","29027","  ","24493","  ","32378","  ","30678","  ","36448","  ","34718","  ","30548","  ","22339","  ","21814","  ","22606","  ","24177","  ","26212","  ",
"Arkansas                                ","0","NA","94901","  ","94565","  ","0","NA","0","NA","0","NA","24932","  ","27749","  ","219179","  ","18973","  ","15631","  ","14672","  ","16003","  ","22733","  ","17991","  ","18275","  ","16416","  ","16134","  ","17649","  ","23370","  ","21332","  ","221169","  ","19004","  ","15329","  ","17089","  ","16961","  ","19947","  ","19092","  ","19182","  ","17849","  ","17483","  ","19376","  ","19892","  ","19966","  ",
"California                              ","0","NA","0","NA","931817","  ","0","NA","0","NA","0","NA","217766","  ","253594","  ","0","NA","235601","  ","191844","  ","187332","  ","184635","  ","209797","  ","193175","  ","171411","  ","165076","  ","0","NA","0","NA","204883","  ","236608","  ","2239099","  ","218721","  ","179219","  ","176728","  ","177931","  ","184106","  ","203041","  ","167537","  ","163781","  ","174325","  ","207878","  ","186181","  ","199652","  ",
"Colorado                                ","0","NA","0","NA","179529","  ","0","NA","0","NA","0","NA","47545","  ","58212","  ","0","NA","56926","  ","38750","  ","32480","  ","26598","  ","28065","  ","27612","  ","24440","  ","0","NA","0","NA","33343","  ","46238","  ","62290","  ","382410","  ","49231","  ","38463","  ","30297","  ","18874","  ","22751","  ","23208","  ","20057","  ","20740","  ","26013","  ","42523","  ","45272","  ","44981","  ",
"Connecticut                             ","0","NA","87771","  ","81842","  ","0","NA","0","NA","0","NA","18808","  ","20562","  ","175845","  ","18731","  ","13624","  ","10961","  ","10829","  ","12356","  ","11593","  ","9982","  ","12441","  ","16210","  ","19858","  ","20555","  ","18706","  ","169423","  ","15442","  ","13047","  ","12435","  ","10196","  ","11527","  ","13076","  ","11858","  ","12151","  ","14202","  ","19733","  ","17525","  ","18231","  ",
"Delaware                                ","0","NA","20897","  ","19383","  ","0","NA","0","NA","0","NA","5158","  ","5221","  ","48105","  ","5527","  ","3817","  ","3405","  ","3151","  ","4283","  ","3846","  ","3179","  ","2759","  ","3442","  ","4741","  ","5155","  ","4801","  ","43166","  ","4379","  ","3454","  ","2972","  ","2516","  ","3447","  ","3812","  ","3204","  ","2659","  ","2549","  ","4451","  ","4699","  ","5025","  ",
"District of Columbia                    ","0","NA","18073","  ","15139","  ","0","NA","0","NA","0","NA","4545","  ","5030","  ","32240","  ","4767","  ","3223","  ","1484","  ","1177","  ","1133","  ","1115","  ","1270","  ","1426","  ","2720","  ","3581","  ","5623","  ","4723","  ","28520","  ","3908","  ","2784","  ","2031","  ","1287","  ","1096","  ","1184","  ","1092","  ","1375","  ","1795","  ","3486","  ","4285","  ","4198","  ",
"Florida                                 ","0","NA","321836","  ","339081","  ","0","NA","0","NA","0","NA","62920","  ","67106","  ","906335","  ","67289","  ","66494","  ","89444","  ","89210","  ","97036","  ","93743","  ","81285","  ","76219","  ","70247","  ","60748","  ","56751","  ","57871","  ","877746","  ","56867","  ","58594","  ","76817","  ","83397","  ","86772","  ","88949","  ","87268","  ","85346","  ","73645","  ","68707","  ","56557","  ","54827","  ",
"Georgia                                 ","0","NA","187468","  ","173344","  ","0","NA","0","NA","0","NA","42518","  ","57267","  ","434118","  ","41566","  ","33720","  ","27324","  ","31069","  ","49601","  ","32035","  ","31335","  ","27249","  ","31677","  ","32056","  ","47292","  ","49193","  ","412813","  ","40769","  ","35624","  ","31265","  ","25372","  ","38761","  ","36938","  ","30741","  ","26856","  ","26637","  ","35066","  ","44937","  ","39849","  ",
"Hawaii                                  ","0","NA","1179","  ","1185","  ","0","NA","0","NA","0","NA","237","  ","245","  ","2848","  ","244","  ","256","  ","244","  ","223","  ","218","  ","241","  ","244","  ","234","  ","232","  ","229","  ","226","  ","259","  ","2781","  ","231","  ","223","  ","223","  ","233","  ","222","  ","229","  ","235","  ","239","  ","237","  ","242","  ","226","  ","241","  ",
"Idaho                                   ","0","NA","35181","  ","33287","  ","0","NA","0","NA","0","NA","10246","  ","10907","  ","73254","  ","9510","  ","7157","  ","5590","  ","4305","  ","4109","  ","3659","  ","3743","  ","4085","  ","5291","  ","6621","  ","9054","  ","10130","  ","69122","  ","9056","  ","6622","  ","5229","  ","4158","  ","3580","  ","3628","  ","3562","  ","3877","  ","5455","  ","7439","  ","8140","  ","8375","  ",
"Illinois                                ","0","NA","533984","  ","464585","  ","0","NA","0","NA","0","NA","149199","  ","144602","  ","0","NA","119822","  ","0","NA","50169","  ","39065","  ","49942","  ","39979","  ","40257","  ","54569","  ","82015","  ","118001","  ","154685","  ","124715","  ","881922","  ","105433","  ","83773","  ","59230","  ","36822","  ","43676","  ","47204","  ","41199","  ","49493","  ","73014","  ","104311","  ","120956","  ","116812","  ",
"Indiana                                 ","0","NA","262629","  ","232806","  ","0","NA","0","NA","0","NA","70814","  ","73612","  ","532827","  ","63766","  ","49057","  ","35515","  ","29878","  ","35359","  ","28944","  ","27679","  ","29305","  ","40548","  ","49351","  ","76426","  ","66999","  ","489751","  ","56403","  ","47253","  ","39210","  ","27630","  ","29996","  ","29579","  ","26873","  ","30004","  ","34311","  ","54200","  ","57392","  ","56899","  ",
"Iowa                                    ","0","NA","127838","  ","109328","  ","0","NA","0","NA","0","NA","35197","  ","36922","  ","247508","  ","31176","  ","20907","  ","15536","  ","12137","  ","14199","  ","13029","  ","12687","  ","15205","  ","19923","  ","25058","  ","35331","  ","32320","  ","226300","  ","25796","  ","22767","  ","18380","  ","12286","  ","11891","  ","13252","  ","12600","  ","14098","  ","17205","  ","23991","  ","26965","  ","27069","  ",
"Kansas                                  ","0","NA","107975","  ","98194","  ","0","NA","0","NA","0","NA","29248","  ","34184","  ","230716","  ","28111","  ","18247","  ","14034","  ","14836","  ","19371","  ","15223","  ","12919","  ","12626","  ","15710","  ","20831","  ","30391","  ","28417","  ","211663","  ","23544","  ","16910","  ","13041","  ","12042","  ","16649","  ","17490","  ","13792","  ","12314","  ","16170","  ","21772","  ","22906","  ","25032","  ",
"Kentucky                                ","0","NA","107355","  ","94695","  ","0","NA","0","NA","0","NA","26580","  ","31626","  ","215727","  ","24928","  ","18794","  ","13951","  ","12032","  ","16851","  ","10359","  ","11457","  ","12636","  ","17468","  ","20129","  ","30067","  ","27054","  ","200350","  ","22930","  ","17982","  ","14865","  ","11131","  ","13777","  ","12861","  ","12108","  ","13054","  ","14447","  ","20380","  ","23721","  ","23093","  ",
"Louisiana                               ","0","NA","479419","  ","425026","  ","0","NA","0","NA","0","NA","0","NA","103046","  ","1179504","  ","99855","  ","92572","  ","102591","  ","97587","  ","108583","  ","99007","  ","99890","  ","95145","  ","92469","  ","96559","  ","93720","  ","101525","  ","1079375","  ","94666","  ","89556","  ","90192","  ","88569","  ","103913","  ","97888","  ","89566","  ","88446","  ","86883","  ","88740","  ","80112","  ","80844","  ",
"Maine                                   ","0","NA","18404","  ","17165","  ","0","NA","0","NA","0","NA","3182","  ","4198","  ","0","NA","0","NA","3248","  ","2245","  ","2678","  ","0","NA","4822","  ","3044","  ","2481","  ","3177","  ","4737","  ","3706","  ","4303","  ","49111","  ","3889","  ","4632","  ","5467","  ","4054","  ","4381","  ","5629","  ","3894","  ","4031","  ","3066","  ","3490","  ","3679","  ","2898","  ",
"Maryland                                ","0","NA","104104","  ","89658","  ","0","NA","0","NA","0","NA","26412","  ","28733","  ","0","NA","25727","  ","0","NA","0","NA","9548","  ","12322","  ","9397","  ","0","NA","8996","  ","16087","  ","21202","  ","32660","  ","25158","  ","179058","  ","21239","  ","16300","  ","11895","  ","8042","  ","11236","  ","11438","  ","9251","  ","9034","  ","11807","  ","19870","  ","24846","  ","24101","  ",
"Massachusetts                           ","0","NA","199220","  ","184067","  ","0","NA","0","NA","0","NA","43957","  ","45246","  ","405624","  ","44530","  ","31446","  ","24823","  ","24779","  ","29353","  ","27123","  ","24350","  ","26387","  ","39865","  ","46348","  ","47559","  ","39062","  ","368450","  ","31234","  ","25506","  ","25785","  ","21947","  ","24626","  ","29288","  ","25998","  ","26934","  ","31251","  ","43664","  ","39967","  ","42251","  ",
"Michigan                                ","0","NA","445741","  ","410604","  ","0","NA","0","NA","0","NA","110745","  ","112048","  ","0","NA","99115","  ","0","NA","0","NA","32319","  ","44678","  ","33981","  ","36206","  ","45715","  ","71154","  ","99823","  ","126925","  ","102125","  ","767403","  ","85634","  ","70643","  ","50167","  ","31740","  ","39459","  ","43332","  ","35824","  ","43901","  ","65814","  ","96633","  ","99454","  ","104803","  ",
"Minnesota                               ","0","NA","190764","  ","159103","  ","0","NA","0","NA","0","NA","53428","  ","0","NA","0","NA","0","NA","35897","  ","21172","  ","17057","  ","18122","  ","17760","  ","15974","  ","17562","  ","30132","  ","38105","  ","54235","  ","50730","  ","332242","  ","41325","  ","34462","  ","28371","  ","16211","  ","17970","  ","18418","  ","16382","  ","15506","  ","21908","  ","35090","  ","44696","  ","41902","  ",
"Mississippi                             ","0","NA","128743","  ","95338","  ","0","NA","0","NA","0","NA","28026","  ","36109","  ","329212","  ","24923","  ","18111","  ","26875","  ","32639","  ","41674","  ","29123","  ","27123","  ","27270","  ","22949","  ","23156","  ","28854","  ","26515","  ","278509","  ","22474","  ","19289","  ","22072","  ","22867","  ","36208","  ","32122","  ","28139","  ","20120","  ","19880","  ","20268","  ","18372","  ","16698","  ",
"Missouri                                ","0","NA","142902","  ","127680","  ","0","NA","0","NA","0","NA","42982","  ","44109","  ","0","NA","34259","  ","19744","  ","0","NA","13126","  ","18334","  ","14201","  ","12523","  ","15006","  ","20016","  ","28464","  ","42741","  ","36676","  ","248305","  ","30135","  ","21672","  ","13690","  ","10105","  ","16198","  ","15778","  ","13046","  ","13729","  ","18714","  ","28712","  ","32302","  ","34225","  ",
"Montana                                 ","0","NA","32107","  ","30001","  ","0","NA","0","NA","0","NA","8301","  ","8967","  ","60316","  ","8287","  ","5501","  ","3926","  ","2575","  ","2664","  ","2539","  ","2717","  ","3558","  ","4682","  ","6749","  ","8233","  ","8885","  ","60600","  ","8194","  ","6560","  ","4545","  ","3197","  ","2675","  ","2643","  ","2786","  ","3562","  ","4972","  ","7344","  ","7060","  ","7064","  ",
