table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,
"Table 2: Annual Estimates of the Population by Sex and Age for Maine: April 1, 2000 to July 1, 2005",,,,,,,,
Sex and Age,Population estimates,,,,,,"April 1, 2000",
,"July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates base,Census
BOTH SEXES,"1,321,505","1,314,985","1,308,245","1,296,978","1,286,350","1,277,397","1,274,923","1,274,923"
.Under 5 years,"67,660","67,433","67,494","67,965","68,239","70,260","70,726","70,726"
.5 to 9 years,"70,765","72,544","74,175","76,482","78,603","82,037","83,022","83,022"
.10 to 14 years,"82,808","86,166","88,491","90,275","90,654","91,963","92,252","92,252"
.15 to 19 years,"93,788","93,909","93,905","93,240","92,012","90,152","89,485","89,485"
.20 to 24 years,"88,224","86,093","83,664","79,527","75,193","70,678","69,656","69,656"
.25 to 29 years,"69,586","67,473","66,144","65,747","67,604","71,096","71,951","71,951"
.30 to 34 years,"74,329","77,723","80,474","82,545","84,421","85,377","85,666","85,666"
.35 to 39 years,"91,261","93,050","96,315","98,873","101,644","103,830","104,149","104,149"
.40 to 44 years,"109,284","111,069","111,697","111,543","111,221","109,338","108,831","108,831"
.45 to 49 years,"113,359","111,974","110,786","108,091","105,397","102,667","101,921","101,921"
.50 to 54 years,"105,322","103,201","100,638","98,345","97,951","92,076","90,675","90,675"
.55 to 59 years,"93,388","88,035","83,533","78,902","71,902","69,139","68,490","68,490"
.60 to 64 years,"69,067","66,149","62,745","58,736","56,363","54,973","54,697","54,697"
.65 to 69 years,"50,713","50,248","49,516","49,297","49,728","49,965","50,100","50,100"
.70 to 74 years,"45,266","45,073","45,653","46,467","46,044","46,099","46,096","46,096"
.75 to 79 years,"40,975","40,464","40,373","39,431","38,855","38,308","38,098","38,098"
.80 to 84 years,"29,514","29,083","27,935","27,355","26,692","25,977","25,792","25,792"
.85 years and over,"26,196","25,298","24,707","24,157","23,827","23,462","23,316","23,316"
,,,,,,,,
.Under 18 years,"277,336","282,071","286,334","291,022","293,214","299,672","301,238","301,238"
.Under 5 years,"67,660","67,433","67,494","67,965","68,239","70,260","70,726","70,726"
.5 to 13 years,"135,723","140,063","144,438","148,334","150,946","155,451","156,625","156,625"
.14 to 17 years,"73,953","74,575","74,402","74,723","74,029","73,961","73,887","73,887"
.18 to 64 years,"851,505","842,748","833,727","819,249","807,990","793,914","790,283","790,283"
.18 to 24 years,"125,909","124,074","121,395","116,467","111,487","105,418","103,903","103,903"
.25 to 44 years,"344,460","349,315","354,630","358,708","364,890","369,641","370,597","370,597"
.45 to 64 years,"381,136","369,359","357,702","344,074","331,613","318,855","315,783","315,783"
.65 years and over,"192,664","190,166","188,184","186,707","185,146","183,811","183,402","183,402"
,,,,,,,,
.16 years and over,"1,081,625","1,070,574","1,059,634","1,043,784","1,030,399","1,014,398","1,010,273","1,010,273"
.18 years and over,"1,044,169","1,032,914","1,021,911","1,005,956","993,136","977,725","973,685","973,685"
.15 to 44 years,"526,472","529,317","532,199","531,475","532,095","530,471","529,738","529,738"
,,,,,,,,
.Median age (years),41.1,40.6,40.2,39.7,39.3,38.8,38.6,38.6
MALE,"645,593","641,876","638,311","632,168","626,443","621,705","620,309","620,309"
.Under 5 years,"34,830","34,719","34,722","34,883","35,003","35,944","36,186","36,186"
.5 to 9 years,"36,194","36,956","37,923","39,149","40,250","42,029","42,535","42,535"
.10 to 14 years,"42,427","44,308","45,382","46,318","46,571","47,265","47,422","47,422"
.15 to 19 years,"48,215","48,311","48,319","47,929","47,146","46,186","45,823","45,823"
.20 to 24 years,"45,269","44,019","42,653","40,340","38,052","35,475","34,934","34,934"
.25 to 29 years,"34,998","33,656","32,822","32,415","33,148","34,984","35,381","35,381"
.30 to 34 years,"36,563","38,213","39,576","40,462","41,333","41,807","41,937","41,937"
.35 to 39 years,"44,653","45,435","46,990","48,252","49,759","50,671","50,803","50,803"
.40 to 44 years,"53,264","54,189","54,600","54,575","54,450","53,480","53,226","53,226"
.45 to 49 years,"55,253","54,701","54,105","52,945","51,656","50,616","50,239","50,239"
.50 to 54 years,"51,647","50,838","49,740","48,845","48,986","46,250","45,541","45,541"
.55 to 59 years,"46,538","43,861","41,685","39,306","35,637","34,149","33,822","33,822"
.60 to 64 years,"33,676","32,035","30,331","28,346","27,228","26,599","26,456","26,456"
.65 to 69 years,"24,385","24,085","23,894","23,854","23,804","23,574","23,568","23,568"
.70 to 74 years,"21,126","20,870","20,685","20,668","20,448","20,544","20,566","20,566"
.75 to 79 years,"16,753","16,603","16,640","16,449","16,274","15,954","15,835","15,835"
.80 to 84 years,"11,563","11,308","10,829","10,308","9,837","9,643","9,598","9,598"
.85 years and over,"8,239","7,769","7,415","7,124","6,861","6,535","6,437","6,437"
,,,,,,,,
.Under 18 years,"142,297","144,770","146,894","149,357","150,472","153,736","154,563","154,563"
.Under 5 years,"34,830","34,719","34,722","34,883","35,003","35,944","36,186","36,186"
.5 to 13 years,"69,523","71,658","73,946","76,006","77,360","79,814","80,417","80,417"
.14 to 17 years,"37,944","38,393","38,226","38,468","38,109","37,978","37,960","37,960"
.18 to 64 years,"421,230","416,471","411,954","404,408","398,747","391,719","389,742","389,742"
.18 to 24 years,"64,638","63,543","62,105","59,262","56,550","53,163","52,337","52,337"
.25 to 44 years,"169,478","171,493","173,988","175,704","178,690","180,942","181,347","181,347"
.45 to 64 years,"187,114","181,435","175,861","169,442","163,507","157,614","156,058","156,058"
.65 years and over,"82,066","80,635","79,463","78,403","77,224","76,250","76,004","76,004"
,,,,,,,,
.16 years and over,"522,536","516,513","510,808","502,274","495,187","486,770","484,512","484,512"
.18 years and over,"503,296","497,106","491,417","482,811","475,971","467,969","465,746","465,746"
.15 to 44 years,"262,962","263,823","264,960","263,973","263,888","262,603","262,104","262,104"
,,,,,,,,
.Median age (years),40.0,39.5,39.1,38.7,38.3,37.8,37.6,37.6
FEMALE,"675,912","673,109","669,934","664,810","659,907","655,692","654,614","654,614"
.Under 5 years,"32,830","32,714","32,772","33,082","33,236","34,316","34,540","34,540"
.5 to 9 years,"34,571","35,588","36,252","37,333","38,353","40,008","40,487","40,487"
.10 to 14 years,"40,381","41,858","43,109","43,957","44,083","44,698","44,830","44,830"
.15 to 19 years,"45,573","45,598","45,586","45,311","44,866","43,966","43,662","43,662"
.20 to 24 years,"42,955","42,074","41,011","39,187","37,141","35,203","34,722","34,722"
.25 to 29 years,"34,588","33,817","33,322","33,332","34,456","36,112","36,570","36,570"
.30 to 34 years,"37,766","39,510","40,898","42,083","43,088","43,570","43,729","43,729"
.35 to 39 years,"46,608","47,615","49,325","50,621","51,885","53,159","53,346","53,346"
.40 to 44 years,"56,020","56,880","57,097","56,968","56,771","55,858","55,605","55,605"
.45 to 49 years,"58,106","57,273","56,681","55,146","53,741","52,051","51,682","51,682"
.50 to 54 years,"53,675","52,363","50,898","49,500","48,965","45,826","45,134","45,134"
.55 to 59 years,"46,850","44,174","41,848","39,596","36,265","34,990","34,668","34,668"
.60 to 64 years,"35,391","34,114","32,414","30,390","29,135","28,374","28,241","28,241"
.65 to 69 years,"26,328","26,163","25,622","25,443","25,924","26,391","26,532","26,532"
.70 to 74 years,"24,140","24,203","24,968","25,799","25,596","25,555","25,530","25,530"
.75 to 79 years,"24,222","23,861","23,733","22,982","22,581","22,354","22,263","22,263"
.80 to 84 years,"17,951","17,775","17,106","17,047","16,855","16,334","16,194","16,194"
.85 years and over,"17,957","17,529","17,292","17,033","16,966","16,927","16,879","16,879"
,,,,,,,,
.Under 18 years,"135,039","137,301","139,440","141,665","142,742","145,936","146,675","146,675"
.Under 5 years,"32,830","32,714","32,772","33,082","33,236","34,316","34,540","34,540"
