,,,,,,,,,,,,
"LEMA9322.csv//Report: Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,
"Sources:  Law Enforcement Management and Administrative Statistics, 1993//BJS Contact: Brian Reaves, Ph.D., (202) 616-3287//reaves@justice. usdoj.gov",,,,,,,,,,,,
"Table 22a.  Policies pertaining to citizen complaints of officer use of excessive force ",,,,,,,,,,,,
"maintained by local law enforcement agencies, 1993",,,,,,,,,,,,
,," Agency has",,"   Jurisdiction","     Person ",,"    External*",,"  Person who ",,,
,," policy directive",,"   has civilian","     to whom ",,"    review of",,"  makes final",,"   Right to administrative",
,," on citizen",,"   complaint","     board",,"    complaints",,"  disciplinary",,"   appeal of decision",
"County","Name of agency"," complaints",,"   review board","     reports",,"    required",,"  decision",,"Officer ","Citizen"
,,,,,,,,,,,,
"ALABAMA",,,,,,,,,,,,
,,,,,,,,,,,,
"Etowah","Gadsden Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Houston","Dothan Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Jefferson","Jefferson County Sheriff","X",,"-","-",,"-",,"LEX",,"X","X"
"Jefferson","Birmingham Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Madison","Huntsville Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Mobile","Mobile County Sheriff","X",,"-","-",,"X",,"OSP",,"X","X"
"Mobile","Mobile Police","X",,"-","-",,"-",,"GEX",,"X","X"
"Montgomery","Montgomery County Sheriff","X",,"-","-",,"-",,"LEX",,"X","X"
"Montgomery","Montgomery Police","X",,"-","-",,"X",,"GEX",,"X","-"
"Tuscaloosa","Tuscaloosa Police","X",,"-","-",,"X",,"OTH",,"X","X"
,,,,,,,,,,,,
"ALASKA",,,,,,,,,,,,
,,,,,,,,,,,,
"Anchorage","Anchorage Police","X",,"-","-",,"X",,"LEX",,"X","X"
,,,,,,,,,,,,
"ARIZONA",,,,,,,,,,,,
,,,,,,,,,,,,
"Maricopa","Maricopa County Sheriff","X",,"-","-",,"-",,"LEX",,"X","-"
"Maricopa","Chandler Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Maricopa","Glendale Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Maricopa","Mesa Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Maricopa","Phoenix Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Maricopa","Scottsdale Police","X",,"-","-",,"X",,"LEX",,"X","-"
