Estacion Guaqui FE031700 UTC
Tiempo 	Elevacion	Azimut
1.000000 30.000000 155.289993
2.000000 30.700001 152.149994
3.000000 32.150002 151.119995
4.000000 35.450001 148.440002
5.000000 39.419609 143.729996
6.000000 43.629921 135.710007
7.000000 46.599998 129.820007
8.000000 49.549999 123.830002
9.000000 52.849998 118.370003
10.000000 55.628548 112.669998
11.000000 58.619999 106.730003
12.000000 59.520000 100.230003
13.000000 59.099998 92.620003
14.000000 57.480587 82.779999
15.000000 54.833630 71.320000
16.000000 52.349998 66.730003
17.000000 50.000000 66.070000
18.000000 48.823128 68.779999
19.000000 47.673267 71.480003
20.000000 47.250000 73.199997
21.000000 47.250000 72.849998
22.000000 47.349998 72.879997
23.000000 47.450001 73.120003
24.000000 47.900002 74.129997
25.000000 46.849998 75.489998
26.000000 44.299999 76.750000
27.000000 42.500000 77.080002
28.000000 40.750000 78.139999
29.000000 38.650002 78.730003
30.000000 37.200001 77.220001
