-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :     NCEP_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
MAC1        49718.000    1995     1     1     0
MAC1        52274.750    2001    12    31    18
MAC1     -3464038.501  1334172.763 -5169224.323
MAC1          -54.500      158.936       -6.766
MAC1     NORTH_Offset  EAST_Offset    UP_Offset
49718.00    -0.165199     0.012450     0.161114
49718.25    -0.239689     0.063727     0.271177
49718.50    -0.202621     0.085396     0.072569
49718.75    -0.147655     0.045254     0.092415
49719.00    -0.162548     0.021746     0.071587
49719.25    -0.208788     0.092731     0.178776
49719.50    -0.137780     0.131599     0.006028
49719.75    -0.093284     0.108370     0.045421
49720.00    -0.087748     0.059226    -0.009573
49720.25    -0.124807     0.109579     0.111482
49720.50    -0.076352     0.163743    -0.005272
49720.75    -0.060717     0.109620     0.064115
49721.00    -0.102709     0.042878     0.035980
49721.25    -0.174422     0.067863     0.176053
49721.50    -0.186777     0.074831     0.019700
49721.75    -0.194548     0.001702     0.114858
49722.00    -0.297791    -0.083072     0.099616
49722.25    -0.394555    -0.082552     0.248987
49722.50    -0.401399    -0.081012     0.129479
49722.75    -0.413454    -0.160588     0.153065
49723.00    -0.461680    -0.230697     0.091045
49723.25    -0.520856    -0.219721     0.147282
49723.50    -0.475090    -0.220718     0.002945
49723.75    -0.393139    -0.306533     0.057245
49724.00    -0.386233    -0.406543    -0.027224
49724.25    -0.406440    -0.392073     0.033739
49724.50    -0.332048    -0.374400    -0.156197
49724.75    -0.289367    -0.390216    -0.134099
49725.00    -0.265205    -0.421213    -0.148906
49725.25    -0.263552    -0.306581    -0.081379
49725.50    -0.199061    -0.239844    -0.221804
49725.75    -0.135444    -0.220107    -0.175511
49726.00    -0.154157    -0.226570    -0.183933
49726.25    -0.159475    -0.114997    -0.050861
49726.50    -0.110432    -0.064205    -0.181083
49726.75    -0.038889    -0.055288    -0.116071
49727.00    -0.044387    -0.094849    -0.118124
49727.25    -0.070359     0.005004    -0.004910
49727.50    -0.015833     0.039243    -0.146346
49727.75     0.023439    -0.003675    -0.085621
49728.00    -0.006235    -0.074485    -0.156030
49728.25    -0.064158    -0.034278    -0.009657
49728.50    -0.031322    -0.002495    -0.126525
49728.75     0.016712    -0.042283     0.030751
49729.00    -0.025085    -0.100129     0.003335
49729.25    -0.036218    -0.032992     0.168111
49729.50    -0.007301     0.014345     0.071976
49729.75     0.017562    -0.027708     0.131751
49730.00    -0.001599    -0.068198     0.056032
49730.25    -0.026257    -0.007804     0.163178
49730.50    -0.005286     0.015615    -0.029123
49730.75     0.031253    -0.023355     0.017646
49731.00     0.009096    -0.101810    -0.009433
49731.25    -0.052625    -0.077102     0.147811
49731.50    -0.038360    -0.059347     0.040009
49731.75    -0.002184    -0.108389     0.113115
49732.00    -0.067900    -0.186154     0.092471
49732.25    -0.125943    -0.159864     0.266076
49732.50    -0.104613    -0.148954     0.165677
49732.75    -0.076623    -0.189707     0.280733
49733.00    -0.106893    -0.240718     0.272187
49733.25    -0.145538    -0.189707     0.394269
49733.50    -0.096284    -0.143853     0.249638
