 487032.84 2834596.68   -0.13 AB01F11300 20020509Y
 486609.01 2834599.62   -0.06 AB01F11300 20020509Y
 486197.28 2834600.01   -0.21 AB01F11300 20020509Y
 485806.15 2834600.11   -0.36 AB01F11300 20020509Y
 485406.67 2834596.33   -0.15 AB01F11300 20020509Y
 485014.73 2834603.52   -0.03 AB01F11300 20020509Y
 484616.18 2834598.29   -0.12 AB01F11300 20020509Y
 484207.89 2834604.15    0.21 AB01F11300 20020509Y
 483807.52 2834595.12   -0.03 AB01F11300 20020509Y
 483401.89 2834595.30   -0.12 AB01F11300 20020509Y
 482996.44 2834598.71   -0.05 AB01F11300 20020509Y
 482609.21 2834603.83   -0.06 AB01F11300 20020509Y
 482220.88 2834600.67    0.03 AB01F11300 20020509Y
 481809.95 2834610.09   -0.06 AB01F11300 20020509Y
 481409.90 2834597.01   -0.19 AB01F11300 20020509Y
 481010.31 2834592.76   -0.08 AB01F11300 20020509Y
 480606.42 2834602.90    0.01 AB01F11300 20020509Y
 480217.69 2834599.06   -0.09 AB01F11300 20020509Y
 479816.76 2834599.19    0.02 AB01F11300 20020509Y
 479356.84 2834586.44   -0.15 AB01F11300 20020509Y
 478989.43 2834595.04   -0.20 AB01F11300 20020509Y
 478623.73 2834596.02   -0.33 AB01F11300 20020509Y
 478186.55 2834601.06   -0.12 AB01F11300 20020509Y
 477787.10 2834596.93   -0.26 AB01F11300 20020509Y
 477358.04 2834602.03    0.13 AB01F11300 20020509Y
 476993.29 2834589.96   -0.07 AB01F11300 20020509Y
 476665.68 2834594.56   -0.05 AB01F11300 20020509Y
 476309.72 2834600.29   -0.12 AB01F11300 20020509Y
 475886.17 2834605.45   -0.03 AB01F11300 20020509Y
 475603.66 2834594.01    0.19 AB01F11300 20020509Y
 475423.98 2834602.31    0.06 AB01F11300 20020509Y
 484874.15 2835011.54   -0.10 AB03E11300 20020509Y
 484613.63 2834998.27   -0.19 AB03E11300 20020509Y
 484201.06 2835004.27   -0.19 AB03E11300 20020509Y
 483816.75 2834998.74   -0.04 AB03E11300 20020509Y
 483401.73 2834993.88   -0.06 AB03E11300 20020509Y
 483007.16 2834999.75   -0.11 AB03E11300 20020509Y
 482603.49 2834998.88   -0.14 AB03E11300 20020509Y
 480218.76 2835006.12   -0.14 AB03E11300 20020509Y
 479817.33 2834996.09   -0.35 AB03E11300 20020509Y
 479416.95 2835009.50   -0.44 AB03E11300 20020509Y
 479017.63 2835001.63   -0.19 AB03E11300 20020509Y
 478615.65 2834996.51   -0.21 AB03E11300 20020509Y
 478218.12 2835000.96   -0.29 AB03E11300 20020509Y
 477822.24 2834999.68   -0.12 AB03E11300 20020509Y
 477410.71 2834993.86   -0.39 AB03E11300 20020509Y
 476961.15 2835004.88   -0.11 AB03E11300 20020509Y
 476605.29 2834994.01   -0.09 AB03E11300 20020509Y
 476251.89 2834997.38   -0.06 AB03E11300 20020509Y
 475802.63 2834994.98    0.05 AB03E11300 20020509Y
 475275.55 2834996.31    0.09 AB03E11300 20020509Y
 474991.09 2835396.33    0.21 AB05D11300 20020509Y
 475425.07 2835390.90    0.12 AB05D11300 20020509Y
 475811.11 2835393.67    0.01 AB05D11300 20020509Y
 476220.68 2835394.99   -0.03 AB05D11300 20020509Y
 476615.77 2835397.50   -0.09 AB05D11300 20020509Y
 477039.78 2835404.17   -0.24 AB05D11300 20020509Y
 477445.53 2835393.47   -0.15 AB05D11300 20020509Y
 477820.65 2835400.10   -0.28 AB05D11300 20020509Y
 478215.56 2835404.49   -0.22 AB05D11300 20020509Y
 478637.23 2835401.71   -0.30 AB05D11300 20020509Y
 479039.43 2835400.34   -0.41 AB05D11300 20020509Y
 479431.50 2835405.46   -0.43 AB05D11300 20020509Y
 479821.35 2835395.78   -0.10 AB05D11300 20020509Y
 480192.33 2835398.36   -0.07 AB05D11300 20020509Y
 480645.20 2835389.40   -0.25 AB05D11300 20020509Y
 481031.86 2835393.21    0.11 AB05D11300 20020509Y
 481439.71 2835398.83    0.00 AB05D11300 20020509Y
 481824.75 2835408.89   -0.18 AB05D11300 20020509Y
 482220.82 2835391.55   -0.10 AB05D11300 20020509Y
 482606.85 2835399.35   -0.28 AB05D11300 20020509Y
 483026.59 2835401.56   -0.29 AB05D11300 20020509Y
 483411.28 2835401.33   -0.34 AB05D11300 20020509Y
 483831.77 2835398.87   -0.04 AB05D11300 20020509Y
 484217.20 2835404.50   -0.28 AB05D11300 20020509Y
 484609.93 2835394.33   -0.09 AB05D11300 20020509Y
 485015.46 2835398.59   -0.08 AB05D11300 20020509Y
 485377.57 2835437.82    0.21 AB05D11300 20020509Y
 485774.48 2835388.59   -0.14 AB05D11300 20020509Y
 486189.13 2835403.93   -0.29 AB05D11300 20020509Y
 486642.07 2835397.02   -0.03 AB05D11300 20020509Y
 487012.93 2835396.72   -0.21 AB05D11300 20020509Y
 487016.70 2835801.96   -0.03 AB07C11300 20020509Y
 486600.35 2835799.99   -0.08 AB07C11300 20020509Y
 486212.74 2835788.85   -0.09 AB07C11300 20020509Y
 485793.89 2835805.91   -0.27 AB07C11300 20020509Y
 485427.75 2835793.72    0.06 AB07C11300 20020509Y
 485110.94 2835793.22    0.09 AB07C11300 20020509Y
 484218.75 2835792.05   -0.15 AB07C11300 20020509Y
 483824.58 2835795.31   -0.02 AB07C11300 20020509Y
 483409.94 2835794.15    0.01 AB07C11300 20020509Y
 483023.96 2835797.05    0.03 AB07C11300 20020509Y
 482613.24 2835802.14   -0.22 AB07C11300 20020509Y
 482221.46 2835803.21    0.00 AB07C11300 20020509Y
 481825.07 2835799.75   -0.04 AB07C11300 20020509Y
 481434.58 2835803.50    0.01 AB07C11300 20020509Y
 481016.33 2835789.90    0.03 AB07C11300 20020509Y
 480596.60 2835793.48   -0.02 AB07C11300 20020509Y
 480217.67 2835792.06    0.15 AB07C11300 20020509Y
 479813.74 2835802.66    0.12 AB07C11300 20020509Y
 479427.91 2835801.35   -0.14 AB07C11300 20020509Y
 479009.63 2835800.81   -0.35 AB07C11300 20020509Y
 478611.87 2835803.63   -0.23 AB07C11300 20020509Y
