                                                       20 May 2008 10:36:50
Satellite-CALIPSO-Sensor-LIDAR_3deg


       Time (UTCG)          Latitude (deg)    Longitude (deg)    Range (km)
------------------------    --------------    ---------------    ----------
21 May 2008 00:46:59.874           25.1647          -169.5062    705.836454
21 May 2008 00:47:09.000           25.7142          -169.6415    705.898146
21 May 2008 00:47:19.000           26.3163          -169.7907    705.968596
21 May 2008 00:47:29.000           26.9183          -169.9410    706.041969
21 May 2008 00:47:39.000           27.5201          -170.0925    706.118204
21 May 2008 00:47:49.000           28.1217          -170.2452    706.197241
21 May 2008 00:47:59.000           28.7233          -170.3991    706.279019
21 May 2008 00:48:09.000           29.3246          -170.5543    706.363473
21 May 2008 00:48:19.000           29.9259          -170.7109    706.450541
21 May 2008 00:48:29.000           30.5269          -170.8689    706.540157
21 May 2008 00:48:39.000           31.1279          -171.0282    706.632256
21 May 2008 00:48:49.000           31.7286          -171.1891    706.726770
21 May 2008 00:48:59.000           32.3292          -171.3515    706.823632
21 May 2008 00:49:09.000           32.9296          -171.5155    706.922773
21 May 2008 00:49:19.000           33.5298          -171.6812    707.024123
21 May 2008 00:49:29.000           34.1299          -171.8486    707.127613
21 May 2008 00:49:39.000           34.7297          -172.0178    707.233171
21 May 2008 00:49:49.000           35.3294          -172.1888    707.340725
21 May 2008 00:49:59.000           35.9289          -172.3618    707.450202
21 May 2008 00:50:09.000           36.5281          -172.5367    707.561530
21 May 2008 00:50:19.000           37.1272          -172.7137    707.674633
21 May 2008 00:50:29.000           37.7260          -172.8929    707.789438
21 May 2008 00:50:39.000           38.3246          -173.0743    707.905869
21 May 2008 00:50:49.000           38.9229          -173.2580    708.023851
21 May 2008 00:50:59.000           39.5211          -173.4441    708.143306
21 May 2008 00:51:09.000           40.1189          -173.6326    708.264159
21 May 2008 00:51:19.000           40.7166          -173.8238    708.386332
21 May 2008 00:51:29.000           41.3139          -174.0177    708.509748
21 May 2008 00:51:39.000           41.9110          -174.2144    708.634329
21 May 2008 00:51:49.000           42.5078          -174.4139    708.759996
21 May 2008 00:51:59.000           43.1043          -174.6165    708.886670
21 May 2008 00:52:09.000           43.7006          -174.8223    709.014274
21 May 2008 00:52:18.235           44.2509          -175.0152    709.132871

       Time (UTCG)          Latitude (deg)    Longitude (deg)    Range (km)
------------------------    --------------    ---------------    ----------
