"Symbol","Scientific Name with Author","GSAT Common Name"
"2AB","","Alga, Brown"
"2AFW","","Alga, Freshwater"
"2AG","","Alga, Green"
"2ALGA","","Alga"
"2AM","","Alga, Marine"
"2AR","","Alga, Red"
"2BACT","","Bacteria"
"2BARE","","Bare Ground"
"2BRY","","Bryophyte (moss, liverwort, hornwort)"
"2CYAN","","Cyanobacteria"
"2DIAT","","Diatom"
"2DINO","","Dinoflagellate"
"2FA","","Forb, annual"
"2FB","","Forb, biennial"
"2FD","","Forb, dicot"
"2FDA","","Forb, dicot, annual"
"2FDB","","Forb, dicot, biennial"
"2FDP","","Forb, dicot, perennial"
"2FERN","","Fern or Fern Ally"
"2FF","","Fungus, fleshy (mushroom)"
"2FJ","","Fungus, Jelly"
"2FM","","Forb, monocot"
"2FMA","","Forb, monocot, annual"
"2FMB","","Forb, monocot, biennial"
"2FMP","","Forb, monocot, perennial"
"2FORB","","Forb (herbaceous, not grass nor grasslike)"
"2FP","","Forb, perennial"
"2FR","","Fungus, Rust"
"2FS","","Forb, succulent"
"2FSA","","Forb, succulent, annual"
"2FSB","","Forb, succulent, biennial"
"2FSMUT","","Fungus, Smut"
"2FSP","","Forb, succulent, perennial"
"2FUNGI","","Fungus"
"2GA","","Grass, annual"
"2GB","","Grass, biennial"
"2GL","","Grasslike (not a true grass)"
"2GLA","","Grasslike, annual"
"2GLB","","Grasslike, biennial"
"2GLP","","Grasslike, perennial"
"2GP","","Grass, perennial"
"2GRAM","","Graminoid (grass or grasslike)"
"2GW","","Grass, woody (bamboo, etc.)"
"2HORN","","Hornwort"
"2LC","","Lichen, crustose"
"2LCB","","Lichen, crustose, bullate (inflated)"
"2LCE","","Lichen, crustose, endolithic"
"2LCGEL","","Lichen, crustose, gelatinous"
"2LCGON","","Lichen, crustose, goniocysts"
"2LCN","","Lichen, crustose, endophloeodic"
"2LCP","","Lichen, crustose, powdery"
"2LCQ","","Lichen, crustose, squamulose"
"2LCS","","Lichen, crustose, suffruticose"
"2LF","","Lichen, foliose"
"2LFL","","Lichen, foliose, laciniate"
"2LFU","","Lichen, foliose, umbilicate"
"2LICHN","","Lichen"
"2LTR","","Litter"
"2LTRH","","Litter, herbaceous"
"2LTRL","","Litter, lichen"
"2LTRWL","","Litter, woody, > 2.5 cm"
"2LTRWS","","Litter, woody, < 2.5 cm"
"2LU","","Lichen, fruticose"
"2LUF","","Lichen, fruticose, fenestrate lobes"
"2LUR","","Lichen, fruticose, radial symmetric thallus with fibrils"
"2LUV","","Lichen, fruiticose, vertical thallus"
"2LW","","Liverwort"
"2LWL","","Liverwort, leafy"
"2LWT","","Liverwort, thallose"
"2MOSS","","Moss"
"2PLANT","","Plant"
"2PROT","","Protista"
"2RB","","Rock, bedrock"
"2RF","","Rock, fragments"
"2SB","","Shrub, broadleaf"
"2SD","","Shrub, deciduous"
"2SDB","","Shrub, deciduous, broadleaf"
"2SDBD","","Shrub, deciduous, broadleaf, dicot"
"2SDBM","","Shrub, deciduous, broadleaf, monocot"
"2SDN","","Shrub, deciduous, needleleaf"
"2SE","","Shrub, evergreen"
"2SEB","","Shrub, evergreen, broadleaf"
"2SEBD","","Shrub, evergreen, broadleaf, dicot"
"2SEBM","","Shrub, evergreen, broadleaf, monocot"
"2SEN","","Shrub, evergreen, needleleaf"
"2SHRUB","","Shrub (>.5m)"
"2SLIME","","Slime Mold"
"2SN","","Shrub, needleleaf (coniferous)"
"2SS","","Shrub, succulent"
"2SSB","","Subshrub, broadleaf"
"2SSD","","Subshrub, deciduous"
"2SSDB","","Subshrub, deciduous, broadleaf"
"2SSDBD","","Subshrub, deciduous, broadleaf, dicot"
"2SSDBM","","Subshrub, deciduous, broadleaf, monocot"
"2SSDN","","Subshrub, deciduous, needleleaf"
"2SSE","","Subshrub, evergreen"
"2SSEB","","Subshrub, evergreen, broadleaf"
"2SSEBD","","Subshrub, evergreen, broadleaf, dicot"
"2SSEBM","","Subshrub, evergreen, broadleaf, monocot"
"2SSEN","","Subshrub, evergreen, needleleaf"
"2SSL","","Shrub, succulent, leaf"
"2SSN","","Subshrub, needleleaf (coniferous)"
"2SSS","","Shrub, succulent, stem"
"2SSSL","","Subshrub, succulent, leaf"
"2SSSS","","Subshrub, succulent, stem"
"2SUBS","","Subshrub (<.5m)"
"2TB","","Tree, broadleaf"
"2TD","","Tree, deciduous"
"2TDB","","Tree, deciduous, broadleaf"
"2TDBD","","Tree, deciduous, broadleaf, dicot"
"2TDBM","","Tree, deciduous, broadleaf, monocot"
"2TDN","","Tree, deciduous, needleleaf"
"2TE","","Tree, evergreen"
"2TEB","","Tree, evergreen, broadleaf"
"2TEBD","","Tree, evergreen, broadleaf, dicot"
"2TEBM","","Tree, evergreen, broadleaf, monocot"
"2TEN","","Tree, evergreen, needleleaf"
"2TN","","Tree, needleleaf (coniferous)"
"2TREE","","Tree"
"2TS","","Tree, succulent"
"2TSL","","Tree, succulent, leaf"
"2TSS","","Tree, succulent, stem"
"2VH","","Vine, herbaceous"
"2VHA","","Vine, herbaceous, annual"
"2VHD","","Vine, herbaceous, dicot"
"2VHDA","","Vine, herbaceous, dicot, annual"
"2VHDP","","Vine, herbaceous, dicot, perennial"
"2VHM","","Vine, herbaceous, monocot"
"2VHMA","","Vine, herbaceous, monocot, annual"
"2VHMP","","Vine, herbaceous, monocot, perennial"
"2VHP","","Vine, herbaceous, perennial"
"2VHS","","Vine, herbaceous, succulent"
"2VHSA","","Vine, herbaceous, succulent, annual"
"2VHSP","","Vine, herbaceous, succulent, perennial"
"2VW","","Vine, woody"
"2VWD","","Vine, woody, deciduous"
"2VWDD","","Vine, woody, deciduous, dicot"
"2VWDM","","Vine, woody, deciduous, monocot"
"2VWE","","Vine, woody, evergreen"
"2VWED","","Vine, woody, evergreen, dicot"
"2VWEM","","Vine, woody, evergreen, monocot"
"2W","","Water"
"ABELM","Abelmoschus Medik.","okra"
"ABES","Abelmoschus esculentus (L.) Moench","okra"
"ABHU","Abutilon hulseanum (Torr. & A. Gray) Torr. ex A. Gray","mauve"
"ABTH","Abutilon theophrasti Medik.","velvetleaf"
"ABUTI","Abutilon Mill.","Indian mallow"
"ACACI","Acacia Mill.","acacia"
"ACAL2","Acalypha alopecuroidea Jacq.","foxtail copperleaf"
"ACALY","Acalypha L.","copperleaf"
"ACAN","Acacia angustissima (Mill.) Kuntze","prairie acacia"
"ACANH","Acacia angustissima (Mill.) Kuntze var. hirta (Nutt.) B.L. Rob.","prairie acacia"
"ACANT3","Acanthospermum Schrank","starburr"
"ACAS","Achyranthes aspera L.","devil's horsewhip"
"ACASA","Achyranthes aspera L. var. aspera","devil's horsewhip"
"ACAU2","Acanthospermum australe (Loefl.) Kuntze","Paraguayan starburr"
"ACBA3","Acer barbatum Michx.","southern sugar maple"
"ACCA4","Acorus calamus L.","calamus"
"ACER","Acer L.","maple"
"ACFA","Acacia farnesiana (L.) Willd.","sweet acacia"
"ACGR2","Acalypha gracilens A. Gray","slender threeseed mercury"
"ACHIL","Achillea L.","yarrow"
"ACHYR2","Achyranthes L.","chaff flower"
"ACLE","Acer leucoderme Small","chalk maple"
"ACMEL","Acmella Rich. ex Pers.","spotflower"
"ACMI2","Achillea millefolium L.","common yarrow"
"ACMIO","Achillea millefolium L. var. occidentalis DC.","western yarrow"
"ACNE2","Acer negundo L.","boxelder"
"ACNEN","Acer negundo L. var. negundo","boxelder"
"ACNET","Acer negundo L. var. texanum Pax","boxelder"
"ACOP","Acmella oppositifolia (Lam.) R.K. Jansen","oppositeleaf spotflower"
"ACOPR","Acmella oppositifolia (Lam.) R.K. Jansen var. repens (Walter) R.K. Jansen","oppositeleaf spotflower"
"ACORU","Acorus L.","sweetflag"
"ACOS","Acalypha ostryifolia Riddell","pineland threeseed mercury"
"ACPA","Actaea pachypoda Elliot","white baneberry"
"ACRH","Acalypha rhomboidea Raf.","common threeseed mercury"
"ACRU","Acer rubrum L.","red maple"
"ACRUD","Acer rubrum L. var. drummondii (Hook. & Arn. ex Nutt.) Sarg.","Drummond's maple"
"ACRUR","Acer rubrum L. var. rubrum","red maple"
"ACRUT","Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch","red maple"
"ACSA2","Acer saccharinum L.","silver maple"
"ACSA3","Acer saccharum Marsh.","sugar maple"
"ACSAS","Acer saccharum Marsh. var. saccharum","sugar maple"
"ACSE","Acalypha setosa A. Rich.","Cuban copperleaf"
"ACTAE","Actaea L.","baneberry"
"ACVI","Acalypha virginica L.","Virginia threeseed mercury"
"ADAN","Adonis annua L.","blooddrops"
"ADCA","Adiantum capillus-veneris L.","common maidenhair"
"ADHI","Adiantum hispidulum Sw.","rough maidenhair"
"ADIAN","Adiantum L.","maidenhair fern"
"ADONI","Adonis L.","pheasant's eye"
"ADPE","Adiantum pedatum L.","northern maidenhair"
"AEAM","Aeschynomene americana L.","shyleaf"
"AECY","Aegilops cylindrica Host","jointed goatgrass"
"AEGIL","Aegilops L.","goatgrass"
"AEIN","Aeschynomene indica L.","Indian jointvetch"
"AEPA","Aesculus pavia L.","red buckeye"
"AEPAP","Aesculus pavia L. var. pavia","red buckeye"
"AERU","Aeschynomene rudis Benth.","zigzag jointvetch"
"AESCH","Aeschynomene L.","jointvetch"
"AESCU","Aesculus L.","buckeye"
"AGAL5","Ageratina altissima (L.) King & H. Rob.","white snakeroot"
"AGALA","Ageratina altissima (L.) King & H. Rob. var. altissima","white snakeroot"
"AGALA2","Ageratina altissima (L.) King & H. Rob. var. angustata (A. Gray) Clewell & Woot.","white snakeroot"
"AGALI","Agalinis Raf.","false foxglove"
"AGAM","Agave americana L.","American century plant"
"AGAMA","Agave americana L. ssp. americana","American century plant"
"AGAMA2","Agave americana L. ssp. americana var. americana","American century plant"
"AGAP3","Agalinis aphylla (Nutt.) Raf.","scaleleaf false foxglove"
"AGAR4","Ageratina aromatica (L.) Spach","lesser snakeroot"
"AGARA","Ageratina aromatica (L.) Spach var. aromatica","lesser snakeroot"
"AGAVE","Agave L.","agave"
"AGCA8","Agalinis caddoensis Pennell","Caddo false foxglove"
"AGCO","Ageratum conyzoides L.","tropical whiteweed"
"AGEL4","Agrostis elliottiana Schult.","Elliott's bentgrass"
"AGERA","Ageratum L.","whiteweed"
"AGERA2","Ageratina Spach","snakeroot"
"AGFA2","Agalinis fasciculata (Elliot) Raf.","beach false foxglove"
"AGFI","Agalinis filicaulis (Benth.) Pennell","Jackson false foxglove"
"AGGA","Agalinis gattingeri (Small) Small","roundstem false foxglove"
"AGGI","Agrostemma githago L.","common corncockle"
"AGGI2","Agrostis gigantea Roth","redtop"
"AGGR2","Agrimonia gryposepala Wallr.","tall hairy agrimony"
"AGHA3","Agalinis harperi Pennell","coastal plain false foxglove"
"AGHE4","Agalinis heterophylla (Nutt.) Small ex Britton","prairie false foxglove"
"AGHO4","Agalinis homalantha Pennell","San Antonio false foxglove"
"AGHY","Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.","winter bentgrass"
"AGIN3","Agrimonia incisa Torr. & A. Gray","incised agrimony"
"AGLI","×Agropogon littoralis (Sm.) C.E. Hubbard [Agrostis stolonifera × Polypogon monospeliensis]","coast agropogon"
"AGLI2","Agalinis linifolia (Nutt.) Britton","flaxleaf false foxglove"
"AGMA3","Agalinis maritima (Raf.) Raf.","saltmarsh false foxglove"
"AGMAG","Agalinis maritima (Raf.) Raf. var. grandiflora (Benth.) Shinners","saltmarsh false foxglove"
"AGMI2","Agrimonia microcarpa Wallr.","smallfruit agrimony"
"AGOB","Agalinis obtusifolia Raf.","tenlobe false foxglove"
"AGOL","Agalinis oligophylla Pennell","ridgestem false foxglove"
