NuoscProb: ctrls: 0
prob-load: unknown option -g.
optitr.index=1
using cp phase: 0
prob-load: unknown option --lin.
optitr.index=15
prob-load: unknown option -o.
optitr.index=19
prob-load: unknown option --.
optitr.index=19
prob-load: unknown option -g.
prob-load: unknown option -o.
prob-load: unknown option --.
prob-load: unknown option -o.
prob-load: unknown option --.
prob: ctrls: 0
1e+07 0.0148556 0.28995 0.695194
2e+07 0.386639 0.210193 0.403168
3e+07 0.00321516 0.970628 0.026157
4e+07 0.371404 0.16549 0.463107
5e+07 0.533108 0.17596 0.290932
6e+07 0.397475 0.257841 0.344684
7e+07 0.392587 0.426022 0.181391
8e+07 0.407461 0.524781 0.0677579
9e+07 0.25774 0.483708 0.258552
1e+08 0.285844 0.683573 0.030583
1.1e+08 0.239328 0.0618076 0.698864
1.2e+08 0.276296 0.137486 0.586218
1.3e+08 0.247138 0.212702 0.54016
1.4e+08 0.201092 0.0204179 0.77849
1.5e+08 0.109297 0.270223 0.62048
1.6e+08 0.109536 0.885771 0.00469332
1.7e+08 0.152315 0.0443606 0.803324
1.8e+08 0.0620258 0.83619 0.101784
1.9e+08 0.12697 0.0396711 0.833359
2e+08 0.0639064 0.934084 0.00200962
2.1e+08 0.0671714 0.152364 0.780465
2.2e+08 0.103614 0.38102 0.515366
2.3e+08 0.0386513 0.94382 0.0175288
2.4e+08 0.0449225 0.253992 0.701085
2.5e+08 0.0855214 0.078933 0.835546
2.6e+08 0.0616224 0.741618 0.19676
2.7e+08 0.0209397 0.923059 0.0560016
2.8e+08 0.0270676 0.386065 0.586867
2.9e+08 0.0576947 0.00321858 0.939087
3e+08 0.0659733 0.236707 0.697319
3.1e+08 0.0450616 0.736405 0.218533
3.2e+08 0.0182916 0.981267 0.000441735
3.3e+08 0.00953563 0.775463 0.215001
3.4e+08 0.0201192 0.367715 0.612166
3.5e+08 0.0391 0.0419938 0.918906
3.6e+08 0.0496482 0.0311265 0.919225
3.7e+08 0.047939 0.275661 0.6764
3.8e+08 0.0359042 0.622904 0.341192
3.9e+08 0.0209197 0.891446 0.0876344
4e+08 0.00849446 0.990386 0.00111988
4.1e+08 0.00401181 0.896654 0.0993342
4.2e+08 0.00658702 0.665712 0.327701
4.3e+08 0.014399 0.386575 0.599026
4.4e+08 0.0234151 0.161764 0.814821
4.5e+08 0.0314483 0.0248941 0.943658
4.6e+08 0.0360546 0.00640953 0.957536
4.7e+08 0.0368321 0.0862676 0.8769
4.8e+08 0.0340212 0.249742 0.716237
4.9e+08 0.0280667 0.466005 0.505928
5e+08 0.0210231 0.668165 0.310812
5.1e+08 0.0138182 0.838857 0.147325
5.2e+08 0.00773542 0.95104 0.0412249
5.3e+08 0.00363145 0.995301 0.00106741
5.4e+08 0.00134383 0.978492 0.0201646
5.5e+08 0.0011505 0.900726 0.098123
5.6e+08 0.00272315 0.787186 0.21009
5.7e+08 0.00556757 0.649777 0.344655
5.8e+08 0.00912415 0.506978 0.483898
5.9e+08 0.0127831 0.376003 0.611214
6e+08 0.0169312 0.241403 0.741666
6.1e+08 0.0209294 0.12472 0.85435
6.2e+08 0.0240532 0.0458479 0.930099
6.3e+08 0.0258504 0.0101916 0.963958
6.4e+08 0.0269245 0.000352793 0.972723
6.5e+08 0.0272135 0.022489 0.950298
6.6e+08 0.0265375 0.0726371 0.900825
6.7e+08 0.0252804 0.134774 0.839945
6.8e+08 0.0234303 0.215533 0.761037
6.9e+08 0.0212163 0.304048 0.674735
7e+08 0.0185423 0.406127 0.575331
7.1e+08 0.0153563 0.523184 0.46146
7.2e+08 0.0128283 0.611091 0.376081
7.3e+08 0.0101294 0.703186 0.286685
7.4e+08 0.00768495 0.783995 0.20832
7.5e+08 0.00523482 0.862798 0.131967
7.6e+08 0.00388261 0.903439 0.0926784
7.7e+08 0.00208172 0.956413 0.0415055
7.8e+08 0.0011792 0.980039 0.0187822
7.9e+08 0.000304774 0.998557 0.00113805
8e+08 5.08246e-05 0.998716 0.00123315
8.1e+08 7.91423e-05 0.988628 0.0112932
8.2e+08 0.000470847 0.964172 0.035357
8.3e+08 0.0010248 0.936765 0.0622101
8.4e+08 0.00213654 0.885913 0.111951
8.5e+08 0.00315359 0.842117 0.154729
8.6e+08 0.00454296 0.783518 0.211939
8.7e+08 0.00583741 0.730422 0.26374
8.8e+08 0.00691884 0.687017 0.306064
8.9e+08 0.00895444 0.603523 0.387522
9e+08 0.010279 0.550378 0.439343
9.1e+08 0.0116557 0.494839 0.493505
9.2e+08 0.0134817 0.420355 0.566164
9.3e+08 0.0145908 0.37562 0.609789
9.4e+08 0.0159283 0.320723 0.663348
9.5e+08 0.017244 0.266182 0.716574
9.6e+08 0.0185663 0.210424 0.771009
9.7e+08 0.0191845 0.184159 0.796656
9.8e+08 0.0203437 0.133751 0.845905
9.9e+08 0.0209782 0.105104 0.873918
1e+09 0.0214153 0.0847961 0.893789
1.01e+09 0.0219465 0.0588431 0.91921
1.02e+09 0.0224641 0.0319883 0.945548
1.03e+09 0.0227206 0.0157242 0.961555
1.04e+09 0.0227809 0.00907159 0.968148
1.05e+09 0.0227885 0.000458533 0.976753
1.06e+09 0.0226839 0.000208225 0.977108
1.07e+09 0.0224959 0.00217491 0.975329
1.08e+09 0.0221103 0.010402 0.967488
1.09e+09 0.0218712 0.0153932 0.962736
1.1e+09 0.02117 0.0358462 0.942984
1.11e+09 0.0207469 0.0475674 0.931686
1.12e+09 0.0202942 0.0606986 0.919007
1.13e+09 0.0196706 0.0800668 0.900263
1.14e+09 0.0185864 0.117658 0.863755
1.15e+09 0.0180163 0.136001 0.845983
1.16e+09 0.0171216 0.167245 0.815633
1.17e+09 0.0165759 0.185034 0.798391
1.18e+09 0.0156015 0.220558 0.763841
1.19e+09 0.0145062 0.261879 0.723614
1.2e+09 0.0136573 0.293506 0.692837
1.21e+09 0.0132509 0.306533 0.680216
1.22e+09 0.0121414 0.350207 0.637652
1.23e+09 0.011589 0.370135 0.618276
1.24e+09 0.0105899 0.410539 0.578871
1.25e+09 0.00993674 0.43583 0.554233
1.26e+09 0.00916065 0.467346 0.523493
1.27e+09 0.00817791 0.509217 0.482605
1.28e+09 0.00744471 0.540206 0.452349
1.29e+09 0.00690819 0.562615 0.430477
1.3e+09 0.00591739 0.60791 0.386173
1.31e+09 0.00543609 0.628736 0.365828
1.32e+09 0.00507172 0.644016 0.350913
1.33e+09 0.00435933 0.678139 0.317501
1.34e+09 0.00381125 0.704781 0.291408
1.35e+09 0.00329306 0.730648 0.266059
1.36e+09 0.00279432 0.756576 0.24063
1.37e+09 0.00230261 0.783322 0.214375
1.38e+09 0.00197957 0.800945 0.197075
1.39e+09 0.0015307 0.828203 0.170266
1.4e+09 0.00126765 0.844173 0.154559
1.41e+09 0.00116226 0.849375 0.149462
1.42e+09 0.000748094 0.879828 0.119424
1.43e+09 0.000513075 0.898987 0.1005
1.44e+09 0.000333529 0.915563 0.0841031
1.45e+09 0.000242891 0.924809 0.0749476
1.46e+09 0.00017665 0.932708 0.0671156
1.47e+09 0.000124068 0.940294 0.0595821
1.48e+09 9.20006e-05 0.94638 0.0535276
1.49e+09 6.51802e-05 0.95626 0.0436744
1.5e+09 0.000127058 0.977832 0.0220408
1.51e+09 0.000169411 0.981011 0.0188195
1.52e+09 0.000266005 0.986612 0.0131218
1.53e+09 0.000314929 0.988117 0.0115679
1.54e+09 0.000464581 0.99264 0.00689569
1.55e+09 0.00064554 0.995885 0.00346929
1.56e+09 0.000858939 0.997931 0.00121014
1.57e+09 0.000889274 0.997892 0.00121918
1.58e+09 0.00139121 0.998399 0.000209625
1.59e+09 0.00157076 0.997689 0.000740458
1.6e+09 0.001792 0.996375 0.00183293
1.61e+09 0.00197877 0.995058 0.00296346
1.62e+09 0.00221596 0.993002 0.0047825
1.63e+09 0.00249541 0.990117 0.00738734
1.64e+09 0.00305954 0.982389 0.0145519
1.65e+09 0.00323338 0.980343 0.0164238
1.66e+09 0.00356131 0.975472 0.0209672
1.67e+09 0.00423284 0.963431 0.0323359
1.68e+09 0.00446937 0.959686 0.0358446
1.69e+09 0.00469813 0.956085 0.0392166
1.7e+09 0.0051143 0.948154 0.0467321
1.71e+09 0.00555214 0.939355 0.0550927
1.72e+09 0.00594369 0.93137 0.0626863
1.73e+09 0.00627896 0.924792 0.0689287
1.74e+09 0.0065274 0.920211 0.073262
1.75e+09 0.00713645 0.906087 0.0867765
1.76e+09 0.00731497 0.90329 0.0893952
1.77e+09 0.00786111 0.890322 0.101817
1.78e+09 0.00871098 0.868224 0.123065
1.79e+09 0.0093233 0.85237 0.138306
1.8e+09 0.00941401 0.852009 0.138577
1.81e+09 0.00948426 0.852359 0.138157
1.82e+09 0.0104396 0.825494 0.164066
1.83e+09 0.0108706 0.814506 0.174623
1.84e+09 0.0111414 0.808571 0.180288
1.85e+09 0.0116001 0.796313 0.192087
1.86e+09 0.0120567 0.784126 0.203817
1.87e+09 0.0124634 0.773418 0.214118
1.88e+09 0.0130573 0.756209 0.230734
1.89e+09 0.0134385 0.745904 0.240658
1.9e+09 0.0140939 0.726144 0.259762
1.91e+09 0.0146349 0.709974 0.275391
1.92e+09 0.0148067 0.707014 0.27818
1.93e+09 0.0153758 0.689597 0.295027
1.94e+09 0.0154498 0.690138 0.294412
1.95e+09 0.0155614 0.689142 0.295297
1.96e+09 0.0162892 0.665441 0.31827
1.97e+09 0.0168513 0.64755 0.335598
1.98e+09 0.0170665 0.642827 0.340107
1.99e+09 0.0175161 0.628748 0.353735
2e+09 0.017735 0.623784 0.358481
2.01e+09 0.0182658 0.606177 0.375557
2.02e+09 0.0188753 0.585257 0.395868
2.03e+09 0.0194458 0.565917 0.414637
2.04e+09 0.0197186 0.558513 0.421769
2.05e+09 0.0201736 0.543046 0.436781
2.06e+09 0.0203255 0.540169 0.439505
2.07e+09 0.020437 0.539183 0.44038
2.08e+09 0.021151 0.512681 0.466168
2.09e+09 0.0214559 0.503025 0.47552
2.1e+09 0.0218532 0.489597 0.48855
2.11e+09 0.0222004 0.47811 0.49969
2.12e+09 0.0225418 0.466233 0.511226
2.13e+09 0.0227135 0.462371 0.514915
2.14e+09 0.0228417 0.460398 0.51676
2.15e+09 0.0231807 0.448776 0.528043
2.16e+09 0.0235657 0.434672 0.541762
2.17e+09 0.0238369 0.425738 0.550425
2.18e+09 0.0241957 0.412937 0.562868
2.19e+09 0.0249544 0.379542 0.595504
2.2e+09 0.0248948 0.386955 0.58815
2.21e+09 0.0254156 0.364512 0.610073
2.22e+09 0.0257032 0.353727 0.62057
2.23e+09 0.0260597 0.33944 0.6345
2.24e+09 0.0264796 0.320933 0.652587
2.25e+09 0.0264476 0.327155 0.646397
2.26e+09 0.0266842 0.318175 0.655141
2.27e+09 0.0268607 0.313243 0.659896
2.28e+09 0.0268063 0.320238 0.652956
2.29e+09 0.027196 0.302959 0.669845
2.3e+09 0.027332 0.299456 0.673212
2.31e+09 0.0278245 0.275189 0.696986
2.32e+09 0.0277894 0.282121 0.69009
2.33e+09 0.0280678 0.269681 0.702251
2.34e+09 0.02806 0.274917 0.697023
2.35e+09 0.0284935 0.252132 0.719374
2.36e+09 0.0287434 0.241075 0.730182
2.37e+09 0.0289106 0.236031 0.735058
2.38e+09 0.0292049 0.220098 0.750697
2.39e+09 0.0294031 0.211543 0.759054
2.4e+09 0.0295173 0.208289 0.762193
2.41e+09 0.0296018 0.207138 0.76326
2.42e+09 0.0298436 0.194713 0.775443
2.43e+09 0.0301098 0.178369 0.791521
2.44e+09 0.0301812 0.177888 0.791931
2.45e+09 0.0303897 0.166373 0.803237
2.46e+09 0.0304611 0.165991 0.803548
2.47e+09 0.0304765 0.170722 0.798802
2.48e+09 0.0305917 0.166922 0.802486
2.49e+09 0.0307584 0.158497 0.810745
2.5e+09 0.0309265 0.147765 0.821309
2.51e+09 0.0309803 0.149213 0.819807
2.52e+09 0.0311183 0.142003 0.826879
2.53e+09 0.031214 0.137743 0.831043
2.54e+09 0.0313582 0.128527 0.840115
2.55e+09 0.0314575 0.124795 0.843747
2.56e+09 0.0315557 0.119003 0.849441
2.57e+09 0.0316216 0.118795 0.849583
2.58e+09 0.0318112 0.0999981 0.868191
2.59e+09 0.0318566 0.102169 0.865974
2.6e+09 0.0319789 0.087989 0.880032
2.61e+09 0.0320352 0.0895713 0.878393
2.62e+09 0.0321186 0.0794718 0.88841
2.63e+09 0.0321747 0.0804444 0.887381
2.64e+09 0.0322387 0.0753127 0.892449
2.65e+09 0.0322998 0.0761652 0.891535
2.66e+09 0.0323569 0.0750151 0.892628
2.67e+09 0.0324057 0.0799596 0.887635
2.68e+09 0.0324603 0.0617423 0.905797
2.69e+09 0.0324975 0.056436 0.911067
2.7e+09 0.0325558 0.0574885 0.909956
2.71e+09 0.0326253 0.0622443 0.90513
2.72e+09 0.032637 0.0506901 0.916673
2.73e+09 0.0326948 0.0519878 0.915317
2.74e+09 0.0327347 0.0487521 0.918513
2.75e+09 0.0327653 0.0455672 0.921668
2.76e+09 0.032753 0.0387892 0.928458
2.77e+09 0.0328763 0.046113 0.921011
2.78e+09 0.0328168 0.0356534 0.93153
2.79e+09 0.0328938 0.0376554 0.929451
2.8e+09 0.032874 0.0321816 0.934944
2.81e+09 0.0328966 0.0309405 0.936163
2.82e+09 0.0329231 0.0296606 0.937416
2.83e+09 0.0329306 0.0271061 0.939963
2.84e+09 0.0328626 0.0212832 0.945854
2.85e+09 0.0328503 0.0191424 0.948007
2.86e+09 0.0328601 0.0177748 0.949365
2.87e+09 0.0328738 0.0166378 0.950488
2.88e+09 0.0328273 0.01395 0.953223
2.89e+09 0.0329025 0.0149052 0.952192
2.9e+09 0.032837 0.0119899 0.955173
2.91e+09 0.0327617 0.00943069 0.957808
2.92e+09 0.0328783 0.0109058 0.956216
2.93e+09 0.0326693 0.0064335 0.960897
2.94e+09 0.0328758 0.00914523 0.957979
2.95e+09 0.032831 0.00760479 0.959564
2.96e+09 0.0327444 0.00574597 0.96151
2.97e+09 0.0328876 0.00717666 0.959936
2.98e+09 0.0328507 0.00610233 0.961047
2.99e+09 0.0328035 0.00490516 0.962291
3e+09 0.0327026 0.00348902 0.963808
3.01e+09 0.0326555 0.0027424 0.964602
3.02e+09 0.0326189 0.00220262 0.965178
3.03e+09 0.0327124 0.00254327 0.964744
3.04e+09 0.0326874 0.00209477 0.965218
3.05e+09 0.0325856 0.0013179 0.966096
3.06e+09 0.0325293 0.000915148 0.966556
3.07e+09 0.0324248 0.000521927 0.967053
3.08e+09 0.0326134 0.000940423 0.966446
3.09e+09 0.0326452 0.000936425 0.966418
3.1e+09 0.0324434 0.000371412 0.967185
3.11e+09 0.0324129 0.000308073 0.967279
3.12e+09 0.0324432 0.000308046 0.967249
3.13e+09 0.0324001 0.000291856 0.967308
3.14e+09 0.0324456 0.000292334 0.967262
3.15e+09 0.0321967 0.000626751 0.967177
3.16e+09 0.0319484 0.00159841 0.966453
3.17e+09 0.0321032 0.0011107 0.966786
3.18e+09 0.0318189 0.00252897 0.965652
3.19e+09 0.0320283 0.00166078 0.966311
3.2e+09 0.0317685 0.00315827 0.965073
3.21e+09 0.0318785 0.00273268 0.965389
3.22e+09 0.0317798 0.00348618 0.964734
3.23e+09 0.031801 0.00353008 0.964669
3.24e+09 0.0317844 0.0038346 0.964381
3.25e+09 0.0318021 0.00394059 0.964257
3.26e+09 0.031652 0.00521127 0.963137
3.27e+09 0.0317224 0.00494906 0.963329
3.28e+09 0.0315381 0.00660157 0.96186
3.29e+09 0.0311218 0.0106857 0.958192
