_LRT_EF_COVERAGE_SRC_EZ.PGM_SYS_ACRNM,V_LRT_EF_COVERAGE_SRC_EZ.PGM_SYS_ID,V_LRT_EF_COVERAGE_SRC_EZ.REGISTRY_ID,V_LRT_EF_COVERAGE_SRC_EZ.PRIMARY_NAME,V_LRT_EF_COVERAGE_SRC_EZ.CITY_NAME,V_LRT_EF_COVERAGE_SRC_EZ.COUNTY_NAME,V_LRT_EF_COVERAGE_SRC_EZ.LOCATION_ADDRESS,V_LRT_EF_COVERAGE_SRC_EZ.STATE_CODE,V_LRT_EF_COVERAGE_SRC_EZ.POSTAL_CODE,V_LRT_EF_COVERAGE_SRC_EZ.STATE_NAME,V_LRT_EF_COVERAGE_SRC_EZ.FEDERAL_FACILITY_CODE,V_LRT_EF_COVERAGE_SRC_EZ.TRIBAL_LAND_CODE,V_LRT_EF_COVERAGE_SRC_EZ.TRIBAL_LAND_NAME,V_LRT_EF_COVERAGE_SRC_EZ.LATITUDE,V_LRT_EF_COVERAGE_SRC_EZ.LONGITUDE
FRS,110013286880,110013286880,SETCO SOLID TIRE & RIM,IDABEL,MC CURTAIN,1803 SEMINOLE ST.,OK,74745,OKLAHOMA,,N,,33.911944,-94.844722
FRS,110007162827,110007162827,CDR SYS CORP       /WAYNOKA PLT,WAYNOKA,WOODS,1 MI N OF HWY 281,OK,73860,OKLAHOMA,,N,,36.591667,-98.875
FRS,110000602517,110000602517,CARGILL  INC,GUYMON,TEXAS,GUYMON INDUSTRIAL PARK,OK,73942,OKLAHOMA,N,N,,36.705278,-101.453889
FRS,110005968621,110005968621,PERMOCAST INCORPORATED,HENRYETTA,OKMULGEE,HIGHWAY 75 NORTH,OK,74437,OKLAHOMA,,N,,35.416944,-95.901111
FRS,110002468491,110002468491,SOONER AIRGAS INCORPORATED,DUNCAN,STEPHENS,HIGHWAY 7 & SOUTH 2ND STREET,OK,73533,OKLAHOMA,,N,,34.508333,-94.958333
FRS,110001631501,110001631501,ATLAS ROOFING CORPO ARDMORE ROOFING PLAN,ARDMORE,CARTER,2300 P ST,OK,73402,OKLAHOMA,,N,,34.195556,-97.1075
FRS,110020515030,110020515030,AMERICAN WATER FORT SILL WWTP,FORT SILL,COMANCHE,BLDG 5925,OK,73503,OKLAHOMA,,N,,34.654167,-98.373056
FRS,110007388004,110007388004,WW TRAILER MFG & SA/MADILL TRAILER MFG &,MADILL,MARSHALL,2.5 MI N OF MADILL ON HWY 177W,OK,73446,OKLAHOMA,,N,,34.0675,-96.778611
FRS,110001650286,110001650286,COBURN OPTICAL INDUSTRIES,MUSKOGEE,MUSKOGEE,1701 SOUTH CHEROKEE,OK,74402,OKLAHOMA,N,N,,35.72611,-95.375986
FRS,110028049421,110028049421,WEYERHAEUSER VALLIANT OK,,MCCURTAIN,,OK,74728,OKLAHOMA,,N,,34.1177,-94.7674
FRS,110028049109,110028049109,BROKEN BOW,,MCCURTAIN,,OK,74728,OKLAHOMA,,N,,34.1177,-94.7674
FRS,110028049225,110028049225,MARKHAM,,MAYES,,OK,74361,OKLAHOMA,,N,,36.3073,-95.2319
FRS,110028049234,110028049234,MUSKOGEE MILL,,MUSKOGEE,,OK,74401,OKLAHOMA,,N,,35.6212,-95.3759
FRS,110028049207,110028049207,LINDSAY,,GARVIN,,OK,,OKLAHOMA,,N,,34.7135,-97.3057
FRS,110028049449,110028049449,WOODWARD,,WOODWARD,,OK,73852,OKLAHOMA,,N,,36.4228,-99.2608
FRS,110028049458,110028049458,WFEC GENCO LLC,,CADDO,,OK,,OKLAHOMA,,N,,35.177,-98.3709
FRS,110028049314,110028049314,POWERSMITH COGENERATION PROJECT,,OKLAHOMA,,OK,73151,OKLAHOMA,,N,,35.5546,-97.4057
FRS,110000531229,110000531229,SENTINEL FARMERS COOP,SENTINEL,WASHITA,100 SOUTH HOWELL STREET,OK,73664,OKLAHOMA,,N,,35.156944,-99.17916
FRS,110007163283,110007163283,PERRYTON EQUITY- FLORIS  OKLAHOMA,FORGAN,BEAVER,FORGAN,OK,73938,OKLAHOMA,N,N,,36.87,-100.70833
FRS,110000706638,110000706638,WARRICK'S  INC. - REED BRANCH,MANGUM,GREER,ROUTE 1  BOX 122,OK,73554,OKLAHOMA,,N,,34.878021,-99.50445
FRS,110007386818,110007386818,WOODWARD IODINE CORP,WOODWARD,WOODWARD,8 MI N  3MI E ON HWY 34,OK,73802,OKLAHOMA,,N,,36.5025,-99.35083
FRS,110000606782,110000606782,BRENNTAG SOUTHWEST  INC.,NOWATA,NOWATA,1.5 MILES N. HWY. 169,OK,74048,OKLAHOMA,N,N,,36.721667,-95.63055
FRS,110000598416,110000598416,IOCHEM CORPORATION,VICI,DEWEY,3 MILES E. ON U.S. HWY. 60,OK,73859,OKLAHOMA,,N,,36.143611,-99.242222
FRS,110000579927,110000579927,U. S. FOODSERVICE,OKLAHOMA CITY,OKLAHOMA,10211 NORTH INTERSTATE 35 SERVICE ROAD,OK,73131,OKLAHOMA,N,N,,35.573611,-97.449444
FRS,110007386989,110007386989,ONEOK FIELD SVC/STEPHENS GAS PLT,VELMA,STEPHENS,2 MILES WEST OF VELMA ON HIGHWAY 7,OK,73491,OKLAHOMA,,N,,34.468581,-97.70101
FRS,110007389343,110007389343,DCP MIDSTREAM LP/SOUTH BISHOP COMPRES,ARNETT,ELLIS,14MI S OF HWY 283 & 60,OK,73832,OKLAHOMA,,N,,36.0125,-99.966111
FRS,110000598611,110000598611,OKLA GAS & ELEC.- SOONER,RED ROCK,NOBLE,10800 COUNTY ROAD 230,OK,74651,OKLAHOMA,,N,,36.421389,-97.066111
