FOUS88 KWNO 300000
OUTPUT FROM NGM 00Z MAY 30 03
TTPTTR1R2R3 VVVLI PSDDFF HHT1T3T5   TTPTTR1R2R3 VVVLI PSDDFF HHT1T3T5
ANC//505628 -1105 110902 44110597   ANN//727342 01609 191414 43090398
06000535930 00003 111507 44110598   06000655426 02008 151518 45090300
12000777339 00502 121308 41060498   12000804771 02209 131515 46070400
18000808550 00602 110908 40060296   18000674974 02509 101411 47090500
24000728947 -0202 091109 40080295   24000575733 02907 071813 46120599
30000727849 -0203 070906 39080194   30000905723 00906 091816 43070298
36000748554 00502 040613 39070195   36003966525 02007 121616 38050197
42000869039 01302 041110 37060193   42000917332 02307 141617 37060096
48000758839 -0502 051212 35070092   48004837844 02406 161619 38070196

CDV//676827 -0404 131011 42080497   JNU//767645 -0407 171610 40060094
06000837440 00504 141311 40060297   06000828734 -0207 161315 39050094
12000939363 00204 141117 38040196   12000887023 -0306 161218 38030095
18000929653 00803 120918 37040095   18000716252 00407 121015 41050096
24000817947 00404 101016 37060094   24000556046 01806 081116 44080297
30000697856 02005 060814 39070195   30000766422 00905 071416 42050196
36000748235 00203 041018 37060194   36002977028 01605 091514 38039994
42000949036 01603 061216 34040092   42001947936 00905 111514 35039993
48003939649 01401 071218 33050092   48003939236 01303 131516 34049992

ORT//295832 01100 082902 48120495   YAK//846943 -0506 151315 40050096
06003467229 03499 082704 48100495   06000958957 00806 141117 38040094
12000606733 01200 102304 45060394   12006979536 02505 131122 36030094
18000647934 01601 102102 44060093   18005967235 00505 121021 37030093
24001557835 03299 071202 46090193   24000707553 00305 081019 39060095
30000647433 00500 051109 45080192   30000657326 03004 051119 40070195
36000657641 00302 061215 43050091   36003988030 01204 061217 36030093
42000567731 00703 051307 42060091   42005979037 02803 081320 34039992
48000608032 01700 041806 42070091   48012969945 04102 091320 32039991
