-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :     NCEP_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
KAN1        49718.000    1995     1     1     0
KAN1        52274.750    2001    12    31    18
KAN1      -466463.922 -4932743.133  4003353.666
KAN1           39.126      -95.402      294.767
KAN1     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.630247    -0.292852    -4.245071
49718.25     0.345434    -0.423279    -5.249313
49718.50     0.123144    -0.396733    -5.097086
49718.75    -0.146371    -0.486379    -6.208364
49719.00    -0.120825    -0.344729    -5.287735
49719.25    -0.210948    -0.376997    -5.256531
49719.50    -0.104059    -0.338242    -5.178869
49719.75    -0.043509    -0.277903    -5.742787
49720.00     0.155146    -0.183447    -5.053981
49720.25     0.205547    -0.247376    -5.744518
49720.50     0.183663    -0.263946    -6.174047
49720.75     0.028739    -0.300015    -7.313440
49721.00    -0.021032    -0.109341    -6.737171
49721.25    -0.107329    -0.110530    -7.407263
49721.50    -0.256598    -0.068241    -7.474034
49721.75    -0.503700    -0.029285    -8.522884
49722.00    -0.666756     0.262223    -7.006030
49722.25    -1.055438     0.541696    -5.307363
49722.50    -1.235163     0.750157    -2.893511
49722.75    -1.251889     0.827758    -0.462941
49723.00    -0.983077     0.761345     2.924976
49723.25    -0.748367     0.558344     5.214716
49723.50    -0.439828     0.152778     6.803448
49723.75    -0.297898    -0.519537     6.025597
49724.00    -0.356697    -0.700799     4.379263
49724.25    -0.648860    -0.673312     1.973185
49724.50    -0.785789    -0.346864     1.246073
49724.75    -1.033567    -0.133273     0.111782
49725.00    -0.869940     0.050560     1.110551
49725.25    -0.655705     0.105758     0.514743
49725.50    -0.344123     0.100036     0.477681
49725.75    -0.226166    -0.054486    -1.695589
49726.00    -0.148471     0.043576    -1.834228
49726.25    -0.148566     0.098694    -2.896455
49726.50    -0.135299     0.244614    -2.681417
49726.75    -0.147465     0.400425    -3.102311
49727.00     0.011701     0.544865    -1.592788
49727.25     0.056436     0.634679    -1.381881
49727.50     0.078475     0.724314     0.015665
49727.75    -0.019249     0.685798     0.209868
49728.00     0.052539     0.753806     1.621189
49728.25    -0.073750     0.761510     2.382345
49728.50    -0.120480     0.740846     3.630653
49728.75    -0.157034     0.629420     4.141278
49729.00    -0.101620     0.581687     5.527046
49729.25    -0.162870     0.358233     5.471064
49729.50    -0.181037     0.260727     5.385725
49729.75    -0.108925     0.066066     4.087024
49730.00     0.133739     0.012484     4.017906
49730.25     0.254864    -0.093313     3.189388
49730.50     0.392045    -0.146709     3.255244
49730.75     0.561827    -0.315655     2.038752
49731.00     0.693176    -0.244132     2.232710
49731.25     0.636259    -0.362033     2.284699
49731.50     0.481193    -0.287977     2.527830
49731.75     0.344676    -0.266763     1.581410
49732.00     0.237827    -0.005437     2.386410
49732.25     0.057677     0.062653     2.237770
49732.50    -0.015545     0.180784     2.715524
49732.75    -0.090515     0.322188     2.430967
49733.00     0.046829     0.487429     3.735303
49733.25     0.023292     0.628753     3.651973
49733.50     0.016162     0.795831     4.612917
49733.75     0.000806     0.911684     4.630556
49734.00     0.046686     0.860573     5.798496
49734.25    -0.063537     0.658899     5.902571
49734.50    -0.236218     0.380803     5.258718
49734.75    -0.318075     0.231401     2.949003
49735.00    -0.088997     0.255130     2.525920
49735.25    -0.003360     0.219053     1.205659
49735.50     0.092209     0.183516     0.768549
49735.75     0.219155     0.000202    -0.414945
49736.00     0.399321    -0.088665     0.668526
49736.25     0.361613    -0.453703     0.964312
49736.50     0.329359    -0.744042     1.783350
49736.75     0.204901    -0.953748     1.012572
49737.00     0.317680    -0.789458     1.063539
49737.25     0.265751    -0.832567     0.316214
49737.50     0.290189    -0.764722     0.289341
49737.75     0.236457    -0.794499    -0.742414
49738.00     0.355781    -0.645683    -0.032489
49738.25     0.251839    -0.722666    -0.538633
49738.50     0.133200    -0.671227    -0.220956
