UW DIC Data - RB-98-04 Leg1 (TAO),,,,,,,,,
,,,,,,,,,
Julian Date,Date,Lat (dec),Long (dec),DIC,Chl,SST(TSG),Sal(TSG),"fCO2w, in situ",fCO2a
288.792963,10/15/98,41.401398,-124.77298,2051.6,8.352,13.07,33.25,405.05,364.93
288.8071296,10/15/98,41.328266,-124.771729,2044.4,7.909,12.89,33.31,408.27,364.71
288.8212847,10/15/98,41.254749,-124.76683,2051.9,7.793,12.88,33.34,414.29,364.71
288.835463,10/15/98,41.19051,-124.759499,2053.7,7.569,12.89,33.33,419.18,364.71
288.8496296,10/15/98,41.114368,-124.749924,2049.8,7.635,13.17,33.27,400.67,363.47
288.8637963,10/15/98,41.036652,-124.74662,2038.8,7.775,13.31,33.25,389.26,363.47
288.8779745,10/15/98,40.955151,-124.743462,2037.5,7.995,13.24,33.21,389.77,363.47
288.8921412,10/15/98,40.89447,-124.740349,2037.7,8.089,13.34,33.25,388.53,363.54
288.9063194,10/15/98,40.819553,-124.734558,2034.3,8.107,13.35,33.21,386.88,363.54
288.9204861,10/15/98,40.740734,-124.732727,2024.7,8.044,13.13,33.16,370.83,363.54
288.9346528,10/15/98,40.665298,-124.730232,2033.1,8.096,13.29,32.95,381.03,363.21
288.948831,10/15/98,40.606346,-124.728386,2017.2,8.654,13.46,32.93,369.66,363.21
288.9629977,10/15/98,40.524906,-124.72612,2028.9,8.755,12.65,33.24,391.34,363.21
288.9771759,10/15/98,40.448078,-124.704262,2056.2,8.546,11.85,33.33,444.77,364.19
289.0054977,10/16/98,40.300438,-124.645203,2056.9,8.519,12.37,33.25,415.4,364.19
289.0196759,10/16/98,40.239624,-124.62117,2059.5,8.379,12.41,33.24,421.28,364.09
289.0338657,10/16/98,40.168594,-124.590858,2044.1,8.542,13.06,33.14,374.03,364.09
289.048044,10/16/98,40.093536,-124.562645,2028.4,8.713,13.04,33.14,366.66,364.09
289.0622106,10/16/98,40.031708,-124.541176,2029.3,8.563,13.69,33.1,370.02,-999.99
289.0763773,10/16/98,39.955261,-124.510582,2016.6,8.408,13.92,33.06,346.97,-999.99
289.090544,10/16/98,39.876747,-124.478531,2007.9,8.321,13.74,33.08,347.14,-999.99
289.1047222,10/16/98,39.7967,-124.446571,2010.2,8.200,13.09,33.11,355.94,-999.99
289.1190278,10/16/98,39.721375,-124.415306,2021.5,8.226,13.03,33.1,366.78,-999.99
289.1334144,10/16/98,39.645771,-124.38298,2026.3,8.185,12.82,33.13,368.65,-999.99
289.1477431,10/16/98,39.581608,-124.35527,2037.3,8.313,12.43,33.16,392.64,-999.99
289.1620602,10/16/98,39.50721,-124.32222,2042.2,8.120,12.63,33.15,395.48,-999.99
289.1763773,10/16/98,39.43248,-124.288483,2036.3,8.256,12.66,33.14,384.92,-999.99
289.1906829,10/16/98,39.3535,-124.254143,2020.3,8.275,13.37,33.05,357.18,-999.99
289.2050116,10/16/98,39.291161,-124.22908,2017.6,8.152,13.07,33.06,365.28,-999.99
289.2193171,10/16/98,39.21291,-124.2006,2022.9,7.944,12.99,33.07,367.31,-999.99
289.2336227,10/16/98,39.133526,-124.171165,2024.4,7.997,12.98,33.06,367.64,-999.99
289.2479282,10/16/98,39.055897,-124.142693,2023.7,8.002,12.88,33.08,369.08,-999.99
289.2622454,10/16/98,38.979809,-124.114922,2026.7,7.935,12.53,33.07,376.05,-999.99
289.2765625,10/16/98,38.902237,-124.086372,2032.0,8.158,12.08,33.06,386.51,-999.99
289.2909491,10/16/98,38.839363,-124.063156,2037.8,8.060,12.02,32.96,387.47,-999.99
289.7813657,10/16/98,36.483582,-122.905907,2008.7,7.178,15.18,33.35,357.2,364.48
289.7958333,10/16/98,36.407646,-122.876839,2008.0,7.358,15.46,33.37,355.37,364.48
289.8103472,10/16/98,36.335033,-122.843498,2005.0,7.440,15.42,33.3,352.51,363.7
289.8248727,10/16/98,36.263546,-122.806702,2000.3,7.135,14.58,33.19,343.45,363.7
289.8396991,10/16/98,36.191544,-122.768364,2016.2,7.060,13.96,33.24,371.41,363.7
289.854213,10/16/98,36.11758,-122.726494,2016.2,7.206,14.42,33.18,354.82,-999.99
289.8687037,10/16/98,36.048016,-122.684517,2002.1,6.689,15.21,33.23,342.95,-999.99
289.8834259,10/16/98,35.977455,-122.645035,1997.2,6.917,15.28,33.29,343.33,-999.99
289.8979051,10/16/98,35.916721,-122.612373,1998.1,7.881,15.32,33.33,343.13,-999.99
289.912419,10/16/98,35.844627,-122.572716,1994.4,7.396,15.95,33.16,348.78,-999.99
289.9269329,10/16/98,35.77219,-122.53434,1991.3,7.946,16.17,33.26,351.47,-999.99
289.9414236,10/16/98,35.696568,-122.495483,1995.3,7.831,15.53,33.4,343.1,362.54
289.9559028,10/16/98,35.623249,-122.456932,2002.0,8.064,15.69,33.43,351.47,362.54
289.9703819,10/16/98,35.550762,-122.419792,2005.0,7.840,15.66,33.44,351.97,-999.99
289.9848611,10/16/98,35.476807,-122.383919,2003.9,8.464,15.85,33.44,349.56,-999.99
290.0138079,10/17/98,35.341595,-122.323593,2004.1,8.040,15.48,33.37,347.71,-999.99
290.0427083,10/17/98,35.18663,-122.256912,2010.8,8.046,14.88,33.35,353.64,-999.99
290.0571875,10/17/98,35.118149,-122.210159,2014.1,7.841,13.75,33.41,379.9,362.3
290.0716319,10/17/98,35.054993,-122.158936,2027.4,7.721,14.46,33.41,409.89,362.3
290.0861111,10/17/98,34.988049,-122.104599,2008.8,7.404,15.51,33.41,343.48,362.3
290.1006019,10/17/98,34.93631,-122.062553,2000.7,7.598,15.99,33.39,339.24,361.96
290.115081,10/17/98,34.869907,-122.014214,1997.9,7.932,15.81,33.41,336.99,361.96
290.1295602,10/17/98,34.793224,-121.983063,2007.9,8.096,16.01,33.38,339.38,361.96
290.1440394,10/17/98,34.719425,-121.954407,1996.2,9.439,15.64,33.4,339.95,-999.99
290.1585185,10/17/98,34.647388,-121.927605,1998.5,8.164,15.7,33.42,340.29,-999.99
290.1729745,10/17/98,34.57391,-121.900826,1997.5,8.963,15.6,33.43,337.44,-999.99
290.1874074,10/17/98,34.499062,-121.872528,1995.8,8.752,14.45,33.38,334.2,362.53
290.2018634,10/17/98,34.443508,-121.848701,2001.2,9.499,14.85,33.32,338.85,362.53
290.216331,10/17/98,34.370438,-121.818054,2001.0,8.638,15.28,33.44,339.09,362.53
290.2307755,10/17/98,34.295059,-121.788322,2002.1,8.130,15.41,33.42,340.43,362.07
290.2452315,10/17/98,34.222359,-121.762611,2001.7,7.945,15.03,33.46,335.89,362.07
290.2596644,10/17/98,34.151802,-121.729759,2007.8,8.531,14.69,33.45,342.59,362.07
290.2741204,10/17/98,34.076389,-121.694092,2005.9,7.883,15.05,33.4,334.95,362.42
290.2885764,10/17/98,34.002193,-121.659073,2005.6,7.494,15.03,33.4,338.84,362.42
290.3030208,10/17/98,33.944019,-121.633102,2015.2,7.594,14.75,33.46,338.08,362.41
290.3174769,10/17/98,33.866985,-121.594971,2004.2,7.455,15.31,33.37,342.01,362.41
290.3319213,10/17/98,33.793587,-121.557396,1996.0,7.295,16.08,33.37,338.78,362.41
290.3463773,10/17/98,33.721718,-121.52066,1994.5,7.104,16.03,33.37,339,362.2
290.3608218,10/17/98,33.646206,-121.482391,1994.0,7.053,16.25,33.36,340.18,362.2
290.3752662,10/17/98,33.570335,-121.444397,1993.0,7.037,16.77,33.36,351.09,362.2
290.3897222,10/17/98,33.498905,-121.408997,1996.2,7.184,16.89,33.43,347.16,361.95
290.4041551,10/17/98,33.428596,-121.374207,1999.2,7.170,16.82,33.4,342.5,361.95
290.4185995,10/17/98,33.368778,-121.344124,2001.6,7.013,16.94,33.4,343.77,361.95
290.4330556,10/17/98,33.298355,-121.307762,1998.9,6.929,17.24,33.5,343.75,362.01
290.4474884,10/17/98,33.22723,-121.271042,1999.3,6.923,17.3,33.52,342.83,362.01
290.4619329,10/17/98,33.152836,-121.233025,2012.3,6.913,17.24,33.49,343.25,362.01
290.4763773,10/17/98,33.081348,-121.196198,2000.3,6.776,17.23,33.46,343.43,362.8
290.4908912,10/17/98,33.012852,-121.160301,2001.8,6.736,17.18,33.44,343.19,362.8
290.5053356,10/17/98,32.956059,-121.129517,2000.2,6.666,17.11,33.42,344.88,362.8
290.5197454,10/17/98,32.88591,-121.09082,2001.4,6.526,17.03,33.4,343.45,363.25
290.5342014,10/17/98,32.816223,-121.056168,2002.7,6.514,16.96,33.38,342.42,363.25
290.5486458,10/17/98,32.745388,-121.021828,2002.9,6.456,16.83,33.32,345.11,363.25
290.5630556,10/17/98,32.67313,-120.986053,2000.6,6.448,16.83,33.24,353.15,363.47
290.5774769,10/17/98,32.603153,-120.952057,1996.6,6.526,16.8,33.22,350.47,363.47
290.5919329,10/17/98,32.532196,-120.91835,1996.6,6.500,16.83,33.23,353.24,363.47
290.6063542,10/17/98,32.470848,-120.889931,1995.0,6.551,16.86,33.26,355.2,362.94
290.620787,10/17/98,32.397884,-120.857101,1993.9,6.718,16.89,33.32,348.38,362.94
290.6355093,10/17/98,32.324131,-120.824509,1993.3,6.565,16.81,33.29,349.66,362.94
290.6500926,10/17/98,32.246742,-120.789719,1993.3,6.310,16.75,33.27,351.63,363.03
290.6647685,10/17/98,32.17177225,-120.7500878,1996.2,6.199,17.02,33.36,-999.99,363.03
290.7370255,10/17/98,31.847202,-120.533867,2002.5,6.070,18.41,33.44,352.49,361.88
290.7514468,10/17/98,31.779346,-120.485916,2001.6,6.055,18.26,33.47,352.25,361.88
290.7658449,10/17/98,31.714209,-120.440376,2001.7,6.072,18.3,33.41,354.58,361.93
290.7802894,10/17/98,31.647635,-120.396324,2004.2,6.046,18.34,33.41,356.34,361.93
290.8106481,10/17/98,31.502512,-120.324219,1997.4,6.014,18.53,33.45,354.36,361.87
290.825081,10/17/98,31.431982,-120.289787,1997.3,6.022,18.63,33.45,356.29,361.87
290.8395255,10/17/98,31.358185,-120.25515,1997.3,5.958,18.64,33.46,355.76,361.87
290.8539583,10/17/98,31.297092,-120.227844,1997.8,5.986,18.41,33.36,355.67,362.11
290.8722454,10/17/98,31.190779,-120.183029,1998.6,5.956,18.53,33.41,359.93,362.11
290.8866782,10/17/98,31.116039,-120.152725,1997.9,5.909,18.49,33.37,361.29,361.76
