Injected Beam Statistics for Fill number 9947
Started filling RHIC: Mon Feb 25 01:12:14 2008, Fill complete:  Mon Feb 25 01:31:20 2008, Minutes to fill: 19
Newfill time: Sun Feb 24 17:15:02 2008, Minutes from newfill to accramp: 497
Ring	Bunches/Cycles	Avg Bunch in RHIC (10^6 protons)	Avg Efficiency XCBM to RHIC	XCBM to Uxf1	Uxf1 to Wxf	Wxf to Arc	Arc to RHIC
Blue	108/108	  114601	   1.038*	   1.064	   0.969	   1.004	   0.985
Yellow	108/108	  120785	   0.990	   1.048	   0.986	   0.988	   0.969

Time	BST_IN	B_EARLY	B_LATE	AGS_other	AGS_CBM	XCBM	bunches	uxf1	Eff2*	uxf3	wxf1	Eff3*	xxf1	bluEff4*	bluChg	bluEff5*	bluEffTotal	bluOld	bluNew	yxf1	yelEff4*	yelChg	yelEff5*	yelEffTotal	yelOld	yelNew
02/25/2008 01:12:14 	   56900 	   50100 	   34600 	   22200 	   21200 	   16300 	1/1 	   20892 	   1.282 	   21252 	   21148 	   1.012 	   20855 	   0.986 	   20406 	   0.978 	   1.252 	     107 	   20513	     735 	 -  	     -24 	 -  	 -  	     -54 	     -78	
02/25/2008 01:12:18 	   48600 	   49800 	   35300 	   23000 	   21700 	   16300 	1/1 	   22366 	   1.372 	   22008 	   22024 	   0.985 	   22100 	   1.003 	   21331 	   0.965 	   1.309 	   20461 	   41792	     432 	 -  	       3 	 -  	 -  	    -105 	    -101	
02/25/2008 01:12:22 	   48800 	   48500 	   34800 	   22800 	   20800 	   16200 	1/1 	   21271 	   1.313 	   21378 	   21357 	   1.004 	   21284 	   0.997 	   20634 	   0.969 	   1.274 	   41777 	   62411	    -519 	 -  	      65 	 -  	 -  	    -101 	     -37	
02/25/2008 01:12:26 	   57700 	   47800 	   34300 	       0 	       0 	   17500 	1/1 	   21060 	   1.203 	   22134 	   21774 	   1.034 	   21628 	   0.993 	   21116 	   0.976 	   1.207 	   62410 	   83526	      43 	 -  	      18 	 -  	 -  	     -76 	     -58	
02/25/2008 01:12:30 	  368900 	  297800 	  194000 	  153000 	  147000 	  115600 	1/1 	  121558 	   1.052 	  121800 	  120089 	   0.988 	  120711 	   1.005 	  119438 	   0.989 	   1.033 	   83526 	  202964	     130 	 -  	     -11 	 -  	 -  	     -58 	     -69	
02/25/2008 01:12:33 	  381500 	  310500 	  205800 	  154500 	  147700 	  122800 	1/1 	  127792 	   1.041 	  128730 	  126179 	   0.987 	  127020 	   1.007 	  125578 	   0.989 	   1.023 	  202963 	  328541	     778 	 -  	      23 	 -  	 -  	     -79 	     -56	
02/25/2008 01:12:37 	  366700 	  300500 	  202800 	  158500 	  148500 	  121400 	1/1 	  125981 	   1.038 	  127008 	  124427 	   0.988 	  125217 	   1.006 	  123942 	   0.990 	   1.021 	  328527 	  452469	    -303 	 -  	      29 	 -  	 -  	     -56 	     -26	
02/25/2008 01:12:41 	  373300 	  301700 	  201900 	  153200 	  143200 	  115800 	1/1 	  121895 	   1.053 	  122178 	  120047 	   0.985 	  121141 	   1.009 	  119504 	   0.986 	   1.032 	  452424 	  571928	    -389 	 -  	      -2 	 -  	 -  	     -50 	     -53	
02/25/2008 01:12:45 	  377200 	  303600 	  202800 	  154200 	  145800 	  119600 	1/1 	  126655 	   1.059 	  127092 	  124761 	   0.985 	  125217 	   1.004 	  124050 	   0.991 	   1.037 	  571787 	  695837	     216 	 -  	      48 	 -  	 -  	     -80 	     -32	
02/25/2008 01:12:49 	  363200 	  298200 	  195700 	  145300 	  139300 	  114500 	1/1 	  122653 	   1.071 	  122850 	  120631 	   0.984 	  121183 	   1.005 	  120166 	   0.992 	   1.049 	  695777 	  815943	    -173 	 -  	      11 	 -  	 -  	     -34 	     -23	
02/25/2008 01:12:53 	  365200 	  301800 	  199800 	  146200 	  136600 	  114200 	1/1 	  120126 	   1.052 	  120918 	  118462 	   0.986 	  118823 	   1.003 	  117604 	   0.990 	   1.030 	  815792 	  933395	    -303 	 -  	      19 	 -  	 -  	     -81 	     -62	
02/25/2008 01:12:57 	  371200 	  302400 	  199600 	  155200 	  147000 	  116600 	1/1 	  124170 	   1.065 	  124698 	  122383 	   0.986 	  122857 	   1.004 	  121237 	   0.987 	   1.040 	  933334 	 1054571	    -562 	 -  	      54 	 -  	 -  	     -71 	     -17	
02/25/2008 01:13:01 	  371000 	  298400 	  201200 	  153700 	  145900 	  118000 	1/1 	  124170 	   1.052 	  124824 	  122258 	   0.985 	  123157 	   1.007 	  121248 	   0.984 	   1.028 	 1054465 	 1175713	     865 	 -  	      45 	 -  	 -  	     -27 	      19	
02/25/2008 01:13:05 	  373400 	  299900 	  200100 	  157000 	  147200 	  119500 	1/1 	  125855 	   1.053 	  126000 	  123718 	   0.983 	  124445 	   1.006 	  123080 	   0.989 	   1.030 	 1175647 	 1298728	    -476 	 -  	     -18 	 -  	 -  	      19 	       0	
02/25/2008 01:13:09 	  367200 	  300700 	  199500 	  149400 	  141500 	  114700 	1/1 	  120758 	   1.053 	  121086 	  118963 	   0.985 	  119596 	   1.005 	  118066 	   0.987 	   1.029 	 1298598 	 1416663	    -130 	 -  	      -4 	 -  	 -  	      -5 	      -9	
02/25/2008 01:13:13 	  370700 	  300900 	  201100 	  152200 	  142600 	  116300 	1/1 	  122906 	   1.057 	  123774 	  121173 	   0.986 	  121784 	   1.005 	  120458 	   0.989 	   1.036 	 1416580 	 1537038	     -43 	 -  	     -13 	 -  	 -  	     -10 	     -23	
02/25/2008 01:13:17 	  376900 	  300600 	  201300 	  151800 	  142500 	  115000 	1/1 	  121811 	   1.059 	  122556 	  120214 	   0.987 	  120883 	   1.006 	  119510 	   0.989 	   1.039 	 1536903 	 1656412	     216 	 -  	      32 	 -  	 -  	     -68 	     -36	
02/25/2008 01:13:21 	  376400 	  289300 	  192300 	  143000 	  134500 	  109500 	1/1 	  115114 	   1.051 	  115542 	  113415 	   0.985 	  113888 	   1.004 	  112065 	   0.984 	   1.023 	 1656280 	 1768346	     216 	 -  	      58 	 -  	 -  	     -54 	       5	
02/25/2008 01:13:25 	  372200 	  305000 	  201700 	  154900 	  145300 	  117700 	1/1 	  124338 	   1.056 	  124614 	  122174 	   0.983 	  122814 	   1.005 	  120817 	   0.984 	   1.026 	 1768172 	 1888988	    -648 	 -  	     -16 	 -  	 -  	     -15 	     -31	
02/25/2008 01:13:29 	  371100 	  302000 	  200400 	  143700 	  138600 	  114200 	1/1 	  120295 	   1.053 	  120624 	  118629 	   0.986 	  119167 	   1.005 	  117476 	   0.986 	   1.029 	 1888826 	 2006302	   -1037 	 -  	      45 	 -  	 -  	     -42 	       3	
02/25/2008 01:13:33 	  375600 	  298200 	  200800 	  153300 	  144000 	  114900 	1/1 	  121937 	   1.061 	  122052 	  120339 	   0.987 	  120797 	   1.004 	  119451 	   0.989 	   1.040 	 2006183 	 2125634	    -216 	 -  	       7 	 -  	 -  	     -18 	     -11	
02/25/2008 01:13:37 	  380300 	  305700 	  205400 	  151000 	  144700 	  115400 	1/1 	  121390 	   1.052 	  121590 	  119421 	   0.984 	  120025 	   1.005 	  118432 	   0.987 	   1.026 	 2125510 	 2243942	    -562 	 -  	      -0 	 -  	 -  	     -22 	     -22	
