Injected Beam Statistics for Fill number 9961
Started filling RHIC: Wed Feb 27 06:57:58 2008, Fill complete:  Wed Feb 27 07:04:27 2008, Minutes to fill: 6
Newfill time: Wed Feb 27 05:16:30 2008, Minutes from newfill to accramp: 108
Ring	Bunches/Cycles	Avg Bunch in RHIC (10^6 protons)	Avg Efficiency XCBM to RHIC	XCBM to Uxf1	Uxf1 to Wxf	Wxf to Arc	Arc to RHIC
Blue	40/40	  115793	   1.056	   1.079	   0.987	   1.004	   0.987
Yellow	39/39	  117414	   1.020*	   1.075	   0.911	   0.988	   0.974

Time	BST_IN	B_EARLY	B_LATE	AGS_other	AGS_CBM	XCBM	bunches	uxf1	Eff2*	uxf3	wxf1	Eff3*	xxf1	bluEff4*	bluChg	bluEff5*	bluEffTotal	bluOld	bluNew	yxf1	yelEff4*	yelChg	yelEff5*	yelEffTotal	yelOld	yelNew
02/27/2008 06:57:58 	  347600 	  272800 	  193300 	  139800 	  133700 	  104400 	1/1 	  113429 	   1.086 	  113694 	  112122 	   0.988 	  112644 	   1.005 	  111205 	   0.987 	   1.065 	      13 	  111218	     476 	 -  	      74 	 -  	 -  	     -94 	     -19	
02/27/2008 06:58:02 	  346200 	  271600 	  195800 	  146000 	  135900 	  107400 	1/1 	  116546 	   1.085 	  117432 	  114958 	   0.986 	  115562 	   1.005 	  114139 	   0.988 	   1.063 	  111131 	  225271	     259 	 -  	      11 	 -  	 -  	     -66 	     -55	
02/27/2008 06:58:06 	  352700 	  276000 	  198800 	  146800 	  138400 	  108300 	1/1 	  117009 	   1.080 	  117306 	  115209 	   0.985 	  115648 	   1.004 	  114342 	   0.989 	   1.056 	  225231 	  339573	      86 	 -  	       8 	 -  	 -  	     -55 	     -47	
02/27/2008 06:58:10 	  351700 	  274300 	  195800 	  144500 	  137900 	  109700 	1/1 	  116925 	   1.066 	  117768 	  115751 	   0.990 	  116292 	   1.005 	  115122 	   0.990 	   1.049 	  339522 	  454643	     -86 	 -  	      52 	 -  	 -  	     -47 	       5	
02/27/2008 06:58:14 	  345500 	  271500 	  192000 	  146900 	  138100 	  106300 	1/1 	  115704 	   1.088 	  116004 	  114041 	   0.986 	  114446 	   1.004 	  113072 	   0.988 	   1.064 	  454619 	  567691	     562 	 -  	      -5 	 -  	 -  	     -15 	     -19	
02/27/2008 06:58:18 	  344400 	  272200 	  194800 	  141100 	  137500 	  107100 	1/1 	  117431 	   1.096 	  117432 	  115584 	   0.984 	  115991 	   1.004 	  114675 	   0.989 	   1.071 	  567663 	  682337	    -519 	 -  	      46 	 -  	 -  	     -22 	      23	
02/27/2008 06:58:22 	  351600 	  270300 	  194300 	  145500 	  141500 	  110700 	1/1 	  120168 	   1.086 	  120120 	  117836 	   0.981 	  118394 	   1.005 	  116796 	   0.986 	   1.055 	  682311 	  799107	     476 	 -  	       0 	 -  	 -  	     -17 	     -16	
02/27/2008 06:58:26 	  349500 	  558700 	  478800 	  157800 	  148200 	  116000 	1/1 	  124633 	   1.074 	  125538 	  123092 	   0.988 	  123715 	   1.005 	  122606 	   0.991 	   1.057 	  798998 	  921604	     346 	 -  	      42 	 -  	 -  	     -26 	      16	
02/27/2008 06:58:30 	  351300 	  273200 	  194300 	  146500 	  142300 	  111300 	1/1 	  118652 	   1.066 	  119280 	  117169 	   0.988 	  117793 	   1.005 	  116383 	   0.988 	   1.046 	  921604 	 1037987	     173 	 -  	       3 	 -  	 -  	      16 	      19	
02/27/2008 06:58:34 	  341100 	  266000 	  188400 	  142200 	  134500 	  105700 	1/1 	  113261 	   1.072 	  114156 	  112122 	   0.990 	  112644 	   1.005 	  111167 	   0.987 	   1.052 	 1037938 	 1149105	     692 	 -  	      42 	 -  	 -  	     -41 	       1	
02/27/2008 06:58:38 	  349000 	  275900 	  197400 	  153500 	  145000 	  112300 	1/1 	  120632 	   1.074 	  120120 	  118587 	   0.983 	  119252 	   1.006 	  117957 	   0.989 	   1.050 	 1149047 	 1267005	    -389 	 -  	      21 	 -  	 -  	     -34 	     -14	
02/27/2008 06:58:42 	  340400 	  268700 	  194100 	  153300 	  145000 	  111300 	1/1 	  120379 	   1.082 	  120708 	  118504 	   0.984 	  119381 	   1.007 	  117579 	   0.985 	   1.056 	 1266947 	 1384526	    -389 	 -  	      14 	 -  	 -  	     -15 	      -1	
02/27/2008 06:58:46 	  349100 	  274900 	  195400 	  155000 	  145700 	  110200 	1/1 	  118610 	   1.076 	  119322 	  117044 	   0.987 	  117793 	   1.006 	  116396 	   0.988 	   1.056 	 1384482 	 1500878	     130 	 -  	      36 	 -  	 -  	     -19 	      17	
02/27/2008 06:58:49 	  351500 	  276400 	  196000 	  149400 	  142400 	  109700 	1/1 	  117683 	   1.073 	  118062 	  116460 	   0.990 	  116506 	   1.000 	  115154 	   0.988 	   1.050 	 1500795 	 1615949	     389 	 -  	      35 	 -  	 -  	       0 	      35	
02/27/2008 06:58:53 	  348400 	  276900 	  197900 	  149800 	  148700 	  110000 	1/1 	  120547 	   1.096 	  121254 	  118128 	   0.980 	  119424 	   1.011 	  118110 	   0.989 	   1.074 	 1615926 	 1734036	     389 	 -  	     -17 	 -  	 -  	      13 	      -4	
02/27/2008 06:58:57 	  347400 	  275000 	  196100 	  155600 	  146900 	  113400 	1/1 	  121474 	   1.071 	  121044 	  120673 	   0.993 	  119982 	   0.994 	  118506 	   0.988 	   1.045 	 1733961 	 1852466	       0 	 -  	      18 	 -  	 -  	     -13 	       5	
02/27/2008 06:59:01 	  357400 	  277400 	  199600 	  150600 	  143000 	  109900 	1/1 	  119916 	   1.091 	  120288 	  117962 	   0.984 	  119124 	   1.010 	  117314 	   0.985 	   1.067 	 1852410 	 1969723	     476 	 -  	       5 	 -  	 -  	      -3 	       2	
