Export Name|PCHA/FireFamily Plus
Version|2.0
Creation Date|01/29/2008 10:38
Selection Criteria|BIA - Western Region - Western Nevada Agency (NVWNA)|Fire Cause Natural, Human and not specified|All fire reports (complete and incomplete)|01/01/1972 through 12/31/2007|All fire types and protection types
Record Count|2280
FireId|Organization|Unit|UnitIdentifier|FireName|FireNumber|FireCode|FireType|ProtectionType|StartTime|InitAttTime|ControlTime|ControlAcres|GeneralCause|Datum|Latitude|Longitude|Slope|Elevation|Aspect|MsgcModel|Owner|CompletionCode
428001|BIA|WER|NVWNA|RES|3533||1|4|06/24/1974 14:00|06/24/1974 15:25|06/25/1974 18:30|3200.0|9|NAD83|41.9832|-117.7510|2|4|7||02|Complete
428012|BIA|WER|NVWNA|MCD FLAT|3903||1|1|06/28/1974 11:30|06/28/1974 12:10|06/28/1974 15:30|7.0|9|||||0|0||02|Complete
428002|BIA|WER|NVWNA|INDIAN II|3538||1|1|06/29/1974 16:30|06/29/1974 19:40|06/30/1974 01:00|2500.0|9|NAD83|41.9332|-117.7176|2|4|0||02|Incomplete
428003|BIA|WER|NVWNA|INDIAN III|3562||1|1|07/28/1974 10:25|07/28/1974 10:40|07/28/1974 11:15|5.0|9|NAD83|41.8999|-117.6010|1|4|3||02|Complete
428004|BIA|WER|NVWNA|INDIAN IV|3563||1|4|07/28/1974 10:25|07/28/1974 10:40|07/28/1974 11:20|5.0|9|NAD83|41.9166|-117.6843|1|5|2||02|Complete
428005|BIA|WER|NVWNA|INDIAN V|3568||1|4|07/30/1974 23:40|07/30/1974 23:50|07/31/1974 01:30|35.0|9|NAD83|41.9499|-117.6843|1|5|7||02|Complete
428006|BIA|WER|NVWNA|INDIAN VI|3569||1|4|07/31/1974 09:15|07/31/1974 10:36|07/31/1974 16:30|800.0|9|NAD83|41.9666|-117.7176|2|4|0||02|Complete
428007|BIA|WER|NVWNA|INDIAN VII|3573||1|1|08/02/1974 21:05|08/02/1974 21:10|08/02/1974 23:59|40.0|9|NAD83|41.9666|-117.6676|2|5|7||02|Complete
428008|BIA|WER|NVWNA|INDIANVIII|3584||1|1|08/16/1974 22:45|08/16/1974 23:00|08/17/1974 01:00|24.0|9|NAD83|41.9499|-117.7010|2|5|3||02|Complete
428009|BIA|WER|NVWNA|INDIAN IX|3585||1|4|08/18/1974 23:00|08/18/1974 23:40|08/18/1974 23:59|1.0|9|NAD83|41.9832|-117.6343|1|4|0||02|Complete
428010|BIA|WER|NVWNA|INDIAN X|3586||1|4|08/19/1974 23:00|08/20/1974 02:00|08/20/1974 03:00|80.0|9|NAD83|41.9666|-117.6343|1|4|3||02|Complete
428011|BIA|WER|NVWNA|INDIAN XI|3588||1|4|08/21/1974 15:00|08/21/1974 16:00|08/21/1974 18:00|40.0|9|NAD83|41.9499|-117.7010|1|4|4||02|Complete
428015|BIA|WER|NVWNA|LONG WALK|3686||1|4|07/04/1975 19:15|07/04/1975 19:27|07/05/1975 08:30|5.0|1|NAD83|39.9166|-119.5010|2|4|2||02|Complete
428016|BIA|WER|NVWNA|WARRIOR PT|3741||1|4|08/12/1975 19:40|08/12/1975 20:45|08/13/1975 18:00|274.0|1|NAD83|40.0332|-119.6844|4|4|8||02|Complete
428017|BIA|WER|NVWNA|NO HELP|3742||1|4|08/12/1975 21:20|08/12/1975 21:24|08/13/1975 23:30|20.0|1|NAD83|40.3666|-119.8677|1|3|3||02|Complete
