"Table with row headers in column A and column headers in row 8, repeated in row 54. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,
Census 2000 PHC-T-39,,,,,,,,,,,,,,,,,
"Table 3: Educational Attainment of the Population 16 Years and Over by Residence in 1995, Labor Force Status, Class of Worker, and Occupation: 2000",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Geographic area: Nebraska,,,,,,,,,,,,,,,,,
"All race and ethnic groups, male",,,,,,,,,,,,,,,,,
"(Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Characteristic,Total,No school completed,Nursery school-4th grade,5th-6th grade,7th-8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",,,,,,,,
..Population 16 and over ,"640,609","4,828","2,514","6,682","20,814","19,853","25,252","24,344","17,681",,,,,,,,
Residence in 1995:,,,,,,,,,,,,,,,,,
.Remained in the same house ,"348,097","2,065",910,"2,062","13,738","11,138","15,265","14,318","9,665",,,,,,,,
.Moved within state ,"216,121","1,516",769,"1,977","5,193","5,619","7,276","7,321","5,831",,,,,,,,
.Moved-different state ,"76,391","1,247",835,"2,643","1,883","3,096","2,711","2,705","2,185",,,,,,,,
Labor force status:,,,,,,,,,,,,,,,,,
.In labor force ,"485,961","2,398","1,518","4,322","6,840","9,438","13,391","14,763","11,675",,,,,,,,
..In Armed Forces ,"6,572",2,- ,- ,- ,5,- ,22,26
..Civilian ,"479,389","2,396","1,518","4,322","6,840","9,433","13,391","14,741","11,649"
...Employed ,"462,505","2,048","1,397","3,984","6,348","8,293","12,028","13,499","10,860"
...Unemployed ,"16,884",348,121,338,492,"1,140","1,363","1,242",789
.Not in labor force ,"154,648","2,430",996,"2,360","13,974","10,415","11,861","9,581","6,006"
..Employed civilian population 16 and over ,"462,505","2,048","1,397","3,984","6,348","8,293","12,028","13,499","10,860"
Class of worker:,,,,,,,,,
.Private for-profit wage and salary workers ,"334,652","1,630","1,298","3,694","4,473","6,979","10,262","11,773","8,852"
..Employee of private company ,"312,099","1,591","1,285","3,654","4,244","6,848","10,061","11,540","8,512"
..Self-employed in own incorporated business ,"22,553",39,13,40,229,131,201,233,340
.Private not-for-profit wage and salary workers ,"20,701",186,28,70,125,273,270,267,290
.Local government workers ,"23,995",73,14,58,220,187,274,308,324
.State government workers ,"19,846",44,24,12,60,77,111,128,171
.Federal government workers ,"10,225",14,- ,4,26,49,52,74,139
.Self-employed in own not incorporated business ,"50,667",99,33,135,"1,322",615,888,773,"1,036"
.Unpaid family workers ,"2,419",2,- ,11,122,113,171,176,48
Occupation:,,,,,,,,,,,,,,,,,
".Management, professional and related ","146,670",113,61,131,"1,165",513,668,758,"1,105",,,,,,,,
"..Management, business and financial operations ","82,212",70,32,111,"1,093",408,527,576,885,,,,,,,,
..Professional and related ,"64,458",43,29,20,72,105,141,182,220,,,,,,,,
.Service occupations ,"45,421",301,235,547,968,"1,838","2,802","3,128","1,594",,,,,,,,
.Sales and office occupations ,"80,105",83,44,126,411,"1,334","2,388","2,719","1,540",,,,,,,,
..Sales and related ,"49,083",57,38,81,262,807,"1,410","1,589",970,,,,,,,,
..Office and administrative support ,"31,022",26,6,45,149,527,978,"1,130",570,,,,,,,,
".Farming, forestry and fishing ","12,024",126,98,122,461,481,679,778,395,,,,,,,,
".Construction, extraction and maintenance ","78,789",296,247,763,"1,086","1,284","2,189","2,382","2,525",,,,,,,,
".Production, transportation and material moving ","99,496","1,129",712,"2,295","2,257","2,843","3,302","3,734","3,701",,,,,,,,
Note: - Represents zero or rounds to zero.,,,,,,,,,,,,,,,,,
"Internet release date: October, 2006",,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Census 2000",,,,,,,,,,,,,,,,,
Census 2000 PHC-T-39,,,,,,,,,,,,,,,,,
"Table 3: Educational Attainment of the Population 16 Years and Over by Residence in 1995, Labor Force Status, Class of Worker,and Occupation: 2000 (Continued)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Geographic area: Nebraska,,,,,,,,,,,,,,,,,
"All race and ethnic groups, male",,,,,,,,,,,,,,,,,
"(Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
