-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :   ECMWF_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
wlsn        49718.000    1995     1     1     0
wlsn        52274.750    2001    12    31    18
wlsn     -2483640.617 -4660073.111  3568172.089
wlsn           34.226     -118.056     1705.268
wlsn     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     1.006733     0.467751    -1.557274
49718.25     0.938202     0.531823    -1.809841
49718.50     1.312499     0.203217    -1.364517
49718.75     1.426429     0.473740    -2.660183
49719.00     1.448346     0.253225    -1.437888
49719.25     1.263706     0.120243    -1.315349
49719.50     1.119532    -0.218462    -0.519434
49719.75     0.813212     0.104367    -1.289212
49720.00     0.793770     0.067158    -0.439105
49720.25     0.477351     0.112183    -0.537422
49720.50     0.371731    -0.043281    -0.280642
49720.75     0.343068     0.246013    -0.883907
49721.00     0.450697     0.197999     0.016464
49721.25     0.250198     0.325113    -0.476603
49721.50     0.445953     0.109745     0.386717
49721.75     0.398970     0.576459     0.457060
49722.00     0.211431     0.443942     3.232128
49722.25    -0.094196     0.229786     4.595032
49722.50     0.227704    -0.257080     5.485435
49722.75     0.396204     0.009875     4.222079
49723.00     0.806136    -0.155787     4.739468
49723.25     0.738310     0.020966     3.520326
49723.50     0.859839    -0.082433     3.543791
49723.75     0.590039     0.518407     1.814249
49724.00     0.397537     0.733977     2.229748
49724.25    -0.237351     1.011470     1.822755
49724.50    -0.494452     0.789774     2.341847
49724.75    -0.647784     1.097255     0.921804
49725.00    -0.589084     0.974933     1.458320
49725.25    -1.012445     1.028989     0.477037
49725.50    -0.833815     0.747320     0.667699
49725.75    -0.722345     1.020293    -0.843180
49726.00    -0.444408     0.820147    -0.326621
49726.25    -0.603577     0.799266    -0.756865
49726.50    -0.492986     0.436853     0.138522
49726.75    -0.598818     0.640508    -0.579654
49727.00    -0.414421     0.494662     0.635788
49727.25    -0.599020     0.505418     0.663097
49727.50    -0.498525     0.154820     1.627297
49727.75    -0.493348     0.416130     1.032136
49728.00    -0.263198     0.223373     2.739830
49728.25    -0.293010     0.170262     2.526011
49728.50    -0.004514    -0.194289     2.843061
