Injected Beam Statistics for Fill number 7440
Injection start time: Sat Feb 18 07:00:58 2006
Injection complete time:  Sat Feb 18 07:03:18 2006
Ring	Bunches/Cycles	Avg Bunch in RHIC (10^6_protons)	Avg Efficiency - XCBM to RHIC	Bunching Eff	XCBM to Uxf1	Uxf1 to Wxf	Wxf to Arc	Arc to RHIC
Blue	6/6	   74995	   0.820	NA	   0.991	   0.908	   1.003	   0.913
Yellow	6/6	   72650	   0.734	NA	   0.958	   0.917	   0.740	   1.220

Time	BST_IN	B_EARLY	B_LATE	AGS_other	AGS_CBM	XCBM	Eff1*	bunches	uxf1	Eff2*	uxf3	wxf1	Eff3*	xxf1	bluEff4*	bluChg	bluEff5*	bluEffTotal	bluOld	bluNew	yxf1	yelEff4*	yelChg	yelEff5*	yelEffTotal	yelOld	yelNew
02/18/2006 07:00:58 	  301200 	  232400 	  208900 	       0 	  131800 	   98800 	   1.000 	1 	   96616 	   0.978 	   91468 	   88304 	   0.914 	   84152 	   0.953 	   79942 	   0.950 	   0.809 	    -162 	   79779	    5793 	 -  	      28 	 -  	 -  	       4 	      31	
02/18/2006 07:01:01 	  301500 	  236800 	  213900 	       0 	  123600 	   89300 	   1.000 	1 	   89572 	   1.003 	   86009 	   77918 	   0.870 	   75741 	   0.972 	   73765 	   0.974 	   0.826 	   79749 	  153513	  -35015 	 -  	      11 	 -  	 -  	      22 	      34	
02/18/2006 07:01:05 	  295800 	  228700 	  205000 	       0 	  126500 	   89400 	   1.000 	1 	   87789 	   0.982 	   83279 	   78335 	   0.892 	   81019 	   1.034 	   72708 	   0.897 	   0.813 	  153479 	  226187	   -4323 	 -  	      24 	 -  	 -  	       6 	      30	
02/18/2006 07:01:09 	  295100 	  235200 	  210800 	       0 	  119400 	   91300 	   1.000 	1 	   88920 	   0.974 	   85001 	   82590 	   0.929 	   78015 	   0.945 	   73542 	   0.943 	   0.806 	  226144 	  299687	    2767 	 -  	      16 	 -  	 -  	      10 	      26	
02/18/2006 07:01:13 	  303100 	  229100 	  204700 	       0 	  119200 	   92100 	   1.000 	1 	   92833 	   1.008 	   88612 	   86344 	   0.930 	   98699 	   1.143 	   77141 	   0.782 	   0.838 	  299627 	  376769	   -1383 	 -  	      31 	 -  	 -  	      -4 	      27	
02/18/2006 07:01:17 	  296600 	  231900 	  205100 	       0 	  116100 	   88200 	   1.000 	1 	   88181 	   1.000 	   83573 	   80629 	   0.914 	   78058 	   0.968 	   72871 	   0.934 	   0.826 	  376730 	  449601	   -1167 	 -  	      -5 	 -  	 -  	      22 	      16	
02/18/2006 07:02:59 	  291900 	  232600 	  212700 	       0 	  128600 	  102600 	   1.000 	1 	  100921 	   0.984 	   97894 	   92767 	   0.919 	   -1159 	 -  	    -620 	 -  	 -  	  448488 	  447868	   85377 	   0.920 	   78754 	   0.922 	   0.768 	      28 	   78782	
02/18/2006 07:03:03 	  296700 	  236600 	  212600 	       0 	  132200 	  104900 	   1.000 	1 	   98399 	   0.938 	   94240 	   88513 	   0.900 	   -1588 	 -  	    -792 	 -  	 -  	  446329 	  445537	   75391 	   0.852 	   74713 	   0.991 	   0.712 	   78667 	  153379	
02/18/2006 07:03:07 	  295200 	  225900 	  205200 	       0 	  123800 	   99800 	   1.000 	1 	   93485 	   0.937 	   89536 	   88304 	   0.945 	     215 	 -  	    -172 	 -  	 -  	  444954 	  444781	   64757 	   0.733 	   70545 	   1.089 	   0.707 	  153289 	  223834	
02/18/2006 07:03:11 	  296600 	  231400 	  208600 	       0 	  120100 	   93600 	   1.000 	1 	   89790 	   0.959 	   86261 	   82048 	   0.914 	   -3004 	 -  	    -115 	 -  	 -  	  444408 	  444294	   55333 	   0.674 	   68681 	   1.241 	   0.734 	  223746 	  292427	
02/18/2006 07:03:14 	  293500 	  234000 	  210400 	       0 	  124700 	   93300 	   1.000 	1 	   90181 	   0.967 	   85337 	   81422 	   0.903 	     343 	 -  	     -75 	 -  	 -  	  444100 	  444025	   33070 	   0.406 	   69705 	   2.108 	   0.747 	  292326 	  362031	
02/18/2006 07:03:18 	  295500 	  232000 	  209200 	       0 	  128900 	   99700 	   1.000 	1 	   95790 	   0.961 	   91216 	   88555 	   0.924 	   -1845 	 -  	     -96 	 -  	 -  	  443804 	  443708	   75823 	   0.856 	   73503 	   0.969 	   0.737 	  361884 	  435387	
* Eff1=AGS bunching efficiency,Eff2=XCBM to uxf1, Eff3=uxf1 to wxf, Eff4=wxf to end of arc,Eff5=end of arc to RHIC

