"State","MSN","2007"
"AK","JFACB","164731.81529"
"AK","JFACD","16.34815"
"AK","JFACP","29053.23021"
"AK","JFACV","2693.06043"
"AK","JFTCB","164731.81529"
"AK","JFTCD","16.34815"
"AK","JFTCP","29053.23021"
"AK","JFTCV","2693.06043"
"AL","JFACB","13161.62171"
"AL","JFACD","16.20000"
"AL","JFACP","2321.27367"
"AL","JFACV","213.21827"
"AL","JFTCB","13161.62171"
"AL","JFTCD","16.20000"
"AL","JFTCP","2321.27367"
"AL","JFTCV","213.21827"
"AR","JFACB","6951.44200"
"AR","JFACD","15.72593"
"AR","JFACP","1226.00388"
"AR","JFACV","109.31789"
"AR","JFTCB","6951.44200"
"AR","JFTCD","15.72593"
"AR","JFTCP","1226.00388"
"AR","JFTCV","109.31789"
"AZ","JFACB","37490.26368"
"AZ","JFACD","16.23704"
"AZ","JFACP","6612.03945"
"AZ","JFACV","608.73091"
"AZ","JFTCB","37490.26368"
"AZ","JFTCD","16.23704"
"AZ","JFTCP","6612.03945"
"AZ","JFTCV","608.73091"
"CA","JFACB","628199.68926"
"CA","JFACD","16.18519"
"CA","JFACP","110793.59599"
"CA","JFACV","10167.53133"
"CA","JFTCB","628199.68926"
"CA","JFTCD","16.18519"
"CA","JFTCP","110793.59599"
"CA","JFTCV","10167.53133"
"CO","JFACB","76713.15785"
"CO","JFACD","16.27407"
"CO","JFACP","13529.65747"
"CO","JFACV","1248.43530"
"CO","JFTCB","76713.15785"
"CO","JFTCD","16.27407"
"CO","JFTCP","13529.65747"
"CO","JFTCV","1248.43530"
"CT","JFACB","11656.45948"
"CT","JFACD","16.45926"
"CT","JFACP","2055.81296"
"CT","JFACV","191.85670"
"CT","JFTCB","11656.45948"
"CT","JFTCD","16.45926"
"CT","JFTCP","2055.81296"
"CT","JFTCV","191.85670"
"DC","JFACB","0.00000"
"DC","JFACD","0.00000"
"DC","JFACP","0.00000"
"DC","JFACV","0.00000"
"DC","JFTCB","0.00000"
"DC","JFTCD","0.00000"
"DC","JFTCP","0.00000"
"DC","JFTCV","0.00000"
"DE","JFACB","640.09594"
"DE","JFACD","15.98519"
"DE","JFACP","112.89170"
"DE","JFACV","10.23206"
"DE","JFTCB","640.09594"
"DE","JFTCD","15.98520"
"DE","JFTCP","112.89170"
"DE","JFTCV","10.23206"
"FL","JFACB","176685.52912"
"FL","JFACD","16.10370"
"FL","JFACP","31161.46898"
"FL","JFACV","2845.29076"
"FL","JFTCB","176685.52912"
"FL","JFTCD","16.10370"
"FL","JFTCP","31161.46898"
"FL","JFTCV","2845.29076"
"GA","JFACB","38138.32183"
"GA","JFACD","15.45926"
"GA","JFACP","6726.33542"
"GA","JFACV","589.59023"
"GA","JFTCB","38138.32183"
"GA","JFTCD","15.45926"
"GA","JFTCP","6726.33542"
"GA","JFTCV","589.59023"
"HI","JFACB","72329.12508"
"HI","JFACD","16.22222"
"HI","JFACP","12756.45945"
"HI","JFACV","1173.33898"
"HI","JFTCB","72329.12508"
"HI","JFTCD","16.22222"
"HI","JFTCP","12756.45945"
"HI","JFTCV","1173.33898"
"IA","JFACB","5099.69127"
"IA","JFACD","16.48148"
"IA","JFACP","899.41645"
"IA","JFACV","84.05046"
"IA","JFTCB","5099.69127"
"IA","JFTCD","16.48148"
"IA","JFTCP","899.41645"
"IA","JFTCV","84.05046"
"ID","JFACB","5119.67473"
"ID","JFACD","16.42222"
"ID","JFACP","902.94087"
"ID","JFACV","84.07642"
"ID","JFTCB","5119.67473"
"ID","JFTCD","16.42222"
"ID","JFTCP","902.94087"
"ID","JFTCV","84.07642"
"IL","JFACB","167681.56481"
"IL","JFACD","15.76296"
"IL","JFACP","29573.46822"
"IL","JFACV","2643.15780"
"IL","JFTCB","167681.56481"
"IL","JFTCD","15.76296"
"IL","JFTCP","29573.46822"
"IL","JFTCV","2643.15780"
"IN","JFACB","42240.40013"
"IN","JFACD","15.67407"
"IN","JFACP","7449.80602"
"IN","JFACV","662.07899"
"IN","JFTCB","42240.40013"
"IN","JFTCD","15.67407"
"IN","JFTCP","7449.80602"
"IN","JFTCV","662.07899"
"KS","JFACB","8747.14534"
"KS","JFACD","16.00000"
"KS","JFACP","1542.70641"
"KS","JFACV","139.95433"
"KS","JFTCB","8747.14534"
"KS","JFTCD","16.00000"
"KS","JFTCP","1542.70641"
"KS","JFTCV","139.95433"
"KY","JFACB","45239.48387"
"KY","JFACD","16.00000"
"KY","JFACP","7978.74495"
"KY","JFACV","723.83174"
"KY","JFTCB","45239.48387"
"KY","JFTCD","16.00000"
"KY","JFTCP","7978.74495"
"KY","JFTCV","723.83174"
"LA","JFACB","127099.32539"
"LA","JFACD","15.46667"
"LA","JFACP","22416.10677"
"LA","JFACV","1965.80332"
"LA","JFTCB","127099.32539"
"LA","JFTCD","15.46667"
"LA","JFTCP","22416.10677"
"LA","JFTCV","1965.80332"
"MA","JFACB","46693.59449"
"MA","JFACD","16.47407"
"MA","JFACP","8235.20185"
"MA","JFACV","769.23354"
"MA","JFTCB","46693.59449"
"MA","JFTCD","16.47407"
"MA","JFTCP","8235.20185"
"MA","JFTCV","769.23354"
"MD","JFACB","19969.90080"
"MD","JFACD","15.93333"
"MD","JFACP","3522.02836"
"MD","JFACV","318.18702"
"MD","JFTCB","19969.90080"
"MD","JFTCD","15.93333"
"MD","JFTCP","3522.02836"
"MD","JFTCV","318.18702"
"ME","JFACB","10007.50986"
"ME","JFACD","16.47407"
"ME","JFACP","1764.99292"
"ME","JFACV","164.86442"
"ME","JFTCB","10007.50986"
"ME","JFTCD","16.47407"
"ME","JFTCP","1764.99292"
"ME","JFTCV","164.86442"
"MI","JFACB","29881.39630"
"MI","JFACD","16.47407"
"MI","JFACP","5270.08753"
"MI","JFACV","492.26821"
"MI","JFTCB","29881.39630"
"MI","JFTCD","16.47407"
"MI","JFTCP","5270.08753"
"MI","JFTCV","492.26821"
"MN","JFACB","63930.44172"
"MN","JFACD","16.16296"
"MN","JFACP","11275.21018"
"MN","JFACV","1033.30517"
"MN","JFTCB","63930.44172"
"MN","JFTCD","16.16296"
"MN","JFTCP","11275.21018"
"MN","JFTCV","1033.30517"
"MO","JFACB","35940.29479"
"MO","JFACD","16.00000"
"MO","JFACP","6338.67633"
"MO","JFACV","575.04472"
"MO","JFTCB","35940.29479"
"MO","JFTCD","16.00000"
"MO","JFTCP","6338.67633"
"MO","JFTCV","575.04472"
"MS","JFACB","24756.10117"
"MS","JFACD","15.72593"
"MS","JFACP","4366.15541"
"MS","JFACV","389.31271"
"MS","JFTCB","24756.10117"
"MS","JFTCD","15.72593"
"MS","JFTCP","4366.15541"
"MS","JFTCV","389.31271"
"MT","JFACB","5817.06710"
"MT","JFACD","16.34074"
"MT","JFACP","1025.93776"
"MT","JFACV","95.05518"
"MT","JFTCB","5817.06710"
"MT","JFTCD","16.34074"
"MT","JFTCP","1025.93776"
"MT","JFTCV","95.05518"
"NC","JFACB","40601.28614"
"NC","JFACD","15.59259"
"NC","JFACP","7160.72066"
"NC","JFACV","633.07921"
"NC","JFTCB","40601.28614"
"NC","JFTCD","15.59259"
"NC","JFTCP","7160.72066"
"NC","JFTCV","633.07921"
"ND","JFACB","4025.89131"
"ND","JFACD","16.00000"
"ND","JFACP","710.03374"
"ND","JFACV","64.41426"
"ND","JFTCB","4025.89131"
"ND","JFTCD","16.00000"
"ND","JFTCP","710.03374"
"ND","JFTCV","64.41426"
"NE","JFACB","5488.90082"
"NE","JFACD","16.00000"
"NE","JFACP","968.06011"
"NE","JFACV","87.82241"
"NE","JFTCB","5488.90082"
"NE","JFTCD","16.00000"
"NE","JFTCP","968.06011"
"NE","JFTCV","87.82241"
"NH","JFACB","859.75815"
"NH","JFACD","16.47407"
"NH","JFACP","151.63283"
"NH","JFACV","14.16372"
"NH","JFTCB","859.75815"
"NH","JFTCD","16.47407"
"NH","JFTCP","151.63283"
"NH","JFTCV","14.16372"
"NJ","JFACB","207150.03723"
"NJ","JFACD","15.60000"
"NJ","JFACP","36534.39810"
"NJ","JFACV","3231.54058"
"NJ","JFTCB","207150.03723"
"NJ","JFTCD","15.60000"
"NJ","JFTCP","36534.39810"
"NJ","JFTCV","3231.54058"
"NM","JFACB","11019.32986"
"NM","JFACD","15.72593"
"NM","JFACP","1943.44442"
"NM","JFACV","173.28921"
"NM","JFTCB","11019.32986"
"NM","JFTCD","15.72593"
"NM","JFTCP","1943.44442"
"NM","JFTCV","173.28921"
"NV","JFACB","52206.22574"
"NV","JFACD","16.37778"
"NV","JFACP","9207.44722"
"NV","JFACV","855.02208"
"NV","JFTCB","52206.22574"
"NV","JFTCD","16.37778"
"NV","JFTCP","9207.44722"
"NV","JFTCV","855.02208"
"NY","JFACB","113268.41313"
"NY","JFACD","16.45926"
"NY","JFACP","19976.79244"
"NY","JFACV","1864.31426"
"NY","JFTCB","113268.41313"
"NY","JFTCD","16.45926"
"NY","JFTCP","19976.79244"
"NY","JFTCV","1864.31426"
"OH","JFACB","102879.96807"
"OH","JFACD","15.92593"
"OH","JFACP","18144.61518"
"OH","JFACV","1638.45917"
"OH","JFTCB","102879.96807"
"OH","JFTCD","15.92593"
"OH","JFTCP","18144.61518"
"OH","JFTCV","1638.45917"
"OK","JFACB","30023.31027"
"OK","JFACD","16.38519"
"OK","JFACP","5295.11645"
"OK","JFACV","491.93764"
"OK","JFTCB","30023.31027"
"OK","JFTCD","16.38519"
"OK","JFTCP","5295.11645"
"OK","JFTCV","491.93764"
"OR","JFACB","31922.52179"
"OR","JFACD","16.27407"
"OR","JFACP","5630.07439"
"OR","JFACV","519.50935"
"OR","JFTCB","31922.52179"
"OR","JFTCD","16.27407"
"OR","JFTCP","5630.07439"
"OR","JFTCV","519.50935"
"PA","JFACB","87903.59630"
"PA","JFACD","15.78519"
"PA","JFACP","15503.27977"
"PA","JFACV","1387.57497"
"PA","JFTCB","87903.59630"
"PA","JFTCD","15.78519"
"PA","JFTCP","15503.27977"
"PA","JFTCV","1387.57497"
"RI","JFACB","1899.67986"
"RI","JFACD","16.47407"
"RI","JFACP","335.04054"
"RI","JFACV","31.29546"
"RI","JFTCB","1899.67986"
"RI","JFTCD","16.47407"
"RI","JFTCP","335.04054"
"RI","JFTCV","31.29546"
"SC","JFACB","10666.18423"
"SC","JFACD","15.74815"
"SC","JFACP","1881.16124"
"SC","JFACV","167.97267"
"SC","JFTCB","10666.18423"
"SC","JFTCD","15.74815"
"SC","JFTCP","1881.16124"
"SC","JFTCV","167.97267"
"SD","JFACB","4990.87496"
"SD","JFACD","17.10370"
"SD","JFACP","880.22486"
