"State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"AK","NNACD","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","3.80980","3.84484","3.84065","5.19156","3.99006","3.91865","3.64579","3.79207","4.36983","6.20626"
"AK","NNACV","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.03222","0.03183","0.03754","0.04203","0.05250","0.05030","0.05878","0.06864","0.16770","0.25900"
"AK","NNCCD","0.68131","0.72812","0.81360","0.76746","0.86985","0.96950","1.03337","1.33853","1.32658","1.03276","1.05546","1.39981","1.59297","1.93731","2.06335","2.35077","2.50190","2.38751","2.59026","2.57978","2.78371","2.88854","2.63363","2.79724","2.47448","2.25107","2.34359","2.44051","2.41304","2.18037","2.70750","3.12713","3.36166","3.52755","4.07982","4.92193","4.74867"
"AK","NNCCV","8.57197","10.43198","13.08895","9.52895","11.45304","14.04103","14.73304","19.58695","20.15002","16.36002","17.46907","22.68895","38.56611","47.90497","50.94308","48.11101","52.72602","48.73985","54.18919","55.84590","56.93033","60.47715","56.20884","55.58742","51.26868","56.57749","63.31598","65.65602","65.25949","60.31439","54.55998","50.08185","53.50565","61.82688","76.06504","83.32995","88.08305"
"AK","NNEID","0.37310","0.42487","0.43043","0.46319","0.49705","0.51093","0.65662","0.75645","0.82506","0.85983","0.47713","0.54726","0.70575","1.04372","1.04373","0.92447","1.11332","1.13320","1.33201","1.32421","1.54815","1.15600","1.17600","1.25400","1.12900","1.28600","1.44600","1.73980","1.79770","1.59280","1.77060","2.36090","2.24904","2.27990","2.77165","3.40079","3.62618"
"AK","NNEIV","3.07394","4.39815","5.67008","7.36771","8.55901","10.08408","14.66696","17.90909","20.27834","24.47481","13.80583","15.98887","22.00115","32.91464","33.16069","31.80131","38.53772","34.80438","41.32640","44.53443","54.64205","36.33092","34.10162","35.16094","32.82109","38.46538","45.15404","58.44135","51.88539","48.73172","63.16082","77.25065","71.96903","78.78180","105.01781","134.35081","158.00291"
"AK","NNICD","0.42584","0.63186","0.68071","0.71686","0.74654","0.80722","0.86395","1.00621","0.96117","1.04938","0.38714","0.35813","0.58132","0.67233","0.66071","0.70663","0.80201","0.73309","1.06599","1.08453","1.27926","1.17777","1.17760","1.29847","1.41855","1.44108","1.42557","1.54032","1.34169","1.25021","1.98462","1.64273","1.60689","1.49773","1.91180","2.58576","3.69896"
"AK","NNICV","5.11572","4.88224","5.49450","7.06071","6.97681","13.46297","17.24163","38.96022","59.02187","79.48054","19.50325","15.02374","31.66286","33.45939","32.52510","45.18288","34.93245","35.50708","48.27909","37.71179","58.46164","59.10253","65.92895","66.10234","55.37104","58.17042","61.28363","69.67362","59.39567","51.69694","55.18072","51.04649","42.65193","7.13579","28.79486","46.69287","18.45189"
"AK","NNRCD","1.51152","1.52336","1.54561","1.55640","1.57283","1.61935","1.64533","1.70190","1.76214","1.71031","1.73302","1.94702","1.79895","2.33266","2.48252","2.79441","3.21838","3.18004","3.44704","3.64624","4.01011","4.16912","3.78228","3.98599","3.59433","3.60568","3.45776","3.77079","3.67463","3.64062","4.70526","4.18601","4.34748","4.32568","4.80907","5.72062","6.83809"
"AK","NNRCV","9.43499","10.55302","13.03600","7.90803","6.57801","16.90901","18.04595","19.29204","21.41204","12.49099","13.75201","15.44603","18.96903","24.37305","29.41796","37.26496","39.28700","39.34171","43.35035","49.34080","53.72745","56.64746","54.38623","54.87599","53.59287","55.25725","55.33294","57.10083","57.31298","64.18728","57.23211","71.13930","71.40034","73.98398","88.81731","103.30593","141.01315"
"AK","NNTCD","0.67040","0.76946","0.81477","0.73672","0.76438","0.88845","0.95806","1.08357","1.06651","1.04285","0.62168","0.72551","0.92361","1.19037","1.24255","1.22868","1.48478","1.41506","1.70422","1.80950","1.94840","1.83028","1.74495","1.88057","1.86105","1.88260","1.91996","2.07568","2.02006","1.91872","2.40269","2.57773","2.63574","2.99851","3.31655","3.97283","4.62337"
"AK","NNTCV","26.19662","30.26539","37.28953","31.86540","33.56687","54.49709","64.68758","95.74830","120.86227","132.80636","64.53016","69.14759","111.19915","138.65205","146.04683","162.36016","165.48319","158.39302","187.14503","187.43292","223.76147","212.55806","210.62564","211.72669","193.05368","208.47054","225.08659","250.90404","233.88536","224.96787","230.17566","249.57079","239.57725","221.78723","298.76366","367.84726","405.81000"
"AL","NNACD","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.71914","0.00000","6.28648","4.46625","4.11951","3.41440","2.82636","2.32371","1.90467","7.35635","5.93337","7.97867","6.02802","8.91938","9.69181","12.65277","13.78902"
"AL","NNACV","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00189","0.00000","0.08746","0.07798","0.07668","0.09028","0.09927","0.13629","0.09895","0.47179","0.42165","0.62469","0.50360","0.84265","1.08572","1.99322","2.35729"
"AL","NNCCD","0.58353","0.63598","0.70964","0.71611","0.85144","1.04384","1.55243","1.77608","2.03167","2.70787","3.27371","3.93286","4.58705","5.22003","5.26768","5.27180","5.21254","5.30571","5.13174","5.01150","5.27600","5.59072","5.55404","6.00872","6.19285","5.63658","5.99247","6.70226","6.39700","6.44887","7.36583","10.07322","8.41425","10.17052","10.42264","13.21880","15.37295"
"AL","NNCCV","21.81111","24.03583","27.35498","24.40790","30.93306","35.91407","54.96906","62.66915","62.02301","102.01786","96.49009","109.36070","124.76635","144.45275","149.94794","141.32730","135.65586","122.66308","134.95671","136.62474","131.66426","135.95210","143.97596","158.97670","162.81152","152.15023","179.52745","225.85351","170.93430","184.24037","196.71094","274.46287","224.10029","255.57593","288.63574","341.87122","385.52824"
"AL","NNEID","0.26478","0.31234","0.34121","0.35700","0.85300","1.07900","1.64900","1.75200","2.08500","2.28100","2.61600","2.89700","3.00300","3.12900","3.25900","3.17200","2.47000","2.10200","2.07100","2.20500","2.15600","1.87100","2.22900","2.60400","2.34300","1.97700","2.87600","2.77170","2.47520","2.95090","4.37490","5.05480","3.48354","5.65527","6.08988","9.41440","7.11467"
"AL","NNEIV","4.21604","3.21600","0.96782","1.58931","4.40251","6.68148","7.48129","7.72849","16.46847","17.73064","4.09465","5.84719","4.52227","1.91020","1.30202","3.75920","2.84154","3.26660","5.53840","6.53954","12.17673","9.83099","11.03265","16.30176","13.26718","17.81872","22.35092","33.76787","70.72358","76.57490","189.70844","362.03631","401.28027","500.37579","730.42762","1013.28346","1065.26679"
"AL","NNICD","0.32493","0.37925","0.41126","0.46262","0.56433","0.72504","1.07217","1.29104","1.60443","2.27468","2.46240","3.04540","4.03057","4.33837","4.22884","4.09493","3.53655","3.01109","2.91576","2.93195","3.07094","2.92096","2.98615","3.18394","3.16437","2.87610","3.52327","3.50476","3.17445","3.30167","4.28157","6.13111","4.92083","6.70972","7.02167","9.20958","9.19268"
"AL","NNICV","54.19157","59.57878","64.46882","68.91072","84.63044","102.43533","119.01031","154.43488","184.94724","316.36304","364.04663","472.20441","538.03786","500.04726","518.24712","498.45395","366.83866","312.10786","367.20061","396.97531","401.69130","401.83141","445.46553","511.22899","509.29736","523.72038","636.43835","637.52309","551.66000","594.59104","770.51033","843.48319","725.96141","914.69121","1054.42054","1228.85395","1212.60374"
"AL","NNRCD","1.09602","1.15033","1.22795","1.32955","1.50813","1.52394","1.93516","2.24473","2.62808","3.55820","3.91455","4.61082","5.31453","5.99693","6.06416","6.17594","6.29614","6.42881","6.32721","6.08720","6.38484","6.86133","6.55688","6.89012","7.19070","6.66751","6.98847","8.01774","7.89765","8.05144","8.80260","11.68107","9.88862","11.92614","12.74409","15.32025","18.26874"
"AL","NNRCV","63.03008","65.07173","67.60082","76.17711","85.43111","82.02820","113.11222","130.46524","154.12579","191.80517","211.68136","239.60878","262.28128","300.39348","316.38594","280.08250","291.31339","325.86766","318.39890","301.68111","297.91610","324.74315","334.41731","364.03312","368.43925","340.14944","408.06627","404.90870","382.12027","355.67483","435.98450","593.85462","489.45870","550.44615","585.08509","665.33571","716.49909"
"AL","NNTCD","0.51605","0.58032","0.63347","0.69891","0.82786","0.96331","1.40678","1.63402","1.96644","2.63351","2.90316","3.49180","4.39434","4.88961","4.84252","4.73486","4.49648","4.26728","4.02519","3.91209","4.05369","4.06751","4.04637","4.26848","4.31645","3.84156","4.50326","4.67835","4.23600","4.34487","5.31770","7.21902","5.43261","7.50194","7.73553","10.47089","9.77228"
"AL","NNTCV","143.24880","151.90234","160.39244","171.08504","205.39712","227.05908","294.57288","355.29776","417.56451","627.91671","676.31273","827.02108","929.60776","946.80369","985.88302","923.62295","796.64945","763.90520","826.09462","841.82070","843.45028","872.35765","934.97891","1050.61855","1053.89199","1033.92905","1246.48226","1302.18946","1175.53710","1211.55293","1593.33586","2074.46168","1841.30427","2221.93173","2659.65471","3251.33756","3382.25515"
"AR","NNACD","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","4.19856","3.62850","3.76180","5.13733","5.22028","4.94052","6.00677","7.64478","4.20404","5.02459","6.55837","10.10083","8.21588"
"AR","NNACV","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.11386","0.14851","0.19282","0.30092","0.42675","0.49953","0.66594","0.96471","0.55831","0.81348","1.18509","0.10735","0.09788"
"AR","NNCCD","0.52355","0.54501","0.56839","0.61839","0.75826","0.89514","1.02177","1.58148","1.62582","2.22371","2.28967","2.82925","3.63971","4.08975","4.10077","4.06438","4.33149","4.20741","4.31099","4.36012","4.42532","4.27910","4.35137","4.36127","4.48531","3.76958","4.56366","5.15805","5.03488","5.28534","5.30991","7.69808","6.69192","7.29483","8.47660","10.14259","10.35559"
