
  Program ces (A Construction Engineering Survey format)	(11/26/91) 			 Tue Aug 24 10:37:16 2004
  Site coordinates for beamline:  input_ces_v2
  NOTES: Coordinates are given for the entrance of the device in DUSAF coordinate system.
         Site +x-axis (EAST); site +y-axis (NORTH);  Site z-axis (ELEVATION)
         Positive bearing is ccw wrt site EAST.
         Pitch is the vertical angle about the x-y plane. 

 line  location  typ_code        distance           x              y             z            brng       pitch        yaw    
                                   [ft]           [ft]           [ft]           [ft]         [deg]       [deg]       [deg]   
 0000  S1_BML    marker           -56.88634   101383.29284   97215.37729     715.72409   148.73096     0.10571   -81.69232
 0001  LAM60     MI_LAM           -56.88634   101383.29284   97215.37729     715.72409   148.73096     0.10571   -81.69232
 0002  LAMEND    DRIFT            -47.70000   101375.48039   97220.21061     715.74102   148.69343     0.21142     0.00000
 0003  QSPOOL    drift            -46.94423   101374.83462   97220.60333     715.74381   148.69343     0.21142     0.00000
 0004  QENDU     drift            -46.52756   101374.47865   97220.81983     715.74535   148.69343     0.21142     0.00000
 0005  HQ608     3Q84/2           -46.40256   101374.37186   97220.88479     715.74581   148.72552     0.22202     0.00000
 0006  HQ608     3Q84/2           -42.90257   101371.38043   97222.70175     715.75930   148.78998     0.24866     0.00000
 0007  QENDD     drift            -39.40258   101368.38699   97224.51539     715.77442   148.82235     0.26471     0.00000
 0008  BPM       MI_BPM           -39.21006   101368.22230   97224.61506     715.77531   148.82235     0.26471     0.00000
 0009  D3IN      drift            -38.54339   101367.65192   97224.96018     715.77839   148.82235     0.26471     0.00000
 0010  LAMEND    DRIFT            -38.29339   101367.43801   97225.08960     715.77954   148.82235     0.26471     0.00000
 0011  LAM61A    MI_LAM           -37.53762   101366.79139   97225.48088     715.78302   148.81805     0.47957   -88.85429
 0012  LAMEND    DRIFT            -28.35129   101358.93226   97230.23717     715.85992   148.81376     0.69442     0.00000
 0013  LSPOOL    drift            -27.59552   101358.28567   97230.62854     715.86907   148.81376     0.69442     0.00000
 0014  LAMEND    DRIFT            -27.09552   101357.85795   97230.88743     715.87514   148.81376     0.69442     0.00000
 0015  LAM61B    MI_LAM           -26.33974   101357.21139   97231.27883     715.88430   148.81376     0.90957   -90.00021
 0016  LAMEND    DRIFT            -17.15341   101349.35258   97236.03571     716.03016   148.81376     1.12472     0.00000
 0017  VALVE     VALVE            -16.39760   101348.70603   97236.42705     716.04502   148.81376     1.12472     0.00000
 0018  LCSPOO    drift            -15.89761   101348.27837   97236.68591     716.05483   148.81376     1.12472     0.00000
 0019  CMGEND    DRIFT            -15.42198   101347.87152   97236.93217     716.06418   148.81376     1.12472     0.00000
 0020  V100      MI_CMG           -14.75532   101347.30131   97237.27731     716.07724   148.81376     1.36536   -90.00021
 0021  CMGEND    DRIFT             -3.75531   101337.89365   97242.97175     716.33935   148.81376     1.60600     0.00000
 0022  NOVALV    drift             -3.08864   101337.32354   97243.31683     716.35805   148.81376     1.60600     0.00000
 0023  Q12_UP    DRIFT             -2.58864   101336.89598   97243.57562     716.37206   148.81376     1.60600     0.00000
 0024  HQD101    3Q120/2           -2.01571   101336.40602   97243.87218     716.38810   148.81376     1.60600     0.00000
 0025  HQD101    3Q120/2            2.98428   101332.13027   97246.46030     716.52826   148.81376     1.60600     0.00000
 0026  Q101DN    drift              7.98427   101327.85453   97249.04838     716.66838   148.81376     1.60600     0.00000
 0027  IP101A    ionpump            8.89050   101327.07956   97249.51748     716.69378   148.81376     1.60600     0.00000
 0028  P101SE    drift              9.39050   101326.65197   97249.77627     716.70779   148.81376     1.60600     0.00000
 0029  IP101B    ionpump           15.64810   101321.30080   97253.01534     716.88318   148.81376     1.60600     0.00000
 0030  V101UP    drift             16.14810   101320.87321   97253.27413     716.89719   148.81376     1.60600     0.00000
 0031  VP101     BPM               16.78766   101320.32630   97253.60520     716.91510   148.81376     1.60600     0.00000
 0032  BPM_DN    DRIFT             17.32100   101319.87019   97253.88125     716.93006   148.81376     1.60600     0.00000
 0033  BPM_UP    DRIFT             17.42933   101319.77758   97253.93735     716.93308   148.81376     1.60600     0.00000
 0034  HP101     BPM               17.70433   101319.54241   97254.07967     716.94079   148.81376     1.60600     0.00000
 0035  H101DN    drift             18.23766   101319.08630   97254.35575     716.95575   148.81376     1.60600     0.00000
 0036  PM101     MUWIRE            19.22982   101318.23788   97254.86930     716.98357   148.81376     1.60600     0.00000
 0037  DUP4      drift             20.04648   101317.53949   97255.29204     717.00644   148.81376     1.60600     0.00000
 0038  IP101C    ionpump           22.53299   101315.41318   97256.57908     717.07612   148.81376     1.60600     0.00000
 0039  RWMUPS    drift             23.03299   101314.98559   97256.83790     717.09013   148.81376     1.60600     0.00000
 0040  RWCM01    REWAMON           23.50172   101314.58474   97257.08052     717.10329   148.81376     1.60600     0.00000
 0041  RWMDNS    drift             24.09549   101314.07700   97257.38787     717.11992   148.81376     1.60600     0.00000
 0042  TOR1UP    DRIFT             24.35933   101313.85137   97257.52445     717.12731   148.81376     1.60600     0.00000
 0043  TOR101    TOROID            24.57042   101313.67083   97257.63370     717.13324   148.81376     1.60600     0.00000
 0044  TOR1DN    DRIFT             25.28919   101313.05620   97258.00575     717.15339   148.81376     1.60600     0.00000
 0045  MIC2UP    DRIFT             25.35169   101313.00275   97258.03810     717.15513   148.81376     1.60600     0.00000
 0046  HT102     MIHC              25.69234   101312.71145   97258.21444     717.16467   148.81376     1.60600     0.00000
 0047  MICR_D    DRIFT             26.69234   101311.85630   97258.73206     717.19269   148.81376     1.60600     0.00000
 0048  EPB_UP    DRIFT             26.99443   101311.59797   97258.88842     717.20116   148.81376     1.60600     0.00000
 0049  HV01_1    EPB               27.54650   101311.12586   97259.17418     717.21664   149.14206     1.60600     0.00000
 0050  EPB_DN    DRIFT             37.54655   101302.54484   97264.30127     717.49689   149.47036     1.60600     0.00000
 0051  EPB_UP    DRIFT             37.99445   101302.15914   97264.52870     717.50946   149.47036     1.60600     0.00000
 0052  HV01_2    EPB               38.54654   101301.68378   97264.80905     717.52494   149.79896     1.58222    -4.10925
 0053  EPB_DN    DRIFT             48.54656   101293.04446   97269.83748     717.80103   150.12755     1.55845     0.00000
 0054  Q12_UP    DRIFT             48.99449   101292.65621   97270.06048     717.81323   150.12755     1.55845     0.00000
 0055  HQF102    3Q120/2           49.56742   101292.15959   97270.34575     717.82881   150.12755     1.55845     0.00000
 0056  HQF102    3Q120/2           54.56741   101287.82551   97272.83518     717.96477   150.12755     1.55845     0.00000
 0057  Q12_DN    DRIFT             59.56740   101283.49146   97275.32461     718.10076   150.12755     1.55845     0.00000
 0058  BPM_UP    DRIFT             59.99447   101283.12125   97275.53727     718.11238   150.12755     1.55845     0.00000
 0059  HP102     BPM               60.26947   101282.88287   97275.67418     718.11986   150.12755     1.55845     0.00000
 0060  BPM_DN    DRIFT             60.80280   101282.42056   97275.93973     718.13436   150.12755     1.55845     0.00000
 0061  PUMP      PUMP              60.91113   101282.32667   97275.99367     718.13731   150.12755     1.55845     0.00000
 0062  EPB_UP    DRIFT             61.24446   101282.03772   97276.15961     718.14637   150.12755     1.55845     0.00000
 0063  HV01_3    EPB               61.79656   101281.55918   97276.43448     718.16139   150.42978     1.42781   -23.33714
 0064  EPB_DN    DRIFT             71.79658   101272.86438   97281.36787     718.41054   150.73202     1.29718     0.00000
 0065  EPB_UP    DRIFT             72.24451   101272.47377   97281.58680     718.42068   150.73202     1.29718     0.00000
 0066  HV01_4    EPB               72.79657   101271.99227   97281.85662     718.43318   150.97180     1.07143   -43.22909
 0067  EPB_DN    DRIFT             82.79662   101263.25003   97286.70818     718.62018   151.21158     0.84569     0.00000
 0068  EPB_UP    DRIFT             83.24452   101262.85751   97286.92386     718.62678   151.21158     0.84569     0.00000
 0069  HV01_5    EPB               83.79662   101262.37372   97287.18971     718.63491   151.46053     0.63054   -40.76022
 0070  EPB_DN    DRIFT             93.79666   101253.58939   97291.96706     718.74495   151.70948     0.41539     0.00000
 0071  MICR_U    DRIFT             94.24456   101253.19497   97292.17933     718.74820   151.70948     0.41539     0.00000
 0072  VT103     MIHC-R            94.73416   101252.76390   97292.41135     718.75174   151.70948     0.41539     0.00000
