Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	173
Date	2004JUN21
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	15.49992	[UTC]
Stop_time	15.78186	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.54545	[p_s^-1]
ForeOptic_temperature	16.42	[ns]
Front_temperature	16.42	[ns]
Back_temperature	22.93	[ns]
Inside_temperature	22.47	[ns]
Shelter_temperature	18.62	[ns]
PSUnit_temperature	22.03	[ns]
AirCond_temperature	9.25	[ns]
Outside_temperature	24.42	[ns]
Comments	none
Formatted_file	2004173f08.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
290.008	-0.00085	0.1354	0.0000
290.108	-0.00085	0.1354	-0.0000
290.208	-0.00085	0.1354	-0.0000
290.308	0.00071	0.1483	-0.0000
290.408	0.00226	0.0829	-0.0000
290.508	-0.00085	0.1354	-0.0000
290.608	-0.00084	0.1354	-0.0000
290.708	-0.00084	0.1354	-0.0000
290.808	0.00070	0.1483	-0.0000
290.908	-0.00084	0.1354	-0.0000
291.008	0.00070	0.1483	-0.0000
291.108	-0.00084	0.1354	0.0000
291.208	0.00070	0.1483	0.0000
291.308	0.00070	0.1483	0.0000
291.408	-0.00084	0.1354	0.0000
291.508	0.00070	0.1483	0.0000
291.608	-0.00084	0.1354	0.0000
291.708	0.00070	0.1483	0.0000
291.808	0.00070	0.1483	0.0000
291.908	0.00070	0.1483	0.0000
292.009	-0.00084	0.1354	0.0000
292.109	0.00070	0.1483	-0.0000
292.209	0.00070	0.1483	-0.0000
292.309	-0.00084	0.1354	-0.0000
292.409	-0.00083	0.1354	-0.0000
292.509	-0.00083	0.1354	-0.0000
292.609	0.00069	0.1483	-0.0000
292.709	0.00069	0.1483	-0.0000
292.809	0.00069	0.1483	-0.0000
292.909	-0.00083	0.1354	-0.0000
293.009	0.00069	0.1483	-0.0000
293.109	-0.00083	0.1354	0.0000
293.209	0.00069	0.1483	0.0000
293.309	0.00221	0.0829	0.0000
293.409	0.00069	0.1483	0.0000
293.509	0.00069	0.1483	0.0000
293.609	0.00221	0.0829	0.0000
293.709	0.00221	0.0829	0.0000
293.809	0.00069	0.1483	0.0000
293.909	0.00221	0.0829	0.0000
294.009	0.00221	0.0829	0.0000
294.109	0.00069	0.1483	-0.0000
294.209	0.00220	0.0829	-0.0000
294.309	0.00069	0.1483	-0.0000
294.409	0.00220	0.0829	-0.0000
294.509	0.00220	0.0829	-0.0000
294.609	0.00674	0.0474	-0.0000
294.709	0.00371	0.0638	-0.0000
294.809	0.00069	0.1483	-0.0000
294.909	0.00371	0.0638	-0.0000
295.009	0.00219	0.0829	-0.0000
295.109	0.00672	0.0474	0.0000
295.209	0.00973	0.0394	0.0000
295.309	0.00671	0.0474	0.0000
295.409	0.00671	0.0474	0.0000
295.509	0.01122	0.0366	0.0000
295.609	0.01423	0.0325	0.0000
295.709	0.01121	0.0366	0.0000
295.810	0.01872	0.0283	0.0000
295.910	0.01871	0.0283	0.0000
296.010	0.01570	0.0309	0.0000
296.110	0.02020	0.0273	-0.0000
296.210	0.03069	0.0221	-0.0000
