NASA Ames Airborne Tracking 6-Channel Sunphotometer, AATS-6
ACE-Asia  4/12/2001
Date processed: 09-Nov-2002 by Jens Redemann, Version 4.0
This file contains aerosol optical depth, extinction, averaged vertically over  20.000  m, smoothed by aero_smooth =    0.990 
intervals; time period:   1.235 to  1.638 UT
NO2 [molec/cm2]: 2e+015
O3 [DU]: 343
Relative Std Dev Filter Aerosol[%]: 0.8
Relative Std Dev Filter H2O [%]: 5.0
Max m_aero: Inf
Max tau_aero: 3.0
Max tau_aero error: Inf
Min Alpha Angstrom: -0.03
H2O smoothing parameter: 0.99
aerosol wavelengths [10^-6 m]  0.380  0.451  0.526  1.021 
UT[h]     Lat[deg] Long[deg] RAF_ref_Altitude[km] p[hPa]  CWV[cm] Err[cm] D[g/m3] Err[g/m3] D_is[g/m3]
01.63444  33.12362 126.14744   0.045 1007.37  0.4829  0.1491  2.0393  0.1327   4.0596
01.62972  33.14189 126.14748   0.060 1005.32  0.6015  0.1561  2.0521  0.1327   4.0360
01.62681  33.15312 126.14733   0.078 1002.99  0.6010  0.1561  2.0976  0.1327   3.0292
01.62472  33.16096 126.14717   0.102  999.83  0.6724  0.1600  2.2000  0.1327   2.6795
01.62181  33.17158 126.14702   0.140  995.30  0.5613  0.1537  2.3909  0.1327   3.7181
01.62014  33.17754 126.14692   0.166  992.34  0.5122  0.1508  2.5142  0.1327   4.2766
01.61889  33.18202 126.14681   0.185  990.33  0.5869  0.1552  2.6097  0.1327   3.8693
01.61764  33.18655 126.14662   0.205  987.76  0.5616  0.1537  2.7275  0.1327   3.4709
01.61639  33.19111 126.14636   0.225  985.42  0.5902  0.1554  2.8545  0.1327   3.0850
01.61556  33.19415 126.14611   0.240  983.99  0.6192  0.1570  2.9451  0.1327   2.8477
01.61431  33.19872 126.14566   0.263  980.55  0.5504  0.1530  3.0573  0.1327   2.9166
01.61306  33.20330 126.14504   0.294  977.08  0.4501  0.1469  3.1206  0.1327   3.9921
01.61222  33.20634 126.14452   0.314  974.62  0.4316  0.1457  3.1204  0.1327   4.6718
01.61056  33.21244 126.14349   0.350  970.56  0.5043  0.1502  3.1433  0.1327   4.2151
01.60972  33.21550 126.14294   0.364  969.01  0.5632  0.1537  3.1716  0.1327   3.9656
01.60847  33.22010 126.14211   0.384  966.71  0.5481  0.1528  3.2221  0.1327   3.5867
01.60722  33.22471 126.14129   0.407  964.03  0.4744  0.1483  3.2700  0.1327   3.2176
01.60639  33.22780 126.14076   0.422  962.22  0.4677  0.1479  3.2924  0.1327   2.9769
01.60514  33.23243 126.13995   0.443  959.56  0.4609  0.1475  3.3173  0.1327   2.6235
01.60389  33.23708 126.13911   0.464  957.20  0.4050  0.1438  3.3445  0.1327   2.2837
01.60306  33.24018 126.13857   0.482  954.95  0.4179  0.1447  3.3832  0.1327   2.0746
01.60222  33.24329 126.13804   0.502  952.82  0.4795  0.1486  3.4640  0.1327   1.9076
01.60056  33.24952 126.13699   0.538  948.72  0.5629  0.1536  3.7316  0.1327   2.5181
01.59972  33.25263 126.13646   0.553  946.88  0.4905  0.1493  3.8802  0.1327   3.0566
01.59472  33.27140 126.13368   0.659  934.58  0.4402  0.1460  4.5980  0.1327   2.4911
01.59097  33.28550 126.13291   0.724  926.93  0.3132  0.1372  4.6720  0.1327   2.1394
01.58764  33.29741 126.13621   0.785  919.63  0.3111  0.1371  4.4835  0.1327   1.9214
01.58306  33.30897 126.14906   0.870  909.93  0.3180  0.1376  4.0629  0.1327   1.9461
01.58222  33.31014 126.15213   0.884  907.70  0.3056  0.1366  3.9859  0.1327   1.9368
01.58139  33.31097 126.15529   0.913  905.96  0.2849  0.1350  3.7937  0.1327   1.9260
01.57972  33.31207 126.16172   0.948  902.33  0.2902  0.1354  3.5299  0.2327   1.9321
01.57889  33.31256 126.16495   0.963  900.52  0.2509  0.1323  3.3943  0.2236   1.9489
01.57806  33.31307 126.16818   0.979  898.77  0.2495  0.1322  3.2424  0.2161   1.9481
01.57681  33.31381 126.17304   1.003  896.05  0.2364  0.1311  2.9980  0.2046   1.9238
01.57556  33.31457 126.17792   1.028  893.37  0.2247  0.1302  2.7248  0.1828   1.9152
01.57472  33.31507 126.18117   1.045  891.52  0.2249  0.1302  2.5423  0.1836   1.9072
01.57389  33.31556 126.18443   1.062  889.72  0.2240  0.1301  2.3707  0.1889   1.8965
01.57306  33.31606 126.18769   1.077  888.06  0.2223  0.1299  2.2203  0.2030   1.9103
01.57139  33.31706 126.19423   1.106  884.80  0.2232  0.1300  1.9607  0.2096   1.9089
01.56847  33.31881 126.20577   1.161  878.76  0.2321  0.1307  1.6164  0.2089   1.9176
01.56639  33.32009 126.21401   1.202  874.33  0.2111  0.1289  1.4645  0.1807   1.9087
01.56556  33.32060 126.21730   1.218  872.56  0.2134  0.1291  1.4260  0.1822   1.8503
01.56431  33.32137 126.22224   1.243  869.92  0.2087  0.1287  1.3920  0.1760   1.7531
01.56306  33.32215 126.22719   1.268  867.20  0.1946  0.1275  1.3859  0.1651   1.7293
01.56222  33.32266 126.23048   1.285  865.43  0.2069  0.1286  1.3982  0.1755   1.6921
01.56139  33.32318 126.23378   1.301  863.73  0.2048  0.1284  1.4236  0.1768   1.6300
01.56014  33.32396 126.23874   1.323  861.29  0.2052  0.1284  1.4769  0.1959   1.6327
01.55889  33.32475 126.24371   1.344  858.98  0.2097  0.1288  1.5450  0.2091   1.6433
01.55764  33.32553 126.24871   1.365  856.78  0.2040  0.1283  1.6210  0.2108   1.6912
01.55639  33.32631 126.25372   1.386  854.39  0.1986  0.1278  1.7051  0.1942   1.7543
01.55556  33.32684 126.25706   1.402  852.53  0.1969  0.1276  1.7647  0.1769   1.7045
01.55472  33.32737 126.26041   1.420  850.73  0.1766  0.1258  1.8259  0.1408   1.5801
01.55306  33.32843 126.26711   1.456  846.80  0.1754  0.1256  1.9265  0.1376   1.3743
01.55139  33.32950 126.27381   1.491  843.14  0.1628  0.1244  1.9921  0.1339   1.4181
01.55056  33.33004 126.27716   1.507  841.50  0.1689  0.1250  2.0118  0.1547   1.4194
01.54972  33.33058 126.28053   1.522  839.93  0.1613  0.1243  2.0248  0.1545   1.3836
01.54847  33.33140 126.28556   1.544  837.48  0.1492  0.1231  2.0320  0.1435   1.3042
01.54722  33.33222 126.29060   1.567  835.13  0.1558  0.1237  2.0251  0.1438   1.2934
01.54639  33.33277 126.29397   1.582  833.51  0.1489  0.1231  2.0133  0.1443   1.2966
01.54514  33.33359 126.29900   1.605  831.08  0.1347  0.1216  1.9826  0.1272   1.3191
01.54389  33.33442 126.30403   1.627  828.68  0.1411  0.1223  1.9383  0.1331   1.2891
01.54306  33.33498 126.30739   1.642  827.09  0.1319  0.1213  1.9025  0.1261   1.2648
01.54222  33.33554 126.31074   1.658  825.44  0.1189  0.1199  1.8601  0.1093   1.2778
01.54097  33.33637 126.31578   1.681  823.04  0.1192  0.1199  1.7930  0.1133   1.2988
01.53972  33.33722 126.32082   1.702  820.78  0.1245  0.1205  1.7275  0.1234   1.2982
01.53847  33.33807 126.32584   1.724  818.44  0.1193  0.1199  1.6627  0.1172   1.2657
01.53722  33.33892 126.33086   1.746  816.06  0.1081  0.1187  1.5984  0.1036   1.2055
01.53639  33.33949 126.33420   1.762  814.41  0.1137  0.1193  1.5563  0.1048   1.1897
01.53556  33.34006 126.33752   1.778  812.82  0.1138  0.1193  1.5169  0.1022   1.1753
01.53431  33.34093 126.34252   1.801  810.44  0.1101  0.1189  1.4656  0.1008   1.1335
01.53306  33.34181 126.34750   1.822  808.19  0.1259  0.1206  1.4254  0.1261   1.1422
01.53181  33.34269 126.35248   1.842  806.05  0.1062  0.1184  1.3893  0.1134   1.1301
01.52931  33.34449 126.36243   1.883  801.85  0.0944  0.1171  1.3050  0.0978   1.1322
01.52806  33.34540 126.36739   1.904  799.77  0.0857  0.1160  1.2573  0.0877   1.1467
01.52722  33.34601 126.37070   1.918  798.22  0.0859  0.1160  1.2241  0.0850   1.1663
01.52597  33.34694 126.37564   1.941  795.85  0.0832  0.1157  1.1747  0.0775   1.1518
01.52472  33.34787 126.38057   1.965  793.31  0.0887  0.1164  1.1311  0.0783   1.0851
01.52389  33.34850 126.38384   1.983  791.61  0.0919  0.1168  1.1050  0.0715   1.0796
01.52306  33.34913 126.38710   2.001  789.90  0.0878  0.1163  1.0839  0.0688   1.0874
01.52181  33.35010 126.39196   2.024  787.56  0.0815  0.1155  1.0611  0.0732   1.1047
01.52056  33.35109 126.39683   2.045  785.39  0.0751  0.1147  1.0439  0.0743   1.1241
01.51972  33.35177 126.40006   2.060  783.92  0.0778  0.1150  1.0347  0.0754   1.1399
01.51889  33.35244 126.40329   2.075  782.38  0.0909  0.1166  1.0274  0.0807   1.1600
01.51806  33.35314 126.40651   2.094  780.50  0.0758  0.1147  1.0199  0.0565   1.1838
01.51681  33.35418 126.41132   2.122  777.78  0.0679  0.1137  1.0064  0.0507   1.2076
01.51556  33.35524 126.41612   2.141  775.86  0.0659  0.1134  0.9953  0.0696   1.1799
01.51431  33.35630 126.42093   2.159  774.12  0.0639  0.1131  0.9856  0.0750   1.0563
01.51264  33.35772 126.42735   2.183  771.64  0.0654  0.1134  0.9747  0.0749   0.9424
01.51139  33.35877 126.43219   2.202  769.70  0.0711  0.1141  0.9686  0.0779   0.9182
01.51014  33.35980 126.43703   2.224  767.66  0.0587  0.1124  0.9625  0.0564   0.9066
01.50889  33.36083 126.44188   2.247  765.50  0.0591  0.1125  0.9561  0.0550   0.8958
01.50806  33.36151 126.44513   2.262  763.94  0.0570  0.1122  0.9520  0.0526   0.8784
01.50722  33.36219 126.44839   2.278  762.32  0.0630  0.1130  0.9481  0.0556   0.8622
01.50639  33.36288 126.45166   2.295  760.65  0.0618  0.1128  0.9433  0.0499   0.8488
