
 Processing inputs for a 50 channel scanner,
 using 2 visual and 2 IR nadir pixel bands
 The first line of the config.asc file is:
 "50 MAS Configuration for 06-612 26 Jul 2006  CCVEX"

 Ch Sb Nb Vi Slp/Emis Intcpt   Left   Peak  Right   Fctr    Ssi
 03 03 16  0 0.059405 0.0000  0.628  0.648  0.679  0.1000 1576.93
 14 14 16  0 0.003326 0.0000  1.803  1.828  1.852  0.0100  157.40
 30 30 16  1 0.945000 0.0000  3.679  3.750  3.809  0.0010   11.76
 45 45 16  1 0.957000 0.0000 10.807 11.063 11.331  0.0100    0.16

 Record ScanLine -2006207-  INU_Lat    INU_Lon    Roll   Rad_03  Rad_14  Tmp_30  Tmp_45
 000001 00018693 14.459228 +34.76589 -114.42982  -0.968  50.024  1.5466  288.43  276.48
 000002 00018713 14.460122 +34.76572 -114.42329  -0.792  50.204  1.5433  333.92  277.53
 000003 00018733 14.461014 +34.76572 -114.41454  -0.858  47.388  1.3437  289.84  280.47
 000004 00018753 14.461908 +34.76555 -114.40802  -0.902  46.370  1.2439  290.55  283.03
 000005 00018773 14.462800 +34.76555 -114.40132  -0.770  42.835  1.0111  292.29  283.85
 000006 00018793 14.463695 +34.76538 -114.39463  -0.682  42.475  1.0477  293.45  285.01
 000007 00018813 14.464586 +34.76521 -114.38587  -0.638  44.153  1.3171  291.24  282.03
 000008 00018833 14.465481 +34.76521 -114.37935  -0.484  48.526  1.5732  288.19  277.51
 000009 00018853 14.466372 +34.76503 -114.37283  -0.528  50.743  1.7295  287.45  272.77
 000010 00018873 14.467267 +34.76503 -114.36613  -0.440  49.065  1.6397  287.87  273.56
 000011 00018893 14.468162 +34.76503 -114.35944  -0.528  47.628  1.5599  287.81  279.72
 000012 00018913 14.469055 +34.76486 -114.35103  -0.506  46.070  1.4900  287.92  277.78
 000013 00018933 14.469947 +34.76486 -114.34433  -0.462  46.190  1.5034  304.65  276.66
 000014 00018953 14.470841 +34.76469 -114.33781  -0.594  45.531  1.4501  287.31  277.75
 000015 00018973 14.471736 +34.76469 -114.33094  -0.308  46.669  1.5466  286.54  275.02
 000016 00018993 14.472628 +34.76452 -114.32219  -0.572  45.531  1.5034  286.66  276.41
 000017 00019013 14.473519 +34.76452 -114.31567  -0.308  43.793  1.4535  287.49  277.95
 000018 00019033 14.474414 +34.76452 -114.30931  -0.418  43.015  1.4368  287.33  277.59
 000019 00019053 14.475306 +34.76435 -114.30262  -0.330  39.240  1.2606  289.83  278.49
 000020 00019073 14.476200 +34.76435 -114.29575  -0.330  38.521  1.2838  288.82  277.84
 000021 00019093 14.477092 +34.76418 -114.28683  -0.308  39.899  1.3371  286.48  275.46
 000022 00019113 14.477986 +34.76418 -114.28013  -0.374  38.761  1.3104  286.28  275.38
 000023 00019133 14.478878 +34.76400 -114.27361  -0.418  37.683  1.2406  286.83  276.82
 000024 00019153 14.479770 +34.76400 -114.26691  -0.550  37.803  1.2805  287.76  279.14
