Dataset:              EMAP Stream Physical Habitat Assessment
File Name:            habbest
Date Created:         02/22/99
# Variables:          71
# Header Records:     81
# Data Records:       251
Missing Value Symbol: .

Variables:    DATE_COL         Date stream visited
              LAT_DD           Sample Site Latitude (decimal degrees)
              LON_DD           Sample Site Longitude (decimal degrees)
              LSUB_DMM         Log10 est substrate geom mean diam (mm)
              PCAN_C           Riparian Canopy Coniferous (Prop reach)
              PCT_BDRK         Substrate Bedrock (%)
              PCT_BIGR         Substrate >= Coarse Gravel >16 mm (%)
              PCT_DRS          Dry Channel or Subsurf Flow (%)
              PCT_FA           Falls (% of reach)
              PCT_FAST         Fast Wtr Hab (% riffle & faster)
              PCT_FN           Substrate Fines -- Silt/Clay/Muck (%)
              PCT_HP           Substrate Hardpan -- (%)
              PCT_ORG          Substrate Wood or Detritus -- (%)
              PCT_POOL         Pools -- All Types (% of reach)
              PCT_RC           Substrate Concrete (%)
              PCT_SA           Substrate Sand -- .06-2 mm (%)
              PCT_SAFN         Substrate Sand & Fines -- <2 mm (%)
              PCT_SFGF         Substrate <= Fine Gravel <16 mm (%)
              PCT_SLOW         Slow Wtr Hab (% Glide & Pool)
              RP100            Residual Mean Depth (cm or m2/100m)
              RPGT75           number of nonmissing values, MAXDEP
              RPMDEP           the largest value, MAXDEP
              RPXAREA          the mean, POOLAR
              SAMPLED          Site Sampled Code
              SDDEPTH          Std Dev of Thalweg Depth (cm)
              SDWXD            Std Dev of Width*Depth Product (m2)
              SINU             Channel Sinuosity (m/m)
              STRMNAME         Stream Name from 7.5 map
              STRM_ID          individual site identification
              V1W_MSQ          ave. v1w per square meter stream
              V4W_MSQ          ave. v4w per square meter stream
              VISIT_NO         visit number-within year
              W1H_LOG          Rip Dist--Logging Activity (ProxWt Pres)
              W1H_PIPE         Rip Dist--Pipes infl/effl (ProxWt Pres)
              W1H_WALL         Rip Dist--Wall/Bank Revet. (ProxWt Pres)
              W1_HAG           Rip Dist--Sum Agric Types (ProxWt Pres)
              W1_HALL          Rip Dist--Sum All Types (ProxWt Pres)
              W1_HNOAG         Rip Dist--Sum NonAg Types (ProxWt Pres)
              WD_RAT           Mean Width/Depth Ratio (m/m)
              XBKF_H           mean BANKHT 93 see data documentation
              XBKF_W           mean BANKWD. 93 see data documentation
              XBK_A            the mean, ANGLE
              XC               Riparian Veg Canopy Cover
              XCDENBK          Mean Bankside Canopy Density (%)
              XCDENMID         Mean MidChannel Canopy Density (%)
              XCL              Riparian Canopy >.3m DBH (Cover)
              XCMGW            Rip Veg Canopy+Mid+Ground Woody Cover
              XCMW             Rip Veg Canopy+Mid Layer Woody Cover
              XDEPTH           Thalweg Mean Depth (cm)
              XEMBED           Mean Embeddedness--Channel+Margin (%)
              XFC_ALG          Filamentous Algae Cover (Areal Prop.)
              XFC_ALL          Fish Cvr--All Types (Sum Areal Prop)
              XFC_AQM          Aq. Macrophytes Cover (Areal Prop.)
              XFC_BIG          Fish Cvr--LWD,Bldr,OHBk,Struct (Areal P)
              XFC_BRS          Brush & Small Debris Cvr (Areal Prop.)
              XFC_HUM          Fish Cvr--Artif. Structs. (Areal Prop)
              XFC_LWD          Lg. Woody Debris Cover (Areal Prop.)
              XFC_NAT          Fish Cvr--Natural Types (Sum Areal Prop)
              XFC_OHV          Overhang. Veg. Cover (Areal Prop.)
              XFC_RCK          Fish Cover--Boulders (Areal Prop.)
              XFC_UCB          Undercut Bank Cover (Areal Prop.)
              XG               Riparian Veg Ground Layer Cover
              XGB              Rip Ground Layer Barren (Cover)
              XINC_H           mean incis ht 93 see data documentation
              XPCM             Rip Can & MidLayer Present (Prop reach)
              XPCMG            Riparian 3-Layers Present (Prop reach)
              XSLOPE           Channel Slope -- reach mean (%)
              XUN              the mean, UNDERCUT
              XWIDTH           Wetted Width -- Mean (m)
              XWXD             Mean Width*Depth Product (m2)
              YEAR             Sample Year

"DATE_COL","LAT_DD","LON_DD","LSUB_DMM","PCAN_C","PCT_BDRK","PCT_BIGR","PCT_DRS","PCT_FA","PCT_FAST","PCT_FN","PCT_HP","PCT_ORG","PCT_POOL","PCT_RC","PCT_SA","PCT_SAFN","PCT_SFGF","PCT_SLOW","RP100","RPGT75","RPMDEP","RPXAREA","SAMPLED","SDDEPTH","SDWXD","SINU","STRMNAME","STRM_ID","V1W_MSQ","V4W_MSQ","VISIT_NO","W1H_LOG","W1H_PIPE","W1H_WALL","W1_HAG","W1_HALL","W1_HNOAG","WD_RAT","XBKF_H","XBKF_W","XBK_A","XC","XCDENBK","XCDENMID","XCL","XCMGW","XCMW","XDEPTH","XEMBED","XFC_ALG","XFC_ALL","XFC_AQM","XFC_BIG","XFC_BRS","XFC_HUM","XFC_LWD","XFC_NAT","XFC_OHV","XFC_RCK","XFC_UCB","XG","XGB","XINC_H","XPCM","XPCMG","XSLOPE","XUN","XWIDTH","XWXD","YEAR" 
05/17/1994,38.52530,-75.63110,-2.322676245,0,0,0,0,0,0,83.636363636,0,0,90,0,5.4545454545,89.090909091,89.090909091,100,13.065966814,1,98,3.6950554149,"Yes",17.01180517,1.6909979761,1.0791677598,"TUSOCKY BR","DE750S",0.0002480431,0,1,0,0,0,0.9394090909,2.6288772727,1.6894681818,11.41365336,0.3,8,54.227272727,0.1545454545,65.77540107,32.085561497,0.1022727273,0.85,0.6806818182,66.95,100,0,0.1181818182,0.0681818182,0,0.0136363636,0,0,0.1181818182,0.1045454545,0,0,0.7227272727,0.1306818182,.,0.5909090909,0.5909090909,0.1,0,7.345,5.10655,1994 
05/25/1993,39.68369,-79.47240,1.9441428241,0,0,69.090909091,0,0,67.333333333,1.8181818182,0,1.8181818182,12.666666667,0,23.636363636,25.454545455,29.090909091,32.666666667,2.832703609,0,36,0.12961765,"Yes",5.4083207085,0.1691950306,1.2851571764,"S. BR. LAUREL RUN","MD507S",0.000261922,0,1,0,0,0,0,0.2121318182,0.2121318182,25.595745785,0.62,3.65,59.818181818,0.4488636364,99.732620321,99.732620321,0.2147727273,0.9659090909,0.8159090909,13.72,73,0.5159090909,1.4590909091,0,0.9090909091,0.1886363636,0,0.0272727273,1.4590909091,0.3613636364,0.7113636364,0.1704545455,0.2375,0.3147727273,3.4,1,1,3.1,0.0318181818,2.9525333333,0.3879753333,1993 
05/16/1994,38.92420,-75.98710,-0.280008945,0,0,14.545454545,0,0,34.31372549,30.909090909,0,0,34.31372549,0,34.545454545,65.454545455,85.454545455,65.68627451,14.997295313,0,65,3.3101173226,"Yes",14.714430441,0.6074071511,1.448642614,"NNT NORWICH CR","MD750S",0.0080215417,0,1,0,0,0,0.33335,1.3182318182,0.9848818182,9.245011655,0.265,3.39,45.555555556,0.3727272727,77.540106952,82.486631016,0.2204545455,0.9625,0.8852272727,26.31372549,91.454545455,0,0.2136363636,0.0045454545,0.0409090909,0.0863636364,0,0.0045454545,0.2136363636,0.0863636364,0,0.0363636364,0.4886363636,0.2761363636,0.6875,0.7272727273,0.7272727273,0.2975,0.75,2.195,0.70035,1994 
05/19/1994,39.29130,-76.97090,0.7214419327,0,0,40,0,0,47,18.181818182,0,5.4545454545,18,0,25.454545455,43.636363636,54.545454545,53,14.009073878,2,135,3.7731105646,"Yes",22.122092344,1.5468315485,1.1214141943,"MIDDLE PALUXENT R","MD751S",0.0022027466,0.0012926019,1,0,0,0,0.625,0.9305708333,0.3055708333,29.193282841,0.4,11.4,44.636363636,0.3239583333,64.171122995,49.331550802,0.2520833333,0.64375,0.5739583333,38.63,74.130434783,0,0.15,0.0125,0.1125,0.0041666667,0,0.0125,0.15,0.0333333333,0.0958333333,0.0041666667,0.7427083333,0.0802083333,1.5,0.625,0.625,0.65,0,8.115,2.78795,1994 
05/31/1994,39.59960,-78.66680,1.09984,0,3.6363636364,38.181818182,11.333333333,0,26,5.4545454545,0,1.8181818182,30.666666667,0,3.6363636364,9.0909090909,60,62.666666667,2.5170936181,0,37,0.1266937121,"Yes",5.0184848467,0.1153353403,1.0597589132,"NNT NORTH BR R","MD752S",0.0171431784,0,1,0.1515227273,0,0,0,0.4848727273,0.4848727273,23.047134271,1.1727272727,4.7818181818,33.727272727,0.3920454545,100,99.86631016,0.2181818182,0.6102272727,0.5329545455,5.2066666667,35.185185185,0,0,0,0,0,0,0,0,0,0,0,0.1545454545,0.5306818182,1.1727272727,1,1,0.95,.,0.9954887218,0.0683383459,1994 
05/18/1994,38.47150,-76.85190,0.3513944167,0,0,10.909090909,0,0,63.333333333,14.545454545,0,12.727272727,10,0,14.545454545,29.090909091,76.363636364,36.666666667,4.6507271629,0,35,0.2809039206,"Yes",6.2307205999,0.0665208614,1.1245431905,"NNT GILBERT SWAMP RUN","MD754S",0.0039567376,0,1,0,0,0,0.33335,1.00005,0.6667,17.832636566,0.1681818182,2.4363636364,43.636363636,0.7113636364,99.732620321,100,0.2011363636,1.4863636364,1.2818181818,10.06,91.666666667,0,0.2227272727,0.0090909091,0.1045454545,0.0681818182,0,0.0090909091,0.2227272727,0.05,0,0.0954545455,0.2863636364,0.7522727273,0.7666666667,1,1,0.4975,0.0772727273,1.37,0.14105,1994 
06/08/1993,39.57722,-77.75472,0.4815933,0,11.627906977,23.255813953,0,0,11,39.534883721,0,6.976744186,10,0,27.906976744,67.441860465,69.76744186,89,6.8399933205,0,52,1.0362589881,"Yes",5.7831084578,0.4041610114,1.0068208114,"MARSH RUN","MDR01S",0.0014253031,0,1,0.0454545455,0,0.0606090909,1,1.1060636364,0.1060636364,8.5982999575,0.79,6.8,38.363636364,0.1204545455,60.160427807,59.759358289,0.0227272727,0.4738636364,0.3954545455,35.01,91.142857143,0,0.575,0.0136363636,0.2272727273,0.1340909091,0,0.1204545455,0.575,0.2136363636,0.0977272727,0.0090909091,0.7897727273,0.0181818182,1.4,0.6818181818,0.6818181818,0.64,.,2.914,1.02109,1993 
06/02/1993,39.58158,-78.71860,1.1736737692,0,0,61.818181818,0,0,42,20,0,5.4545454545,34,0,3.6363636364,23.636363636,32.727272727,58,19.344394227,2,126,4.8844595424,"Yes",23.382793899,1.1418775716,1.0441208766,"COLLIER RUN","MDR02S",0.0001164234,0,1,0,0,0,0.2727409091,1.2727909091,1.00005,16.795367816,0.62,8.25,29.818181818,0.8954545455,95.721925134,93.048128342,0.2795454545,1.7056818182,1.4693181818,28.45,46.634615385,0.1454545455,0.3090909091,0,0.0886363636,0.0681818182,0,0,0.3090909091,0.1522727273,0.0136363636,0.075,0.9875,0.1227272727,.,0.9090909091,0.9090909091,0.16,0.0045454545,3.3212121212,1.0427171717,1993 
05/26/1993,39.51417,-79.16167,2.7053888727,0,23.636363636,100,0,0,60,0,0,0,18,0,0,0,0,40,12.979319377,1,76,1.6134292395,"Yes",16.094368172,5.4528506496,1.0178921258,"MIDDLE FORK","MDR03S",0,0,1,0,0,0,0,0,0,26.762075054,0.5,.,60.090909091,0.4636363636,99.690402477,99.411764706,0.2886363636,0.8477272727,0.7840909091,34.96,17.314814815,0.0681818182,0.4409090909,0,0.3818181818,0.0045454545,0,0,0.4409090909,0.0545454545,0.3772727273,0.0045454545,0.1295454545,0.4852272727,3.8,1,0.9090909091,2.3055555556,0,7.73,2.76143,1993 
05/12/1994,39.51417,-79.16167,2.1955052736,0,7.2727272727,92.727272727,0,1,71,0,0,3.6363636364,13,0,0,0,3.6363636364,29,17.663709377,5,200,3.8059405805,"Yes",25.39866178,1.9497712715,1.1785082282,"MIDDLE FORK","MDR03S",0.0014019678,0,1,0,0,0,0,0,0,23.376787019,2.9363636364,15.627272727,35.818181818,0.7931818182,99.465240642,98.529411765,0.2329545455,1.4636363636,1.4068181818,48.83,14.905660377,0,0.4363636364,0,0.3863636364,0.0136363636,0,0.0090909091,0.4363636364,0.0363636364,0.35,0.0272727273,0.1431818182,0.8204545455,2.9363636364,1,0.9545454545,0.87,0.0795454545,8.74,3.9443,1994 
