Research.Triangle.NC, United. ID: 705   Lat:  35.97  Lon:  -78.78  Alt:  134
Meteor-3 TOMS V.8 Overpass - Generated: 050328                                  
  MJD   Year Day sec-UT SCN  LAT     LON  DIS  PT  SZA  OZONE   REF   A.I.   SOI
#
48490.7 1991 234 58181  12  35.82  -79.23  44  98 28.77 306.0  28.1  -0.56   -1
48491.7 1991 235 57124  15  36.08  -78.75  13  99 31.29 306.6  20.1  -0.80   -8
48492.6 1991 236 56059  19  35.95  -78.88   9  99 34.13 301.3  25.4  -0.25  -10
48493.6 1991 237 55002  23  36.20  -79.07  37  98 37.42 314.6  56.5  -0.31   -6
48494.6 1991 238 53937  26  35.90  -78.84   9  99 40.31 301.8  84.9  -0.03   -2
48495.6 1991 239 52880  29  35.99  -79.13  32  98 43.89 311.0  60.0   0.13   -2
48496.6 1991 240 51824  31  36.00  -78.98  18  99 47.21 308.4  47.7   0.66   -5
48497.7 1991 241 57391   4  35.85  -78.58  22  99 31.97 307.2  18.2  -0.22   -3
48498.7 1991 242 56326   6  36.01  -78.83   6  99 34.88 302.3  13.0  -0.75   -8
48499.6 1991 243 55261   8  35.98  -78.46  29  99 37.54 299.9  12.3  -1.04  -13
48500.6 1991 244 54197  11  35.99  -78.57  19  99 40.69 336.5  86.1   0.09   -3
48501.6 1991 245 53132  15  35.97  -78.98  18  99 44.19 307.0   8.5  -0.59   -9
48554.8 1991 298 71325  17  35.97  -78.49  26  99 62.73 284.5  15.6  -0.09   -7
48555.8 1991 299 70260  13  36.01  -78.67  11  99 60.36 283.4  17.1  -0.35   -6
48556.8 1991 300 69196  10  36.06  -78.42  34  99 58.42 286.5  15.6  -0.75   -2
48557.8 1991 301 68131   7  35.93  -78.69   9  99 56.31 297.2  54.2   0.17    2
48558.8 1991 302 67066   5  35.82  -78.53  28  99 54.65 294.9  42.6   0.31  -10
48559.8 1991 303 72633  32  35.90  -78.57  20  99 67.39 282.5   4.0   0.74 -999
48560.8 1991 304 71577  30  35.78  -78.73  22  99 64.74 279.5  12.5   0.98 -999
48561.8 1991 305 70512  27  36.00  -79.26  43  98 62.30 262.3  60.7   0.89   -4
48562.8 1991 306 69455  24  35.79  -79.09  34  99 60.14 274.4  12.6   0.26    1
48563.8 1991 307 68391  21  36.00  -78.63  14  99 58.64 279.4  79.9  -0.41   -7
48564.8 1991 308 67326  17  36.10  -78.72  15  99 57.02 297.9  18.9   0.04   -6
48565.8 1991 309 66262  13  36.10  -78.90  18  98 55.58 323.9  12.3  -0.58   -1
48566.8 1991 310 65197  10  36.11  -78.64  20  99 54.56 300.5  13.0  -0.54    1
48567.7 1991 311 64132   7  35.95  -78.91  12  99 53.54 293.2  14.1  -1.00   -2
48568.7 1991 312 63068   5  35.80  -78.74  19  99 52.94 296.0  68.7   0.08    3
48569.8 1991 313 68635  32  35.90  -78.74   9  99 60.53 287.8  82.3   0.27 -999
48570.8 1991 314 67578  30  35.79  -78.90  23  99 58.68 321.3  86.1  -0.51    4
48571.8 1991 315 66514  28  36.09  -78.44  33  99 57.67 302.2  46.2   0.80   -8
48572.8 1991 316 65457  25  35.87  -78.46  31  99 56.30 283.7  25.5   0.68   -5
48573.7 1991 317 64392  21  35.91  -78.78   7  99 55.37 289.1   6.7  -0.24   -5
48574.7 1991 318 63328  17  36.00  -78.88  10  99 54.88 269.2  11.4  -0.98   -4
48575.7 1991 319 62263  13  35.99  -79.06  25  99 54.63 258.9   8.4  -0.75  -10
48576.7 1991 320 61199  10  35.99  -78.81   3  99 54.72 255.1  14.3  -0.22   -9
48577.7 1991 321 60134   7  35.82  -79.08  32  99 54.98 265.5   7.8  -0.67   -3
48578.7 1991 322 59062   5  36.06  -79.03  25  98 55.97 266.5  43.4   0.65   -5
48579.7 1991 323 64629  32  36.18  -78.82  24  98 57.24 262.1  20.3   0.10   -4
48580.7 1991 324 63573  30  36.05  -79.02  23  98 56.46 267.6  37.7  -0.35    1
48581.7 1991 325 62516  28  35.90  -78.56  21  99 56.06 263.1  62.1  -0.10   -1
48582.7 1991 326 61452  25  36.11  -78.62  21  99 56.25 252.8  69.9  -0.32   -5
48583.7 1991 327 60395  21  35.79  -78.94  25  99 56.24 236.8   4.5   0.01   -8
48584.7 1991 328 59331  17  35.86  -79.04  26  99 56.96 249.5  17.3  -0.63   -3
48585.7 1991 329 58266  14  35.96  -78.48  27  99 57.91 267.4   5.7  -0.03   -4
48586.7 1991 330 57202  10  35.83  -78.98  24  99 59.11 285.7   7.4  -0.62   -7
48587.6 1991 331 56137   8  35.90  -78.20  53  99 60.44 283.7   6.4  -0.02   -1
48588.6 1991 332 55065   5  35.92  -79.21  39  98 62.57 274.7   9.0   0.22 -999
48589.7 1991 333 60632  32  36.06  -78.95  18  99 57.63 256.3  22.8  -0.57 -999
48590.7 1991 334 59576  30  35.94  -79.15  33  98 58.08 243.6  22.5  -0.25    2
48591.7 1991 335 58519  28  35.80  -78.71  20  99 58.73 245.0  75.3  -0.59    4
48592.7 1991 336 57455  25  36.01  -78.77   5  99 60.07 233.5  61.9  -0.45   -1
48593.7 1991 337 56391  21  36.12  -79.15  37  98 61.70 245.1  61.2  -0.34    1
48594.6 1991 338 55334  18  35.86  -78.52  26  99 62.89 282.9  15.9  -0.44    1
48595.6 1991 339 54270  14  35.88  -78.66  15  99 64.85 299.9   5.0   0.46  -11
48596.6 1991 340 53206  11  35.91  -78.32  42  99 66.82 333.7   6.1   0.41 -999
48597.6 1991 341 52133   8  36.21  -78.49  37  99 69.44 267.7   4.0   0.62 -999
48598.6 1991 342 51069   6  36.13  -78.09  65 100 71.63 236.9   2.8   1.04 -999
