"TBLID","PROFLN","STUB","cest_06","cest_07","pub_sig90"
"DP02",0.0,,,,
"DP02",0.5,,,,
"DP02",0.8,,,,
"DP02",1.0,"Total households","583,441","577,755",
"DP02",2.0,"Family households (families)","67.7%","68.9%",
"DP02",3.0,"With own children under 18 years","28.9%","28.9%",
"DP02",4.0,"Married-couple family","55.0%","54.5%",
"DP02",5.0,"With own children under 18 years","21.1%","20.3%",
"DP02",6.0,"Male householder, no wife present, family","4.1%","4.8%","*"
"DP02",7.0,"With own children under 18 years","2.3%","2.9%","*"
"DP02",8.0,"Female householder, no husband present, family","8.7%","9.6%","*"
"DP02",9.0,"With own children under 18 years","5.4%","5.8%",
"DP02",10.0,"Nonfamily households","32.3%","31.1%",
"DP02",11.0,"Householder living alone","27.5%","26.3%","*"
"DP02",12.0,"65 years and over","10.7%","10.0%",
"DP02",12.3,,,,
"DP02",13.0,"Households with one or more people under 18 years","32.1%","32.3%",
"DP02",14.0,"Households with one or more people 65 years and over","27.1%","26.6%",
"DP02",14.3,,,,
"DP02",15.0,"Average household size","2.56","2.59",
"DP02",16.0,"Average family size","3.13","3.12",
"DP02",16.3,,,,
"DP02",16.5,"RELATIONSHIP",,,
"DP02",17.0,"Population in households","1,493,436","1,493,741",
"DP02",18.0,"Householder","39.1%","38.7%",
"DP02",19.0,"Spouse","21.4%","21.1%",
"DP02",20.0,"Child","29.4%","29.2%",
"DP02",21.0,"Other relatives","5.5%","6.2%","*"
"DP02",22.0,"Nonrelatives","4.6%","4.8%",
"DP02",23.0,"Unmarried partner","1.8%","2.2%","*"
"DP02",23.3,,,,
"DP02",23.5,"MARITAL STATUS",,,
"DP02",24.0,"Males 15 years and over","618,236","623,768",
"DP02",25.0,"Never married","28.7%","30.1%","*"
"DP02",26.0,"Now married, except separated","56.0%","54.1%","*"
"DP02",27.0,"Separated","1.4%","1.6%",
"DP02",28.0,"Widowed","3.0%","3.0%",
"DP02",29.0,"Divorced","10.9%","11.1%",
"DP02",29.3,,,,
"DP02",30.0,"Females 15 years and over","609,003","611,168",
"DP02",31.0,"Never married","22.0%","21.3%",
"DP02",32.0,"Now married, except separated","55.4%","54.6%",
"DP02",33.0,"Separated","1.5%","1.9%","*"
"DP02",34.0,"Widowed","9.9%","10.4%",
"DP02",35.0,"Divorced","11.3%","11.8%",
"DP02",35.3,,,,
"DP02",35.5,"FERTILITY",,,
"DP02",36.0,"Number of women 15 to 50 years old who had a birth in the past 12 months","21,575","22,434",
"DP02",37.0,"Unmarried women (widowed, divorced, and never married)","34.8%","31.1%",
"DP02",38.0,"Per 1,000 unmarried women","46","44",
"DP02",39.0,"Per 1,000 women 15 to 50 years old","61","65",
"DP02",40.0,"Per 1,000 women 15 to 19 years old","42","34",
"DP02",41.0,"Per 1,000 women 20 to 34 years old","133","136",
"DP02",42.0,"Per 1,000 women 35 to 50 years old","14","21",
"DP02",42.3,,,,
"DP02",42.5,"GRANDPARENTS",,,
"DP02",43.0,"Number of grandparents living with own grandchildren under 18 years","28,952","27,669",
"DP02",44.0,"Responsible for grandchildren","58.8%","59.1%",
"DP02",44.9,"Years responsible for grandchildren",,,
"DP02",45.0,"Less than 1 year","14.6%","12.6%",
"DP02",46.0,"1 or 2 years","13.1%","12.8%",
"DP02",47.0,"3 or 4 years","10.6%","10.0%",
"DP02",48.0,"5 or more years","20.5%","23.7%",
"DP02",48.3,,,,
"DP02",48.5,"Characteristics of grandparents responsible for own grandchildren under 18 years",,,
"DP02",49.0,"Who are female","59.6","61.8",
"DP02",50.0,"Who are married","74.1","71.5",
"DP02",50.3,,,,
"DP02",50.5,"SCHOOL ENROLLMENT",,,
"DP02",51.0,"Population 3 years and over enrolled in school","372,509","363,903",
"DP02",52.0,"Nursery school, preschool","6.0%","6.1%",
"DP02",53.0,"Kindergarten","5.2%","4.8%",
"DP02",54.0,"Elementary school (grades 1-8)","44.1%","44.9%",
"DP02",55.0,"High school (grades 9-12)","27.0%","27.4%",
"DP02",56.0,"College or graduate school","17.7%","16.7%",
"DP02",56.3,,,,
"DP02",56.5,"EDUCATIONAL ATTAINMENT",,,
"DP02",57.0,"Population 25 years and over","1,002,721","1,019,456","*"
"DP02",58.0,"Less than 9th grade","5.8%","5.9%",
"DP02",59.0,"9th to 12th grade, no diploma","8.7%","8.5%",
"DP02",60.0,"High school graduate (includes equivalency)","35.2%","35.2%",
"DP02",61.0,"Some college, no degree","22.8%","22.6%",
"DP02",62.0,"Associate's degree","7.4%","7.7%",
"DP02",63.0,"Bachelor's degree","13.8%","13.6%",
"DP02",64.0,"Graduate or professional degree","6.3%","6.4%",
"DP02",64.3,,,,
"DP02",65.0,"Percent high school graduate or higher","85.5","85.5",
"DP02",66.0,"Percent bachelor's degree or higher","20.1","20.1",
"DP02",66.3,,,,
"DP02",66.5,"VETERAN STATUS",,,
"DP02",67.0,"Civilian population 18 years and over","1,152,716","1,161,074",
"DP02",68.0,"Civilian veterans","149,051","144,683",
"DP02",68.3,,,,
"DP02",68.5,"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION",,,
"DP02",69.0,"Population 5 years and over","1,407,290","1,407,186",
"DP02",70.0,"With a disability","17.7%","18.3%",
"DP02",70.3,,,,
"DP02",71.0,"Population 5 to 15 years","229,761","226,610",
"DP02",72.0,"With a disability","5.9%","6.9%",
"DP02",72.3,,,,
"DP02",73.0,"Population 16 to 64 years","959,034","962,982",
"DP02",74.0,"With a disability","14.3%","15.0%",
"DP02",74.3,,,,
"DP02",75.0,"Population 65 years and over","218,495","217,594",
"DP02",76.0,"With a disability","45.1%","44.9%",
"DP02",76.3,,,,
"DP02",76.5,"RESIDENCE 1 YEAR AGO",,,
"DP02",77.0,"Population 1 year and over","1,516,175","1,518,361",
"DP02",78.0,"Same house","83.5%","83.4%",
"DP02",79.0,"Different house in the U.S.","16.1%","16.1%",
"DP02",80.0,"Same county","7.9%","8.3%",
"DP02",81.0,"Different county","8.3%","7.8%",
"DP02",82.0,"Same state","4.9%","4.0%","*"
"DP02",83.0,"Different state","3.3%","3.8%",
"DP02",84.0,"Abroad","0.3%","0.5%",
"DP02",84.3,,,,
"DP02",84.5,"PLACE OF BIRTH",,,
"DP02",85.0,"Total population","1,534,656","1,537,907",
"DP02",86.0,"Native","96.0%","95.8%",
"DP02",87.0,"Born in United States","95.4%","95.2%",
"DP02",88.0,"State of residence","53.2%","52.7%",
"DP02",89.0,"Different state","42.2%","42.4%",
