Ref. No. 2007T03-15a,,,,,,,,

"Silicosis: Primary occupations associated with silica exposure of silicosis cases—Michigan, New Jersey, Ohio, 1993–2002 ",,,,,,,,
,,,,,,,,
,Michigan,,New Jersey,,Ohio,,Total,
Occupation (COC),No.,%,No.,%,No.,%,No.,%
Managerial and professional specialty ,3,0.6,3,2.2,2,0.7,8,0.9
"Technical, sales, and administrative",3,0.6,3,2.2,1,0.4,7,0.8
Service occupations,5,1.1,-,-,2,0.7,7,0.8
,,,,,,,,
"Farming, forestry and fishing ",1,0.2,1,0.7,-,-,2,0.2
"Precision production, craft, and repair",113,24.3,40,29.6,47,16.8,200,22.8
"Supervisors, production (628)",15,3.2,5,3.7,7,2.5,27,3.1
"Hand molders and shapers, except jewelers (675)",23,4.9,2,1.5,2,0.7,27,3.1
"Construction trades, n.e.c. (599)",16,3.4,3,2.2,7,2.5,26,3
Brickmasons and stonemasons (563),11,2.4,4,3,7,2.5,22,2.5
Mining machine operators (616),5,1.1,5,3.7,2,0.7,12,1.4
Millwrights (544),6,1.3,-,-,1,0.4,7,0.8
Concrete/terrazzo finishers (588),6,1.3,-,-,1,0.4,7,0.8
"Mining occupations, n.e.c. (617)",1,0.2,2,1.5,4,1.4,7,0.8
Industrial machinery repairers (518),1,0.2,3,2.2,2,0.7,6,0.7
Electricians (575),3,0.6,2,1.5,-,-,5,0.6
"Dental lab, medical appliance technicians (678)",4,0.9,-,-,1,0.4,5,0.6
All others within this grouping,22,4.7,14,10.4,13,4.7,4.9,5.6
"Operators, fabricators, and laborers",278,59.8,86,63.7,217,77.8,581,66.1
"Laborers, except construction (889)",98,21.1,20,14.8,52,18.6,170,19.3
Molding and casting machine operators (719),55,11.8,2,1.5,24,8.6,81,9.2
"Grinding, abrading, buffing, and polishing machine    operators (709)",25,5.4,1,0.7,21,7.5,47,5.3
Crushing and grinding machine operators (768),10,2.2,6,4.4,22,7.9,38,4.3
Miscellaneous metal and plastic processing machine   operators (725),9,1.9,4,3,21,7.5,34,3.9
"Furnace, kiln, and oven operators, excluding food (766)",14,3,2,1.5,14,5,30,3.4
"Miscellaneous machine operators, n.e.c. (777)",7,1.5,3,2.2,13,4.7,23,2.6
"Hand molding, casting, and forming occupations (787)",3,0.6,10,7.4,8,2.9,21,2.4
Construction laborers (869),4,0.9,11,8.1,3,1.1,18,2
"Machine operators, not specified (779)",4,0.9,4,3,8,2.9,16,1.8
Miscellaneous hand working occupations (795),14,3,-,-,-,-,14,1.6
Crane and tower operators (849),6,1.3,1,0.7,3,1.1,10,1.1
"Production inspectors, checkers, and examiners (796)",3,0.6,2,1.5,4,1.4,9,1
"Painting, paint spray machinery operators (759)",-,-,6,4.4,2,0.7,8,0.9
Welders and cutters (783),3,0.6,2,1.5,3,1.1,8,0.9
"Mixing, blending machine operators (756)",2,0.4,2,1.5,3,1.1,7,0.8
Operating engineers (844),3,0.6,2,1.5,1,0.4,6,0.7
"Industrial truck, tractor equipment operators (856)",2,0.4,-,-,3,1.1,5,0.6
All others within this grouping,16,3.4,8,5.9,12,4.3,36,4.1
Unclassifiable and miscellaneous unemployed,62,13.3,2,1.5,10,3.6,74,8.4
TOTAL,465,100,135,100,279,100,879,100
