,Michigan,,New Jersey,,Ohio,,Total,
Occupation (COC),No.,%,No.,%,No.,%,No.,%
Managerial and professional specialty ,1,0.2,4,2.1,3,0.8,8,0.7
"Technical, sales, and administrative",5,0.8,2,1,1,0.3,8,0.7
Service ,4,0.7,1,0.5,3,0.8,8,0.7
"Precision production, craft, and repair ",142,24.1,50,26.2,73,18.3,265,22.5
"Hand molders and shapers, except jewelers (675)",55,9.3,3,1.6,5,1.3,63,5.3
"Supervisors, production (628)",20,3.4,9,4.7,13,3.3,42,3.6
Brickmasons and stonemasons (563),12,2,7,3.7,12,3,31,2.6
"Construction trades, n.e.c. (599)",6,1,4,2.1,12,3,22,1.9
Mining machine operators (616),6,1,6,3.1,3,0.8,15,1.3
Millwrights (544),9,1.5,-,-,2,0.5,11,0.9
"Mining occupations, n.e.c. (617)",5,0.8,2,1,4,1,11,0.9
All others,29,4.9,19,9.9,22,5.5,70,5.9
"Operators, fabricators, and laborers",360,61.1,107,56,301,75.3,768,65.1
"Laborers, except construction (889)",123,20.9,15,7.9,66,16.5,204,17.3
Molding and casting machine operators (719),59,10,7,3.7,39,9.8,105,8.9
"Grinding, abrading, buffing, and polishing machine op. (709)",49,8.3,3,1.6,24,6,76,6.4
Crushing and grinding machine operators (768),9,1.5,10,5.2,35,8.8,54,4.6
Miscellaneous metal and plastic processing machine op. (725),19,3.2,8,4.2,22,5.5,49,4.2
"Furnace, kiln, and oven operators, excluding food (766)",11,1.9,5,2.6,18,4.5,34,2.9
"Miscellaneous machine operators, n.e.c. (777)",10,1.7,4,2.1,17,4.3,31,2.6
"Hand molding, casting, forming occupations (787)",3,0.5,14,7.3,12,3,29,2.5
Miscellaneous hand working occupations (795),19,3.2,1,0.5,1,0.3,21,1.8
Mixing and blending machine operators (756),4,0.7,5,2.6,8,2,17,1.4
"Machine operators, not specified (779)",3,0.5,2,1,12,3,17,1.4
Welders and cutters (783),9,1.5,3,1.6,4,1,16,1.4
Construction laborers (869),2,0.3,6,3.1,4,1,12,1
"Production inspectors, checkers, and examiners (796)",5,0.8,2,1,4,1,11,0.9
Crane and tower operators (849),5,0.8,2,1,4,1,11,0.9
Painting and paint spraying machine operators (759),-,-,7,3.7,3,0.8,10,0.8
All others,30,5.1,13,6.8,28,7,71,6
Unclassifiable and miscellaneous unemployed,77,13.1,27,14.1,19,4.8,123,10.4
Occupation not reported,77,13.1,27,14.1,19,4.8,123,10.4
TOTAL,589,100,191,100,400,100,"1,180",100
