SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,10,001,Delaware,Kent County,1,0,126697,61070,65627,46065,48682,12601,14106,410,417,902,1280,26,34,1066,1108,46936,49560,13210,14736,795,854,1193,1605,88,90,44450,47164,12275,13745,386,391,883,1254,18,30,1007,1025,45271,47969,12847,14320,743,792,1160,1563,74,81,1615,1518,326,361,24,26,19,26,8,4,59,83,1665,1591,363,416,52,62,33,42,14,9
050,10,001,Delaware,Kent County,1,1,9138,4611,4527,3204,3073,1085,1138,23,21,71,76,0,5,228,214,3408,3266,1263,1297,50,55,121,122,5,14,3006,2902,1047,1092,20,17,69,73,0,5,218,196,3201,3078,1218,1236,47,47,116,119,4,13,198,171,38,46,3,4,2,3,0,0,10,18,207,188,45,61,3,8,5,3,1,1
050,10,001,Delaware,Kent County,1,2,9703,5005,4698,3475,3333,1255,1114,25,33,74,56,0,1,176,161,3632,3474,1366,1221,68,73,128,101,9,10,3322,3166,1225,1066,24,25,73,52,0,1,167,143,3470,3292,1332,1159,62,57,124,94,8,9,153,167,30,48,1,8,1,4,0,0,9,18,162,182,34,62,6,16,4,7,1,1
050,10,001,Delaware,Kent County,1,3,10063,5071,4992,3595,3554,1232,1215,35,36,71,65,0,1,138,121,3711,3656,1306,1286,75,73,122,110,10,8,3448,3411,1191,1174,32,33,69,64,0,1,132,113,3558,3505,1262,1239,67,67,119,106,9,6,147,143,41,41,3,3,2,1,0,0,6,8,153,151,44,47,8,6,3,4,1,2
050,10,001,Delaware,Kent County,1,4,9843,4859,4984,3283,3313,1368,1451,26,27,69,66,3,2,110,125,3361,3410,1434,1520,70,72,103,110,9,6,3131,3182,1328,1412,25,25,67,64,1,2,102,116,3205,3272,1388,1476,64,67,98,105,6,6,152,131,40,39,1,2,2,2,2,0,8,9,156,138,46,44,6,5,5,5,3,0
050,10,001,Delaware,Kent County,1,5,8610,4229,4381,2938,2812,1099,1386,29,22,74,75,6,5,83,81,3005,2869,1140,1432,59,53,104,105,11,7,2768,2667,1056,1343,26,19,71,73,3,3,77,77,2830,2720,1093,1386,53,49,100,102,6,5,170,145,43,43,3,3,3,2,3,2,6,4,175,149,47,46,6,4,4,3,5,2
050,10,001,Delaware,Kent County,1,6,8103,3824,4279,2880,3096,785,984,26,31,82,102,3,2,48,64,2915,3143,808,1014,53,58,95,130,5,6,2715,2938,752,949,21,30,81,102,2,2,46,57,2749,2980,774,974,46,54,93,129,4,6,165,158,33,35,5,1,1,0,1,0,2,7,166,163,34,40,7,4,2,1,1,0
050,10,001,Delaware,Kent County,1,7,9057,4429,4628,3385,3425,856,1000,35,27,94,123,2,2,57,51,3433,3461,875,1023,63,55,109,139,9,6,3253,3304,839,972,33,26,93,119,2,2,53,49,3298,3338,856,995,58,52,108,134,9,6,132,121,17,28,2,1,1,4,0,0,4,2,135,123,19,28,5,3,1,5,0,0
050,10,001,Delaware,Kent County,1,8,10539,5087,5452,3975,4104,935,1098,34,39,103,139,1,6,39,66,4007,4146,948,1130,57,72,114,161,6,11,3846,3991,914,1082,32,38,101,135,1,6,38,65,3877,4033,927,1113,54,70,111,157,6,11,129,113,21,16,2,1,2,4,0,0,1,1,130,113,21,17,3,2,3,4,0,0
050,10,001,Delaware,Kent County,1,9,10021,4833,5188,3802,3913,862,1064,37,36,78,115,7,4,47,56,3837,3954,881,1088,72,73,86,128,8,5,3694,3827,845,1042,35,34,77,114,6,3,43,51,3726,3863,862,1065,67,68,85,126,7,4,108,86,17,22,2,2,1,1,1,1,4,5,111,91,19,23,5,5,1,2,1,1
050,10,001,Delaware,Kent County,1,10,8255,3930,4325,3098,3267,726,873,36,26,35,121,1,1,34,37,3120,3288,743,890,55,54,44,129,5,5,3038,3209,708,858,36,26,33,121,1,1,34,36,3060,3230,725,874,55,53,42,129,5,5,60,58,18,15,0,0,2,0,0,0,0,1,60,58,18,16,0,1,2,0,0,0
050,10,001,Delaware,Kent County,1,11,7550,3657,3893,2913,3000,635,722,26,27,47,97,0,1,36,46,2940,3037,649,739,55,65,50,108,0,5,2852,2940,625,713,25,26,47,96,0,1,34,40,2877,2971,637,728,53,58,50,105,0,4,61,60,10,9,1,1,0,1,0,0,2,6,63,66,12,11,2,7,0,3,0,1
050,10,001,Delaware,Kent County,1,12,5966,2868,3098,2323,2463,471,515,21,19,31,84,0,0,22,17,2338,2473,485,524,33,32,36,87,0,0,2284,2420,466,511,21,19,31,84,0,0,18,16,2295,2429,476,519,33,32,36,87,0,0,39,43,5,4,0,0,0,0,0,0,4,1,43,44,9,5,0,0,0,0,0,0
050,10,001,Delaware,Kent County,1,13,5048,2369,2679,1910,2169,389,411,16,19,32,63,1,0,21,17,1926,2184,397,420,30,28,35,67,3,0,1874,2129,386,404,16,19,30,61,1,0,19,15,1888,2142,393,412,30,28,32,64,3,0,36,40,3,7,0,0,2,2,0,0,2,2,38,42,4,8,0,0,3,3,0,0
050,10,001,Delaware,Kent County,1,14,4683,2285,2398,1868,1921,365,387,21,20,21,49,0,3,10,18,1874,1933,371,393,25,32,23,55,3,3,1839,1900,359,385,20,20,21,48,0,2,9,18,1844,1912,364,391,24,32,23,54,3,2,29,21,6,2,1,0,0,1,0,1,1,0,30,21,7,2,1,0,0,1,0,1
050,10,001,Delaware,Kent County,1,15,3737,1679,2058,1438,1740,213,258,8,14,12,32,2,0,6,14,1443,1751,215,263,12,25,12,35,3,0,1420,1713,209,255,8,14,12,31,1,0,6,14,1425,1724,211,260,12,25,12,34,2,0,18,27,4,3,0,0,0,1,1,0,0,0,18,27,4,3,0,0,0,1,1,0
050,10,001,Delaware,Kent County,1,16,2926,1182,1744,1001,1498,165,214,7,10,4,12,0,1,5,9,1006,1503,166,219,10,15,5,13,0,3,990,1485,165,212,7,10,4,12,0,1,5,8,995,1489,166,217,10,14,5,13,0,3,11,13,0,2,0,0,0,0,0,0,0,1,11,14,0,2,0,1,0,0,0,0
050,10,001,Delaware,Kent County,1,17,1918,728,1190,630,1057,89,122,4,4,2,3,0,0,3,4,631,1061,91,123,5,7,4,3,1,0,626,1043,89,121,4,4,2,3,0,0,3,4,627,1047,91,122,5,7,4,3,1,0,4,14,0,1,0,0,0,0,0,0,0,0,4,14,0,1,0,0,0,0,0,0
050,10,001,Delaware,Kent County,1,18,1537,424,1113,347,944,71,154,1,6,2,2,0,0,3,7,349,951,72,154,3,12,2,2,1,1,344,937,71,154,1,6,2,2,0,0,3,7,346,944,72,154,3,12,2,2,1,1,3,7,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0
050,10,001,Delaware,Kent County,2,0,126700,61072,65628,46067,48683,12601,14106,410,417,902,1280,26,34,1066,1108,46938,49561,13210,14736,795,854,1193,1605,88,90,44452,47165,12275,13745,386,391,883,1254,18,30,1007,1025,45273,47970,12847,14320,743,792,1160,1563,74,81,1615,1518,326,361,24,26,19,26,8,4,59,83,1665,1591,363,416,52,62,33,42,14,9
050,10,001,Delaware,Kent County,2,1,9138,4611,4527,3204,3073,1085,1138,23,21,71,76,0,5,228,214,3408,3266,1263,1297,50,55,121,122,5,14,3006,2902,1047,1092,20,17,69,73,0,5,218,196,3201,3078,1218,1236,47,47,116,119,4,13,198,171,38,46,3,4,2,3,0,0,10,18,207,188,45,61,3,8,5,3,1,1
050,10,001,Delaware,Kent County,2,2,9703,5005,4698,3475,3333,1255,1114,25,33,74,56,0,1,176,161,3632,3474,1366,1221,68,73,128,101,9,10,3322,3166,1225,1066,24,25,73,52,0,1,167,143,3470,3292,1332,1159,62,57,124,94,8,9,153,167,30,48,1,8,1,4,0,0,9,18,162,182,34,62,6,16,4,7,1,1
050,10,001,Delaware,Kent County,2,3,10063,5071,4992,3595,3554,1232,1215,35,36,71,65,0,1,138,121,3711,3656,1306,1286,75,73,122,110,10,8,3448,3411,1191,1174,32,33,69,64,0,1,132,113,3558,3505,1262,1239,67,67,119,106,9,6,147,143,41,41,3,3,2,1,0,0,6,8,153,151,44,47,8,6,3,4,1,2
050,10,001,Delaware,Kent County,2,4,9843,4859,4984,3283,3313,1368,1451,26,27,69,66,3,2,110,125,3361,3410,1434,1520,70,72,103,110,9,6,3131,3182,1328,1412,25,25,67,64,1,2,102,116,3205,3272,1388,1476,64,67,98,105,6,6,152,131,40,39,1,2,2,2,2,0,8,9,156,138,46,44,6,5,5,5,3,0
050,10,001,Delaware,Kent County,2,5,8610,4229,4381,2938,2812,1099,1386,29,22,74,75,6,5,83,81,3005,2869,1140,1432,59,53,104,105,11,7,2768,2667,1056,1343,26,19,71,73,3,3,77,77,2830,2720,1093,1386,53,49,100,102,6,5,170,145,43,43,3,3,3,2,3,2,6,4,175,149,47,46,6,4,4,3,5,2
