"Table 35.  Imports of Crude Oil and Petroleum Products by PAD District, September 2007",,,,,,,,,,
,,,"     (Thousand Barrels, Except Where Noted)",,,,,,,
Commodity,,,,PAD Districts,,,,,U.S. Totals,
,,,,1,2,3,4,5,Total,Daily Average
"Crude Oila,b",,,,"45,997","46,272","167,088","9,194","40,891","309,442","10,315"
Natural Gas Liquids and LRG's,,,,"1,422","2,033","4,904",325,184,"8,868",296
,Pentanes Plus,,,0,31,510,0,0,541,18
,Liquefied Petroleum Gases,,,"1,422","2,002","4,394",325,184,"8,327",278
,,Ethane,,0,0,0,0,0,0,0
,,Ethylene,,0,4,0,0,0,4,0
,,Propane,,914,"1,264","3,605",307,53,"6,143",205
,,Propylene,,260,333,0,0,0,593,20
,,Normal Butane,,0,210,630,18,131,989,33
,,Butylene,,0,124,159,0,0,283,9
,,Isobutane,,248,67,0,0,0,315,11
,,Isobutylene,,0,0,0,0,0,0,0
Other Liquids,,,,"24,904",96,"13,846",0,"3,737","42,583","1,419"
,Other Hydrocarbons/Oxygenates,,,470,1,133,0,309,913,30
,,Other Hydrocarbons/Hydrogen,,0,0,3,0,309,312,10
,,Oxygenates,,470,1,130,0,0,601,20
,, ,Fuel Ethanol,470,1,130,0,0,601,20
,,,MTBE,0,0,0,0,0,0,0
,,,Other Oxygenatesc,0,0,0,0,0,0,0
,Unfinished Oilsa,,,"5,134",92,"12,051",0,"2,624","19,901",663
,,Naphthas and Lighter,,402,0,619,0,261,"1,282",43
,,Kerosene and Light Gas Oils,,0,0,56,0,0,56,2
,,Heavy Gas Oils,,"3,513",92,"7,402",0,"2,363","13,370",446
,,Residuum,,"1,219",0,"3,974",0,0,"5,193",173
,Motor Gasoline Blending Components,,,"19,300",3,"1,662",0,804,"21,769",726
,,Reformulated,,"8,658",0,227,0,0,"8,885",296
,,,GTAB,998,0,227,0,0,"1,225",41
,,,RBOB for Blending with Ether,0,0,0,0,0,0,0
,,,RBOB for Blending with Alcohol,"7,660",0,0,0,0,"7,660",255
,,Conventional,,"10,642",3,"1,435",0,804,"12,884",429
,,,CBOB for Blending with Alcohol,0,0,0,0,136,136,5
,,,GTAB,"2,302",0,632,0,0,"2,934",98
,,,Other,"8,340",3,803,0,668,"9,814",327
,Aviation Gasoline Blending Components,,,0,0,0,0,0,0,0
Finished Petroleum Products,,,,"29,948","1,165","12,068",307,"4,783","48,271","1,609"
,Finished Motor Gasoline,,,"12,286",31,"1,042",3,791,"14,153",472
,,Reformulated,,1,0,0,0,0,1,0
,,,Reformulated Blended with Ether,0,0,0,0,0,0,0
,,,Reformulated Blended with Alcohol,1,0,0,0,0,1,0
,,,Reformulated (Non-Oxygenated),0,0,0,0,0,0,0
,,Conventional,,"12,285",31,"1,042",3,791,"14,152",472
,,,Conventional Blended with Alcohol,0,3,0,0,0,3,0
,,,Conventional Other,"12,285",28,"1,042",3,791,"14,149",472
,Finished Aviation Gasoline,,,8,2,0,0,1,11,0
,Kerosene-Type Jet Fuel,,,"2,809",1,348,0,"2,910","6,068",202
,,Bonded Aircraft Fuel,,0,0,0,0,"1,453","1,453",48
,,Other,,"2,809",1,348,0,"1,457","4,615",154
,Kerosene,,,24,0,0,0,0,24,1
,Distillate Fuel Oil,,,"7,152",259,110,258,57,"7,836",261
,,15 ppm sulfur and under,,"3,887",172,0,167,57,"4,283",143
,,,Bonded,0,0,0,0,15,15,1
,,,Other,"3,887",172,0,167,42,"4,268",142
,,Greater than 15 ppm to 500 ppm sulfur,,299,57,0,73,0,429,14
,,,Bonded,0,28,0,0,0,28,1
,,,Other,299,29,0,73,0,401,13
,,Greater than 500 ppm to 2000 ppm sulfur,,"2,020",19,110,18,0,"2,167",72
,,,Bonded,0,0,0,0,0,0,0
,,,Other,"2,020",19,110,18,0,"2,167",72
,,Greater than 2000 ppm,,946,11,0,0,0,957,32
,,,Bonded,0,0,0,0,0,0,0
,,,Other,946,11,0,0,0,957,32
,Residual Fuel Oil,,,"5,894",223,"3,520",0,781,"10,418",347
,,Less than 0.31 percent sulfur,,723,0,0,0,0,723,24
,,0.31 to 1.00 percent sulfur,,849,131,"1,271",0,0,"2,251",75
,,Greater than 1.00 percent sulfur,,"4,322",92,"2,249",0,781,"7,444",248
,Petrochemical Feedstocks,,,119,203,"6,005",0,73,"6,400",213
,,Naphtha for Petro. Feed. Use,,112,157,"2,787",0,73,"3,129",104
,,Other Oils for Petro. Feed. Use,,7,46,"3,218",0,0,"3,271",109
,Special Naphthas,,,44,30,266,0,0,340,11
,Lubricants,,,154,148,131,0,36,469,16
,Waxes,,,15,6,82,0,91,194,6
,Petroleum Coke (Marketable),,,818,18,562,0,30,"1,428",48
,Asphalt and Road Oil,,,621,241,2,45,13,922,31
,Miscellaneous Products,,,4,3,0,1,0,8,0
Total,,,,"102,271","49,566","197,906","9,826","49,595","409,164","13,639"
