Table with row headers in column A and column headers in row 7 through 8 Leading dots indicate sub-parts.,,,,,,,,,,,,,,,,,
Census 2000 PHC-T-39,,,,,,,,,,,,,,,,,
"Table 6: School Enrollment for Related Children 3 to 17 Years by Age, Type of School, and Family Income: 2000",,,,,,,,,,,,,,,,,
Geographic area: Wisconsin,,,,,,,,,,,,,,,,,
"All race and ethnic groups, both sexes",,,,,,,,,,,,,,,,,
"(Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Age and enrollment status,Total,Family Income in 1999,,,,,,,,,,,,,,,
,,"$0- 14,999","$15,000- 24,999","$25,000- 34,999","$35,000- 49,999","$50,000- 74,999","$75,000- 99,999","$100,000 or more",,,,,,,,,
,,,,,,,,,,,,,,,,,
3 to 17 years ,"1,135,355","93,279","98,685","117,218","204,287","321,342","161,167","139,377",,,,,,,,,
.Enrolled in school ,"1,036,789","82,502","88,374","105,113","183,644","295,034","150,530","131,592",,,,,,,,,
..Public school ,"859,565","74,445","78,191","90,891","154,480","241,995","120,728","98,835",,,,,,,,,
..Private school ,"177,224","8,057","10,183","14,222","29,164","53,039","29,802","32,757",,,,,,,,,
.Not enrolled ,"98,566","10,777","10,311","12,105","20,643","26,308","10,637","7,785",,,,,,,,,
,,,,,,,,,,,,,,,,,
.3 to 5 years ,"206,690","21,251","20,491","22,969","39,940","56,949","24,799","20,291",,,,,,,,,
..Enrolled in school ,"121,361","12,249","11,767","12,510","21,648","33,785","15,674","13,728",,,,,,,,,
...Public school ,"77,037","10,154","9,345","9,131","14,333","19,749","7,913","6,412",,,,,,,,,
...Private school ,"44,324","2,095","2,422","3,379","7,315","14,036","7,761","7,316",,,,,,,,,
..Not enrolled ,"85,329","9,002","8,724","10,459","18,292","23,164","9,125","6,563",,,,,,,,,
,,,,,,,,,,,,,,,,,
.6 to 13 years ,"614,981","52,806","55,763","64,964","112,540","173,054","83,985","71,869",,,,,,,,,
..Enrolled in school ,"608,667","51,973","55,058","64,258","111,477","171,502","83,176","71,223",,,,,,,,,
...Public school ,"505,509","47,160","48,848","55,699","94,094","141,031","66,143","52,534",,,,,,,,,
...Private school ,"103,158","4,813","6,210","8,559","17,383","30,471","17,033","18,689",,,,,,,,,
..Not enrolled ,"6,314",833,705,706,"1,063","1,552",809,646,,,,,,,,,
,,,,,,,,,,,,,,,,,
.14 to 17 years ,"313,684","19,222","22,431","29,285","51,807","91,339","52,383","47,217",,,,,,,,,
..Enrolled in school ,"306,761","18,280","21,549","28,345","50,519","89,747","51,680","46,641",,,,,,,,,
...Public school ,"277,019","17,131","19,998","26,061","46,053","81,215","46,672","39,889",,,,,,,,,
...Private school ,"29,742","1,149","1,551","2,284","4,466","8,532","5,008","6,752",,,,,,,,,
..Not enrolled ,"6,923",942,882,940,"1,288","1,592",703,576,,,,,,,,,
Note:  - Represents zero or rounds to zero.,,,,,,,,,,,,,,,,,
"Internet release date: October, 2006",,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Census 2000",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
