"Table 1.  U.S. Supply, Disposition, and Ending Stocks of Crude Oil and Petroleum Products, December 2007",,,,,,,,,,,
,,        (Thousand Barrels),,,,,,,,,
Commodity,,,Supply,,,,Disposition,,,,
,,,Field Production,Refinery and Blender Net Production,Imports,Adjust-mentsa,Stock Changeb,Refinery and Blender Net Inputs,Exports,Products Suppliedc,Ending Stocks
Crude Oil,,,"157,219",-,"304,500","-2,311","-12,218","471,000",626,0,"982,804"
,Commercial,,"157,219",-,"304,500","-2,311","-13,656",-,626,-,"285,863"
,,Alaskan,"22,773",-,-,-,-,-,-,-,-
,,Lower 48 States,"134,446",-,-,-,-,-,-,-,-
,Strategic Petroleum Reserve (SPR),,-,-,0,-,"1,438",-,-,-,"696,941"
,,Imports by SPR,-,-,0,-,-,-,-,-,-
,,Imports into SPR by Others,-,-,0,-,-,-,-,-,-
Natural Gas Liquids and LRGs,,,"56,512","13,722","7,701",-,"-18,066","18,602","2,398","75,001","105,487"
,Pentanes Plus,,"7,844",-,248,-,"-1,881","5,020",572,"4,381","10,278"
,Liquefied Petroleum Gases,,"48,668","13,722","7,453",-,"-16,185","13,582","1,826","70,620","95,209"
,,Ethane/Ethylene,"23,151",623,7,-,-236,0,0,"24,017","14,869"
,,Propane/Propylene,"16,006","18,525","5,826",-,"-7,557",0,"1,398","46,516","52,147"
,,Normal Butane/Butylene,"4,168","-5,074","1,222",-,"-7,091","7,717",428,-738,"21,339"
,,Isobutane/Isobutylene,"5,343",-352,398,-,"-1,301","5,865",0,825,"6,854"
Other Liquids,,,-,-,"42,417",470,"3,733","35,316","2,757","1,081","199,058"
,Other Hydrocarbons/Oxygenates,,-,-,252,"17,061",-910,"16,043","2,180",0,"11,624"
,Unfinished Oils,,-,-,"20,652",-,"-7,498","27,069",0,"1,081","82,373"
,Motor Gasoline Blend. Comp. (MGBC),,-,-,"21,513","-16,590","12,117","-7,772",578,0,"105,023"
,,Reformulated,-,-,"10,412","-5,848","6,778","-2,214",0,0,"47,766"
,,Conventional,-,-,"11,101","-10,742","5,339","-5,558",578,0,"57,257"
,Aviation Gasoline Blend. Comp.,,-,-,0,-,24,-24,0,0,38
Finished Petroleum Products,,,-,"545,653","43,873","20,079","2,053",-,"36,705","570,847","374,266"
,Finished Motor Gasoline,,-,"263,385","10,877","20,079","1,231",-,"6,406","286,704","110,030"
,,Reformulated,-,"92,075",0,"6,328",220,-,"1,444","96,739","1,204"
,,Conventional,-,"171,310","10,877","13,751","1,011",-,"4,962","189,965","108,826"
,Finished Aviation Gasoline,,-,480,4,-,150,-,0,334,"1,224"
,Kerosene-Type Jet Fuel,,-,"46,147","4,216",-,-751,-,"1,427","49,687","39,458"
,Kerosene,,-,"1,574",77,-,-221,-,76,"1,796","2,804"
,Distillate Fuel Oild,,-,"133,782","7,473",0,-861,-,"7,136","134,980","133,508"
,,15 ppm sulfur and under,-,"99,777","3,452",-878,"3,516",-,0,"98,835","69,956"
,,Greater than 15 ppm to 500 ppm sulfur,-,"19,149",375,878,-288,-,"5,318","15,372","23,741"
,,Greater than 500 ppm sulfur,-,"14,856","3,646",-,"-4,089",-,"1,818","20,773","39,811"
,Residual Fuel Oile,,-,"20,245","10,608",-,-94,-,"10,417","20,530","38,615"
,,Less than 0.31 percent sulfur,-,"2,805","1,341",-,418,-,-,-,"5,766"
,,0.31 to 1.00 percent sulfur,-,"3,622","2,038",-,-419,-,-,-,"12,219"
,,Greater than 1.00 percent sulfur,-,"13,818","7,229",-,-109,-,-,-,"20,608"
,Petrochemical Feedstocks,,-,"12,626","7,958",-,123,-,-,"20,461","3,350"
,,Naphtha for Petro. Feed. Use,-,"6,280","2,162",-,225,-,-,"8,217","2,185"
,,Other Oils for Petro. Feed. Use,-,"6,346","5,796",-,-102,-,-,"12,244","1,165"
,Special Naphthas,,-,"1,378",356,-,34,-,803,897,"1,571"
,Lubricants,,-,"5,512",319,-,386,-,"1,492","3,953","10,575"
,Waxes,,-,306,68,-,44,-,150,180,534
,Petroleum Coke,,-,"26,050","1,142",-,"1,206",-,"8,225","17,761","9,329"
,,Marketable,-,"18,468","1,142",-,"1,206",-,"8,225","10,179","9,329"
,,Catalyst,-,"7,582",-,-,-,-,-,"7,582",-
,Asphalt and Road Oil,,-,"11,308",771,-,724,-,549,"10,806","22,219"
,Still Gas,,-,"20,610",-,-,-,-,-,"20,610",-
,Miscellaneous Products,,-,"2,250",4,-,82,-,23,"2,149","1,049"
Total,,,"213,731","559,375","398,491","18,238","-24,498","524,918","42,487","646,929","1,661,615"
