table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,
"Table 2: Annual Estimates of the Population by Age and Sex for Utah: April 1, 2000 to July 1, 2006",,,,,,,,,
Sex and Age,Population Estimates,,,,,,,"April 1, 2000",
,"July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"2,550,063","2,490,334","2,421,500","2,355,785","2,325,921","2,288,374","2,243,490","2,233,198","2,233,169"
.Under 5 years,"247,801","245,431","238,130","229,010","223,212","217,584","209,938","209,381","209,378"
.5 to 9 years,"220,312","211,779","204,660","197,617","195,748","194,072","192,760","193,037","193,033"
.10 to 14 years,"200,258","197,703","195,016","193,592","194,005","194,179","193,429","192,290","192,288"
.15 to 19 years,"204,551","202,233","199,915","199,083","203,077","208,272","217,283","216,280","216,278"
.20 to 24 years,"237,328","244,509","249,884","253,132","252,851","243,214","227,509","225,155","225,152"
.25 to 29 years,"235,522","220,321","205,156","190,577","182,638","178,699","178,028","178,476","178,474"
.30 to 34 years,"173,317","170,270","166,319","161,828","159,320","154,874","149,123","148,591","148,590"
.35 to 39 years,"159,184","151,854","146,026","143,489","145,595","147,904","150,630","150,699","150,695"
.40 to 44 years,"151,722","153,291","153,646","152,217","152,474","152,410","149,671","148,845","148,841"
.45 to 49 years,"155,511","152,025","148,152","144,559","141,978","137,767","132,793","131,667","131,665"
.50 to 54 years,"138,740","133,391","127,280","120,887","117,254","114,835","107,290","106,045","106,045"
.55 to 59 years,"116,424","108,431","100,501","94,600","90,492","83,559","80,778","80,053","80,053"
.60 to 64 years,"83,854","80,685","76,845","71,760","67,853","65,356","62,916","62,455","62,455"
.65 to 69 years,"65,140","62,468","60,027","57,554","55,872","54,790","53,831","53,734","53,734"
.70 to 74 years,"53,398","52,246","50,496","49,687","49,153","48,646","47,954","47,814","47,814"
.75 to 79 years,"44,771","43,731","42,352","41,428","41,195","40,688","39,987","39,746","39,745"
.80 to 84 years,"32,995","32,288","31,094","29,925","29,428","28,524","27,503","27,179","27,178"
.85 years and over,"29,235","27,678","26,001","24,840","23,776","23,001","22,067","21,751","21,751"
,,,,,,,,,
.Under 18 years,"791,198","775,353","755,550","736,661","732,163","727,598","720,854","718,707","718,698"
.Under 5 years,"247,801","245,431","238,130","229,010","223,212","217,584","209,938","209,381","209,378"
.5 to 13 years,"380,573","369,418","359,964","352,478","351,618","349,727","347,186","346,325","346,319"
.14 to 17 years,"162,824","160,504","157,456","155,173","157,333","160,287","163,730","163,001","163,001"
