table with row headers in column A and column headers in row 3.  (leading dots indicate sub-parts),,,,,,,,,,,
"Table 1: Estimates of the Population by Selected Age Groups for the United States and States and for Puerto Rico: July 1, 2006",,,,,,,,,,,
Geographic Area,Total,Under 5 Years,5 to 13 Years,14 to 17 Years,18 to 24 Years,16 Years and Over,18 Years and Over,15 to 44 Years,45 to 64 Years,65 Years and Over,85 Years and Over
United States,"299,398,484","20,417,636","36,077,637","17,240,289","29,454,784","234,315,597","225,662,922","126,518,355","74,864,857","37,260,352","5,296,817"
.Alabama,"4,599,030","299,377","551,302","263,622","447,567","3,617,573","3,484,729","1,885,951","1,182,168","615,597","79,530"
.Alaska,"670,053","49,771","87,088","44,575","71,721","511,146","488,619","301,334","175,435","45,630","4,148"
.Arizona,"6,166,318","480,491","791,931","355,776","588,180","4,715,475","4,538,120","2,607,291","1,407,556","790,286","105,104"
.Arkansas,"2,810,872","192,891","337,744","160,551","266,780","2,200,556","2,119,686","1,146,823","703,685","390,421","54,889"
.California,"36,457,549","2,678,019","4,657,507","2,197,088","3,784,128","28,012,563","26,924,935","16,195,966","8,441,510","3,931,514","555,473"
.Colorado,"4,753,377","341,069","566,564","261,668","459,455","3,715,005","3,584,076","2,095,938","1,207,574","477,186","61,232"
.Connecticut,"3,504,809","202,831","413,397","202,058","319,764","2,788,063","2,686,523","1,426,146","942,319","470,443","76,395"
.Delaware,"853,476","56,692","99,200","47,474","83,205","673,737","650,110","353,288","218,018","114,574","14,553"
.District of Columbia,"581,530","34,948","54,188","25,745","71,582","479,396","466,649","279,584","134,947","71,331","10,770"
.Florida,"18,089,888","1,122,849","1,947,959","950,747","1,594,516","14,549,217","14,068,333","7,181,857","4,567,909","3,037,704","462,545"
.Georgia,"9,363,941","702,134","1,196,898","555,988","914,568","7,188,140","6,908,921","4,164,925","2,250,173","912,874","113,362"
.Hawaii,"1,285,498","87,321","142,564","68,196","125,102","1,021,351","987,417","533,856","325,559","179,370","26,888"
.Idaho,"1,466,465","112,963","190,820","90,497","149,087","1,117,980","1,072,185","615,810","355,576","169,173","23,384"
.Illinois,"12,831,970","887,605","1,587,797","739,842","1,281,767","9,987,526","9,616,726","5,498,030","3,140,765","1,534,476","227,074"
.Indiana,"6,313,520","431,089","778,898","367,642","615,836","4,920,136","4,735,891","2,636,152","1,592,056","784,219","111,190"
.Iowa,"2,982,085","192,055","347,517","170,622","311,882","2,357,984","2,271,891","1,200,901","764,140","435,657","75,180"
.Kansas,"2,764,075","194,100","340,282","161,455","292,820","2,150,287","2,068,238","1,144,991","687,278","357,709","59,518"
.Kentucky,"4,206,074","275,751","490,754","233,026","384,158","3,323,612","3,206,543","1,751,719","1,092,852","537,294","69,463"
.Louisiana,"4,287,768","301,375","533,375","255,251","455,262","3,326,526","3,197,767","1,789,570","1,077,344","523,346","67,599"
.Maine,"1,321,574","70,245","136,943","73,806","115,743","1,078,357","1,040,580","518,601","385,279","192,639","27,012"
.Maryland,"5,615,727","368,199","663,881","328,451","533,023","4,420,324","4,255,196","2,383,934","1,468,280","650,568","85,783"
.Massachusetts,"6,437,193","387,863","714,153","346,868","633,278","5,163,428","4,988,309","2,717,817","1,676,959","855,962","137,022"
.Michigan,"10,095,643","638,195","1,230,912","609,249","982,823","7,921,933","7,617,287","4,176,623","2,638,489","1,260,864","174,758"
.Minnesota,"5,167,101","345,250","611,871","300,143","519,744","4,061,997","3,909,837","2,182,375","1,326,978","627,394","101,634"
.Mississippi,"2,910,540","209,457","372,350","177,598","303,685","2,240,637","2,151,135","1,208,991","713,757","362,172","49,582"
.Missouri,"5,842,713","386,752","691,492","338,348","568,639","4,596,582","4,426,121","2,409,954","1,492,451","778,891","113,789"
.Montana,"944,632","57,916","105,213","54,719","95,055","754,786","726,784","369,486","268,176","130,592","19,000"
.Nebraska,"1,768,331","127,665","214,058","103,310","188,813","1,375,529","1,323,298","729,212","437,323","234,655","39,128"
.Nevada,"2,495,529","183,588","311,001","139,931","213,289","1,930,256","1,861,009","1,073,428","615,096","276,943","27,841"
.New Hampshire,"1,314,895","73,575","147,321","76,729","120,050","1,055,936","1,017,270","540,724","372,043","162,629","23,118"
.New Jersey,"8,724,560","558,994","1,035,849","494,495","763,949","6,883,718","6,635,222","3,608,858","2,271,077","1,127,742","166,529"
.New Mexico,"1,954,599","141,969","247,829","119,132","204,902","1,505,631","1,445,669","810,637","482,330","242,600","31,309"
.New York,"19,306,183","1,220,468","2,212,539","1,081,335","1,939,099","15,337,069","14,791,841","8,178,845","4,906,189","2,522,686","371,667"
.North Carolina,"8,856,505","611,110","1,052,822","491,455","834,747","6,946,776","6,701,118","3,753,324","2,240,580","1,076,951","136,229"
.North Dakota,"635,867","39,556","70,057","35,321","81,770","509,019","490,933","262,726","162,115","92,874","16,797"
.Ohio,"11,478,006","734,735","1,370,419","664,881","1,096,729","9,041,304","8,707,971","4,678,514","2,998,192","1,531,994","216,992"
.Oklahoma,"3,579,212","254,718","434,000","205,316","369,119","2,788,361","2,685,178","1,476,302","889,603","473,545","65,571"
.Oregon,"3,700,758","230,660","421,725","203,874","339,955","2,947,967","2,844,499","1,526,957","993,430","478,180","70,969"
