JD,Date,Time,Lat,Long,"xCO2,w","xCO2,a",EqTemp,Pressure,SST(TSG),Sal(TSG),"fCO2w,eq","fCO2w,in situ",fCO2a,dfCO2
307.657188,11/03/01,15:46:21,36.22801177,-133.6716832,352.2058378,373.4557861,12.733632,1022.143555,12.63,32.21,348.9979774,347.4763578,370.0204328,-22.54407497
307.660289,11/03/01,15:50:49,36.22184469,-133.6778323,354.5272963,373.4557861,12.630555,1022.235107,12.59,32.25,351.3426707,350.7421742,370.0204328,-19.27825863
307.663426,11/03/01,15:55:20,36.21560602,-133.6840527,355.0909653,373.4557861,12.83375,1022.079468,12.66,32.16,351.8250132,349.2595793,370.0204328,-20.76085346
307.666551,11/03/01,15:59:50,36.20939122,-133.6902493,354.9500155,373.4557861,12.789582,1022.15271,12.69,32.17,351.7016338,350.2290655,370.0204328,-19.79136727
307.698854,11/03/01,16:46:21,36.14514901,-133.7543037,359.0278803,373.71536,12.689458,1022.463989,12.65,32.14,355.8645413,355.2733145,370.5122876,-15.23897306
307.701968,11/03/01,16:50:50,36.13895608,-133.7604786,357.4426806,373.71536,12.247559,1022.610474,12.35,32.26,354.4379066,355.9760344,370.5122876,-14.53625317
307.705093,11/03/01,16:55:20,36.13274127,-133.7666752,354.8457133,373.71536,12.032383,1022.601318,11.9,32.39,351.9948797,350.0272858,370.5122876,-20.48500179
307.708218,11/03/01,16:59:50,36.12652647,-133.7728719,352.27922,373.71536,12.023538,1022.949219,11.84,32.24,349.5866986,346.8794252,370.5122876,-23.63286232
307.743634,11/03/01,17:50:50,36.05609332,-133.8430991,342.5558942,373.8706342,13.222336,1022.463989,13.01,31.92,339.4281645,336.4089468,370.8513577,-34.44241086
307.746759,11/03/01,17:55:20,36.04987851,-133.8492958,342.1136318,373.8706342,13.234109,1022.784424,13.03,31.94,339.0916694,336.1919078,370.8513577,-34.65944993
307.749884,11/03/01,17:59:50,36.04366371,-133.8554924,342.0903605,373.8706342,13.013344,1022.4823,12.96,31.97,338.9884313,338.2272835,370.8513577,-32.62407421
307.782188,11/03/01,18:46:21,35.97941951,-133.9195488,345.3969665,374.0335378,12.748356,1022.491455,12.7,31.93,342.3473849,341.6495796,370.9171918,-29.26761216
307.785301,11/03/01,18:50:50,35.97322857,-133.9257216,345.9088429,374.0335378,12.907359,1022.775269,12.77,31.92,342.9299812,340.9503801,370.9171918,-29.96681162
307.788426,11/03/01,18:55:20,35.96701377,-133.9319183,345.9088429,374.0335378,13.204676,1022.647095,12.94,31.84,342.834142,339.0383178,370.9171918,-31.87887401
307.791551,11/03/01,18:59:50,35.96079896,-133.9381149,345.629602,374.0335378,13.148752,1023.022461,13.07,31.84,342.6448236,341.5111698,370.9171918,-29.40602199
307.823854,11/03/01,19:46:21,35.89655675,-134.0021693,347.1387273,373.7949861,14.599334,1022.134399,14.33,31.49,343.4289181,339.5957858,370.0771078,-30.48132196
307.826956,11/03/01,19:50:49,35.89038769,-134.0083204,346.5334222,373.7949861,14.714082,1022.097778,14.54,31.59,342.746932,340.2711074,370.0771078,-29.80600035
307.830081,11/03/01,19:55:19,35.88417288,-134.014517,343.9073464,373.7949861,14.667005,1022.463989,14.61,31.54,340.2495663,339.4422617,370.0771078,-30.63484606
307.833218,11/03/01,19:59:50,35.87793421,-134.0207374,342.9795828,373.7949861,14.519896,1022.290039,14.54,31.54,339.2966176,339.5813043,370.0771078,-30.49580345
307.865521,11/03/01,20:46:21,35.81369201,-134.0847918,350.9347636,373.3019093,15.923976,1022.088623,15.86,31.82,346.6244806,345.7101091,368.7343046,-23.02419546
307.868634,11/03/01,20:50:50,35.80750106,-134.0909647,351.6829949,373.3019093,16.189162,1022.125244,16.02,31.78,347.3159646,344.9031815,368.7343046,-23.83112308
307.871759,11/03/01,20:55:20,35.80128626,-134.0971613,353.2281327,373.3019093,16.15085,1021.914673,16.11,31.86,348.7348399,348.1482171,368.7343046,-20.58608746
307.874884,11/03/01,20:59:50,35.79507145,-134.103358,352.1977548,373.3019093,15.906301,1022.088623,16.01,31.93,347.8159338,349.3082445,368.7343046,-19.42606007
307.948854,11/03/01,22:46:21,35.6479645,-134.2500349,344.5586826,373.6657665,15.809096,1021.740723,15.73988153,31.94657534,340.2530698,339.2805638,369.0003527,-29.71978887
307.951956,11/03/01,22:50:49,35.64179543,-134.2561859,345.1852392,373.6657665,15.891572,1021.621704,15.82235753,31.94808219,340.8012888,339.8278259,369.0003527,-29.17252679
307.955081,11/03/01,22:55:19,35.63558063,-134.2623826,347.1140613,373.6657665,15.92103,1021.292114,15.85181553,31.94958904,342.582262,341.6041325,369.0003527,-27.39622015
307.958218,11/03/01,22:59:50,35.62934195,-134.268603,348.6274726,373.6657665,16.047715,1021.585083,15.97850053,31.95109589,344.1292709,343.1477593,369.0003527,-25.85259338
307.990521,11/03/01,23:46:21,35.56509975,-134.3326574,346.5278026,373.246492,15.59706,1021.530151,15.52784553,31.96767123,342.2029259,341.2237004,368.5835176,-27.35981721
307.993634,11/03/01,23:50:50,35.55890881,-134.3388303,346.5977384,373.246492,15.750191,1021.585083,15.68097653,31.96917808,342.2351731,341.2568668,368.5835176,-27.32665081
307.996759,11/03/01,23:55:20,35.552694,-134.3450269,347.6474135,373.246492,15.505784,1021.694946,15.43656953,31.97068493,343.3978762,342.4147807,368.5835176,-26.16873685
307.999884,11/03/01,23:59:50,35.54647919,-134.3512235,345.1302025,373.246492,15.42335,1021.530151,15.35413553,31.97219178,340.8849109,339.9081518,368.5835176,-28.67536582
308.032188,11/04/01,00:46:21,35.482235,-134.4152799,350.2537394,373.8701211,15.585282,1021.630859,15.51606753,31.98876712,345.9214125,344.9319426,369.157008,-24.22506536
308.035301,11/04/01,00:50:50,35.47604406,-134.4214528,350.3711598,373.8701211,15.473398,1021.438599,15.40418353,31.99027397,346.0118121,345.021351,369.157008,-24.13565699
308.038426,11/04/01,00:55:20,35.46982925,-134.4276494,349.5964492,373.8701211,15.499896,1021.484375,15.43068153,31.99178082,345.2528965,344.2646874,369.157008,-24.89232059
308.041551,11/04/01,00:59:50,35.46361445,-134.433846,348.4707093,373.8701211,15.54406,1021.731567,15.47484553,31.99328767,344.2098965,343.2248328,369.157008,-25.93217523
308.073854,11/04/01,01:46:21,35.39937224,-134.4979005,349.2160185,374.0959261,15.50284,1021.731567,15.43362553,32.00986301,344.9610747,343.9736834,369.4163074,-25.44262402
308.076956,11/04/01,01:50:49,35.39320317,-134.5040515,347.1292645,374.0959261,15.499896,1021.31958,15.43068153,32.01136986,342.7601738,341.7787843,369.4163074,-27.6375231
308.080081,11/04/01,01:55:19,35.38698837,-134.5102481,347.9259187,374.0959261,15.473398,1021.511841,15.40418353,32.01287671,343.6221267,342.6382038,369.4163074,-26.7781036
