SemGroup|1965|1966|1967|1968|1969|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|
Activities & Behaviors|1664|9671|14150|25066|28075|26206|27875|37776|36377|41160|69518|80403|80493|77346|94006|87683|138721|150279|170248|174264|177607|187248|190383|199055|238098|231672|247140|286238|262536|281027|302282|306479|373069|346992|363138|352904|385109|419778|458271|518190|509327|
Anatomy|9345|75261|107030|158269|193962|194557|193342|244373|234211|257749|274452|247628|236040|207799|228599|234943|254189|261598|280045|283458|290970|296083|275198|276664|328448|316174|329641|365167|329455|339126|356300|514996|429218|493354|391682|417038|403333|412534|523143|526833|406744|
Chemicals & Drugs|27561|238953|367061|517907|616343|603226|606010|806833|760887|838667|870255|791367|775949|647600|711175|760920|835419|907485|964344|990147|1053457|1091152|1027063|1051422|1254437|1259701|1344751|1503305|1379195|1437417|1554151|2147686|1944093|2120191|1860733|1925480|2039739|2009583|2285559|2355064|2022618|
Concepts & Ideas|5927|47938|41055|85492|117210|110651|114013|149662|150987|202293|227961|221881|219081|203488|230882|232028|238623|250235|273151|283671|301844|309012|289357|298304|375569|390603|427156|488801|467311|508467|555586|577133|650710|614289|645539|631153|698489|761104|852542|961106|875381|
Devices|652|3724|5077|9092|10209|10086|9502|12710|13062|13655|14540|13490|13349|13621|13345|14289|13712|14354|15701|16014|16881|17662|15554|15565|19109|20855|20993|24417|20754|22706|23211|30495|29139|29501|26960|24536|29920|32559|38153|42148|38435|
Disorders|23354|152305|187121|308931|348377|347081|335477|371793|350558|371055|382227|369130|363850|327154|340106|345747|387224|393038|426233|432429|450262|461588|431704|433871|513714|496878|506756|557294|496576|523083|547727|992635|660272|881803|618802|699510|650673|727082|944455|897837|712863|
Genes & Molecular Sequences|26|462|948|1815|2292|2599|2968|4577|4484|5087|5973|5429|5763|5175|6426|6575|8209|9313|12665|14745|15161|16905|21984|31402|42836|57195|71070|87737|93658|107730|116784|108256|97346|85312|87108|83614|89542|80881|85819|97766|86062|
Geographic Areas|2600|16690|19618|28494|34523|30156|29407|34191|32439|40980|41884|43963|41398|46079|47057|49019|41481|45407|48474|48399|50225|49782|50884|53651|65446|61717|67225|73659|69884|71536|79499|108481|87924|86159|88612|85174|90588|106954|107829|120123|106804|
Living Beings|50226|343854|395500|546291|601543|584505|545595|629516|578262|618746|677389|720603|716779|677547|708257|736609|832473|851777|927800|934431|955595|980732|965726|976838|1184665|1129284|1149110|1264795|1154900|1204345|1273376|1387968|1545616|1437095|1456345|1421400|1513109|1593688|1707691|1823681|1642059|
Objects|1163|8180|12066|18458|23104|22770|22552|28519|26731|30332|29537|26808|26240|26455|28858|27587|27359|27464|32780|32866|33675|34679|32204|33689|38048|38199|38165|44355|38434|39858|42828|64225|53555|62703|52918|56742|59240|67547|85481|88089|75710|
Occupations|4865|34652|38081|51606|55838|48350|52322|50799|42760|50549|45828|45622|42462|40269|42574|44112|39653|41108|44732|43197|46599|45445|42758|42796|50595|45927|47052|53345|48998|50418|56323|219441|65008|100601|62419|73473|66529|85369|109777|115169|88112|
Organizations|612|4248|5491|8502|10448|9394|9195|11167|10949|13098|12692|11675|12759|17245|22110|17650|15473|14790|17162|17315|18151|18882|19595|20225|23107|22754|22923|27703|25483|25402|27688|32903|29438|34102|28995|28337|27082|34633|39600|39948|31486|
Phenomena|1405|11277|18647|31228|38493|40467|41893|61644|53326|60656|61667|54707|47279|40310|45984|46223|46140|47014|50658|52432|54985|57723|52341|55352|66495|66908|70364|80542|71305|75144|81952|106833|101506|109923|100752|106327|118947|128884|149681|161538|146789|
Physiology|6586|41836|67939|117252|145271|139524|147573|188716|178667|193115|194062|183373|173876|151580|167807|169341|178508|187800|201466|204719|214108|218249|203947|206087|252521|252891|270624|303184|278611|294335|316944|415082|395943|401745|383641|395014|424383|436612|500424|532921|480807|
Procedures|14414|97600|133844|202632|232653|232776|231495|285236|280197|330039|319912|251483|251152|238581|267013|273188|291141|301110|330857|355206|371946|390401|374869|395238|505186|506595|539874|610944|555987|598500|642918|894965|775003|779979|744432|739426|790253|837813|961367|1047623|936886|
