c5	c10	c12	c14	c15	c16	c17	c18	c20	c25	c35	c40	c90	c100	c110	c120	c130	c140	c150	c152	c160	c170	c180	c190	c192	c200	c210	c220	c230	c240	c250	c260	c270	c280	c290	c300	c310a	c310b	c310c	c310d	c314a	c314b	c314c	c314d	c320a	c320b	c320c	c324a	c324b	c324c	c330	c332	c340	c350	c360	c370	c380	c390	c400	c410	c420	c430	c440	c450	c460	c490	c510a	c510b	c510c	c510d	c510e	c510f	c602	c604	c606	c608	c610	c612	c614	c616	c620	c640	c652	c654	c660	eof
1995051900152	19950519	00152	SW  	1995	5	19	950063210        	1	19950508	G	3211	206030104023	FITTING         			BELL  	206   	206L4       	1182110	SW  										FWD CROSS-TUBE	CRACKED         	B	L	A	ALGR	K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SW	03	173AL	1707 				52066				A FORWARD CROSS-TUBE FITTING WAS FOUND CRACKED DURING THE DAILY INSPECTION.  THE CRACK HAD PROPAGATED THROUGH APPROXIMAT	ELY 75 PERCENT OF THE BOSS AREA THAT SECURES THE CROSS-TUBE TO THE FITTING.  THE CRACK WAS FORTUNATELY DISCOVERED PRIOR 	TO A COMPLETE FAILURE OF THE FITTING.   (X)				1	G	7	1 	3U			NC	H2SW    					 
1996010500256	19960105	00256	NM  	1996	1	5	9519R1624        	1	19951025	G	5330		SKIN            			BOEING	737   	737291      	138448W	NM  										FS 986	CORRODED        	B	P		S5WR	K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SW	01	7376F					20364				FUSELAGE SKIN BULGE, STA 986, STR 25L.  DISCOVERED DURING ROUTINE C-CHECK INSPECTION CAUSED BY SEALANT FAILURE AT SKIN. 	 SUBMITTER STATED FURTHER CORROSION SHOULD BE DETECTED BY REGULAR SCHEDULED MAINTENANCE INSPECTIONS.  (X)					2	L	7	2 	4F				A16WE   					 
1996010500257	19960105	00257	NM  	1996	1	5	9519RI626        	1	19951025	G	5313		STRINGER        			BOEING	737   	737291      	138448W	NM  										FS 500B STR 22L	CRACKED         	B			S5WR	K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SW	01	7376F					20364				FUSELAGE STRINGER CRACKED AT STA 500B, STR 22L.  DETECTED DURING ROUTINE C-CHECK INSPECTION.  SUSPECT CAUSE OF STRESS LO	ADS FROM BAGGAGE LOADING.  SUBMITTER SUGGESTS ROUTINE MAINTENANCE INSPECTION SHOULD DETECT ANY FURTHER DAMAGE.  (X)					2	L	7	2 	4F				A16WE   					 
1995101300499	19951013	00499	NM  	1995	10	13	95ZZZM535        	1	19950713	G	3221	69B100032	BUSHINGS        			BOEING	747   	747123      	1384873	NM  										NLG	BROKEN          	B			ERKR	K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			WP	07	905NA	10434				20107				DURING NOSE LANDING GEAR CHANGE, THE LEFT AND RIGHT TRUNNION BEARINGS WERE CLEANED AND REINSTALLED IAW BOEING 747-SCA MM	 CHAPTER 32-21-01.  AFTER THE NOSE GEAR WAS INSTALLED, MAINTENANCE PERSONNEL FOUND THE LEFT AND RIGHT TRUNNION BUSHINGS 	BROKEN WITH EVIDENCE OF CRACKING BEFORE GEAR REMOVAL.  CRACKING CONDITION NOT FOUND PRIOR TO INSTALLATION WHEN PROCESSED	 PER MM CHAPTER 32-21-01, WHICH DOES NOT REQUIRE ANY SPECIAL INSPECTION OF THE BUSHINGS PRIOR TO INSTALLATION.  INSTALLE	D NEW BUSHINGS FABRICATED PER BOEING 747 SRM.  REFER TO EVERGREEN AIR CENTER WORKORDER NR 20-0009.		2	L	7	4 	4F				A20WE   					 
1995102700593	19951027	00593	EU  	1995	10	27	95ZZZM565        	1	19950725	G	7712		CONNECTOR       			BAG   	JETSTM	JETSTM3101  	1500215	EU  										RT ENGINE	DIRTY           	A			VNAA	A				UNSCHED LANDING         				N			FALSE WARNING             			CL	CLIMB          	1			GL	07	845JS					769				FLT NR 4145 - AFTER DEPARTURE, RIGHT ENGINE HAD LARGE FLUCTUATIONS IN RPM, EGT AND TORQUE.  REDUCED POWER AND ENGINE STA	BILIZED, RETURNED TO FIELD.  CLEANED CANNON PLUGS ON RIGHT ENGINE TORQUE SIGNAL CONDITIONER.  GROUND RUN AND OPERATIONAL	 CHECK OF ENGINE GOOD.  AIRCRAFT RETURNED TO SERVICE.  (M)				2	L	7	2 	4T			RT	A21EU   					 
1995102700594	19951027	00594	EU  	1995	10	27	95ZZZM566        	1	19950721	G	7712		TORQUE IND      			BAG   	JETSTM	JETSTM3101  	1500215	EU  										RT ENGINE	FLUCTUATION     	A			VNAA	A				UNSCHED LANDING         				N			FALSE WARNING             			CL	CLIMB          	1			GL	07	845JS					769				FLT NR 4101 - ON CLIMB-OUT RIGHT ENGINE EXPERIENCED AN EGT AND TORQUE FLUCTUATION WITH SRL COMPUTER DEFERRED.  RETURNED 	TO PIT, CONDUCTED GROUND RUNS ON ENGINE IAW MM 71-00-00.  OPERATIONAL CHECK GOOD.  UNABLE TO DUPLICATE DISCREPANCY.  AIR	CRAFT RETURNED TO SERVICE.  (M)				2	L	7	2 	4T			RT	A21EU   					 
1995121500568	19951215	00568	SW  	1995	12	15	95ZZZM705        	1	19951025	G	5210		SEAL            			SWRNGN	SA227 	SA227AC     	8780603	SW  										CABIN DOOR	WATER CONTAM    	A			PNSA	D				RETURN TO BLOCK         				O			OTHER                     			TX	TAXI/GRND HDL  	1			AL	03	650PA					AC775B				CABIN DOOR WOULD NOT SEAL.  WATER IN TUBE AT DOOR SEAL, PURGED WATER.						1	L	7	2 	4T				A8SW    					 
1995122200222	19951222	00222	CE  	1995	12	22	95ZZZM730        	1	19951119	G	2911	995800691	RESERVOIR INSTL 			BEECH 	99    	C99         	1154006	CE  										HYD SYSTEM	REQ'D SERVICE   	A			GUUA	O				OTHER                   				J			WARNING INDICATION        			AP	APPROACH       	1			SO	19	7209W					U224				FLT NR 417 - EYW-MIA - LANDING GEAR REQUIRED 3 CYCLES TO RETRACT.  TROUBLESHOT SYSTEM.  FOUND AND BLED AIR FROM HYD POWE	R PACK.  SERVICED RESERVOIR.  PERFORMED FUNCTIONAL CHECK.  BLED AND OPS CHECKED NORMAL.					1	L	7	2 	3T				A14CE   					 
1995031000041	19950310	00041	WP  	1995	3	10	95ZZZX1000       	2	19950210	G	7250		BLADE           			AMD   	FALC50	FALCON50MYST	2730106	EU  	GARRTT	TFE731	TFE7313     	01518	WP  					NR 1 ENG LP TURB	FAILURE         	C				E	B			ENGINE SHUTDOWN         	EMER. DESCENT           			E			VIBRATION/BUFFET          			CR	CRUISE         	1			GL	05	4350M	6300 	2317 			142	P76556			AN IN-FLIGHT SHUT DOWN OF NR 1 ENGINE OCCURRED ON 1-31-95 DURING FLIGHT FROM DAY TO ATW.  AT 35,000 FEET, CREW HEARD AND	 FELT NOISE (THUMP) AND VIBRATION.  THEY DETERMINED CAUSE TO BE NR 1 ENGINE AND IT WAS SHUT DOWN, VIBRATION CONTINUED UN	TIL ACFT DESCENDED TO 5,000 FEET WHEN WINDMILLNG ENGINE SEIZED.  FAILURE IS UNDER INVESTIGATION, FOUND LP3 TURBINE BLADE	 FAILURE.			2	L	7	3 	4F	4	F		A46EU   	E6WE				 
1995031000042	19950310	00042	SO  	1995	3	10	95ZZZX1001       	2	19950120	G	8530	641917	CYLINDER        			UNIVAC	GC1   	GC1B        	9230104	NM  	CONT  	O300  	O300A       	17022	SO  					EXHAUST VALVE	GUIDE FAILED    	D				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			NM	01	2420B	1800 	40   			3720	16110DR			ACFT OWNER'S BOOK ON THE O300A CALLS FOR 80/87 FUEL.  HOWEVER, THE LEAD HAS BEEN REMOVED FROM 80/87, SO NO LUBRICATION C	OULD TAKE PLACE.  CONTINENTAL USES LEAD IN THE FUEL FOR LUBE.  VALVE GUIDES TOTALLY WORE OUT CAUSING LOW COMPRESSION AND	 HIGH OPERATION TEMPERATURES.				1	L	7	1 	3O	3	O		A766    	E253				 
