output/r000485_001_out.datSun Sep 17 13:48:44 2000

cops number to output is    134528094
#Event:  1
Sun Sep 17 13:50:54 2000

969216654 1 1 0
#0008--
dcopsId 13 ccd1 1308.9 148.907 -4.00475
dcopsId 13 ccd2 610.429 173.492 -2.74703
dcopsId 13 ccd3 1330.05 152.517 7.10813
dcopsId 13 ccd4 566.609 108.836 0.713921
#0007--
dcopsId 12 ccd1 874.459 117.639 -2.07459
dcopsId 12 ccd2 992.306 111.617 2.18385
dcopsId 12 ccd3 870.628 114.794 2.9811
dcopsId 12 ccd4 1884.83 512.045 600.733
#0006--
dcopsId 11 ccd1 700.023 100.151 1.05319
dcopsId 11 ccd2 944.387 97.7129 1.00886
dcopsId 11 ccd3 659.618 101.376 0.102482
dcopsId 11 ccd4 1015.59 94.6355 1.11143
#0005--
dcopsId 10 ccd1 421.084 116.691 0.699735
dcopsId 10 ccd2 920.801 -160.034 3.28671
dcopsId 10 ccd3 380.417 109.839 1.54098
dcopsId 10 ccd4 953.407 126.27 0.285514
#0004--
dcopsId 9 ccd1 1383.48 151.474 -1.45561
dcopsId 9 ccd2 888.218 124.459 -2.01317
dcopsId 9 ccd3 1430.1 152.494 -2.54432
dcopsId 9 ccd4 851.407 128.042 -0.290879
#0003--
dcopsId 8 ccd1 1278.74 135.888 -1.38372
dcopsId 8 ccd2 753.828 138.113 0.0343374
dcopsId 8 ccd3 1324.66 143.211 0.0727824
dcopsId 8 ccd4 665.302 132.849 -0.42384
#0002--
dcopsId 7 ccd1 1273.84 181.082 -0.993239
dcopsId 7 ccd2 538.694 158.794 1.55035
dcopsId 7 ccd3 1301.9 198.762 -4.16073
dcopsId 7 ccd4 452.628 158.185 0.561597
#0001--
dcopsId 6 ccd1 -4605.26 -54796.2 -6231.85
dcopsId 6 ccd2 775.152 209.153 2.75414
dcopsId 6 ccd3 1663.16 163.18 0.868774
dcopsId 6 ccd4 -2794.94 3480.64 -3064.93
#0005--
dcopsId 5 ccd1 1893.52 140.872 1.71268
dcopsId 5 ccd2 237.044 300.829 9.78251
dcopsId 5 ccd3 793.392 221.827 -8.41737
dcopsId 5 ccd4 1365.2 169.12 -20.0577
#0004--
dcopsId 4 ccd1 1825.06 276.043 -48.015
dcopsId 4 ccd2 1056.22 150.922 -13.5341
dcopsId 4 ccd3 1180.95 187.364 -9.33017
dcopsId 4 ccd4 1159.61 162.384 -15.5184
#0003--
dcopsId 3 ccd1 1470.17 67.7114 0.0262759
dcopsId 3 ccd2 1404.57 68.6917 -0.640061
dcopsId 3 ccd3 1483.84 60.3984 -1.15261
dcopsId 3 ccd4 183.207 117.237 -381.614
#0002--
dcopsId 2 ccd1 1205.48 90.8129 -1.19335
dcopsId 2 ccd2 470.023 91.7356 -1.26411
dcopsId 2 ccd3 1145.57 92.8929 -1.41029
dcopsId 2 ccd4 467.991 86.7237 0.582922
#0001--
dcopsId 1 ccd1 247.836 -125.25 2.05013
dcopsId 1 ccd2 1584.98 112.113 -1.32031
dcopsId 1 ccd3 204.432 98.1794 1.95976
dcopsId 1 ccd4 1538.06 116.436 -1.32111
#Event:  2
Sun Sep 17 13:52:32 2000

969216752 2 1 0
#0008--
dcopsId 13 ccd1 1309.11 148.759 -3.93785
dcopsId 13 ccd2 609.988 173.95 -2.47743
dcopsId 13 ccd3 1329.79 153.018 7.14269
dcopsId 13 ccd4 566.777 108.302 0.393032
#0007--
dcopsId 12 ccd1 874.095 118.257 -1.89196
dcopsId 12 ccd2 992.386 112.062 1.09954
dcopsId 12 ccd3 870.761 114.957 3.03972
dcopsId 12 ccd4 -727.926 738.245 -818.83
#0006--
dcopsId 11 ccd1 700.264 100.194 0.988825
dcopsId 11 ccd2 944.182 97.8381 0.948791
dcopsId 11 ccd3 659.484 100.921 0.598972
dcopsId 11 ccd4 1015.85 94.6967 1.12696
#0005--
dcopsId 10 ccd1 420.657 116.877 2.42196
dcopsId 10 ccd2 919.342 -166.038 8.23529
dcopsId 10 ccd3 380.761 110.189 1.50208
dcopsId 10 ccd4 952.864 126.137 1.41536
#0004--
dcopsId 9 ccd1 1384 151.361 -1.87597
dcopsId 9 ccd2 887.819 124.415 0.109703
dcopsId 9 ccd3 1430.09 152.63 -1.13061
dcopsId 9 ccd4 850.655 129.18 1.52715
#0003--
dcopsId 8 ccd1 1278.85 136.171 -1.18951
dcopsId 8 ccd2 754.718 137.879 -1.36997
dcopsId 8 ccd3 1325.33 143.418 0.141863
dcopsId 8 ccd4 664.499 132.542 1.31111
#0002--
dcopsId 7 ccd1 1273.65 182.263 -0.792482
dcopsId 7 ccd2 540.662 158.639 1.2306
dcopsId 7 ccd3 1299.76 198.621 -4.20207
dcopsId 7 ccd4 451.409 158.05 0.195573
#0001--
dcopsId 6 ccd1 1624.84 0.109703 0.0845731
dcopsId 6 ccd2 776.41 209.896 0.486525
dcopsId 6 ccd3 1664.28 163.095 0.992314
dcopsId 6 ccd4 -644.758 154.632 -719.961
#0005--
dcopsId 5 ccd1 1864.43 145.496 -53.6748
dcopsId 5 ccd2 2017.39 489.505 214.576
dcopsId 5 ccd3 790.092 219.324 -10.6971
dcopsId 5 ccd4 1366.3 169.281 -18.6343
#0004--
dcopsId 4 ccd1 1935.27 279.509 224.624
dcopsId 4 ccd2 1056.83 150.83 -13.3453
dcopsId 4 ccd3 1184.58 188.114 -11.859
dcopsId 4 ccd4 1160.35 162.008 -14.4806
#0003--
dcopsId 3 ccd1 1470.26 67.7131 -1.48938
dcopsId 3 ccd2 1404.43 68.3249 -0.37941
dcopsId 3 ccd3 1483.45 60.3789 1.40976
dcopsId 3 ccd4 10.3534 43.0749 -440.397
#0002--
dcopsId 2 ccd1 1205.57 90.3562 -0.754639
dcopsId 2 ccd2 469.787 91.0157 0.312385
dcopsId 2 ccd3 1145.77 92.7537 -1.49487
dcopsId 2 ccd4 467.85 86.286 -0.351023
#0001--
dcopsId 1 ccd1 247.378 -125.526 3.0055
dcopsId 1 ccd2 1584.99 112.05 -1.24921
dcopsId 1 ccd3 204.177 98.0114 1.84326
dcopsId 1 ccd4 1537.71 116.916 -2.67169
#Event:  3
Sun Sep 17 13:53:40 2000

969216820 3 1 0
#0008--
dcopsId 13 ccd1 1308.93 148.525 -3.91111
dcopsId 13 ccd2 609.974 173.667 -2.08944
dcopsId 13 ccd3 1330.25 153.126 9.30107
dcopsId 13 ccd4 566.768 108.774 0.185583
#0007--
dcopsId 12 ccd1 874.128 118.111 -1.45045
dcopsId 12 ccd2 992.208 111.902 1.78807
dcopsId 12 ccd3 870.506 114.939 3.19161
dcopsId 12 ccd4 1938.4 572.336 -36.0178
#0006--
dcopsId 11 ccd1 700.515 100.21 0.478356
dcopsId 11 ccd2 943.54 97.7774 0.80603
dcopsId 11 ccd3 659.896 100.939 -0.733047
dcopsId 11 ccd4 1014.75 94.7214 -0.00463626
#0005--
dcopsId 10 ccd1 421.321 116.335 1.28511
dcopsId 10 ccd2 917.709 -162.702 4.92026
dcopsId 10 ccd3 381.385 109.914 1.30927
