FIELD	FLDCDE	CUMO	CUMG	RESO	RESG
ATCHAFALAYA BAY	000141	1723	51226	0	0
ATCHAFALAYA BAY SOUTH	000151	2898	5550	0	0
BAY MARCHAND BLOCK 2	000415	73458	160874	1264	0
BELLE ISLE SOUTHWEST	001424	134	10712	0	0
BRETON SOUND BLOCK 1	001864	215	34302	0	0
BRETON SOUND BLOCK 2	001865	0	12582	0	0
BRETON SOUND BLOCK 18	001880	715	4655	0	0
BRETON SOUND BLOCK 20	001888	67138	215748	0	0
BRETON SOUND BLOCK 23	001891	0	2849	0	0
BRETON SOUND BLOCK 31	001896	1823	2654	0	0
BRETON SOUND BLOCK 32	001904	4973	28596	0	0
BRETON SOUND BLOCK 33	001908	44	1040	0	0
BRETON SOUND BLOCK 36	001912	0	49917	0	0
BRETON SOUND BLOCK 39	001924	0	1629	0	0
BRETON SOUND BLOCK 45	001928	93	973	0	0
BRETON SOUND BLOCK 49	001936	198	1817	0	0
BRETON SOUND BLOCK 53	001944	3296	14827	0	0
CHANDELEUR SOUND BLOCK 25	002480	22560	8593	7130	0
CHANDELEUR SOUND BLOCK 35	002482	0	217	0	0
CHANDELEUR SOUND BLOCK 41	002488	2	3879	0	0
CHANDELEUR SOUND BLOCK 52	002492	2	9751	0	0
CHANDELEUR SOUND BLOCK 58	002497	0	4345	0	0
CHANDELEUR SOUND BLOCK 63	002514	5	15866	0	0
COON POINT	002880	213	3241	0	0
CREOLE-OFFSHORE	003008	1489	3033	0	0
EAST CAMERON BLOCK 4	003480	166	7264	0	0
EAST CAMERON BLOCK 17	003502	767	55980	0	0
ELOI BAY	003623	27855	23704	0	0
EUGENE ISLAND BLOCK 1	003680	0	2576	0	0
EUGENE ISLAND BLOCK 3	003683	0	554	0	0
EUGENE ISLAND BLOCK 4	003684	0	960	0	0
EUGENE ISLAND BLOCK 8	003694	65	6520	0	0
EUGENE ISLAND BLOCK 9	003698	14	6625	0	0
EUGENE ISLAND BLOCK 18	003705	9936	183297	0	0
GRAND ISLE BLOCK 16	004196	5608	102994	0	0
GRAND ISLE BLOCK 18	004207	4324	7690	0	0
GRAND ISLE BLOCK 25	004218	204	71199	0	0
HALF MOON LAKE	004391	12046	11454	0	0
HOG BAYOU-OFFSHORE	004529	1855	76859	0	0
LIGHTHOUSE POINT	005972	2713	82043	0	0
MAIN PASS BLOCK 4	006304	394	5222	0	0
MAIN PASS BLOCK 6	006308	4953	14376	0	0
MAIN PASS BLOCK 24	006352	951	350	0	0
MAIN PASS BLOCK 25	006363	184	113	0	0
MAIN PASS BLOCK 31	006368	548	1116	0	0
MAIN PASS BLOCK 35	006374	15422	19396	0	0
MAIN PASS BLOCK 46	006407	354	32724	0	0
MAIN PASS BLOCK 47	006418	1101	73195	0	0
MAIN PASS BLOCK 69	006429	53188	180203	240	0
MAIN PASS BLOCK 74	006434	27346	66113	0	0
MOUND POINT	006912	81480	1235719	0	0
PASS WILSON	007243	797	1364	0	0
POINT CHEVREUIL	007447	145	4145	0	0
RABBIT ISLAND	007576	6960	536108	0	0
LOWER MOBILE BAY-MARY ANN	007687	0	163024	0	0
SHIP SHOAL BLOCK 15	008119	524	18968	0	0
SHIP SHOAL BLOCK 66	008167	1100	986	0	0
SHIP SHOAL BLOCK 67	008178	22	2532	0	0
SOUTH PASS BLOCK 1	008398	713	290	0	0
SOUTH PASS BLOCK 5	008409	77	762	0	0
SOUTH PASS BLOCK 6	008420	158	8847	0	0
SOUTH PASS BLOCK 21	008431	0	3310	0	0
SOUTH PASS BLOCK 24	008442	41246	46052	0	0
SOUTH PASS BLOCK 26	008464	0	5151	0	0
SOUTH PASS BLOCK 27	008475	42326	43744	0	0
SOUTH PASS BLOCK 30	008486	1	1644	0	0
SOUTH PASS BLOCK 41	008497	0	21627	0	0
SOUTH PASS BLOCK 42	008508	275	23301	0	0
SOUTH PASS BLOCK 78	008513	159	79950	0	0
SOUTH TIMBALIER BLOCK 8	008535	539	19699	0	0
BLK. 87-S	008895	662	201	434	177
TIMBALIER BAY-OFFSHORE	008971	3354	79869	0	0
VERMILION BLOCK 14	009126	1995	194608	0	0
VERMILION BLOCK 16	009137	1676	56608	0	0
VERMILION BLOCK 28	009144	351	16374	0	0
WEST CAMERON BLOCK 1	009315	49	3332	0	0
